"query"	"ko"
"Lachancea_waltii@Seq_2120"	"K16948"
"Babjeviella_inositovora@Seq_2814"	"K00600"
"Kazachstania_africana@Seq_4664"	"K00354"
"yHMPu5000041818_Magnusiomyces_tetrasperma@Seq_5557"	"K19851"
"yHAB155_Kazachstania_spencerorum@Seq_6258"	"K15508"
"Metschnikowia_hamakuensis@Seq_1676"	"K05236"
"Metschnikowia_mauinuiana@Seq_3476"	"K11558"
"Nakaseomyces_castellii@Seq_186"	"K04392"
"Metschnikowia_cerradonensis@Seq_3670"	"K01749"
"Cyberlindnera_fabianii_JCM3601@Seq_5079"	"K09680"
"yHMPu5000026142_Citeromyces_matritensis@Seq_3477"	"K02729"
"Kazachstania_naganishii@Seq_1292"	"K08139"
"Stagonospora_nodorum@Seq_7713"	"K09228"
"Candida_dubliniensis@Seq_2908"	"K19475"
"Geotrichum_candidum@Seq_1235"	"K11664"
"Metschnikowia_lockheadii@Seq_2882"	"K02873"
"Eremothecium_gossypii@Seq_297"	"K19849"
"Sugiyamaella_lignohabitans@Seq_881"	"K17086"
"Metschnikowia_hibisci@Seq_1873"	"K09658"
"Spathaspora_hagerdaliae@Seq_2622"	"K02889"
"Metschnikowia_borealis@Seq_4085"	"K20643"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6200"	"K00288"
"yHMPu5000034681_Blastobotrys_americana@Seq_601"	"K11657"
"yHMPu5000034893_Ogataea_philodendra@Seq_608"	"K03327"
"Saccharomyces_cerevisiae@YOR369C"	"K02951"
"yHMPu5000026142_Citeromyces_matritensis@Seq_2731"	"K09650"
"Metschnikowia_cerradonensis@Seq_5490"	"K03028"
"Yarrowia_deformans@Seq_631"	"K20247"
"yHAB159_Kazachstania_solicola@Seq_4848"	"K16230"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_4002"	"K09184"
"Metschnikowia_drakensbergensis@Seq_2882"	"K18466"
"yHAB158_Kazachstania_viticola@Seq_4970"	"K11770"
"Sclerotinia_sclerotiorum@Seq_10118"	"K01581"
"yHAB155_Kazachstania_spencerorum@Seq_6360"	"K02606"
"Saccharomyces_cerevisiae@YMR049C"	"K14824"
"yHMPu5000041822_Dipodascus_geniculatus@Seq_5074"	"K11364"
"yHMPu5000035639_Wickerhamomyces_canadensis@Seq_1345"	"K13525"
"Alloascoidea_hylecoeti@Seq_6201"	"K07889"
"Metschnikowia_matae@Seq_5768"	"K14399"
"yHMPu5000034884_Peterozyma_toletana@Seq_8"	"K01077"
"Metschnikowia_dekortum@Seq_4960"	"K10956"
"Komagataella_pastoris@Seq_3609"	"K19851"
"Fusarium_graminearum@Seq_9821"	"K09967"
"Metschnikowia_hawaiiensis@Seq_5178"	"K11230"
"yHMPu5000034952_Citeromyces_siamensis@Seq_7397"	"K04711"
"Metschnikowia_mauinuiana@Seq_3523"	"K03062"
"yHMPu5000034654_Aciculoconidium_aculeatum@Seq_210"	"K16551"
"Lodderomyces_elongisporus@Seq_5070"	"K12762"
"yHAB158_Kazachstania_viticola@Seq_2921"	"K19816"
"Saprochaete_clavata@Seq_1396"	"K08711"
"Nadsonia_fulvescens_var_elongata@Seq_3299"	"K11295"
"yHMPu5000026142_Citeromyces_matritensis@Seq_2991"	"K03262"
"yHAB166_Kazachstania_yakushimaensis@Seq_670"	"K21545"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_4909"	"K18718"
"Saccharomyces_cerevisiae@YPR016C"	"K03264"
"yHMPu5000034862_Zygotorulaspora_florentina@Seq_3357"	"K07034"
"yHMPu5000034674_Blastobotrys_muscicola@Seq_4015"	"K00799"
"yHMPu5000034952_Citeromyces_siamensis@Seq_11021"	"K01637"
"yHMPu5000035707_Candida_heveicola@Seq_2237"	"K14328"
"Saitoella_complicata@Seq_6672"	"K00698"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_2680"	"K11827"
"yHAB134_Kazachstania_turicensis@Seq_2876"	"K02896"
"Saccharomyces_cerevisiae@YKL067W"	"K00940"
"Metschnikowia_kamakouana@Seq_3008"	"K05692"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_2672"	"K00624"
"yHMPu5000034673_Blastobotrys_nivea@Seq_855"	"K15042"
"yHMPu5000034887_Ogataea_trehaloabstinens@Seq_2767"	"K10696"
"Saccharomyces_cerevisiae@YMR250W"	"K01580"
"yHMPu5000035658_Starmera_amethionina@Seq_2052"	"K16261"
"Babjeviella_inositovora@Seq_2864"	"K00830"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_4051"	"K06123"
"yHMPu5000034675_Blastobotrys_mokoenaii@Seq_2520"	"K00844"
"Botrytis_cinerea@Seq_5606"	"K14963"
"yHAB166_Kazachstania_yakushimaensis@Seq_4877"	"K00931"
"Spathaspora_hagerdaliae@Seq_6115"	"K08876"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_7343"	"K22016"
"yHMPu5000035268_Wickerhamomyces_hampshirensis@Seq_1486"	"K13338"
"Saccharomyces_cerevisiae@YDR539W"	"K20039"
"Hanseniaspora_valbyensis@Seq_3502"	"K17973"
"yHAB132_Kazachstania_martiniae@Seq_3738"	"K20121"
"yHAB147_Kazachstania_taianensis@Seq_1297"	"K11541"
"yHMPu5000035686_Cyberlindnera_saturnus@Seq_4540"	"K01193"
"Saccharomyces_cerevisiae@YLR291C"	"K03754"
"Metschnikowia_mauinuiana@Seq_1167"	"K17430"
"Sclerotinia_sclerotiorum@Seq_13335"	"K11527"
"yHMPu5000034604_Sporopachydermia_lactativora@Seq_3545"	"K06867"
"yHMPu5000034612_Saturnispora_saitoi@Seq_1312"	"K14306"
"Saccharomyces_cerevisiae@YHR169W"	"K14778"
"Schizosaccharomyces_pombe@Seq_585"	"K00227"
"yHMPu5000034952_Citeromyces_siamensis@Seq_6725"	"K00031"
"yHAB164_Kazachstania_aerobia@Seq_2280"	"K20465"
"Kluyveromyces_lactis@Seq_3912"	"K07393"
"Saccharomyces_cerevisiae@YHL009C"	"K09043"
"yHAB134_Kazachstania_turicensis@Seq_3289"	"K22016"
"Metschnikowia_lockheadii@Seq_3200"	"K09291"
"Xylona_heveae@Seq_6090"	"K21157"
"Neurospora_crassa@Seq_1244"	"K15102"
"Saccharomyces_cerevisiae@YDR284C"	"K18693"
"Fusarium_graminearum@Seq_9055"	"K07827"
"yHMPu5000034952_Citeromyces_siamensis@Seq_10707"	"K17871"
"Geotrichum_candidum@Seq_6590"	"K11232"
"Stagonospora_nodorum@Seq_10484"	"K00826"
"Aspergillus_nidulans@Seq_8614"	"K07034"
"Xylona_heveae@Seq_7801"	"K09464"
"Saccharomyces_cerevisiae@YDL205C"	"K01749"
"Sclerotinia_sclerotiorum@Seq_380"	"K11653"
"Metschnikowia_hamakuensis@Seq_2484"	"K00147"
"Geotrichum_candidum@Seq_6553"	"K14311"
"yHAB166_Kazachstania_yakushimaensis@Seq_1835"	"K12488"
"Saitoella_complicata@Seq_3706"	"K02069"
"yHMPu5000034952_Citeromyces_siamensis@Seq_7723"	"K01687"
"yHMPu5000034604_Sporopachydermia_lactativora@Seq_5160"	"K01653"
"yHMPu5000035633_Candida_hispaniensis@Seq_2232"	"K02024"
"Saccharomyces_cerevisiae@YDR002W"	"K15306"
"Saccharomyces_cerevisiae@YLR409C"	"K14554"
"Alloascoidea_hylecoeti@Seq_1461"	"K23541"
"Naumovozyma_castellii@Seq_1889"	"K19851"
"Hanseniaspora_vinae@Seq_3914"	"K11253"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_8997"	"K17871"
"Saccharomyces_cerevisiae@Q0085"	"K02126"
"Spathaspora_hagerdaliae@Seq_6333"	"K17768"
"yHAB134_Kazachstania_turicensis@Seq_5550"	"K15154"
"yHAB155_Kazachstania_spencerorum@Seq_718"	"K05544"
"Hanseniaspora_vinae@Seq_2423"	"K09074"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_1518"	"K02943"
"yHMPu5000034673_Blastobotrys_nivea@Seq_2467"	"K01188"
"Arthrobotrys_oligospora@Seq_2506"	"K08022"
"Millerozyma_acaciae@Seq_2871"	"K05012"
"Alloascoidea_hylecoeti@Seq_1395"	"K09184"
"yHMPu5000034673_Blastobotrys_nivea@Seq_226"	"K11824"
"Sporopachydermia_quercuum@Seq_3325"	"K18693"
"yHMPu5000034673_Blastobotrys_nivea@Seq_9569"	"K14778"
"Sclerotinia_sclerotiorum@Seq_1068"	"K01045"
"yHMPu5000026142_Citeromyces_matritensis@Seq_350"	"K00228"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_7426"	"K02971"
"yHAB143_Kazachstania_siamensis@Seq_4287"	"K11245"
"Candida_infanticola@Seq_3263"	"K13289"
"yHMPu5000035667_Kurtzmaniella_cleridarum@Seq_3201"	"K01426"
"Metschnikowia_bowlesiae@Seq_4494"	"K16767"
"Saccharomyces_cerevisiae@YMR159C"	"K08340"
"yHMPu5000035261_Candida_ponderosae@Seq_6367"	"K14766"
"Pachysolen_tannophilus@Seq_2789"	"K11252"
"yHMPu5000034946_Ambrosiozyma_oregonensis@Seq_3226"	"K06648"
"yHMPu5000035242_Zygoascus_ofunaensis@Seq_4665"	"K00354"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_662"	"K12846"
"Saccharomyces_cerevisiae@YPL204W"	"K14758"
"Saccharomyces_cerevisiae@YNL106C"	"K20279"
"Komagataella_pastoris@Seq_2839"	"K20475"
"Metschnikowia_cerradonensis@Seq_1533"	"K00706"
"yHMPu5000034957_Hanseniaspora_osmophila@Seq_4259"	"K03233"
"Hanseniaspora_valbyensis@Seq_154"	"K11121"
"yHMPu5000034604_Sporopachydermia_lactativora@Seq_5613"	"K13126"
"yHMPu5000034761_Lipomyces_lipofer@Seq_1496"	"K08141"
"Metschnikowia_santaceciliae@Seq_3434"	"K08711"
"Fusarium_graminearum@Seq_6383"	"K22397"
"Hanseniaspora_valbyensis@Seq_4928"	"K00420"
"Torulaspora_delbrueckii@Seq_1847"	"K03448"
"Aspergillus_nidulans@Seq_2922"	"K07418"
"Coccidioides_immitis@Seq_6027"	"K10380"
"yHMPu5000034673_Blastobotrys_nivea@Seq_4255"	"K01288"
"yHAB155_Kazachstania_spencerorum@Seq_5908"	"K18573"
"yHMPu5000034952_Citeromyces_siamensis@Seq_3608"	"K03364"
"yHAB153_Kazachstania_rosinii@Seq_1740"	"K20120"
"Saccharomyces_cerevisiae@YJR034W"	"K18178"
"Saccharomyces_cerevisiae@YNR015W"	"K05543"
"Saccharomyces_cerevisiae@YER165W"	"K13126"
"Alloascoidea_hylecoeti@Seq_6994"	"K05658"
"Metschnikowia_continentalis@Seq_3177"	"K20223"
"yHMPu5000026256_Zygotorulaspora_mrakii@Seq_3288"	"K19900"
"yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_1071"	"K10955"
"Fusarium_graminearum@Seq_2550"	"K15692"
"yHAB132_Kazachstania_martiniae@Seq_4767"	"K00326"
"yHMPu5000034742_Lipomyces_suomiensis@Seq_5736"	"K07410"
"Stagonospora_nodorum@Seq_8282"	"K07647"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_4353"	"K12585"
"yHMPu5000035242_Zygoascus_ofunaensis@Seq_4473"	"K09184"
"Alloascoidea_hylecoeti@Seq_5430"	"K11885"
"yHMPu5000034918_Nakazawaea_holstii@Seq_263"	"K04646"
"Wickerhamia_fluorescens@Seq_2523"	"K00799"
"Metschnikowia_hamakuensis@Seq_2589"	"K15161"
"Botrytis_cinerea@Seq_14642"	"K08157"
"yHAB155_Kazachstania_spencerorum@Seq_4193"	"K00965"
"yHMPu5000035643_Yarrowia_bubula@Seq_4220"	"K19245"
"Arthrobotrys_oligospora@Seq_6946"	"K01083"
"Metschnikowia_lockheadii@Seq_1654"	"K08869"
"yHMPu5000035261_Candida_ponderosae@Seq_2985"	"K01409"
"Meyerozyma_guilliermondii@Seq_4190"	"K08182"
"yHMPu5000026142_Citeromyces_matritensis@Seq_3728"	"K00953"
"Saccharomyces_cerevisiae@YDL101C"	"K06641"
"Metschnikowia_cerradonensis@Seq_4899"	"K04464"
"yHAB158_Kazachstania_viticola@Seq_2082"	"K06670"
"yHMPu5000034952_Citeromyces_siamensis@Seq_2222"	"K15202"
"yHAB155_Kazachstania_spencerorum@Seq_2824"	"K01681"
"Metschnikowia_hawaiiensis@Seq_3737"	"K08874"
"yHAB155_Kazachstania_spencerorum@Seq_4978"	"K14307"
