,OG,dN_dS
0,OG8384.out_yn00,0.1879
1,OG13001.out_yn00,0.1689
2,OG18405.out_yn00,0.3205
3,OG15354.out_yn00,0.2552
4,OG2176.out_yn00,0.0908
5,OG12299.out_yn00,0.0663
6,OG8016.out_yn00,0.1036
7,OG3717.out_yn00,0.1164
8,OG15788.out_yn00,0.2441
9,OG3802.out_yn00,0.2091
10,OG1516.out_yn00,0.0562
11,OG4950.out_yn00,0.2164
12,OG11253.out_yn00,0.3681
13,OG14805.out_yn00,0.14255
14,OG2455.out_yn00,0.0904
15,OG4173.out_yn00,0.0991
16,OG1200.out_yn00,0.1089
17,OG11661.out_yn00,0.28145
18,OG7673.out_yn00,0.131
19,OG11297.out_yn00,0.1714
20,OG4041.out_yn00,0.28595
21,OG13128.out_yn00,0.1242
22,OG3896.out_yn00,
23,OG4436.out_yn00,
24,OG10627.out_yn00,0.164
25,OG6426.out_yn00,0.16775
26,OG16100.out_yn00,0.12345
27,OG9958.out_yn00,0.1502
28,OG3480.out_yn00,0.0946
29,OG4804.out_yn00,0.3605
30,OG15631.out_yn00,0.1799
31,OG5194.out_yn00,0.1728
32,OG3347.out_yn00,0.103
33,OG9435.out_yn00,0.1221
34,OG15282.out_yn00,0.13515
35,OG6069.out_yn00,0.1891
36,OG9918.out_yn00,0.32355
37,OG7604.out_yn00,0.164
38,OG3371.out_yn00,0.1535
39,OG17582.out_yn00,0.2409
40,OG16467.out_yn00,0.15325
41,OG8533.out_yn00,0.19255
42,OG15711.out_yn00,0.15639999999999998
43,OG18627.out_yn00,0.2457
44,OG9335.out_yn00,0.3247
45,OG11359.out_yn00,0.1388
46,OG11025.out_yn00,0.127
47,OG7126.out_yn00,0.1225
48,OG8119.out_yn00,0.1724
49,OG3718.out_yn00,0.1788
50,OG8941.out_yn00,0.2656
51,OG16083.out_yn00,0.0881
52,OG8383.out_yn00,0.189
53,OG2818.out_yn00,
54,OG6573.out_yn00,0.1732
55,OG4278.out_yn00,
56,OG9998.out_yn00,0.2451
57,OG2164.out_yn00,0.1097
58,OG14748.out_yn00,0.2829
59,OG3532.out_yn00,0.1996
60,OG5137.out_yn00,0.2313
61,OG2649.out_yn00,0.126
62,OG12195.out_yn00,0.14040000000000002
63,OG13695.out_yn00,0.1295
64,OG14549.out_yn00,0.1692
65,OG15427.out_yn00,0.2146
66,OG5927.out_yn00,
67,OG9626.out_yn00,0.2596
68,OG1370.out_yn00,
69,OG12828.out_yn00,0.28695000000000004
70,OG5962.out_yn00,0.1429
71,OG13284.out_yn00,0.103
72,OG16078.out_yn00,0.0924
73,OG12748.out_yn00,0.19535000000000002
74,OG5191.out_yn00,0.2385
75,OG13289.out_yn00,0.1833
76,OG18026.out_yn00,0.0601
77,OG11403.out_yn00,0.1844
78,OG2971.out_yn00,0.1628
79,OG1325.out_yn00,0.1109
80,OG8269.out_yn00,0.1958
81,OG12406.out_yn00,0.172
82,OG10096.out_yn00,0.1517
83,OG10331.out_yn00,0.3873
84,OG6914.out_yn00,0.19075
85,OG4195.out_yn00,
86,OG2942.out_yn00,0.0456
87,OG12647.out_yn00,0.43355
88,OG6621.out_yn00,0.1602
89,OG11967.out_yn00,0.1871
90,OG14236.out_yn00,0.247
91,OG11140.out_yn00,0.4535
92,OG18278.out_yn00,0.1866
93,OG6443.out_yn00,0.1461
94,OG3847.out_yn00,0.173
95,OG13106.out_yn00,0.1751
96,OG16006.out_yn00,0.4303
97,OG9712.out_yn00,
98,OG10362.out_yn00,0.2668
99,OG14618.out_yn00,0.20755
100,OG17537.out_yn00,0.2596
101,OG18707.out_yn00,0.1873
102,OG11110.out_yn00,0.28805000000000003
103,OG14589.out_yn00,0.17955
104,OG6076.out_yn00,0.1248
105,OG4065.out_yn00,
106,OG5269.out_yn00,0.2606
107,OG9688.out_yn00,0.25934999999999997
108,OG16163.out_yn00,0.2029
109,OG8548.out_yn00,0.17055
110,OG8373.out_yn00,0.0792
111,OG8532.out_yn00,0.2775
112,OG6021.out_yn00,0.2885
113,OG6152.out_yn00,
114,OG17417.out_yn00,0.1531
115,OG3276.out_yn00,0.1203
116,OG11344.out_yn00,0.28
117,OG1444.out_yn00,0.0501
118,OG4759.out_yn00,0.183
119,OG11457.out_yn00,0.2178
120,OG8093.out_yn00,0.2937
121,OG13134.out_yn00,0.25475000000000003
122,OG7091.out_yn00,0.2107
123,OG17540.out_yn00,0.1383
124,OG15382.out_yn00,0.15860000000000002
125,OG4653.out_yn00,
126,OG15687.out_yn00,0.22445
127,OG8315.out_yn00,0.1419
128,OG17522.out_yn00,0.1471
129,OG14081.out_yn00,0.2338
130,OG12281.out_yn00,0.26844999999999997
131,OG8498.out_yn00,0.2351
132,OG16156.out_yn00,0.45345
133,OG16196.out_yn00,0.22585
134,OG4699.out_yn00,0.2524
135,OG16231.out_yn00,0.15544999999999998
136,OG5446.out_yn00,0.16494999999999999
137,OG6283.out_yn00,0.1335
138,OG16183.out_yn00,0.13740000000000002
139,OG4175.out_yn00,0.195
140,OG3415.out_yn00,0.2434
141,OG12938.out_yn00,0.073
142,OG14028.out_yn00,0.205
143,OG5827.out_yn00,0.36125
144,OG8692.out_yn00,
145,OG1314.out_yn00,
146,OG1934.out_yn00,
147,OG14560.out_yn00,0.11085
148,OG13839.out_yn00,0.29369999999999996
149,OG14931.out_yn00,0.14295000000000002
150,OG10641.out_yn00,0.315
151,OG16332.out_yn00,0.19674999999999998
152,OG8684.out_yn00,0.3555
153,OG2894.out_yn00,0.1416
154,OG11224.out_yn00,0.17955
155,OG9757.out_yn00,0.19655
156,OG8227.out_yn00,0.0798
157,OG4639.out_yn00,0.269
158,OG5814.out_yn00,0.11595
159,OG14848.out_yn00,0.2002
160,OG11747.out_yn00,0.1223
161,OG3861.out_yn00,0.115
162,OG5444.out_yn00,0.0865
163,OG14494.out_yn00,0.08249999999999999
164,OG5629.out_yn00,0.1841
165,OG8454.out_yn00,0.1062
166,OG1637.out_yn00,0.0553
167,OG9005.out_yn00,0.11645
