,OG,dN_dS
0,OG2176.out_yn00,0.0908
1,OG3717.out_yn00,0.1164
2,OG3802.out_yn00,0.2091
3,OG1516.out_yn00,0.0562
4,OG4950.out_yn00,0.2164
5,OG2455.out_yn00,0.0904
6,OG1200.out_yn00,0.1089
7,OG4041.out_yn00,0.28595
8,OG3896.out_yn00,0.2406
9,OG4436.out_yn00,0.0805
10,OG6426.out_yn00,0.16775
11,OG3480.out_yn00,0.0946
12,OG4804.out_yn00,0.3605
13,OG3347.out_yn00,0.103
14,OG3371.out_yn00,0.1535
15,OG17582.out_yn00,0.2409
16,OG7126.out_yn00,0.1225
17,OG3718.out_yn00,0.1788
18,OG2818.out_yn00,0.0914
19,OG6573.out_yn00,0.1732
20,OG4278.out_yn00,0.3405
21,OG2164.out_yn00,0.1097
22,OG3532.out_yn00,0.1996
23,OG2649.out_yn00,0.126
24,OG1370.out_yn00,0.1234
25,OG5191.out_yn00,0.2385
26,OG2971.out_yn00,0.1628
27,OG1325.out_yn00,0.1109
28,OG8269.out_yn00,0.1958
29,OG6914.out_yn00,0.19075
30,OG4195.out_yn00,0.199
31,OG2942.out_yn00,0.0456
32,OG6621.out_yn00,0.1602
33,OG6443.out_yn00,0.1461
34,OG3847.out_yn00,0.173
35,OG4065.out_yn00,0.2369
36,OG3276.out_yn00,0.1203
37,OG1444.out_yn00,0.0501
38,OG4759.out_yn00,0.183
39,OG4699.out_yn00,0.2524
40,OG3415.out_yn00,0.2434
41,OG1314.out_yn00,0.1048
42,OG1934.out_yn00,0.0771
43,OG2894.out_yn00,0.1416
44,OG4639.out_yn00,0.269
45,OG5444.out_yn00,0.0865
46,OG1637.out_yn00,0.0553
47,OG1465.out_yn00,0.0956
48,OG2047.out_yn00,0.1351
49,OG14448.out_yn00,0.2296
50,OG7385.out_yn00,0.104
51,OG3310.out_yn00,0.1248
52,OG4790.out_yn00,0.1777
53,OG3145.out_yn00,0.1531
54,OG1750.out_yn00,0.0955
55,OG7670.out_yn00,0.3311
56,OG4159.out_yn00,0.1241
57,OG2878.out_yn00,0.0939
58,OG2165.out_yn00,0.0876
59,OG4400.out_yn00,0.1747
60,OG2415.out_yn00,0.2607
61,OG2266.out_yn00,0.1508
62,OG1453.out_yn00,0.058
63,OG4089.out_yn00,0.1404
64,OG10810.out_yn00,0.2433
65,OG8128.out_yn00,0.2584
66,OG6862.out_yn00,0.1232
67,OG4244.out_yn00,0.1036
68,OG3362.out_yn00,0.0642
69,OG5338.out_yn00,0.1833
70,OG4269.out_yn00,0.1308
71,OG2598.out_yn00,0.1373
72,OG2186.out_yn00,0.0808
73,OG4452.out_yn00,0.212
74,OG1408.out_yn00,0.1731
75,OG4758.out_yn00,0.1777
76,OG5487.out_yn00,0.2338
77,OG6059.out_yn00,0.1667
78,OG7328.out_yn00,0.46
79,OG6726.out_yn00,0.13615
80,OG5113.out_yn00,0.2229
81,OG4198.out_yn00,0.2527
82,OG2628.out_yn00,0.1168
83,OG5142.out_yn00,0.1459
84,OG6766.out_yn00,0.1851
85,OG7718.out_yn00,0.24309999999999998
86,OG10125.out_yn00,0.2004
87,OG2495.out_yn00,0.0911
88,OG3635.out_yn00,0.1363
89,OG3637.out_yn00,0.1747
90,OG1652.out_yn00,0.1374
91,OG2828.out_yn00,0.0673
92,OG2465.out_yn00,0.0799
93,OG4485.out_yn00,0.1226
94,OG3647.out_yn00,0.1602
95,OG3354.out_yn00,0.0992
96,OG2706.out_yn00,0.1109
97,OG3501.out_yn00,0.2386
98,OG1777.out_yn00,0.0582
99,OG3968.out_yn00,0.1004
100,OG2006.out_yn00,0.1999
101,OG9026.out_yn00,0.19155
102,OG3028.out_yn00,0.1744
103,OG17581.out_yn00,0.0436
104,OG1246.out_yn00,0.0863
105,OG2476.out_yn00,0.2353
106,OG5108.out_yn00,0.1966
107,OG6771.out_yn00,0.2737
108,OG2145.out_yn00,0.1114
109,OG1758.out_yn00,0.089
110,OG5036.out_yn00,0.3632
111,OG1812.out_yn00,0.0489
112,OG4286.out_yn00,0.163
113,OG3275.out_yn00,0.17665
114,OG5720.out_yn00,0.2572
115,OG7598.out_yn00,0.1565
116,OG1689.out_yn00,0.0847
117,OG4479.out_yn00,0.0781
118,OG4297.out_yn00,0.0652
119,OG4793.out_yn00,0.11
120,OG3189.out_yn00,0.1263
121,OG1335.out_yn00,0.0707
122,OG1572.out_yn00,0.0894
123,OG3638.out_yn00,0.1473
124,OG6806.out_yn00,0.32855
125,OG6239.out_yn00,0.09895000000000001
126,OG2296.out_yn00,0.1736
127,OG2370.out_yn00,0.0782
128,OG1844.out_yn00,0.0911
129,OG3468.out_yn00,0.0864
130,OG1588.out_yn00,0.0448
131,OG1375.out_yn00,0.2086
132,OG4424.out_yn00,0.1323
133,OG3167.out_yn00,0.0889
134,OG1826.out_yn00,0.1399
135,OG4228.out_yn00,0.2701
136,OG2474.out_yn00,0.2705
137,OG3115.out_yn00,0.0933
138,OG4594.out_yn00,0.2198
139,OG4027.out_yn00,0.1621
140,OG6727.out_yn00,0.3658
141,OG4432.out_yn00,0.1024
142,OG2694.out_yn00,0.0894
143,OG3884.out_yn00,0.25
144,OG2681.out_yn00,0.1201
145,OG1404.out_yn00,0.1803
146,OG1525.out_yn00,0.0497
147,OG6997.out_yn00,0.14225
148,OG3085.out_yn00,0.1308
149,OG1871.out_yn00,0.0528
150,OG2515.out_yn00,0.0578
151,OG8266.out_yn00,0.239
152,OG1412.out_yn00,0.1037
153,OG1890.out_yn00,0.1226
154,OG4346.out_yn00,0.21395
155,OG2881.out_yn00,0.1715
156,OG4044.out_yn00,0.0896
157,OG2905.out_yn00,0.1521
158,OG1414.out_yn00,0.0965
159,OG4449.out_yn00,0.3165
160,OG7491.out_yn00,0.2276
161,OG4316.out_yn00,0.21
162,OG4340.out_yn00,0.1307
163,OG3926.out_yn00,0.1638
164,OG5693.out_yn00,0.1827
165,OG4126.out_yn00,0.1792
166,OG9011.out_yn00,0.10264999999999999
167,OG2540.out_yn00,0.1136
168,OG1666.out_yn00,0.2765
169,OG1811.out_yn00,0.0763
170,OG3320.out_yn00,0.2037
171,OG3186.out_yn00,0.2832
172,OG2473.out_yn00,0.1079
173,OG3702.out_yn00,0.049
174,OG2286.out_yn00,0.1099
175,OG3853.out_yn00,0.168
176,OG2281.out_yn00,0.3866
177,OG2734.out_yn00,0.1121
178,OG3118.out_yn00,0.0663
179,OG1617.out_yn00,0.0794
180,OG1740.out_yn00,0.1317
181,OG5677.out_yn00,0.1409
182,OG1527.out_yn00,0.2054
183,OG3121.out_yn00,0.1247
184,OG3615.out_yn00,0.0867
185,OG4351.out_yn00,0.1053
186,OG6898.out_yn00,0.10295
187,OG2443.out_yn00,0.0503
188,OG1626.out_yn00,0.0385
189,OG5768.out_yn00,0.1012
190,OG1999.out_yn00,0.0576
191,OG5200.out_yn00,0.3693
192,OG1647.out_yn00,0.1368
193,OG3304.out_yn00,0.083
194,OG2636.out_yn00,0.1661
195,OG1926.out_yn00,0.0605
