,cluster,duplicate_num,unique_num
3242,YJR158W,1012,0
2828,YIL173W,1012,0
2827,YIL172C,1012,0
1782,YFL068W,1012,0
3797,YLR158C,1012,0
3089,YJL223C,1012,0
3796,YLR157C,1012,0
950,YDR039C,1012,0
2657,YHR214W,1012,0
3795,YLR156W,1012,0
910,YDL247W,1012,0
909,YDL246C,1012,0
2656,YHR213W,1012,0
2655,YHR212C,1012,0
3794,YLR155C,1012,0
3798,YLR159W,1012,0
5804,YPL282C,1012,0
562,YCL067C,1012,0
1530,YEL076C,1012,0
4103,YLR465C,1012,0
4104,YLR466W,1012,0
4105,YLR467W,1012,0
1529,YEL075C,1012,0
86,YAR060C,1012,0
205,YBL112C,1012,0
6007,YPR203W,1012,0
1454,YDR545W,1012,0
5524,YOR396W,1012,0
5523,YOR394W,1012,0
2829,YIL176C,1012,0
3799,YLR160C,1012,0
2830,YIL177C,1011,1
204,YBL111C,1011,1
2661,YHR218W,1011,1
1779,YFL065C,1011,1
2393,YGR296W,1011,1
2442,YHL049C,1011,1
3800,YLR161W,1011,1
2498,YHR055C,1011,1
4102,YLR464W,1011,1
4233,YML133C,1011,1
83,YAR047C,1011,1
5805,YPL283C,1011,1
4890,YNL339C,1011,1
4101,YLR463C,1011,1
3090,YJL225C,1011,1
3638,YLL066C,1010,2
2497,YHR054C,1010,2
88,YAR066W,1010,2
3243,YJR159W,1010,2
1778,YFL064C,1010,2
3088,YJL222W,1010,2
1717,YER189W,1009,3
6008,YPR204W,1009,3
5431,YOR302W,1009,3
847,YDL184C,1009,3
5795,YPL271W,1009,3
895,YDL232W,1009,3
1775,YFL061W,1008,4
1186,YDR276C,1008,4
908,YDL245C,1007,5
4966,YNR076W,1007,5
1907,YGL070C,1006,6
4100,YLR462W,1006,6
1718,YER190W,1006,6
1327,YDR417C,1006,6
3636,YLL064C,1006,6
3639,YLL067C,1006,6
5176,YOR045W,1005,7
605,YCR040W,1005,7
4696,YNL145W,1005,7
3903,YLR264W,1005,7
1371,YDR461W,1005,7
730,YDL067C,1004,8
85,YAR053W,1004,8
5803,YPL281C,1004,8
4927,YNR037C,1004,8
1780,YFL066C,1004,8
3801,YLR162W,1004,8
5297,YOR167C,1003,9
3677,YLR038C,1003,9
5857,YPR052C,1003,9
4621,YNL070W,1003,9
997,YDR086C,1003,9
3964,YLR325C,1003,9
4686,YNL135C,1003,9
5522,YOR393W,1002,10
4568,YNL015W,1002,10
2496,YHR053C,1002,10
5666,YPL142C,1002,10
561,YCL066W,1002,10
2662,YHR219W,1002,10
1328,YDR418W,1002,10
5151,YOR020C,1002,10
3856,YLR217W,1002,10
5340,YOR210W,1002,10
5970,YPR166C,1001,11
4483,YMR256C,1001,11
1879,YGL041C,1001,11
2670,YIL008W,1001,11
2324,YGR226C,1001,11
3869,YLR230W,1001,11
1120,YDR210W,1000,12
1419,YDR510W,1000,12
3966,YLR327C,1000,12
2313,YGR215W,1000,12
3056,YJL190C,1000,12
5127,YOL162W,999,13
4040,YLR402W,999,13
3134,YJR048W,999,13
604,YCR039C,999,13
2205,YGR105W,999,13
2120,YGR020C,999,13
5986,YPR182W,999,13
4114,YML009C,999,13
5561,YPL037C,998,14
4795,YNL244C,998,14
1422,YDR513W,998,14
2025,YGL188C,998,14
3399,YKL153W,998,14
1540,YER009W,998,14
4229,YML129C,998,14
3786,YLR147C,998,14
1481,YEL027W,997,15
744,YDL081C,997,15
5906,YPR102C,997,15
855,YDL192W,997,15
120,YBL026W,997,15
3806,YLR167W,997,15
2054,YGL217C,997,15
4513,YMR286W,997,15
4487,YMR260C,997,15
2875,YJL003W,997,15
5007,YOL040C,997,15
2137,YGR037C,996,16
2605,YHR162W,996,16
4033,YLR395C,996,16
3009,YJL143W,996,16
4003,YLR364W,996,16
1276,YDR366C,996,16
1135,YDR225W,996,16
1480,YEL026W,996,16
1508,YEL054C,996,16
940,YDR029W,996,16
3651,YLR012C,996,16
3933,YLR294C,995,17
1575,YER044C,995,17
5162,YOR031W,995,17
1352,YDR442W,995,17
1438,YDR529C,995,17
2063,YGL226W,995,17
87,YAR064W,995,17
2185,YGR085C,995,17
680,YDL016C,995,17
4208,YML108W,995,17
927,YDR016C,995,17
3120,YJR034W,995,17
5232,YOR102W,994,18
5903,YPR099C,994,18
5456,YOR327C,994,18
4303,YMR074C,994,18
3884,YLR245C,994,18
172,YBL078C,994,18
2972,YJL104W,994,18
5898,YPR094W,994,18
5386,YOR257W,994,18
5099,YOL133W,994,18
5411,YOR282W,994,18
1287,YDR377W,994,18
4583,YNL031C,994,18
5002,YOL035C,994,18
3682,YLR043C,994,18
2108,YGR008C,994,18
1589,YER058W,994,18
1134,YDR224C,994,18
3961,YLR322W,994,18
5006,YOL039W,994,18
194,YBL100C,994,18
1377,YDR467C,993,19
2076,YGL239C,993,19
1191,YDR281C,993,19
3133,YJR047C,993,19
5571,YPL047W,993,19
313,YBR109C,993,19
2118,YGR018C,993,19
5289,YOR159C,993,19
5462,YOR333C,993,19
3701,YLR062C,993,19
5429,YOR300W,993,19
4018,YLR379W,993,19
1675,YER146W,993,19
5969,YPR165W,993,19
3901,YLR262C,993,19
122,YBL028C,993,19
759,YDL096C,993,19
1011,YDR100W,993,19
466,YBR262C,993,19
97,YBL003C,993,19
850,YDL187C,993,19
3837,YLR198C,993,19
1049,YDR139C,993,19
3954,YLR315W,993,19
4886,YNL335W,993,19
115,YBL021C,993,19
4979,YOL012C,993,19
844,YDL181W,992,20
871,YDL208W,992,20
1314,YDR404C,992,20
5498,YOR369C,992,20
3383,YKL137W,992,20
188,YBL094C,992,20
4300,YMR071C,992,20
2334,YGR236C,992,20
5758,YPL234C,992,20
296,YBR091C,992,20
5406,YOR277C,992,20
3398,YKL152C,992,20
3415,YKL170W,992,20
3149,YJR063W,992,20
3208,YJR123W,992,20
3809,YLR170C,992,20
5017,YOL050C,992,20
5129,YOL164W,992,20
3843,YLR204W,992,20
3715,YLR076C,992,20
3932,YLR293C,992,20
3900,YLR261C,992,20
3583,YLL009C,991,21
2111,YGR011W,991,21
2304,YGR206W,991,21
1283,YDR373W,991,21
4662,YNL111C,991,21
410,YBR206W,991,21
5414,YOR285W,991,21
4301,YMR072W,991,21
5622,YPL098C,991,21
5354,YOR224C,991,21
164,YBL070C,991,21
3384,YKL138C,991,21
990,YDR079W,991,21
143,YBL049W,991,21
4847,YNL296W,991,21
1200,YDR290W,991,21
615,YCR050C,991,21
3467,YKL224C,991,21
5953,YPR149W,991,21
1457,YEL003W,991,21
4810,YNL259C,991,21
3414,YKL169C,991,21
95,YBL001C,991,21
5887,YPR082C,991,21
956,YDR045C,991,21
3405,YKL160W,991,21
2163,YGR063C,991,21
3941,YLR302C,991,21
436,YBR232C,991,21
3247,YKL001C,990,22
4582,YNL030W,990,22
3807,YLR168C,990,22
1946,YGL109W,990,22
1265,YDR355C,990,22
3437,YKL192C,990,22
368,YBR164C,990,22
1837,YFR056C,990,22
3868,YLR229C,990,22
2028,YGL191W,990,22
1924,YGL087C,990,22
4806,YNL255C,990,22
96,YBL002W,990,22
5749,YPL225W,990,22
2530,YHR087W,990,22
3825,YLR186W,989,23
5394,YOR265W,989,23
544,YCL046W,989,23
5825,YPR020W,989,23
457,YBR253W,989,23
3889,YLR250W,989,23
3616,YLL044W,989,23
2797,YIL138C,989,23
2281,YGR181W,989,23
2881,YJL009W,989,23
1267,YDR357C,989,23
215,YBR009C,989,23
3588,YLL014W,989,23
216,YBR010W,989,23
3241,YJR157W,989,23
3839,YLR200W,989,23
4066,YLR428C,989,23
4566,YNL013C,989,23
913,YDR002W,988,24
4972,YOL005C,988,24
1218,YDR308C,988,24
5377,YOR248W,988,24
3045,YJL179W,988,24
2340,YGR242W,988,24
2616,YHR173C,988,24
1602,YER071C,988,24
1623,YER092W,988,24
1603,YER072W,988,24
4936,YNR046W,988,24
1891,YGL054C,988,24
2139,YGR039W,988,24
1292,YDR382W,988,24
5849,YPR044C,988,24
4595,YNL043C,988,24
73,YAR020C,988,24
1026,YDR115W,988,24
713,YDL050C,988,24
1723,YFL005W,988,24
1113,YDR203W,988,24
4352,YMR123W,988,24
5397,YOR268C,988,24
3919,YLR280C,988,24
1917,YGL080W,987,25
2469,YHR026W,987,25
2494,YHR051W,987,25
4525,YMR298W,987,25
4762,YNL211C,987,25
1651,YER121W,987,25
1065,YDR155C,987,25
3170,YJR085C,987,25
1179,YDR269C,987,25
5319,YOR189W,987,25
5775,YPL251W,987,25
3743,YLR104W,987,25
5233,YOR103C,987,25
2307,YGR209C,987,25
4404,YMR175W,987,25
378,YBR174C,987,25
3871,YLR232W,987,25
4875,YNL324W,987,25
3978,YLR339C,987,25
961,YDR050C,987,25
3956,YLR317W,987,25
5415,YOR286W,987,25
4403,YMR174C,987,25
5559,YPL035C,987,25
5570,YPL046C,986,26
1064,YDR154C,986,26
5821,YPR016C,986,26
1588,YER057C,986,26
3039,YJL173C,986,26
3032,YJL166W,986,26
4827,YNL276C,986,26
4851,YNL300W,986,26
1880,YGL042C,986,26
1577,YER046W,986,26
43,YAL045C,986,26
5537,YPL013C,986,26
4773,YNL222W,986,26
3322,YKL076C,986,26
4548,YMR321C,986,26
4127,YML022W,986,26
3369,YKL123W,986,26
1288,YDR378C,986,26
3304,YKL058W,986,26
4201,YML101C,986,26
2317,YGR219W,986,26
4749,YNL198C,986,26
4177,YML077W,986,26
1347,YDR437W,986,26
5505,YOR376W,986,26
3259,YKL013C,986,26
1379,YDR469W,986,26
3249,YKL003C,986,26
5460,YOR331C,985,27
5355,YOR225W,985,27
1911,YGL074C,985,27
773,YDL110C,985,27
4926,YNR036C,985,27
1396,YDR487C,985,27
171,YBL077W,985,27
5904,YPR100W,985,27
304,YBR099C,985,27
3714,YLR075W,985,27
456,YBR252W,985,27
2691,YIL029C,985,27
4664,YNL113W,985,27
5461,YOR332W,985,27
1867,YGL029W,985,27
377,YBR173C,985,27
4082,YLR444C,985,27
3517,YKR049C,985,27
4096,YLR458W,985,27
1958,YGL121C,985,27
1249,YDR339C,985,27
5864,YPR059C,985,27
2571,YHR128W,985,27
4135,YML030W,985,27
4722,YNL171C,985,27
926,YDR015C,984,28
1307,YDR397C,984,28
1378,YDR468C,984,28
1089,YDR179C,984,28
1372,YDR462W,984,28
5843,YPR038W,984,28
3748,YLR109W,984,28
4079,YLR441C,984,28
2502,YHR059W,984,28
5496,YOR367W,984,28
2689,YIL027C,984,28
1341,YDR431W,984,28
4106,YML001W,984,28
1964,YGL127C,984,28
1688,YER159C,984,28
4117,YML012W,984,28
3307,YKL061W,984,28
5495,YOR366W,984,28
5638,YPL114W,984,28
4002,YLR363C,984,28
1402,YDR493W,984,28
1196,YDR286C,984,28
3412,YKL167C,984,28
4895,YNR005C,983,29
2411,YHL018W,983,29
5785,YPL261C,983,29
1960,YGL123W,983,29
5004,YOL037C,983,29
4682,YNL131W,983,29
3907,YLR268W,983,29
919,YDR008C,983,29
4777,YNL226W,983,29
472,YBR268W,983,29
4178,YML078W,983,29
4004,YLR365W,983,29
2276,YGR176W,983,29
3921,YLR282C,983,29
1943,YGL106W,983,29
781,YDL118W,983,29
2636,YHR193C,983,29
653,YCR096C,983,29
5265,YOR135C,983,29
2954,YJL086C,983,29
3749,YLR110C,983,29
3112,YJR022W,983,29
5280,YOR150W,983,29
2019,YGL182C,983,29
1334,YDR424C,983,29
2990,YJL124C,983,29
481,YBR277C,982,30
159,YBL065W,982,30
4604,YNL052W,982,30
2047,YGL210W,982,30
4336,YMR107W,982,30
3071,YJL205C,982,30
1945,YGL108C,982,30
4721,YNL170W,982,30
1889,YGL052W,982,30
5251,YOR121C,982,30
668,YDL004W,982,30
4194,YML094W,982,30
2839,YIR009W,982,30
2727,YIL065C,981,31
1254,YDR344C,981,31
959,YDR048C,981,31
1870,YGL032C,981,31
3810,YLR171W,981,31
2871,YIR041W,981,31
4255,YMR022W,981,31
3332,YKL086W,981,31
3244,YJR160C,981,31
2138,YGR038W,981,31
2408,YHL015W,981,31
3390,YKL144C,981,31
3551,YKR083C,981,31
4013,YLR374C,981,31
358,YBR154C,981,31
4029,YLR390W,981,31
