,OG,dN_dS
0,OG8384.out_yn00,0.1916
1,OG13001.out_yn00,0.1689
2,OG18405.out_yn00,0.3205
3,OG15354.out_yn00,0.2552
4,OG2176.out_yn00,0.1158
5,OG12299.out_yn00,0.0664
6,OG8016.out_yn00,0.1036
7,OG3717.out_yn00,0.1163
8,OG15788.out_yn00,0.2441
9,OG3802.out_yn00,0.2177
10,OG1516.out_yn00,0.0486
11,OG4950.out_yn00,0.12405
12,OG14805.out_yn00,0.14255
13,OG2455.out_yn00,0.0561
14,OG4173.out_yn00,0.1236
15,OG1200.out_yn00,0.1014
16,OG11661.out_yn00,0.2757
17,OG7673.out_yn00,0.09175
18,OG11297.out_yn00,0.1714
19,OG4041.out_yn00,0.2864
20,OG3896.out_yn00,0.2397
21,OG4436.out_yn00,0.0805
22,OG10627.out_yn00,0.164
23,OG6426.out_yn00,0.1682
24,OG16100.out_yn00,0.12345
25,OG9958.out_yn00,0.1472
26,OG3480.out_yn00,0.0696
27,OG4804.out_yn00,0.3605
28,OG15631.out_yn00,0.1799
29,OG5194.out_yn00,0.1671
30,OG3347.out_yn00,0.1031
31,OG9435.out_yn00,0.1221
32,OG15282.out_yn00,0.13515
33,OG6069.out_yn00,0.1891
34,OG9918.out_yn00,0.32355
35,OG7604.out_yn00,0.164
36,OG3371.out_yn00,0.1525
37,OG17582.out_yn00,0.2409
38,OG16467.out_yn00,0.15325
39,OG8533.out_yn00,0.19190000000000002
40,OG15711.out_yn00,0.15639999999999998
41,OG18627.out_yn00,0.2457
42,OG9335.out_yn00,0.3247
43,OG11359.out_yn00,0.1388
44,OG11025.out_yn00,0.127
45,OG7126.out_yn00,0.1225
46,OG8119.out_yn00,0.1654
47,OG3718.out_yn00,0.19145
48,OG8941.out_yn00,0.2656
49,OG16083.out_yn00,0.0881
50,OG8383.out_yn00,0.189
51,OG2818.out_yn00,0.0913
52,OG6573.out_yn00,0.1732
53,OG4278.out_yn00,0.3539
54,OG2164.out_yn00,0.0884
55,OG14748.out_yn00,0.2829
56,OG3532.out_yn00,0.2
57,OG5137.out_yn00,0.2311
58,OG2649.out_yn00,0.1258
59,OG12195.out_yn00,0.1551
60,OG13695.out_yn00,0.1295
61,OG14549.out_yn00,0.1692
62,OG15427.out_yn00,0.2146
63,OG5927.out_yn00,0.3445
64,OG9626.out_yn00,0.2561
65,OG1370.out_yn00,0.0923
66,OG12828.out_yn00,0.28695000000000004
67,OG5962.out_yn00,0.1429
68,OG13284.out_yn00,0.103
69,OG16078.out_yn00,0.0924
70,OG12748.out_yn00,0.19535000000000002
71,OG5191.out_yn00,0.2409
72,OG13289.out_yn00,0.1833
73,OG18026.out_yn00,0.0601
74,OG11403.out_yn00,0.1824
75,OG2971.out_yn00,0.1628
76,OG1325.out_yn00,0.0571
77,OG8269.out_yn00,0.19055
78,OG12406.out_yn00,0.172
79,OG10096.out_yn00,0.1517
80,OG10331.out_yn00,0.3393
81,OG6914.out_yn00,0.19075
82,OG4195.out_yn00,0.1992
83,OG2942.out_yn00,0.0456
84,OG12647.out_yn00,0.43355
85,OG6621.out_yn00,0.1602
86,OG11967.out_yn00,0.1871
87,OG14236.out_yn00,0.247
88,OG11140.out_yn00,0.4535
89,OG18278.out_yn00,0.1866
90,OG6443.out_yn00,0.1461
91,OG3847.out_yn00,0.07225000000000001
92,OG16006.out_yn00,0.4303
93,OG14618.out_yn00,0.20755
94,OG17537.out_yn00,0.2596
95,OG18707.out_yn00,0.1873
96,OG11110.out_yn00,0.28805000000000003
97,OG14589.out_yn00,0.1748
98,OG6076.out_yn00,0.1248
99,OG4065.out_yn00,0.1858
100,OG5269.out_yn00,0.2612
101,OG9688.out_yn00,0.23895
102,OG16163.out_yn00,0.1849
103,OG8548.out_yn00,0.17055
104,OG8373.out_yn00,0.0792
105,OG8532.out_yn00,0.2775
106,OG6021.out_yn00,0.2885
107,OG6152.out_yn00,0.25575000000000003
108,OG17417.out_yn00,0.1531
109,OG3276.out_yn00,0.1205
110,OG11344.out_yn00,0.28
111,OG1444.out_yn00,0.0372
112,OG4759.out_yn00,0.1011
113,OG11457.out_yn00,0.2178
114,OG8093.out_yn00,0.2937
115,OG13134.out_yn00,0.25525
116,OG7091.out_yn00,0.2534
117,OG17540.out_yn00,0.1383
118,OG15382.out_yn00,0.15860000000000002
119,OG4653.out_yn00,0.1392
120,OG15687.out_yn00,0.22445
121,OG8315.out_yn00,0.1419
122,OG17522.out_yn00,0.1471
123,OG14081.out_yn00,0.2338
124,OG12281.out_yn00,0.26844999999999997
125,OG8498.out_yn00,0.2351
126,OG16156.out_yn00,0.45345
127,OG16196.out_yn00,0.22585
128,OG4699.out_yn00,0.2526
129,OG16231.out_yn00,0.15544999999999998
130,OG5446.out_yn00,0.16494999999999999
131,OG6283.out_yn00,0.09795000000000001
132,OG16183.out_yn00,0.13740000000000002
133,OG4175.out_yn00,0.2025
134,OG3415.out_yn00,0.2318
135,OG14028.out_yn00,0.205
136,OG5827.out_yn00,0.36125
137,OG1314.out_yn00,0.1078
138,OG1934.out_yn00,0.0774
139,OG14560.out_yn00,0.11085
140,OG13839.out_yn00,0.29369999999999996
141,OG10641.out_yn00,0.2945
142,OG16332.out_yn00,0.1882
143,OG8684.out_yn00,0.3555
144,OG2894.out_yn00,0.1418
145,OG11224.out_yn00,0.17955
146,OG9757.out_yn00,0.19655
147,OG8227.out_yn00,0.0798
148,OG4639.out_yn00,0.269
149,OG5814.out_yn00,0.11595
150,OG14848.out_yn00,0.2002
151,OG11747.out_yn00,0.12295
152,OG3861.out_yn00,0.1152
153,OG5444.out_yn00,0.0865
154,OG14494.out_yn00,0.08249999999999999
155,OG5629.out_yn00,0.1841
156,OG8454.out_yn00,0.1047
157,OG1637.out_yn00,0.0541
158,OG9005.out_yn00,0.11645
159,OG14397.out_yn00,0.20035
160,OG8251.out_yn00,0.23075
161,OG1465.out_yn00,0.0923
162,OG10151.out_yn00,0.2092
163,OG6976.out_yn00,0.1199
164,OG9650.out_yn00,0.1994
165,OG6454.out_yn00,0.20465
166,OG2047.out_yn00,0.093
167,OG14448.out_yn00,0.2296
168,OG15417.out_yn00,0.17405
169,OG17401.out_yn00,0.1121
170,OG11789.out_yn00,0.3267
171,OG10559.out_yn00,0.19835
172,OG16685.out_yn00,0.207
173,OG7385.out_yn00,0.104
174,OG17177.out_yn00,0.3557
175,OG3310.out_yn00,0.1093
176,OG4790.out_yn00,0.1777
177,OG18358.out_yn00,0.2818
178,OG13173.out_yn00,0.1317
179,OG3145.out_yn00,0.0952
180,OG1750.out_yn00,0.0476
181,OG8755.out_yn00,0.1989
182,OG7670.out_yn00,0.3276
183,OG5021.out_yn00,0.0695
184,OG8937.out_yn00,0.1932
185,OG4159.out_yn00,0.1242
186,OG6882.out_yn00,0.2649
187,OG15320.out_yn00,0.2063
188,OG11051.out_yn00,0.26005
189,OG10852.out_yn00,0.2257
190,OG2878.out_yn00,0.0933
191,OG2165.out_yn00,0.0875
192,OG16719.out_yn00,0.1367
193,OG4400.out_yn00,0.1746
194,OG10012.out_yn00,0.26885000000000003
195,OG2415.out_yn00,0.2457
196,OG2266.out_yn00,0.1506
197,OG9396.out_yn00,0.1888
198,OG9905.out_yn00,0.2284
199,OG1453.out_yn00,0.046
200,OG17095.out_yn00,0.1543
201,OG4089.out_yn00,0.1403
202,OG18534.out_yn00,0.4193
203,OG8464.out_yn00,0.3518
204,OG10810.out_yn00,0.2433
205,OG8128.out_yn00,0.2627
206,OG12487.out_yn00,0.1565
207,OG4404.out_yn00,0.3178
208,OG11440.out_yn00,0.215
209,OG6862.out_yn00,0.12245
210,OG7233.out_yn00,0.1602
211,OG15037.out_yn00,0.186
212,OG16397.out_yn00,0.1736
213,OG9230.out_yn00,0.2562
214,OG13248.out_yn00,0.1177
215,OG4244.out_yn00,0.1034
216,OG18178.out_yn00,0.3994
217,OG5276.out_yn00,0.182
218,OG15150.out_yn00,0.2308
219,OG3362.out_yn00,0.064
220,OG15920.out_yn00,0.1503
221,OG4680.out_yn00,0.1266
222,OG7035.out_yn00,0.2291
223,OG5338.out_yn00,0.0905
224,OG4269.out_yn00,0.1308
225,OG12350.out_yn00,0.24155
226,OG13690.out_yn00,0.092
227,OG2598.out_yn00,0.1373
228,OG8133.out_yn00,0.3321
229,OG13320.out_yn00,0.4237
230,OG7770.out_yn00,0.1898
231,OG2186.out_yn00,0.0859
232,OG10760.out_yn00,0.2146
233,OG13090.out_yn00,0.1591
234,OG16024.out_yn00,0.30495
235,OG17390.out_yn00,0.1254
236,OG5567.out_yn00,0.06625
237,OG8032.out_yn00,0.1699
238,OG4452.out_yn00,0.212
239,OG14837.out_yn00,0.33905
240,OG6110.out_yn00,0.1701
241,OG7510.out_yn00,0.2894
242,OG16088.out_yn00,0.3509
243,OG9383.out_yn00,0.397
244,OG18153.out_yn00,0.1029
245,OG18391.out_yn00,0.3378
246,OG15750.out_yn00,0.20534999999999998
247,OG9020.out_yn00,0.1502
248,OG18004.out_yn00,0.2444
249,OG1408.out_yn00,0.1152
250,OG14799.out_yn00,0.1519
251,OG4758.out_yn00,0.1588
252,OG5487.out_yn00,0.2348
253,OG7401.out_yn00,0.1518
254,OG8262.out_yn00,0.05765
255,OG5864.out_yn00,0.2559
256,OG6059.out_yn00,0.1767
257,OG7803.out_yn00,0.2301
258,OG8525.out_yn00,0.2898
259,OG4539.out_yn00,0.1796
260,OG7328.out_yn00,0.4558
261,OG12444.out_yn00,0.5025
262,OG15451.out_yn00,0.4341
263,OG12507.out_yn00,0.2167
264,OG8398.out_yn00,0.2622
265,OG6726.out_yn00,0.13615
266,OG5113.out_yn00,0.2226
267,OG5175.out_yn00,0.2473
268,OG8676.out_yn00,0.23055
269,OG5979.out_yn00,0.13305
270,OG17439.out_yn00,0.1274
271,OG14463.out_yn00,0.33475
272,OG7505.out_yn00,0.0959
273,OG10734.out_yn00,0.17125
274,OG4198.out_yn00,0.2528
275,OG14912.out_yn00,0.12555
276,OG9848.out_yn00,0.26065
277,OG6367.out_yn00,0.1644
278,OG2628.out_yn00,0.1167
279,OG5142.out_yn00,0.1461
280,OG16831.out_yn00,0.18725
281,OG8867.out_yn00,0.3089
282,OG14788.out_yn00,0.15744999999999998
283,OG10866.out_yn00,0.1987
284,OG6766.out_yn00,0.1851
285,OG7718.out_yn00,0.24309999999999998
286,OG8971.out_yn00,0.2836
287,OG4609.out_yn00,0.0925
288,OG14405.out_yn00,0.21889999999999998
289,OG10125.out_yn00,0.2004
290,OG16638.out_yn00,0.1498
291,OG15477.out_yn00,0.16365000000000002
292,OG2495.out_yn00,0.0616
293,OG3635.out_yn00,0.136
294,OG17186.out_yn00,0.3204
295,OG7833.out_yn00,0.1629
296,OG3637.out_yn00,0.175
297,OG11796.out_yn00,0.1812
298,OG1652.out_yn00,0.106
299,OG9922.out_yn00,0.2017
300,OG2828.out_yn00,0.067
301,OG10617.out_yn00,0.4036
302,OG2465.out_yn00,0.0585
303,OG13813.out_yn00,0.2422
304,OG16202.out_yn00,0.2612
305,OG14273.out_yn00,0.2111
306,OG4485.out_yn00,0.1224
307,OG13730.out_yn00,0.06985
308,OG13067.out_yn00,0.1117
309,OG3647.out_yn00,0.1604
310,OG12654.out_yn00,0.18475
311,OG16717.out_yn00,0.17335
312,OG17973.out_yn00,0.1688
313,OG18258.out_yn00,0.1322
314,OG16772.out_yn00,0.1555
315,OG10046.out_yn00,0.1705
316,OG3354.out_yn00,0.0993
317,OG14810.out_yn00,0.1607
318,OG2706.out_yn00,0.1105
319,OG16506.out_yn00,0.1243
320,OG10329.out_yn00,0.0783
321,OG5288.out_yn00,0.1217
322,OG3501.out_yn00,0.2384
323,OG5544.out_yn00,0.16945
324,OG8171.out_yn00,0.1118
325,OG7347.out_yn00,0.365
326,OG12517.out_yn00,0.30155
327,OG13421.out_yn00,0.2293
328,OG1777.out_yn00,0.0278
329,OG3968.out_yn00,0.1004
330,OG8457.out_yn00,0.2671
331,OG2006.out_yn00,0.1731
332,OG8176.out_yn00,0.2396
333,OG8653.out_yn00,0.0924
334,OG9026.out_yn00,0.19155
335,OG14461.out_yn00,0.3385
336,OG3028.out_yn00,0.1749
337,OG17581.out_yn00,0.0436
338,OG18152.out_yn00,0.1574
339,OG12636.out_yn00,0.2869
340,OG6064.out_yn00,0.21234999999999998
341,OG9161.out_yn00,0.6642
342,OG14298.out_yn00,0.47635
343,OG14266.out_yn00,0.1668
344,OG12243.out_yn00,0.22275
345,OG1246.out_yn00,0.0624
346,OG14672.out_yn00,0.21534999999999999
347,OG18466.out_yn00,0.2987
348,OG11719.out_yn00,0.1782
349,OG2476.out_yn00,0.15695
350,OG9670.out_yn00,0.2652
351,OG6349.out_yn00,0.2079
352,OG17103.out_yn00,0.1691
353,OG13531.out_yn00,0.1287
354,OG16097.out_yn00,0.1607
355,OG5108.out_yn00,0.19190000000000002
356,OG12622.out_yn00,0.18380000000000002
357,OG7113.out_yn00,0.19435000000000002
358,OG6771.out_yn00,0.2737
359,OG2145.out_yn00,0.0994
360,OG1758.out_yn00,0.0887
361,OG5488.out_yn00,0.2617
362,OG5633.out_yn00,0.1608
363,OG5036.out_yn00,0.364
364,OG1812.out_yn00,0.0429
365,OG12929.out_yn00,0.31855
366,OG12627.out_yn00,0.20415
367,OG17324.out_yn00,0.2982
368,OG5495.out_yn00,0.11
369,OG18333.out_yn00,0.3074
370,OG4286.out_yn00,0.1632
371,OG9497.out_yn00,0.1606
372,OG3275.out_yn00,0.1764
373,OG17347.out_yn00,0.1745
374,OG5720.out_yn00,0.2572
375,OG8715.out_yn00,0.1727
376,OG9063.out_yn00,0.1612
377,OG12018.out_yn00,0.47605
378,OG15673.out_yn00,0.46099999999999997
379,OG16698.out_yn00,0.2075
380,OG15389.out_yn00,0.0658
381,OG7598.out_yn00,0.1568
382,OG1689.out_yn00,0.0509
383,OG6937.out_yn00,0.1473
384,OG4479.out_yn00,0.0779
385,OG16613.out_yn00,0.2909
386,OG5433.out_yn00,0.1698
387,OG15542.out_yn00,0.11035
388,OG11432.out_yn00,0.20435
389,OG4297.out_yn00,0.0536
390,OG4793.out_yn00,0.1164
391,OG4450.out_yn00,0.162
392,OG12538.out_yn00,0.28735
