,OG,dN_dS
0,YAL001C.out_yn00,0.1773
1,YAL002W.out_yn00,0.0959
2,YAL003W.out_yn00,1.4155
3,YAL004W.out_yn00,1.5045
4,YAL005C.out_yn00,0.0
5,YAL007C.out_yn00,0.0
6,YAL008W.out_yn00,0.4446
7,YAL009W.out_yn00,0.0
8,YAL010C.out_yn00,0.0977
9,YAL011W.out_yn00,0.0
10,YAL012W.out_yn00,0.0
11,YAL013W.out_yn00,0.0
12,YAL014C.out_yn00,0.4905
13,YAL015C.out_yn00,0.0
14,YAL016W.out_yn00,0.0
15,YAL017W.out_yn00,0.1603
16,YAL018C.out_yn00,0.0
17,YAL019W.out_yn00,1.5777
18,YAL020C.out_yn00,0.0
19,YAL021C.out_yn00,0.0471
20,YAL022C.out_yn00,0.0
21,YAL023C.out_yn00,0.1045
22,YAL024C.out_yn00,0.058550000000000005
23,YAL025C.out_yn00,0.0
24,YAL026C.out_yn00,0.0408
25,YAL027W.out_yn00,0.0
26,YAL028W.out_yn00,0.2008
27,YAL029C.out_yn00,0.3148
28,YAL030W.out_yn00,0.9227
29,YAL031C.out_yn00,0.1386
30,YAL032C.out_yn00,0.0
31,YAL033W.out_yn00,0.0
32,YAL034C.out_yn00,0.4276
33,YAL035W.out_yn00,0.06155
34,YAL036C.out_yn00,0.0
35,YAL037W.out_yn00,0.4687
36,YAL038W.out_yn00,0.0
37,YAL039C.out_yn00,0.1187
38,YAL040C.out_yn00,0.1108
39,YAL041W.out_yn00,0.0554
40,YAL042W.out_yn00,0.0
41,YAL043C.out_yn00,0.1469
42,YAL044C.out_yn00,0.0
43,YAL045C.out_yn00,0.0
44,YAL046C.out_yn00,0.0
45,YAL047C.out_yn00,0.0851
46,YAL048C.out_yn00,0.0
47,YAL049C.out_yn00,0.0
48,YAL051W.out_yn00,0.1147
49,YAL053W.out_yn00,0.2222
50,YAL054C.out_yn00,0.0371
51,YAL055W.out_yn00,0.3303
52,YAL056W.out_yn00,0.21739999999999998
53,YAL058W.out_yn00,0.1857
54,YAL059W.out_yn00,0.0
55,YAL060W.out_yn00,0.0611
56,YAL061W.out_yn00,1.0293
57,YAL062W.out_yn00,0.0
58,YAL063C.out_yn00,2.2763
59,YAL064W.out_yn00,1.1612
60,YAL065C.out_yn00,0.1883
61,YAL066W.out_yn00,1.6631
62,YAL067C.out_yn00,1.0804
63,YAL068C.out_yn00,1.1813
64,YAL069W.out_yn00,2.3487
65,YAR002W.out_yn00,0.1797
66,YAR003W.out_yn00,0.1546
67,YAR007C.out_yn00,1.4497
68,YAR008W.out_yn00,0.0
69,YAR014C.out_yn00,0.125
70,YAR015W.out_yn00,0.0
71,YAR018C.out_yn00,0.0
72,YAR019C.out_yn00,0.0
73,YAR020C.out_yn00,0.4451
74,YAR023C.out_yn00,2.2304
75,YAR027W.out_yn00,0.2582
76,YAR028W.out_yn00,1.2787
77,YAR029W.out_yn00,0.5561
78,YAR030C.out_yn00,0.9361
79,YAR031W.out_yn00,1.0701
80,YAR033W.out_yn00,1.1377
81,YAR035W.out_yn00,0.8381
82,YAR042W.out_yn00,0.1557
83,YAR047C.out_yn00,
84,YAR050W.out_yn00,0.6192
85,YAR053W.out_yn00,1.661
86,YAR060C.out_yn00,
87,YAR064W.out_yn00,0.9389
88,YAR066W.out_yn00,0.0
89,YAR068W.out_yn00,0.0
90,YAR069C.out_yn00,0.3631
91,YAR070C.out_yn00,0.383
92,YAR071W.out_yn00,0.0
93,YAR073W.out_yn00,1.3795
94,YAR075W.out_yn00,0.0
95,YBL001C.out_yn00,0.0
96,YBL002W.out_yn00,0.0
97,YBL003C.out_yn00,0.0
98,YBL004W.out_yn00,0.1612
99,YBL005W.out_yn00,1.3623
100,YBL006C.out_yn00,0.0
101,YBL007C.out_yn00,0.1185
102,YBL008W.out_yn00,0.093
103,YBL009W.out_yn00,0.2185
104,YBL010C.out_yn00,0.0793
105,YBL011W.out_yn00,0.1333
106,YBL012C.out_yn00,0.5006
107,YBL013W.out_yn00,0.28965
108,YBL014C.out_yn00,0.123
109,YBL015W.out_yn00,0.0
110,YBL016W.out_yn00,0.0
111,YBL017C.out_yn00,0.4279
112,YBL018C.out_yn00,0.8169
113,YBL019W.out_yn00,0.1593
114,YBL020W.out_yn00,0.0
115,YBL021C.out_yn00,0.0
116,YBL022C.out_yn00,0.1916
117,YBL023C.out_yn00,0.0
118,YBL024W.out_yn00,0.0824
119,YBL025W.out_yn00,0.0
120,YBL026W.out_yn00,0.5589
121,YBL027W.out_yn00,1.4291
122,YBL028C.out_yn00,0.2486
123,YBL029W.out_yn00,0.0
124,YBL030C.out_yn00,0.0
125,YBL031W.out_yn00,0.2116
126,YBL032W.out_yn00,0.0
127,YBL033C.out_yn00,0.0
128,YBL034C.out_yn00,0.1821
129,YBL035C.out_yn00,2.6671
130,YBL036C.out_yn00,0.0
131,YBL037W.out_yn00,0.0481
132,YBL038W.out_yn00,0.0
133,YBL039C.out_yn00,0.0
134,YBL040C.out_yn00,0.6305
135,YBL041W.out_yn00,0.0
136,YBL042C.out_yn00,1.278
137,YBL043W.out_yn00,0.2051
138,YBL044W.out_yn00,1.8899
139,YBL045C.out_yn00,2.4368
140,YBL046W.out_yn00,0.3499
141,YBL047C.out_yn00,1.4007
142,YBL048W.out_yn00,0.8705
143,YBL049W.out_yn00,0.0
144,YBL050W.out_yn00,1.7376
145,YBL051C.out_yn00,0.0969
146,YBL052C.out_yn00,1.1148
147,YBL053W.out_yn00,0.0
148,YBL054W.out_yn00,1.1016
149,YBL055C.out_yn00,0.3624
150,YBL056W.out_yn00,0.0
151,YBL057C.out_yn00,0.0
152,YBL058W.out_yn00,0.0
153,YBL059W.out_yn00,0.34645000000000004
154,YBL060W.out_yn00,0.1855
155,YBL061C.out_yn00,0.3239
156,YBL062W.out_yn00,0.0
157,YBL063W.out_yn00,0.3191
158,YBL064C.out_yn00,0.0
159,YBL065W.out_yn00,0.9636
160,YBL066C.out_yn00,0.2275
161,YBL067C.out_yn00,0.1104
162,YBL068W.out_yn00,0.0
163,YBL069W.out_yn00,0.1952
164,YBL070C.out_yn00,1.526
165,YBL071C.out_yn00,1.0472
166,YBL072C.out_yn00,0.8846
167,YBL073W.out_yn00,0.6584
168,YBL074C.out_yn00,0.1909
169,YBL075C.out_yn00,0.8975
170,YBL076C.out_yn00,0.0
171,YBL077W.out_yn00,0.0
172,YBL078C.out_yn00,0.0
173,YBL079W.out_yn00,0.1161
174,YBL080C.out_yn00,0.2012
175,YBL081W.out_yn00,0.2725
176,YBL082C.out_yn00,0.1493
177,YBL083C.out_yn00,0.4478
178,YBL084C.out_yn00,0.0
179,YBL085W.out_yn00,0.0821
180,YBL086C.out_yn00,0.0
181,YBL087C.out_yn00,1.4117
