,OG,dN_dS
0,OG8384.out_yn00,0.1916
1,OG13001.out_yn00,0.1689
2,OG18405.out_yn00,0.3205
3,OG15354.out_yn00,0.2552
4,OG2176.out_yn00,0.0798
5,OG12299.out_yn00,0.0664
6,OG8016.out_yn00,0.1036
7,OG3717.out_yn00,0.1166
8,OG15788.out_yn00,0.2441
9,OG3802.out_yn00,0.23
10,OG1516.out_yn00,0.0289
11,OG4950.out_yn00,0.11945
12,OG14805.out_yn00,0.14255
13,OG2455.out_yn00,0.05355
14,OG4173.out_yn00,0.1205
15,OG1200.out_yn00,0.1007
16,OG11661.out_yn00,0.2757
17,OG7673.out_yn00,0.0917
18,OG11297.out_yn00,0.1714
19,OG4041.out_yn00,0.3051
20,OG3896.out_yn00,0.1207
21,OG4436.out_yn00,0.0808
22,OG10627.out_yn00,0.164
23,OG6426.out_yn00,0.1682
24,OG16100.out_yn00,0.12345
25,OG9958.out_yn00,0.1472
26,OG3480.out_yn00,0.06945000000000001
27,OG4804.out_yn00,0.2996
28,OG15631.out_yn00,0.1799
29,OG5194.out_yn00,0.1665
30,OG3347.out_yn00,0.1054
31,OG9435.out_yn00,0.1221
32,OG15282.out_yn00,0.13515
33,OG6069.out_yn00,0.1896
34,OG9918.out_yn00,0.32355
35,OG7604.out_yn00,0.164
36,OG3371.out_yn00,0.1474
37,OG17582.out_yn00,0.2409
38,OG16467.out_yn00,0.15325
39,OG8533.out_yn00,0.19190000000000002
40,OG15711.out_yn00,0.15639999999999998
41,OG18627.out_yn00,0.2311
42,OG9335.out_yn00,0.3247
43,OG11359.out_yn00,0.1388
44,OG11025.out_yn00,0.1281
45,OG7126.out_yn00,0.1225
46,OG8119.out_yn00,0.1654
47,OG3718.out_yn00,0.1885
48,OG8941.out_yn00,0.2158
49,OG16083.out_yn00,0.0881
50,OG8383.out_yn00,0.1895
51,OG2818.out_yn00,0.0923
52,OG6573.out_yn00,0.1732
53,OG4278.out_yn00,0.4102
54,OG2164.out_yn00,0.0809
55,OG14748.out_yn00,0.2829
56,OG3532.out_yn00,0.1917
57,OG5137.out_yn00,0.25734999999999997
58,OG2649.out_yn00,0.1261
59,OG12195.out_yn00,0.1551
60,OG13695.out_yn00,0.1295
61,OG14549.out_yn00,0.1692
62,OG15427.out_yn00,0.2146
63,OG5927.out_yn00,0.36395
64,OG9626.out_yn00,0.2561
65,OG1370.out_yn00,0.0918
66,OG12828.out_yn00,0.33065
67,OG5962.out_yn00,0.1507
68,OG13284.out_yn00,0.103
69,OG16078.out_yn00,0.0924
70,OG12748.out_yn00,0.19535000000000002
71,OG5191.out_yn00,0.2391
72,OG13289.out_yn00,0.1833
73,OG18026.out_yn00,0.0601
74,OG11403.out_yn00,0.1824
75,OG2971.out_yn00,0.1658
76,OG1325.out_yn00,0.0608
77,OG8269.out_yn00,0.19055
78,OG12406.out_yn00,0.172
79,OG10096.out_yn00,0.1517
80,OG10331.out_yn00,0.3393
81,OG6914.out_yn00,0.19075
82,OG4195.out_yn00,0.1999
83,OG2942.out_yn00,0.0458
84,OG12647.out_yn00,0.43355
85,OG6621.out_yn00,0.1602
86,OG11967.out_yn00,0.1871
87,OG14236.out_yn00,0.247
88,OG11140.out_yn00,0.4535
89,OG18278.out_yn00,0.1866
90,OG6443.out_yn00,0.1461
91,OG3847.out_yn00,0.07135
92,OG16006.out_yn00,0.4303
93,OG9712.out_yn00,0.3317
94,OG14618.out_yn00,0.20755
95,OG17537.out_yn00,0.2596
96,OG18707.out_yn00,0.1873
97,OG11110.out_yn00,0.28805000000000003
98,OG14589.out_yn00,0.1748
99,OG6076.out_yn00,0.1393
100,OG4065.out_yn00,0.1284
101,OG5269.out_yn00,0.2527
102,OG9688.out_yn00,0.23895
103,OG16163.out_yn00,0.1849
104,OG8548.out_yn00,0.17055
105,OG8373.out_yn00,0.0859
106,OG8532.out_yn00,0.2775
107,OG6021.out_yn00,0.3004
108,OG6152.out_yn00,0.2546
109,OG17417.out_yn00,0.1531
110,OG3276.out_yn00,0.04735
111,OG11344.out_yn00,0.28
112,OG1444.out_yn00,0.03515
113,OG4759.out_yn00,0.0989
114,OG11457.out_yn00,0.2165
115,OG8093.out_yn00,0.2543
116,OG13134.out_yn00,0.25525
117,OG7091.out_yn00,0.2534
118,OG17540.out_yn00,0.1383
119,OG15382.out_yn00,0.15860000000000002
120,OG4653.out_yn00,0.1335
121,OG15687.out_yn00,0.22445
122,OG8315.out_yn00,0.1419
123,OG17522.out_yn00,0.1471
124,OG14081.out_yn00,0.2338
125,OG12281.out_yn00,0.26844999999999997
126,OG8498.out_yn00,0.2351
127,OG16156.out_yn00,0.45345
128,OG16196.out_yn00,0.22585
129,OG4699.out_yn00,0.2561
130,OG16231.out_yn00,0.15544999999999998
131,OG5446.out_yn00,0.1673
132,OG6283.out_yn00,0.09755
133,OG16183.out_yn00,0.13740000000000002
134,OG4175.out_yn00,0.1977
135,OG3415.out_yn00,0.2273
136,OG14028.out_yn00,0.205
137,OG5827.out_yn00,0.36825
138,OG8692.out_yn00,0.08035
139,OG1314.out_yn00,0.1063
140,OG1934.out_yn00,0.0798
141,OG14560.out_yn00,0.11085
142,OG13839.out_yn00,0.29369999999999996
143,OG10641.out_yn00,0.2852
144,OG16332.out_yn00,0.1928
145,OG8684.out_yn00,0.3555
146,OG2894.out_yn00,0.1399
147,OG11224.out_yn00,0.17955
148,OG9757.out_yn00,0.1984
149,OG8227.out_yn00,0.0798
150,OG4639.out_yn00,0.2642
151,OG5814.out_yn00,0.1177
152,OG14848.out_yn00,0.2002
153,OG11747.out_yn00,0.12295
154,OG3861.out_yn00,0.1137
155,OG5444.out_yn00,0.0865
156,OG14494.out_yn00,0.08249999999999999
157,OG5629.out_yn00,0.18185
158,OG8454.out_yn00,0.1047
159,OG1637.out_yn00,0.0606
160,OG9005.out_yn00,0.10775
161,OG14397.out_yn00,0.20035
162,OG8251.out_yn00,0.2352
163,OG1465.out_yn00,0.0537
164,OG10151.out_yn00,0.2092
165,OG6976.out_yn00,0.1141
166,OG9650.out_yn00,0.1957
167,OG6454.out_yn00,0.21245
168,OG2047.out_yn00,0.0949
169,OG7727.out_yn00,0.24359999999999998
170,OG14448.out_yn00,0.2296
171,OG15417.out_yn00,0.17405
172,OG17401.out_yn00,0.1121
173,OG11789.out_yn00,0.3258
174,OG10559.out_yn00,0.19835
175,OG16685.out_yn00,0.2838
176,OG7385.out_yn00,0.104
177,OG17177.out_yn00,0.3557
178,OG3310.out_yn00,0.0786
179,OG4790.out_yn00,0.1666
180,OG18358.out_yn00,0.2818
181,OG13173.out_yn00,0.1317
182,OG3145.out_yn00,0.0994
183,OG1750.out_yn00,0.0476
184,OG8755.out_yn00,0.1989
185,OG5816.out_yn00,0.1995
186,OG7670.out_yn00,0.3276
187,OG5021.out_yn00,0.068
188,OG8937.out_yn00,0.18414999999999998
189,OG4159.out_yn00,0.1287
190,OG6882.out_yn00,0.2649
191,OG15320.out_yn00,0.2063
192,OG11051.out_yn00,0.26005
193,OG10852.out_yn00,0.238
194,OG4464.out_yn00,0.30545
195,OG2878.out_yn00,0.0948
196,OG2165.out_yn00,0.0889
197,OG16719.out_yn00,0.1367
198,OG4400.out_yn00,0.1762
199,OG10012.out_yn00,0.26885000000000003
200,OG2415.out_yn00,0.2307
201,OG2266.out_yn00,0.1665
202,OG9396.out_yn00,0.1888
203,OG9905.out_yn00,0.2284
204,OG1453.out_yn00,0.0471
205,OG17095.out_yn00,0.1543
206,OG4089.out_yn00,0.1438
207,OG18534.out_yn00,0.4193
208,OG8464.out_yn00,0.3518
209,OG10810.out_yn00,0.2433
210,OG8128.out_yn00,0.2627
211,OG12487.out_yn00,0.1565
212,OG4404.out_yn00,0.3123
213,OG11440.out_yn00,0.215
214,OG6862.out_yn00,0.12245
215,OG7233.out_yn00,0.1602
216,OG15037.out_yn00,0.186
217,OG2992.out_yn00,0.1014
218,OG16397.out_yn00,0.1736
219,OG9230.out_yn00,0.2567
220,OG13248.out_yn00,0.1177
221,OG4244.out_yn00,0.1037
222,OG18178.out_yn00,0.3994
223,OG11704.out_yn00,0.1846
224,OG5276.out_yn00,0.1938
225,OG15150.out_yn00,0.2308
226,OG3362.out_yn00,0.0627
227,OG15920.out_yn00,0.1503
228,OG4680.out_yn00,0.1269
229,OG7035.out_yn00,0.2446
230,OG5338.out_yn00,0.0676
231,OG4269.out_yn00,0.1307
232,OG12350.out_yn00,0.23305
233,OG13690.out_yn00,0.092
234,OG2598.out_yn00,0.1614
235,OG8133.out_yn00,0.3321
236,OG13320.out_yn00,0.4237
237,OG7770.out_yn00,0.1898
238,OG2186.out_yn00,0.086
239,OG10760.out_yn00,0.2146
240,OG13090.out_yn00,0.1591
241,OG16024.out_yn00,0.30495
242,OG17390.out_yn00,0.1254
243,OG5567.out_yn00,0.06609999999999999
244,OG8032.out_yn00,0.1712
245,OG4452.out_yn00,0.2181
246,OG14837.out_yn00,0.33905
247,OG6110.out_yn00,0.1722
248,OG7510.out_yn00,0.2894
249,OG16088.out_yn00,0.3509
250,OG9383.out_yn00,0.397
251,OG18153.out_yn00,0.1029
252,OG18391.out_yn00,0.3378
253,OG9117.out_yn00,0.1864
254,OG15750.out_yn00,0.20534999999999998
255,OG9020.out_yn00,0.1502
256,OG18004.out_yn00,0.2444
257,OG1408.out_yn00,0.09775
258,OG14799.out_yn00,0.1519
259,OG4758.out_yn00,0.1222
260,OG2578.out_yn00,0.1608
261,OG5487.out_yn00,0.2334
262,OG7401.out_yn00,0.1518
263,OG8262.out_yn00,0.05765
264,OG5864.out_yn00,0.2621
265,OG6059.out_yn00,0.1767
266,OG7803.out_yn00,0.23
267,OG8525.out_yn00,0.2788
268,OG4539.out_yn00,0.1811
269,OG7328.out_yn00,0.4558
270,OG12444.out_yn00,0.5025
271,OG15451.out_yn00,0.4341
272,OG12507.out_yn00,0.2167
273,OG8398.out_yn00,0.2566
274,OG6726.out_yn00,0.13615
275,OG5113.out_yn00,0.2311
276,OG5175.out_yn00,0.2456
277,OG8676.out_yn00,0.24555
278,OG5979.out_yn00,0.1273
279,OG17439.out_yn00,0.1274
280,OG14463.out_yn00,0.33475
281,OG7505.out_yn00,0.0959
282,OG10734.out_yn00,0.17125
283,OG4198.out_yn00,0.2202
284,OG14912.out_yn00,0.12555
285,OG9848.out_yn00,0.2521
286,OG6367.out_yn00,0.18869999999999998
287,OG2628.out_yn00,0.109
288,OG5142.out_yn00,0.1682
289,OG16831.out_yn00,0.18725
290,OG8867.out_yn00,0.3189
291,OG14788.out_yn00,0.15744999999999998
292,OG10866.out_yn00,0.1987
293,OG6766.out_yn00,0.1851
294,OG7718.out_yn00,0.24309999999999998
295,OG8971.out_yn00,0.2836
296,OG4609.out_yn00,0.0931
297,OG14405.out_yn00,0.21889999999999998
298,OG10125.out_yn00,0.2004
299,OG16638.out_yn00,0.1498
300,OG15477.out_yn00,0.16365000000000002
301,OG2495.out_yn00,0.0674
302,OG3635.out_yn00,0.1374
303,OG17186.out_yn00,0.3204
304,OG7833.out_yn00,0.1629
305,OG3637.out_yn00,0.2096
306,OG11796.out_yn00,0.1812
307,OG1652.out_yn00,0.0981
308,OG9922.out_yn00,0.2017
309,OG2828.out_yn00,0.0671
310,OG10617.out_yn00,0.4036
311,OG2465.out_yn00,0.052
312,OG13813.out_yn00,0.2422
313,OG16202.out_yn00,0.2612
314,OG14273.out_yn00,0.2111
315,OG4485.out_yn00,0.1221
316,OG13730.out_yn00,0.06985
317,OG13067.out_yn00,0.1117
318,OG3647.out_yn00,0.185
319,OG12654.out_yn00,0.18475
320,OG16717.out_yn00,0.17335
321,OG17973.out_yn00,0.1688
322,OG18258.out_yn00,0.1322
323,OG16772.out_yn00,0.1555
324,OG10046.out_yn00,0.1672
325,OG3354.out_yn00,0.0949
326,OG14810.out_yn00,0.1607
327,OG2706.out_yn00,0.1095
328,OG16506.out_yn00,0.1243
329,OG3001.out_yn00,0.1843
330,OG10329.out_yn00,0.0783
331,OG5288.out_yn00,0.0852
332,OG3501.out_yn00,0.2346
333,OG5544.out_yn00,0.17145
334,OG8171.out_yn00,0.1118
335,OG7347.out_yn00,0.358
336,OG12517.out_yn00,0.30155
337,OG13421.out_yn00,0.2293
338,OG1777.out_yn00,0.0302
339,OG3968.out_yn00,0.0961
340,OG8457.out_yn00,0.2671
341,OG2006.out_yn00,0.1761
342,OG8176.out_yn00,0.2396
343,OG8653.out_yn00,0.0924
344,OG9026.out_yn00,0.19155
345,OG14461.out_yn00,0.3385
346,OG3028.out_yn00,0.1768
347,OG17581.out_yn00,0.0436
348,OG18152.out_yn00,0.1574
349,OG12636.out_yn00,0.2869
350,OG6064.out_yn00,0.21635
351,OG9161.out_yn00,0.6637
352,OG14298.out_yn00,0.4732
353,OG14266.out_yn00,0.1668
354,OG12243.out_yn00,0.22275
355,OG1246.out_yn00,0.0681
356,OG14672.out_yn00,0.21534999999999999
357,OG5817.out_yn00,0.46645000000000003
358,OG18466.out_yn00,0.2987
359,OG11719.out_yn00,0.1782
360,OG2476.out_yn00,0.1572
361,OG9670.out_yn00,0.2707
362,OG6349.out_yn00,0.20775
363,OG17103.out_yn00,0.1691
364,OG13531.out_yn00,0.1287
365,OG2579.out_yn00,0.0956
366,OG16097.out_yn00,0.1607
367,OG5108.out_yn00,0.1648
368,OG12622.out_yn00,0.18380000000000002
369,OG7113.out_yn00,0.1936
370,OG6771.out_yn00,0.2737
371,OG2145.out_yn00,0.0993
372,OG1758.out_yn00,0.0876
373,OG5488.out_yn00,0.2738
374,OG5633.out_yn00,0.15215
375,OG5036.out_yn00,0.6175
376,OG1812.out_yn00,0.0431
377,OG12929.out_yn00,0.31855
378,OG12627.out_yn00,0.20415
379,OG17324.out_yn00,0.2982
380,OG5495.out_yn00,0.1102
381,OG18333.out_yn00,0.3074
382,OG4286.out_yn00,0.1645
383,OG9497.out_yn00,0.1606
384,OG3275.out_yn00,0.1879
385,OG17347.out_yn00,0.1745
386,OG5720.out_yn00,0.2569
387,OG8715.out_yn00,0.1609
388,OG9063.out_yn00,0.1605
389,OG12018.out_yn00,0.47605
390,OG15673.out_yn00,0.46099999999999997
391,OG16698.out_yn00,0.2075
