,OG,conservation_score
0,OG6423_aa_aligned.fasta,0.528802
1,OG7721_aa_aligned.fasta,0.5805015
2,OG2820_aa_aligned.fasta,0.460235
3,OG1672_aa_aligned.fasta,0.4406695
4,OG2987_aa_aligned.fasta,0.43568
5,OG4121_aa_aligned.fasta,0.49660499999999996
6,OG1908_aa_aligned.fasta,0.43252199999999996
7,OG7434_aa_aligned.fasta,0.42568150000000005
8,OG2239_aa_aligned.fasta,0.354562
9,OG4917_aa_aligned.fasta,0.434365
10,OG2689_aa_aligned.fasta,0.402729
11,OG1826_aa_aligned.fasta,0.270069
12,OG2032_aa_aligned.fasta,0.710821
13,OG7002_aa_aligned.fasta,0.531364
14,OG4518_aa_aligned.fasta,0.49635700000000005
15,OG3255_aa_aligned.fasta,0.39482700000000004
16,OG2977_aa_aligned.fasta,0.5204205
17,OG2507_aa_aligned.fasta,0.458211
18,OG1241_aa_aligned.fasta,0.480776
19,OG1860_aa_aligned.fasta,0.5597035
20,OG4737_aa_aligned.fasta,0.390514
21,OG6220_aa_aligned.fasta,0.42854
22,OG2090_aa_aligned.fasta,0.5484205
23,OG6433_aa_aligned.fasta,0.544025
24,OG7045_aa_aligned.fasta,0.441117
25,OG2812_aa_aligned.fasta,0.458737
26,OG7661_aa_aligned.fasta,0.395085
27,OG2310_aa_aligned.fasta,0.40658550000000004
28,OG4269_aa_aligned.fasta,0.538584
29,OG3079_aa_aligned.fasta,0.44270299999999996
30,OG7042_aa_aligned.fasta,0.452489
31,OG3282_aa_aligned.fasta,0.389322
32,OG17113_aa_aligned.fasta,0.762068
33,OG1645_aa_aligned.fasta,0.610757
34,OG2818_aa_aligned.fasta,0.50591
35,OG3674_aa_aligned.fasta,0.622037
36,OG2638_aa_aligned.fasta,0.430467
37,OG1895_aa_aligned.fasta,0.626985
38,OG6763_aa_aligned.fasta,0.416018
39,OG2865_aa_aligned.fasta,0.41832
40,OG9489_aa_aligned.fasta,0.660301
41,OG2391_aa_aligned.fasta,0.6291370000000001
42,OG2331_aa_aligned.fasta,0.46652150000000003
43,OG4122_aa_aligned.fasta,0.633246
44,OG6285_aa_aligned.fasta,0.548983
