	Saccharomyces_cerevisiae	yHMPu5000035318_Hyphopichia_heimii
OG0000000	YDR134C	augustus_masked-NODE_150_length_17371_cov_32.0316_ID_38713-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_150_length_17371_cov_32.0316_ID_38713-processed-gene-0.11&CDS=1-2361, augustus_masked-NODE_270_length_1371_cov_58.0296_ID_30205-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_270_length_1371_cov_58.0296_ID_30205-processed-gene-0.2&CDS=1-1368, augustus_masked-NODE_291_length_976_cov_78.051_ID_38113-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_291_length_976_cov_78.051_ID_38113-processed-gene-0.1&CDS=1-975, augustus_masked-NODE_383_length_403_cov_63.5661_ID_156681-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_383_length_403_cov_63.5661_ID_156681-processed-gene-0.1&CDS=1-402, augustus_masked-NODE_59_length_67375_cov_28.3995_ID_38366-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_59_length_67375_cov_28.3995_ID_38366-processed-gene-0.31&CDS=1-1977, genemark-NODE_105_length_38056_cov_19.2652_ID_22360-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_105_length_38056_cov_19.2652_ID_22360-processed-gene-0.9&CDS=1-3888, genemark-NODE_204_length_7005_cov_28.6278_ID_37697-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_204_length_7005_cov_28.6278_ID_37697-processed-gene-0.0&CDS=1-1374, snap_masked-NODE_107_length_37549_cov_28.6581_ID_22797-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_107_length_37549_cov_28.6581_ID_22797-processed-gene-0.30&CDS=1-2997, snap_masked-NODE_132_length_25109_cov_31.4522_ID_37538-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_132_length_25109_cov_31.4522_ID_37538-processed-gene-0.9&CDS=1-3720, snap_masked-NODE_156_length_15393_cov_29.677_ID_23949-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_156_length_15393_cov_29.677_ID_23949-processed-gene-0.6&CDS=1-1950, snap_masked-NODE_207_length_6595_cov_32.0002_ID_28500-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_207_length_6595_cov_32.0002_ID_28500-processed-gene-0.5&CDS=1-2316, snap_masked-NODE_273_length_1361_cov_43.7695_ID_164680-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_273_length_1361_cov_43.7695_ID_164680-processed-gene-0.2&CDS=1-1326, snap_masked-NODE_41_length_97606_cov_16.8551_ID_17660-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_41_length_97606_cov_16.8551_ID_17660-processed-gene-0.91&CDS=1-642, snap_masked-NODE_53_length_81234_cov_16.3993_ID_17330-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_53_length_81234_cov_16.3993_ID_17330-processed-gene-0.88&CDS=1-771, snap_masked-NODE_90_length_42864_cov_21.6107_ID_29944-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_90_length_42864_cov_21.6107_ID_29944-processed-gene-0.46&CDS=1-1620
OG0000001	YKR064W, YLR256W	augustus_masked-NODE_101_length_39549_cov_29.7025_ID_25774-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_101_length_39549_cov_29.7025_ID_25774-processed-gene-0.10&CDS=1-1842, augustus_masked-NODE_183_length_10945_cov_17.1958_ID_25366-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_183_length_10945_cov_17.1958_ID_25366-processed-gene-0.5&CDS=1-2802, genemark-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_16_length_163134_cov_16.8983_ID_19337-processed-gene-0.128&CDS=1-6591, genemark-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-2.93-mRNA-1_1&gene=genemark-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-2.93&CDS=1-2160, maker-NODE_72_length_54127_cov_16.1238_ID_17706-snap-gene-0.83-mRNA-1_1&gene=maker-NODE_72_length_54127_cov_16.1238_ID_17706-snap-gene-0.83&CDS=1-6216, snap_masked-NODE_103_length_38898_cov_22.1995_ID_25639-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_103_length_38898_cov_22.1995_ID_25639-processed-gene-0.43&CDS=1-2430, snap_masked-NODE_196_length_8355_cov_16.8108_ID_177392-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_196_length_8355_cov_16.8108_ID_177392-processed-gene-0.0&CDS=1-2619, snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.140-mRNA-1_1&gene=snap_masked-NODE_21_length_143800_cov_19.6648_ID_24094-processed-gene-0.140&CDS=1-3078, snap_masked-NODE_72_length_54127_cov_16.1238_ID_17706-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_72_length_54127_cov_16.1238_ID_17706-processed-gene-0.59&CDS=1-3039, snap_masked-NODE_72_length_54127_cov_16.1238_ID_17706-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_72_length_54127_cov_16.1238_ID_17706-processed-gene-0.68&CDS=1-531, snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.41&CDS=1-2880, snap_masked-NODE_93_length_42404_cov_16.236_ID_18701-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_93_length_42404_cov_16.236_ID_18701-processed-gene-0.34&CDS=1-2805
OG0000002	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_10_length_207889_cov_17.328_ID_18435-processed-gene-0.57&CDS=1-1722, snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.177-mRNA-1_1&gene=snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.177&CDS=1-1755, snap_masked-NODE_39_length_104675_cov_24.4927_ID_26108-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_39_length_104675_cov_24.4927_ID_26108-processed-gene-0.132&CDS=1-1791, snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.7&CDS=1-1791, snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.0-mRNA-1_1&gene=snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.0&CDS=1-1734, snap_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.51&CDS=1-1851, snap_masked-NODE_83_length_47882_cov_17.9364_ID_18193-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_83_length_47882_cov_17.9364_ID_18193-processed-gene-0.2&CDS=1-1734, snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.33&CDS=1-1689
OG0000003	YDR541C, YOL151W	snap_masked-NODE_117_length_33968_cov_26.8801_ID_21843-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_117_length_33968_cov_26.8801_ID_21843-processed-gene-0.35&CDS=1-1020, snap_masked-NODE_124_length_29745_cov_16.3888_ID_22702-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_124_length_29745_cov_16.3888_ID_22702-processed-gene-0.39&CDS=1-1008, snap_masked-NODE_129_length_27369_cov_28.9528_ID_24194-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_129_length_27369_cov_28.9528_ID_24194-processed-gene-0.7&CDS=1-1005, snap_masked-NODE_130_length_25805_cov_31.8152_ID_24887-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_130_length_25805_cov_31.8152_ID_24887-processed-gene-0.6&CDS=1-1005, snap_masked-NODE_132_length_25109_cov_31.4522_ID_37538-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_132_length_25109_cov_31.4522_ID_37538-processed-gene-0.8&CDS=1-1005, snap_masked-NODE_147_length_18028_cov_36.5546_ID_27189-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_147_length_18028_cov_36.5546_ID_27189-processed-gene-0.4&CDS=1-1005, snap_masked-NODE_156_length_15393_cov_29.677_ID_23949-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_156_length_15393_cov_29.677_ID_23949-processed-gene-0.5&CDS=1-1008, snap_masked-NODE_207_length_6595_cov_32.0002_ID_28500-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_207_length_6595_cov_32.0002_ID_28500-processed-gene-0.4&CDS=1-1005, snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.26&CDS=1-996, snap_masked-NODE_4_length_299148_cov_21.5119_ID_28963-processed-gene-1.238-mRNA-1_1&gene=snap_masked-NODE_4_length_299148_cov_21.5119_ID_28963-processed-gene-1.238&CDS=1-1005, snap_masked-NODE_70_length_56902_cov_16.8509_ID_21647-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_70_length_56902_cov_16.8509_ID_21647-processed-gene-0.65&CDS=1-1008
OG0000004	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	
OG0000005	YJR061W, YKL201C	genemark-NODE_53_length_81234_cov_16.3993_ID_17330-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_53_length_81234_cov_16.3993_ID_17330-processed-gene-0.22&CDS=1-4866, genemark-NODE_86_length_45926_cov_19.0026_ID_26144-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_86_length_45926_cov_19.0026_ID_26144-processed-gene-0.48&CDS=1-2565, maker-NODE_113_length_35850_cov_16.6978_ID_25330-snap-gene-0.14-mRNA-1_1&gene=maker-NODE_113_length_35850_cov_16.6978_ID_25330-snap-gene-0.14&CDS=1-2649, snap_masked-NODE_12_length_180239_cov_16.75_ID_18367-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_12_length_180239_cov_16.75_ID_18367-processed-gene-0.21&CDS=1-2460, snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.104&CDS=1-2178, snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-2.25&CDS=1-2346, snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_3_length_307707_cov_19.6315_ID_16958-processed-gene-0.1&CDS=1-1791, snap_masked-NODE_86_length_45926_cov_19.0026_ID_26144-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_86_length_45926_cov_19.0026_ID_26144-processed-gene-0.9&CDS=1-2442
OG0000006	YPR194C	genemark-NODE_130_length_25805_cov_31.8152_ID_24887-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_130_length_25805_cov_31.8152_ID_24887-processed-gene-0.26&CDS=1-2754, maker-NODE_141_length_19496_cov_17.6152_ID_23537-snap-gene-0.15-mRNA-1_1&gene=maker-NODE_141_length_19496_cov_17.6152_ID_23537-snap-gene-0.15&CDS=1-5478, maker-NODE_59_length_67375_cov_28.3995_ID_38366-snap-gene-0.27-mRNA-1_1&gene=maker-NODE_59_length_67375_cov_28.3995_ID_38366-snap-gene-0.27&CDS=1-4995, snap_masked-NODE_129_length_27369_cov_28.9528_ID_24194-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_129_length_27369_cov_28.9528_ID_24194-processed-gene-0.6&CDS=1-2754, snap_masked-NODE_132_length_25109_cov_31.4522_ID_37538-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_132_length_25109_cov_31.4522_ID_37538-processed-gene-0.2&CDS=1-2736, snap_masked-NODE_150_length_17371_cov_32.0316_ID_38713-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_150_length_17371_cov_32.0316_ID_38713-processed-gene-0.16&CDS=1-2556, snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.108&CDS=1-2769, snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-0.92&CDS=1-2745, snap_masked-NODE_24_length_138614_cov_17.9272_ID_17090-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_24_length_138614_cov_17.9272_ID_17090-processed-gene-0.112&CDS=1-2679
OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-1.119-mRNA-1_1&gene=snap_masked-NODE_1_length_317107_cov_21.5492_ID_27152-processed-gene-1.119&CDS=1-1713, snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.164-mRNA-1_1&gene=snap_masked-NODE_23_length_138619_cov_16.8864_ID_25492-processed-gene-0.164&CDS=1-1698
OG0000008	YGR281W, YKR104W	augustus_masked-NODE_401_length_392_cov_0.988131_ID_32348-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_401_length_392_cov_0.988131_ID_32348-processed-gene-0.1&CDS=1-315, snap_masked-NODE_103_length_38898_cov_22.1995_ID_25639-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_103_length_38898_cov_22.1995_ID_25639-processed-gene-0.35&CDS=1-4074, snap_masked-NODE_12_length_180239_cov_16.75_ID_18367-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_12_length_180239_cov_16.75_ID_18367-processed-gene-0.73&CDS=1-4314, snap_masked-NODE_150_length_17371_cov_32.0316_ID_38713-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_150_length_17371_cov_32.0316_ID_38713-processed-gene-0.13&CDS=1-663, snap_masked-NODE_33_length_124481_cov_17.4528_ID_22026-processed-gene-0.136-mRNA-1_1&gene=snap_masked-NODE_33_length_124481_cov_17.4528_ID_22026-processed-gene-0.136&CDS=1-4833, snap_masked-NODE_47_length_89955_cov_17.0631_ID_19749-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_47_length_89955_cov_17.0631_ID_19749-processed-gene-0.65&CDS=1-4254, snap_masked-NODE_59_length_67375_cov_28.3995_ID_38366-processed-gene-0.20-mRNA-1_1&gene=snap_masked-NODE_59_length_67375_cov_28.3995_ID_38366-processed-gene-0.20&CDS=1-4269
OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_57_length_73979_cov_17.3397_ID_24856-snap-gene-0.75-mRNA-1_1&gene=maker-NODE_57_length_73979_cov_17.3397_ID_24856-snap-gene-0.75&CDS=1-2682, snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NODE_2_length_316506_cov_16.9557_ID_27379-processed-gene-1.86&CDS=1-1389, snap_masked-NODE_43_length_95397_cov_16.6454_ID_20684-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_43_length_95397_cov_16.6454_ID_20684-processed-gene-0.131&CDS=1-1386
