	Lachancea_kluyveri	Saccharomyces_cerevisiae
OG0000000	augustus_masked-SAKL0D-processed-gene-11.258-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.258&CDS=1-957, augustus_masked-SAKL0F-processed-gene-12.220-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-12.220&CDS=1-1884, snap_masked-SAKL0F-processed-gene-12.48-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-12.48&CDS=1-324	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
OG0000001	augustus_masked-SAKL0C-processed-gene-10.11-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-10.11&CDS=1-4530, augustus_masked-SAKL0C-processed-gene-10.27-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-10.27&CDS=1-4452, augustus_masked-SAKL0C-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-5.29&CDS=1-4527, augustus_masked-SAKL0C-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.40&CDS=1-4635, augustus_masked-SAKL0F-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.39&CDS=1-4014, augustus_masked-SAKL0H-processed-gene-18.103-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-18.103&CDS=1-4341, augustus_masked-SAKL0H-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.137&CDS=1-4527, genemark-SAKL0D-processed-gene-11.46-mRNA-1_1&gene=genemark-SAKL0D-processed-gene-11.46&CDS=1-3384, maker-SAKL0G-augustus-gene-6.7-mRNA-1_1&gene=maker-SAKL0G-augustus-gene-6.7&CDS=1-5523	YDR011W, YDR406W, YIL013C, YOR011W, YOR153W, YPL058C
OG0000002	augustus_masked-SAKL0H-processed-gene-18.97-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-18.97&CDS=1-708, augustus_masked-SAKL0H-processed-gene-18.98-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-18.98&CDS=1-675, snap_masked-SAKL0C-processed-gene-10.43-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-10.43&CDS=1-180, snap_masked-SAKL0C-processed-gene-10.47-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-10.47&CDS=1-672, snap_masked-SAKL0C-processed-gene-9.127-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-9.127&CDS=1-435, snap_masked-SAKL0D-processed-gene-1.89-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-1.89&CDS=1-585	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
OG0000003	augustus_masked-SAKL0A-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.19&CDS=1-1755, augustus_masked-SAKL0A-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.13&CDS=1-1758, augustus_masked-SAKL0A-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.32&CDS=1-1758, augustus_masked-SAKL0C-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.1&CDS=1-1755, augustus_masked-SAKL0C-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.130&CDS=1-1758, augustus_masked-SAKL0E-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-4.37&CDS=1-1212	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000004	augustus_masked-SAKL0B-processed-gene-10.43-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.43&CDS=1-1716, augustus_masked-SAKL0C-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.17&CDS=1-1713, augustus_masked-SAKL0C-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.71&CDS=1-1713, augustus_masked-SAKL0G-processed-gene-16.162-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-16.162&CDS=1-1716, maker-SAKL0G-snap-gene-6.3-mRNA-1_1&gene=maker-SAKL0G-snap-gene-6.3&CDS=1-3351, snap_masked-SAKL0C-processed-gene-7.141-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-7.141&CDS=1-1656	YDR342C, YDR343C, YFL011W, YHR092C, YJL214W, YMR011W, YNL318C
OG0000005	augustus_masked-SAKL0B-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-1.23&CDS=1-2844, augustus_masked-SAKL0B-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-1.24&CDS=1-2964, augustus_masked-SAKL0D-processed-gene-11.285-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.285&CDS=1-2949, augustus_masked-SAKL0H-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-0.76&CDS=1-5349, snap_masked-SAKL0D-processed-gene-11.179-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-11.179&CDS=1-2670, snap_masked-SAKL0H-processed-gene-22.59-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-22.59&CDS=1-2022	YAL051W, YCR106W, YLL054C, YOR363C
OG0000006	augustus_masked-SAKL0E-processed-gene-5.8-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-5.8&CDS=1-1512, maker-SAKL0E-augustus-gene-5.50-mRNA-1_1&gene=maker-SAKL0E-augustus-gene-5.50&CDS=1-3258, maker-SAKL0F-snap-gene-7.97-mRNA-1_1&gene=maker-SAKL0F-snap-gene-7.97&CDS=1-1914, snap_masked-SAKL0D-processed-gene-11.136-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-11.136&CDS=1-1554, snap_masked-SAKL0H-processed-gene-8.99-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-8.99&CDS=1-1503	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
OG0000007	augustus_masked-SAKL0B-processed-gene-10.24-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.24&CDS=1-1725, augustus_masked-SAKL0F-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-5.38&CDS=1-1734, augustus_masked-SAKL0H-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.13&CDS=1-1731, maker-SAKL0D-snap-gene-5.1-mRNA-1_1&gene=maker-SAKL0D-snap-gene-5.1&CDS=1-5796	YBR284W, YJL070C, YLR237W, YOR071C, YOR192C
OG0000008	augustus_masked-SAKL0C-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.0&CDS=1-2226, augustus_masked-SAKL0D-processed-gene-11.260-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.260&CDS=1-1959, augustus_masked-SAKL0E-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-0.105&CDS=1-2154, augustus_masked-SAKL0F-processed-gene-12.222-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-12.222&CDS=1-2073, genemark-SAKL0G-processed-gene-0.82-mRNA-1_1&gene=genemark-SAKL0G-processed-gene-0.82&CDS=1-603, maker-SAKL0B-snap-gene-10.54-mRNA-1_1&gene=maker-SAKL0B-snap-gene-10.54&CDS=1-1014, snap_masked-SAKL0C-processed-gene-11.208-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-11.208&CDS=1-1737, snap_masked-SAKL0C-processed-gene-11.211-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-11.211&CDS=1-864, snap_masked-SAKL0F-processed-gene-0.25-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-0.25&CDS=1-873	
OG0000009	augustus_masked-SAKL0A-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.16&CDS=1-1794, augustus_masked-SAKL0A-processed-gene-7.31-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-7.31&CDS=1-1707, augustus_masked-SAKL0B-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.26&CDS=1-1896, genemark-SAKL0C-processed-gene-5.107-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-5.107&CDS=1-1800, snap_masked-SAKL0F-processed-gene-0.27-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-0.27&CDS=1-1611	YCL069W, YKR105C, YPR198W
OG0000010	augustus_masked-SAKL0C-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.3&CDS=1-2499, augustus_masked-SAKL0E-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-0.108&CDS=1-1293, maker-SAKL0E-snap-gene-0.75-mRNA-1_1&gene=maker-SAKL0E-snap-gene-0.75&CDS=1-1611, snap_masked-SAKL0D-processed-gene-0.72-mRNA-1_1&gene=snap_masked-SAKL0D-processed-gene-0.72&CDS=1-2763, snap_masked-SAKL0E-processed-gene-0.39-mRNA-1_1&gene=snap_masked-SAKL0E-processed-gene-0.39&CDS=1-897	YBL005W, YER184C, YGL013C
OG0000011	augustus_masked-SAKL0H-processed-gene-17.128-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-17.128&CDS=1-4653	YBL017C, YCR099C, YCR100C, YIL173W, YJL222W, YNR065C, YNR066C
OG0000012	augustus_masked-SAKL0B-processed-gene-6.143-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-6.143&CDS=1-1389, augustus_masked-SAKL0G-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-14.105&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000013	augustus_masked-SAKL0B-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-7.2&CDS=1-1119, augustus_masked-SAKL0E-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-2.16&CDS=1-1131, augustus_masked-SAKL0F-processed-gene-4.28-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-4.28&CDS=1-1053, maker-SAKL0C-augustus-gene-9.2-mRNA-1_1&gene=maker-SAKL0C-augustus-gene-9.2&CDS=1-1917	YMR083W, YMR303C, YOL086C
OG0000014	augustus_masked-SAKL0C-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.10&CDS=1-1833, augustus_masked-SAKL0H-processed-gene-19.45-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-19.45&CDS=1-5574, snap_masked-SAKL0C-processed-gene-8.113-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-8.113&CDS=1-2037, snap_masked-SAKL0C-processed-gene-9.116-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-9.116&CDS=1-1824	YAL002W, YBR015C, YJL186W
OG0000015	augustus_masked-SAKL0C-processed-gene-9.15-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-9.15&CDS=1-996, augustus_masked-SAKL0G-processed-gene-12.124-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.124&CDS=1-996, augustus_masked-SAKL0G-processed-gene-15.2-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-15.2&CDS=1-996, maker-SAKL0H-augustus-gene-21.81-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-21.81&CDS=1-2739	YGL186C, YGR192C, YJR009C
OG0000016	augustus_masked-SAKL0C-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-10.26&CDS=1-1806, augustus_masked-SAKL0F-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.100&CDS=1-1866, augustus_masked-SAKL0G-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-3.154&CDS=1-1821, augustus_masked-SAKL0H-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-3.112&CDS=1-1839, augustus_masked-SAKL0H-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-3.95&CDS=1-1797	YBL042C, YBR021W
OG0000017	augustus_masked-SAKL0E-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-4.9&CDS=1-1833, augustus_masked-SAKL0F-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-3.40&CDS=1-1692, augustus_masked-SAKL0G-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.120&CDS=1-1692, augustus_masked-SAKL0G-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-8.141&CDS=1-1692	YDL080C, YLR044C, YLR134W
OG0000018	augustus_masked-SAKL0F-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-9.119&CDS=1-1965, augustus_masked-SAKL0G-processed-gene-10.118-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-10.118&CDS=1-2037, augustus_masked-SAKL0H-processed-gene-17.129-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-17.129&CDS=1-1923	YAL005C, YER103W, YJL034W, YLL024C
OG0000019	augustus_masked-SAKL0A-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.34&CDS=1-2154, augustus_masked-SAKL0A-processed-gene-7.14-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-7.14&CDS=1-1992, snap_masked-SAKL0A-processed-gene-0.104-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-0.104&CDS=1-765	YKL222C, YOR162C, YOR172W
OG0000020	augustus_masked-SAKL0A-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.9&CDS=1-1437, augustus_masked-SAKL0G-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-4.118&CDS=1-1962, maker-SAKL0H-augustus-gene-22.42-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-22.42&CDS=1-1035	YER133W, YML016C, YPL179W
OG0000021	augustus_masked-SAKL0B-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-0.102&CDS=1-1038, augustus_masked-SAKL0D-processed-gene-11.256-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-11.256&CDS=1-1035	YDR541C, YGL039W, YGL157W, YOL151W
OG0000022	augustus_masked-SAKL0B-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-4.128&CDS=1-1086, augustus_masked-SAKL0B-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-5.126&CDS=1-2634, augustus_masked-SAKL0E-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-7.26&CDS=1-2469, genemark-SAKL0C-processed-gene-3.131-mRNA-1_1&gene=genemark-SAKL0C-processed-gene-3.131&CDS=1-2340	YIL130W, YJL206C
OG0000023	augustus_masked-SAKL0E-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-7.13&CDS=1-2703, snap_masked-SAKL0B-processed-gene-10.114-mRNA-1_1&gene=snap_masked-SAKL0B-processed-gene-10.114&CDS=1-558, snap_masked-SAKL0C-processed-gene-4.80-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-4.80&CDS=1-2529, snap_masked-SAKL0H-processed-gene-0.3-mRNA-1_1&gene=snap_masked-SAKL0H-processed-gene-0.3&CDS=1-1779	YIL135C, YNL074C
OG0000024	augustus_masked-SAKL0C-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.120&CDS=1-1839, augustus_masked-SAKL0C-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-1.95&CDS=1-1839, augustus_masked-SAKL0H-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.5&CDS=1-1794, genemark-SAKL0G-processed-gene-7.18-mRNA-1_1&gene=genemark-SAKL0G-processed-gene-7.18&CDS=1-1815, maker-SAKL0D-augustus-gene-2.94-mRNA-1_1&gene=maker-SAKL0D-augustus-gene-2.94&CDS=1-5268	YCL025C
OG0000025	augustus_masked-SAKL0C-processed-gene-6.43-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-6.43&CDS=1-1146, augustus_masked-SAKL0E-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-7.20&CDS=1-1431	YIL123W, YJL116C, YKR042W, YNL066W
