	Saccharomyces_cerevisiae	yHMPu5000034990_Candida_corydali
OG0000000	YMR234W	augustus_masked-flattened_line_0-processed-gene-8.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.107&CDS=1-573, augustus_masked-flattened_line_0-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.108&CDS=1-675, augustus_masked-flattened_line_0-processed-gene-8.109-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.109&CDS=1-552, augustus_masked-flattened_line_0-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.110&CDS=1-1356, augustus_masked-flattened_line_0-processed-gene-8.111-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.111&CDS=1-573, snap_masked-flattened_line_0-processed-gene-3.56-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.56&CDS=1-573, snap_masked-flattened_line_0-processed-gene-3.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.57&CDS=1-1356, snap_masked-flattened_line_0-processed-gene-3.58-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.58&CDS=1-552, snap_masked-flattened_line_0-processed-gene-3.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.59&CDS=1-675, snap_masked-flattened_line_0-processed-gene-3.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.60&CDS=1-573
OG0000001	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YOL156W	genemark-flattened_line_17-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.24&CDS=1-1632, maker-flattened_line_17-augustus-gene-0.55-mRNA-1_1&gene=maker-flattened_line_17-augustus-gene-0.55&CDS=1-2481
OG0000002	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W, YPL009C	maker-flattened_line_47-augustus-gene-0.160-mRNA-1_1&gene=maker-flattened_line_47-augustus-gene-0.160&CDS=1-4347, maker-flattened_line_5-snap-gene-6.8-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-6.8&CDS=1-2070, snap_masked-flattened_line_1-processed-gene-4.48-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-4.48&CDS=1-1383
OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_51-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.64&CDS=1-1722
OG0000004	YDR144C, YIL015W, YLR120C, YLR121C	genemark-flattened_line_15-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-0.37&CDS=1-1170, genemark-flattened_line_23-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-0.33&CDS=1-1215, snap_masked-flattened_line_3-processed-gene-2.73-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.73&CDS=1-1236, snap_masked-flattened_line_9-processed-gene-4.113-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.113&CDS=1-1203
OG0000005	YJR061W, YKL201C	snap_masked-flattened_line_1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.47&CDS=1-2520, snap_masked-flattened_line_13-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.77&CDS=1-2592, snap_masked-flattened_line_25-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.137&CDS=1-2496, snap_masked-flattened_line_53-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.28&CDS=1-2211, snap_masked-flattened_line_7-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.60&CDS=1-2238, snap_masked-flattened_line_7-processed-gene-2.94-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.94&CDS=1-2319
OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-flattened_line_27-processed-gene-1.178-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-1.178&CDS=1-2262, maker-flattened_line_17-snap-gene-3.189-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-3.189&CDS=1-8571, snap_masked-flattened_line_23-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.88&CDS=1-2154
OG0000007	YKR064W	augustus_masked-flattened_line_5-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.21&CDS=1-4479, genemark-flattened_line_13-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.104&CDS=1-3095, genemark-flattened_line_9-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.24&CDS=1-2493, snap_masked-flattened_line_13-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.58&CDS=1-2898, snap_masked-flattened_line_13-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.60&CDS=1-3054, snap_masked-flattened_line_15-processed-gene-1.1-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.1&CDS=1-2643, snap_masked-flattened_line_15-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.21&CDS=1-3018
OG0000008	YER054C, YIL045W, YLR273C, YOR178C	snap_masked-flattened_line_0-processed-gene-2.25-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.25&CDS=1-1800, snap_masked-flattened_line_0-processed-gene-8.38-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.38&CDS=1-1800, snap_masked-flattened_line_11-processed-gene-5.152-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-5.152&CDS=1-1572
OG0000009	YHR084W	genemark-flattened_line_3-processed-gene-7.114-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-7.114&CDS=1-1566, maker-flattened_line_5-snap-gene-5.97-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-5.97&CDS=1-1500, maker-flattened_line_7-augustus-gene-3.2-mRNA-1_1&gene=maker-flattened_line_7-augustus-gene-3.2&CDS=1-3000, snap_masked-flattened_line_3-processed-gene-7.18-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-7.18&CDS=1-1554, snap_masked-flattened_line_37-processed-gene-1.104-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.104&CDS=1-1563, snap_masked-flattened_line_5-processed-gene-4.70-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.70&CDS=1-1584
OG0000010	YDR038C, YDR039C, YDR040C	snap_masked-flattened_line_0-processed-gene-4.23-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.23&CDS=1-3240, snap_masked-flattened_line_0-processed-gene-6.136-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.136&CDS=1-3240, snap_masked-flattened_line_11-processed-gene-4.140-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.140&CDS=1-3228
OG0000011	YDR541C, YGL039W, YGL157W, YOL151W	maker-flattened_line_29-augustus-gene-1.181-mRNA-1_1&gene=maker-flattened_line_29-augustus-gene-1.181&CDS=1-3432, snap_masked-flattened_line_15-processed-gene-3.84-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.84&CDS=1-1017
