	Candida_tropicalis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-NW_003020056.1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NW_003020056.1-processed-gene-2.80&CDS=1-2082, genemark-NW_003020049.1-processed-gene-12.151-mRNA-1_1&gene=genemark-NW_003020049.1-processed-gene-12.151&CDS=1-2097, maker-NW_003020056.1-snap-gene-0.108-mRNA-1_1&gene=maker-NW_003020056.1-snap-gene-0.108&CDS=1-4077, maker-NW_003020057.1-snap-gene-2.115-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-2.115&CDS=1-4329, maker-NW_003020060.1-snap-gene-6.109-mRNA-1_1&gene=maker-NW_003020060.1-snap-gene-6.109&CDS=1-6120, snap_masked-NW_003020038.1-processed-gene-14.99-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.99&CDS=1-2256, snap_masked-NW_003020038.1-processed-gene-15.131-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-15.131&CDS=1-2193, snap_masked-NW_003020040.1-processed-gene-1.93-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-1.93&CDS=1-2082, snap_masked-NW_003020049.1-processed-gene-12.22-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-12.22&CDS=1-2169, snap_masked-NW_003020055.1-processed-gene-15.114-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.114&CDS=1-2082, snap_masked-NW_003020056.1-processed-gene-11.85-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-11.85&CDS=1-2091, snap_masked-NW_003020057.1-processed-gene-4.16-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-4.16&CDS=1-2118, snap_masked-NW_003020057.1-processed-gene-9.44-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-9.44&CDS=1-2016	
OG0000001	genemark-NW_003020038.1-processed-gene-23.179-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-23.179&CDS=1-4068, genemark-NW_003020038.1-processed-gene-23.181-mRNA-1_1&gene=genemark-NW_003020038.1-processed-gene-23.181&CDS=1-4023, genemark-NW_003020057.1-processed-gene-3.54-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-3.54&CDS=1-5991, maker-NW_003020055.1-augustus-gene-4.2-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-4.2&CDS=1-4770, maker-NW_003020055.1-snap-gene-2.5-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-2.5&CDS=1-7440, maker-NW_003020057.1-snap-gene-1.107-mRNA-1_1&gene=maker-NW_003020057.1-snap-gene-1.107&CDS=1-12228, snap_masked-NW_003020038.1-processed-gene-21.11-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-21.11&CDS=1-8862, snap_masked-NW_003020038.1-processed-gene-23.31-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-23.31&CDS=1-3090, snap_masked-NW_003020038.1-processed-gene-23.58-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-23.58&CDS=1-8337, snap_masked-NW_003020057.1-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.79&CDS=1-8118, snap_masked-NW_003020057.1-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-1.95&CDS=1-1554, snap_masked-NW_003020057.1-processed-gene-3.79-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-3.79&CDS=1-4830	YJR004C
OG0000002	maker-NW_003020040.1-snap-gene-3.126-mRNA-1_1&gene=maker-NW_003020040.1-snap-gene-3.126&CDS=1-3402, snap_masked-NW_003020039.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NW_003020039.1-processed-gene-0.107&CDS=1-1692, snap_masked-NW_003020040.1-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-2.89&CDS=1-1728, snap_masked-NW_003020040.1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-NW_003020040.1-processed-gene-2.91&CDS=1-1725	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000003	snap_masked-NW_003020038.1-processed-gene-2.140-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-2.140&CDS=1-1371, snap_masked-NW_003020038.1-processed-gene-20.11-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-20.11&CDS=1-1401, snap_masked-NW_003020038.1-processed-gene-20.26-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-20.26&CDS=1-1395, snap_masked-NW_003020038.1-processed-gene-20.28-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-20.28&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000004	genemark-NW_003020056.1-processed-gene-11.35-mRNA-1_1&gene=genemark-NW_003020056.1-processed-gene-11.35&CDS=1-4437, maker-NW_003020055.1-augustus-gene-5.86-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-5.86&CDS=1-6660, snap_masked-NW_003020038.1-processed-gene-14.88-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-14.88&CDS=1-4395, snap_masked-NW_003020038.1-processed-gene-6.108-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-6.108&CDS=1-4425, snap_masked-NW_003020055.1-processed-gene-10.73-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-10.73&CDS=1-4452, snap_masked-NW_003020055.1-processed-gene-11.31-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-11.31&CDS=1-4416, snap_masked-NW_003020055.1-processed-gene-12.34-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-12.34&CDS=1-4494, snap_masked-NW_003020057.1-processed-gene-6.120-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-6.120&CDS=1-4479	YOR153W
OG0000005	genemark-NW_003020055.1-processed-gene-14.20-mRNA-1_1&gene=genemark-NW_003020055.1-processed-gene-14.20&CDS=1-3162, genemark-NW_003020061.1-processed-gene-0.82-mRNA-1_1&gene=genemark-NW_003020061.1-processed-gene-0.82&CDS=1-1890, maker-NW_003020055.1-augustus-gene-4.0-mRNA-1_1&gene=maker-NW_003020055.1-augustus-gene-4.0&CDS=1-6675, maker-NW_003020055.1-snap-gene-14.80-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-14.80&CDS=1-3288, maker-NW_003020055.1-snap-gene-4.32-mRNA-1_1&gene=maker-NW_003020055.1-snap-gene-4.32&CDS=1-3564, snap_masked-NW_003020038.1-processed-gene-12.90-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-12.90&CDS=1-2562, snap_masked-NW_003020055.1-processed-gene-15.100-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-15.100&CDS=1-3153, snap_masked-NW_003020059.1-processed-gene-8.25-mRNA-1_1&gene=snap_masked-NW_003020059.1-processed-gene-8.25&CDS=1-3249	YLR256W
OG0000006	augustus_masked-NW_003020058.1-processed-gene-8.92-mRNA-1_1&gene=augustus_masked-NW_003020058.1-processed-gene-8.92&CDS=1-2961, augustus_masked-NW_003020061.1-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-NW_003020061.1-processed-gene-3.32&CDS=1-2469, genemark-NW_003020049.1-processed-gene-2.20-mRNA-1_1&gene=genemark-NW_003020049.1-processed-gene-2.20&CDS=1-4137, genemark-NW_003020057.1-processed-gene-0.50-mRNA-1_1&gene=genemark-NW_003020057.1-processed-gene-0.50&CDS=1-1980, snap_masked-NW_003020049.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-2.106&CDS=1-2199, snap_masked-NW_003020057.1-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NW_003020057.1-processed-gene-2.42&CDS=1-2748	YJR061W, YJR144W, YKL201C
OG0000007	genemark-NW_003020049.1-processed-gene-17.95-mRNA-1_1&gene=genemark-NW_003020049.1-processed-gene-17.95&CDS=1-1035, maker-NW_003020049.1-snap-gene-17.49-mRNA-1_1&gene=maker-NW_003020049.1-snap-gene-17.49&CDS=1-2007, maker-NW_003020060.1-snap-gene-4.45-mRNA-1_1&gene=maker-NW_003020060.1-snap-gene-4.45&CDS=1-930, snap_masked-NW_003020049.1-processed-gene-15.121-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-15.121&CDS=1-1035, snap_masked-NW_003020049.1-processed-gene-17.159-mRNA-1_1&gene=snap_masked-NW_003020049.1-processed-gene-17.159&CDS=1-1023	YDR541C, YGL039W, YGL157W, YOL151W
OG0000008	augustus_masked-NW_003020038.1-processed-gene-20.94-mRNA-1_1&gene=augustus_masked-NW_003020038.1-processed-gene-20.94&CDS=1-2745, maker-NW_003020038.1-snap-gene-0.129-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-0.129&CDS=1-2658, maker-NW_003020038.1-snap-gene-18.70-mRNA-1_1&gene=maker-NW_003020038.1-snap-gene-18.70&CDS=1-5439, snap_masked-NW_003020038.1-processed-gene-20.2-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-20.2&CDS=1-2763, snap_masked-NW_003020041.1-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NW_003020041.1-processed-gene-0.123&CDS=1-2718, snap_masked-NW_003020055.1-processed-gene-21.151-mRNA-1_1&gene=snap_masked-NW_003020055.1-processed-gene-21.151&CDS=1-2760, snap_masked-NW_003020056.1-processed-gene-14.60-mRNA-1_1&gene=snap_masked-NW_003020056.1-processed-gene-14.60&CDS=1-2787	YPR194C
OG0000009	augustus_masked-NW_003020039.1-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-NW_003020039.1-processed-gene-3.38&CDS=1-690, snap_masked-NW_003020038.1-processed-gene-8.78-mRNA-1_1&gene=snap_masked-NW_003020038.1-processed-gene-8.78&CDS=1-639	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C
