	Saccharomyces_cerevisiae	yHMPu5000035689_Candida_mycetangii
OG0000000		augustus_masked-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-9.98-mRNA-1_1&gene=augustus_masked-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-9.98&CDS=1-2427, genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.60&CDS=1-1269, genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.62-mRNA-1_1&gene=genemark-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.62&CDS=1-2574, genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.85&CDS=1-2865, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-12.46-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-12.46&CDS=1-2565, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-12.48-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-12.48&CDS=1-2733, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.10-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.10&CDS=1-2433, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.11-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.11&CDS=1-2358, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.12-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.12&CDS=1-2508, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.13-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.13&CDS=1-2694, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.22-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.22&CDS=1-3246, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.8-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-13.8&CDS=1-2589, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.120-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.120&CDS=1-1533, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-7.109-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-7.109&CDS=1-2697, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.67-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-2.67&CDS=1-1683, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.208-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-4.208&CDS=1-1941, maker-NODE_6_length_684522_cov_27.6258_ID_2038-snap-gene-5.212-mRNA-1_1&gene=maker-NODE_6_length_684522_cov_27.6258_ID_2038-snap-gene-5.212&CDS=1-1824, snap_masked-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.71-mRNA-1_1&gene=snap_masked-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.71&CDS=1-2367
OG0000001	YCL025C, YDR508C, YGR191W, YKR039W	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.29-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.29&CDS=1-1773, genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.147-mRNA-1_1&gene=genemark-NODE_19_length_157684_cov_26.3241_ID_2499-processed-gene-0.147&CDS=1-1707, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-11.72-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-11.72&CDS=1-1743, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-10.101-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-10.101&CDS=1-1728, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-4.14-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-4.14&CDS=1-1788, genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-7.84-mRNA-1_1&gene=genemark-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-7.84&CDS=1-1743, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-5.86-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-5.86&CDS=1-1740, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-5.90-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-5.90&CDS=1-1740
OG0000002	YBR017C, YDR242W	augustus_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NODE_14_length_319563_cov_30.9459_ID_1873-processed-gene-2.95&CDS=1-4164, genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.30&CDS=1-1587, genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.60&CDS=1-1644, genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_17_length_199916_cov_36.786_ID_2328-processed-gene-0.64&CDS=1-1716, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.59-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.59&CDS=1-1641, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.78-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-5.78&CDS=1-1650, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.130-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.130&CDS=1-1728, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-1.71&CDS=1-1617
OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.60-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.60&CDS=1-1707, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.83-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-1.83&CDS=1-1593, maker-NODE_4_length_1011378_cov_28.5779_ID_1711-augustus-gene-0.89-mRNA-1_1&gene=maker-NODE_4_length_1011378_cov_28.5779_ID_1711-augustus-gene-0.89&CDS=1-3402
OG0000004	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-5.131&CDS=1-1803, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.97-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.97&CDS=1-1710, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-7.122-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-7.122&CDS=1-1746, genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-8.107-mRNA-1_1&gene=genemark-NODE_5_length_936046_cov_26.7859_ID_1564-processed-gene-8.107&CDS=1-1782, maker-NODE_8_length_590382_cov_34.9311_ID_2147-snap-gene-4.109-mRNA-1_1&gene=maker-NODE_8_length_590382_cov_34.9311_ID_2147-snap-gene-4.109&CDS=1-3525, snap_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-2.112&CDS=1-1794
OG0000005	YER163C, YOL119C, YOR306C	augustus_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-8.50-mRNA-1_1&gene=augustus_masked-NODE_3_length_1016736_cov_29.5442_ID_1801-processed-gene-8.50&CDS=1-2037, genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.127-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.127&CDS=1-1461, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-14.137-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-14.137&CDS=1-1485, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.177-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.177&CDS=1-1473, genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.131-mRNA-1_1&gene=genemark-NODE_8_length_590382_cov_34.9311_ID_2147-processed-gene-3.131&CDS=1-1407, genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-4.91-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-4.91&CDS=1-1386, maker-NODE_1_length_1846036_cov_27.8053_ID_2084-augustus-gene-13.46-mRNA-1_1&gene=maker-NODE_1_length_1846036_cov_27.8053_ID_2084-augustus-gene-13.46&CDS=1-2166
OG0000006	YMR169C, YMR170C, YOR374W, YPL061W	genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.19&CDS=1-1524, genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_10_length_472098_cov_26.9767_ID_2461-processed-gene-0.27&CDS=1-1503, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.38-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-5.38&CDS=1-1500, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.82-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-8.82&CDS=1-1491, genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_7_length_604780_cov_35.2488_ID_6569-processed-gene-0.46&CDS=1-1494, maker-NODE_1_length_1846036_cov_27.8053_ID_2084-snap-gene-2.98-mRNA-1_1&gene=maker-NODE_1_length_1846036_cov_27.8053_ID_2084-snap-gene-2.98&CDS=1-1941
OG0000007	YBR015C	genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.28-mRNA-1_1&gene=genemark-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-2.28&CDS=1-1923, genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.24&CDS=1-1641, genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-1.73-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-1.73&CDS=1-1602, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-6.110-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-6.110&CDS=1-1848, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.133-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-7.133&CDS=1-1764, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.112-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-5.112&CDS=1-2148, genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-1.7-mRNA-1_1&gene=genemark-NODE_9_length_534558_cov_31.6761_ID_2611-processed-gene-1.7&CDS=1-1686
OG0000008	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.70-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-10.70&CDS=1-2193, genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-7.103-mRNA-1_1&gene=genemark-NODE_1_length_1846036_cov_27.8053_ID_2084-processed-gene-7.103&CDS=1-2499, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.134-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-4.134&CDS=1-3246, genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.138-mRNA-1_1&gene=genemark-NODE_4_length_1011378_cov_28.5779_ID_1711-processed-gene-8.138&CDS=1-2625
OG0000009	YJL148W	genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-2.7-mRNA-1_1&gene=genemark-NODE_11_length_448003_cov_30.8281_ID_1903-processed-gene-2.7&CDS=1-1722, genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_13_length_379008_cov_27.2557_ID_1972-processed-gene-0.25&CDS=1-1641, genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_2_length_1528460_cov_26.3327_ID_1453-processed-gene-0.88&CDS=1-1470, genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-1.100-mRNA-1_1&gene=genemark-NODE_6_length_684522_cov_27.6258_ID_2038-processed-gene-1.100&CDS=1-1635, maker-NODE_12_length_421088_cov_34.1689_ID_4172-augustus-gene-3.132-mRNA-1_1&gene=maker-NODE_12_length_421088_cov_34.1689_ID_4172-augustus-gene-3.132&CDS=1-2253, maker-NODE_12_length_421088_cov_34.1689_ID_4172-snap-gene-3.136-mRNA-1_1&gene=maker-NODE_12_length_421088_cov_34.1689_ID_4172-snap-gene-3.136&CDS=1-936, snap_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NODE_12_length_421088_cov_34.1689_ID_4172-processed-gene-3.35&CDS=1-300
