	Eremothecium_gossypii	Saccharomyces_cerevisiae
OG0000000	maker-AE016819-snap-gene-0.94-mRNA-1_1&gene=maker-AE016819-snap-gene-0.94&CDS=1-4845, snap_masked-AE016819-processed-gene-15.12-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-15.12&CDS=1-1545	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W
OG0000001	augustus_masked-AE016817-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-2.124&CDS=1-1692, augustus_masked-AE016818-processed-gene-14.34-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.34&CDS=1-4404, augustus_masked-AE016819-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-8.45&CDS=1-1812, augustus_masked-AE016820-processed-gene-16.18-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-16.18&CDS=1-1749, genemark-AE016819-processed-gene-17.206-mRNA-1_1&gene=genemark-AE016819-processed-gene-17.206&CDS=1-1827, maker-AE016818-augustus-gene-5.105-mRNA-1_1&gene=maker-AE016818-augustus-gene-5.105&CDS=1-3342, maker-AE016820-snap-gene-11.42-mRNA-1_1&gene=maker-AE016820-snap-gene-11.42&CDS=1-5250	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YOL020W, YPL274W
OG0000002	augustus_masked-AE016815-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-0.33&CDS=1-1839, augustus_masked-AE016816-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-4.11&CDS=1-2022, augustus_masked-AE016818-processed-gene-9.77-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-9.77&CDS=1-1947, augustus_masked-AE016819-processed-gene-15.44-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-15.44&CDS=1-1908, augustus_masked-AE016819-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-6.76&CDS=1-1923, maker-AE016819-augustus-gene-10.49-mRNA-1_1&gene=maker-AE016819-augustus-gene-10.49&CDS=1-2205	YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W
OG0000003	augustus_masked-AE016814-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.78&CDS=1-3333, augustus_masked-AE016817-processed-gene-11.131-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-11.131&CDS=1-3270, augustus_masked-AE016817-processed-gene-12.55-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-12.55&CDS=1-2595, augustus_masked-AE016817-processed-gene-9.41-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-9.41&CDS=1-3804, genemark-AE016814-processed-gene-5.98-mRNA-1_1&gene=genemark-AE016814-processed-gene-5.98&CDS=1-2298	YDR536W, YER013W, YGL120C, YKR086W, YNR011C
OG0000004	augustus_masked-AE016820-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-4.42&CDS=1-4491, genemark-AE016815-processed-gene-6.97-mRNA-1_1&gene=genemark-AE016815-processed-gene-6.97&CDS=1-4533, genemark-AE016819-processed-gene-15.121-mRNA-1_1&gene=genemark-AE016819-processed-gene-15.121&CDS=1-1905, maker-AE016815-augustus-gene-6.42-mRNA-1_1&gene=maker-AE016815-augustus-gene-6.42&CDS=1-6282	YBL042C, YDR011W, YDR406W, YNR070W, YOR153W, YOR328W
OG0000005	augustus_masked-AE016814-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.83&CDS=1-507, augustus_masked-AE016817-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-0.126&CDS=1-510, augustus_masked-AE016818-processed-gene-14.29-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.29&CDS=1-510, augustus_masked-AE016819-processed-gene-12.116-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-12.116&CDS=1-600, augustus_masked-AE016819-processed-gene-17.47-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.47&CDS=1-510, augustus_masked-AE016820-processed-gene-17.96-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-17.96&CDS=1-516	YBR072W
OG0000006	augustus_masked-AE016815-processed-gene-4.158-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.158&CDS=1-912, augustus_masked-AE016816-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-8.70&CDS=1-453, augustus_masked-AE016816-processed-gene-8.91-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-8.91&CDS=1-447, augustus_masked-AE016817-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-0.123&CDS=1-462, augustus_masked-AE016819-processed-gene-17.50-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.50&CDS=1-462, maker-AE016815-snap-gene-4.5-mRNA-1_1&gene=maker-AE016815-snap-gene-4.5&CDS=1-879	YKL096W
OG0000007	augustus_masked-AE016815-processed-gene-7.13-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-7.13&CDS=1-2157, augustus_masked-AE016820-processed-gene-16.43-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-16.43&CDS=1-2049	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000008	augustus_masked-AE016819-processed-gene-16.104-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-16.104&CDS=1-1686, augustus_masked-AE016819-processed-gene-16.91-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-16.91&CDS=1-1668, augustus_masked-AE016819-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-7.66&CDS=1-1674, augustus_masked-AE016820-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-3.24&CDS=1-5784	YDR160W, YNL268W, YOR348C
OG0000009	augustus_masked-AE016814-processed-gene-5.198-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.198&CDS=1-2391, augustus_masked-AE016815-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-7.86&CDS=1-1575, snap_masked-AE016817-processed-gene-7.99-mRNA-1_1&gene=snap_masked-AE016817-processed-gene-7.99&CDS=1-1812, snap_masked-AE016818-processed-gene-0.49-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-0.49&CDS=1-1935, snap_masked-AE016819-processed-gene-0.41-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-0.41&CDS=1-1623	YIL014W
OG0000010	augustus_masked-AE016816-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-3.149&CDS=1-2799, augustus_masked-AE016816-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-7.147&CDS=1-3387, genemark-AE016817-processed-gene-9.163-mRNA-1_1&gene=genemark-AE016817-processed-gene-9.163&CDS=1-1905	YBL063W, YEL061C, YKL079W
OG0000011	augustus_masked-AE016816-processed-gene-4.30-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-4.30&CDS=1-1593, augustus_masked-AE016817-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-4.95&CDS=1-1644, augustus_masked-AE016819-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-8.43&CDS=1-1416	YHR050W, YLR034C, YOL122C
OG0000012	augustus_masked-AE016817-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-0.100&CDS=1-603, augustus_masked-AE016819-processed-gene-16.83-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-16.83&CDS=1-3135, augustus_masked-AE016819-processed-gene-17.76-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.76&CDS=1-603, snap_masked-AE016818-processed-gene-14.123-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-14.123&CDS=1-582	YNL246W, YNL247W
