	Metschnikowia_hamakuensis	Saccharomyces_cerevisiae
OG0000000	maker-ham-_s465-snap-gene-0.72-mRNA-1_1&gene=maker-ham-_s465-snap-gene-0.72&CDS=1-1482, maker-ham-_s599-snap-gene-0.44-mRNA-1_1&gene=maker-ham-_s599-snap-gene-0.44&CDS=1-189, maker-ham-_s599-snap-gene-0.45-mRNA-1_1&gene=maker-ham-_s599-snap-gene-0.45&CDS=1-186, maker-ham-_s659-snap-gene-1.4-mRNA-1_1&gene=maker-ham-_s659-snap-gene-1.4&CDS=1-189, maker-ham-_s743-snap-gene-0.16-mRNA-1_1&gene=maker-ham-_s743-snap-gene-0.16&CDS=1-561, snap_masked-ham-_s117-processed-gene-2.83-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.83&CDS=1-1176	YHL021C, YJL179W, YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000001	augustus_masked-ham-_s16-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-ham-_s16-processed-gene-0.25&CDS=1-1761, augustus_masked-ham-_s18-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ham-_s18-processed-gene-0.5&CDS=1-645, augustus_masked-ham-_s193-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s193-processed-gene-0.0&CDS=1-1023, augustus_masked-ham-_s230-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-ham-_s230-processed-gene-0.43&CDS=1-2178, augustus_masked-ham-_s230-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ham-_s230-processed-gene-0.51&CDS=1-1758, augustus_masked-ham-_s50-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ham-_s50-processed-gene-0.1&CDS=1-1161, augustus_masked-ham-_s78-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-ham-_s78-processed-gene-0.144&CDS=1-999, maker-ham-_s553-augustus-gene-0.171-mRNA-1_1&gene=maker-ham-_s553-augustus-gene-0.171&CDS=1-1029, snap_masked-ham-_C67557-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_C67557-processed-gene-0.1&CDS=1-375, snap_masked-ham-_s238-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s238-processed-gene-0.5&CDS=1-3096	
OG0000002	augustus_masked-ham-_s755-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ham-_s755-processed-gene-0.5&CDS=1-456, maker-ham-_s109-snap-gene-0.15-mRNA-1_1&gene=maker-ham-_s109-snap-gene-0.15&CDS=1-462, snap_masked-ham-_C75295-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_C75295-processed-gene-0.1&CDS=1-1002, snap_masked-ham-_s117-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-0.21&CDS=1-894, snap_masked-ham-_s336-processed-gene-2.194-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.194&CDS=1-876, snap_masked-ham-_s376-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s376-processed-gene-0.11&CDS=1-1179, snap_masked-ham-_s593-processed-gene-0.63-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.63&CDS=1-873, snap_masked-ham-_s607-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s607-processed-gene-0.25&CDS=1-876, snap_masked-ham-_s747-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ham-_s747-processed-gene-0.42&CDS=1-855	YKL096W
OG0000003	snap_masked-ham-_s14-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ham-_s14-processed-gene-0.123&CDS=1-2523, snap_masked-ham-_s24-processed-gene-1.138-mRNA-1_1&gene=snap_masked-ham-_s24-processed-gene-1.138&CDS=1-1320, snap_masked-ham-_s259-processed-gene-0.76-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.76&CDS=1-3993, snap_masked-ham-_s335-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s335-processed-gene-0.22&CDS=1-2160, snap_masked-ham-_s336-processed-gene-1.98-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.98&CDS=1-1764	YDR477W, YKL101W, YOR233W, YPL141C, YPL150W
OG0000004	augustus_masked-ham-_s117-processed-gene-2.219-mRNA-1_1&gene=augustus_masked-ham-_s117-processed-gene-2.219&CDS=1-2919, genemark-ham-_s279-processed-gene-0.64-mRNA-1_1&gene=genemark-ham-_s279-processed-gene-0.64&CDS=1-3447, snap_masked-ham-_s117-processed-gene-2.59-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.59&CDS=1-309, snap_masked-ham-_s117-processed-gene-2.60-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.60&CDS=1-3531, snap_masked-ham-_s117-processed-gene-2.63-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.63&CDS=1-3165, snap_masked-ham-_s553-processed-gene-0.207-mRNA-1_1&gene=snap_masked-ham-_s553-processed-gene-0.207&CDS=1-2760, snap_masked-ham-_s557-processed-gene-0.25-mRNA-1_1&gene=snap_masked-ham-_s557-processed-gene-0.25&CDS=1-2997, snap_masked-ham-_s71-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s71-processed-gene-0.3&CDS=1-2649	YMR168C
OG0000005	augustus_masked-ham-_s150-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s150-processed-gene-0.0&CDS=1-489, snap_masked-ham-_s41-processed-gene-0.63-mRNA-1_1&gene=snap_masked-ham-_s41-processed-gene-0.63&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000006	augustus_masked-ham-_s173-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-ham-_s173-processed-gene-0.86&CDS=1-2184, maker-ham-_s286-snap-gene-0.50-mRNA-1_1&gene=maker-ham-_s286-snap-gene-0.50&CDS=1-2688, snap_masked-ham-_s16-processed-gene-0.130-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.130&CDS=1-2130, snap_masked-ham-_s659-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-0.4&CDS=1-2139	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000007	snap_masked-ham-_s245-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ham-_s245-processed-gene-0.39&CDS=1-2253, snap_masked-ham-_s393-processed-gene-0.63-mRNA-1_1&gene=snap_masked-ham-_s393-processed-gene-0.63&CDS=1-2409, snap_masked-ham-_s554-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s554-processed-gene-0.5&CDS=1-2754, snap_masked-ham-_s593-processed-gene-0.72-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.72&CDS=1-2259, snap_masked-ham-_s78-processed-gene-0.159-mRNA-1_1&gene=snap_masked-ham-_s78-processed-gene-0.159&CDS=1-2229, snap_masked-ham-_s888-processed-gene-0.48-mRNA-1_1&gene=snap_masked-ham-_s888-processed-gene-0.48&CDS=1-1773	YGR057C, YJR061W, YKL201C
OG0000008	snap_masked-ham-_s336-processed-gene-1.96-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.96&CDS=1-1764, snap_masked-ham-_s49-processed-gene-0.53-mRNA-1_1&gene=snap_masked-ham-_s49-processed-gene-0.53&CDS=1-1719, snap_masked-ham-_s78-processed-gene-0.148-mRNA-1_1&gene=snap_masked-ham-_s78-processed-gene-0.148&CDS=1-1788, snap_masked-ham-_s800-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s800-processed-gene-0.16&CDS=1-1749	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
OG0000009		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
