	Saccharomyces_cerevisiae	yHMPu5000041855_Candida_ascalaphidarum
OG0000000	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.186&CDS=1-1182, augustus_masked-NODE_39_length_6642_cov_65.9878_ID_6156-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_39_length_6642_cov_65.9878_ID_6156-processed-gene-0.3&CDS=1-1128, augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-5.49&CDS=1-1182, augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-3.154&CDS=1-1194, maker-NODE_10_length_456859_cov_49.344_ID_5607-snap-gene-2.48-mRNA-1_1&gene=maker-NODE_10_length_456859_cov_49.344_ID_5607-snap-gene-2.48&CDS=1-1431, maker-NODE_12_length_437675_cov_47.0709_ID_5986-snap-gene-0.41-mRNA-1_1&gene=maker-NODE_12_length_437675_cov_47.0709_ID_5986-snap-gene-0.41&CDS=1-2994, snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-0.69&CDS=1-1125, snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.41-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-4.41&CDS=1-1083, snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.91-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.91&CDS=1-1227
OG0000001	YJR061W, YKL201C, YLR163C	augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.73&CDS=1-1887, maker-NODE_18_length_241785_cov_49.2315_ID_5503-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_18_length_241785_cov_49.2315_ID_5503-snap-gene-1.0&CDS=1-4560, maker-NODE_22_length_183416_cov_90.9836_ID_8445-snap-gene-0.181-mRNA-1_1&gene=maker-NODE_22_length_183416_cov_90.9836_ID_8445-snap-gene-0.181&CDS=1-3750, snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.144-mRNA-1_1&gene=snap_masked-NODE_16_length_253190_cov_44.7928_ID_5425-processed-gene-1.144&CDS=1-2148, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.131-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.131&CDS=1-1689, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.140-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.140&CDS=1-2391, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.161-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.161&CDS=1-2205, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.204-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.204&CDS=1-2451
OG0000002		augustus_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-2.73&CDS=1-1116, augustus_masked-NODE_32_length_30157_cov_50.0833_ID_5701-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_32_length_30157_cov_50.0833_ID_5701-processed-gene-0.18&CDS=1-990, augustus_masked-NODE_36_length_11718_cov_74.9408_ID_6021-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_36_length_11718_cov_74.9408_ID_6021-processed-gene-0.3&CDS=1-1404, augustus_masked-NODE_38_length_7451_cov_63.7138_ID_6256-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_38_length_7451_cov_63.7138_ID_6256-processed-gene-0.0&CDS=1-990, augustus_masked-NODE_39_length_6642_cov_65.9878_ID_6156-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_39_length_6642_cov_65.9878_ID_6156-processed-gene-0.4&CDS=1-972, augustus_masked-NODE_41_length_5863_cov_87.3513_ID_8343-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_41_length_5863_cov_87.3513_ID_8343-processed-gene-0.2&CDS=1-1050, augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-4.119&CDS=1-675, augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-0.55&CDS=1-1659, maker-NODE_17_length_248381_cov_48.134_ID_3588-snap-gene-0.136-mRNA-1_1&gene=maker-NODE_17_length_248381_cov_48.134_ID_3588-snap-gene-0.136&CDS=1-1014, snap_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_26_length_100895_cov_53.0331_ID_4717-processed-gene-0.118&CDS=1-1815, snap_masked-NODE_866_length_257_cov_179.479_ID_9047-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_866_length_257_cov_179.479_ID_9047-processed-gene-0.1&CDS=1-204
OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.128&CDS=1-1701, snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.115-mRNA-1_1&gene=snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.115&CDS=1-1713
OG0000004	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.265-mRNA-1_1&gene=snap_masked-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.265&CDS=1-1716, snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_25_length_116117_cov_42.0179_ID_5263-processed-gene-0.48&CDS=1-1641, snap_masked-NODE_34_length_20932_cov_53.1012_ID_5921-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_34_length_20932_cov_53.1012_ID_5921-processed-gene-0.28&CDS=1-1800
OG0000005	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_27_length_97553_cov_53.5465_ID_5175-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_27_length_97553_cov_53.5465_ID_5175-processed-gene-0.131&CDS=1-1755, maker-NODE_12_length_437675_cov_47.0709_ID_5986-augustus-gene-3.3-mRNA-1_1&gene=maker-NODE_12_length_437675_cov_47.0709_ID_5986-augustus-gene-3.3&CDS=1-2187, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.54&CDS=1-1755, snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.5&CDS=1-1632
OG0000006	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-1.99&CDS=1-3483, augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-2.141&CDS=1-3309, genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-1.122&CDS=1-3252, snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.123-mRNA-1_1&gene=snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-1.123&CDS=1-2265
OG0000007	YKR039W, YLL061W, YPL274W	augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-0.72&CDS=1-1599, augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-3.100&CDS=1-1734, snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-4.43-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-4.43&CDS=1-1860, snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-0.96&CDS=1-1776, snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_9_length_463673_cov_43.3768_ID_4133-processed-gene-0.25&CDS=1-1719
OG0000008	YML111W, YMR275C, YNR069C	augustus_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.207-mRNA-1_1&gene=augustus_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.207&CDS=1-2181, snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.36-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.36&CDS=1-2418, snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.173-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.173&CDS=1-2085, snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.174-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.174&CDS=1-2073, snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.175-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-1.175&CDS=1-2142
OG0000009	YAL005C, YJL034W, YNL209W	augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.117&CDS=1-1959, genemark-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-0.84&CDS=1-1839, maker-NODE_8_length_467519_cov_45.6115_ID_5299-augustus-gene-2.59-mRNA-1_1&gene=maker-NODE_8_length_467519_cov_45.6115_ID_5299-augustus-gene-2.59&CDS=1-2409, snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.140-mRNA-1_1&gene=snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.140&CDS=1-2037
