	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-ari-_s13-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.106&CDS=1-2526, augustus_masked-ari-_s13-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-6.131&CDS=1-2610, augustus_masked-ari-_s288-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-ari-_s288-processed-gene-0.54&CDS=1-4062, augustus_masked-ari-_s34-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.103&CDS=1-1758, genemark-ari-_s9-processed-gene-3.82-mRNA-1_1&gene=genemark-ari-_s9-processed-gene-3.82&CDS=1-4146	YCL024W, YDR477W, YDR507C, YKL101W, YOR233W, YPL141C, YPL150W
OG0000001		YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C
OG0000002	augustus_masked-ari-_s107-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-0.26&CDS=1-3360, augustus_masked-ari-_s13-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-1.17&CDS=1-3282, augustus_masked-ari-_s13-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.115&CDS=1-2487, augustus_masked-ari-_s268-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.22&CDS=1-2277, snap_masked-ari-_s437-processed-gene-0.130-mRNA-1_1&gene=snap_masked-ari-_s437-processed-gene-0.130&CDS=1-2655	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
OG0000003	augustus_masked-ari-_s107-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.16&CDS=1-1713, augustus_masked-ari-_s283-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-ari-_s283-processed-gene-0.68&CDS=1-1671, augustus_masked-ari-_s32-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-1.138&CDS=1-1752, augustus_masked-ari-_s32-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-1.167&CDS=1-1725, augustus_masked-ari-_s399-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s399-processed-gene-0.13&CDS=1-1653, augustus_masked-ari-_s58-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-0.4&CDS=1-1833, augustus_masked-ari-_s9-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-4.107&CDS=1-5592	YKR039W, YLL061W, YPL274W
OG0000004	augustus_masked-ari-_s368-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s368-processed-gene-0.3&CDS=1-1020, augustus_masked-ari-_s393-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s393-processed-gene-0.0&CDS=1-555, snap_masked-ari-_s128-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ari-_s128-processed-gene-0.15&CDS=1-243, snap_masked-ari-_s13-processed-gene-4.33-mRNA-1_1&gene=snap_masked-ari-_s13-processed-gene-4.33&CDS=1-546, snap_masked-ari-_s253-processed-gene-0.42-mRNA-1_1&gene=snap_masked-ari-_s253-processed-gene-0.42&CDS=1-390, snap_masked-ari-_s256-processed-gene-0.19-mRNA-1_1&gene=snap_masked-ari-_s256-processed-gene-0.19&CDS=1-1683, snap_masked-ari-_s261-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ari-_s261-processed-gene-0.12&CDS=1-225, snap_masked-ari-_s34-processed-gene-2.165-mRNA-1_1&gene=snap_masked-ari-_s34-processed-gene-2.165&CDS=1-198, snap_masked-ari-_s412-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ari-_s412-processed-gene-0.7&CDS=1-408	YCL074W
OG0000005	augustus_masked-ari-_s150-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-ari-_s150-processed-gene-0.20&CDS=1-1593, augustus_masked-ari-_s16-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s16-processed-gene-0.1&CDS=1-1497, augustus_masked-ari-_s34-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-0.37&CDS=1-1698, augustus_masked-ari-_s40-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s40-processed-gene-0.0&CDS=1-1638, augustus_masked-ari-_s73-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s73-processed-gene-0.29&CDS=1-1758, snap_masked-ari-_s32-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ari-_s32-processed-gene-0.22&CDS=1-1818	YDR144C, YDR349C, YLR120C, YLR121C
OG0000006	augustus_masked-ari-_s1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.49&CDS=1-2649, augustus_masked-ari-_s134-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.92&CDS=1-2652, augustus_masked-ari-_s432-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s432-processed-gene-0.12&CDS=1-3195, augustus_masked-ari-_s78-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.111&CDS=1-3444, augustus_masked-ari-_s80-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s80-processed-gene-0.14&CDS=1-2796, augustus_masked-ari-_s95-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.34&CDS=1-3609, augustus_masked-ari-_s95-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.35&CDS=1-3549, genemark-ari-_s58-processed-gene-1.107-mRNA-1_1&gene=genemark-ari-_s58-processed-gene-1.107&CDS=1-2763	YKR064W
OG0000007	augustus_masked-ari-_s111-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.3&CDS=1-918, augustus_masked-ari-_s134-processed-gene-4.133-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.133&CDS=1-1065, augustus_masked-ari-_s5-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s5-processed-gene-0.49&CDS=1-942, augustus_masked-ari-_s50-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.56&CDS=1-1020	YDL047W, YDL134C, YDR075W, YNR032W
OG0000008	augustus_masked-ari-_s268-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.32&CDS=1-1893, augustus_masked-ari-_s9-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.49&CDS=1-2139, snap_masked-ari-_s115-processed-gene-0.107-mRNA-1_1&gene=snap_masked-ari-_s115-processed-gene-0.107&CDS=1-2031	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000009	augustus_masked-ari-_s117-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-ari-_s117-processed-gene-0.73&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000010	augustus_masked-ari-_s134-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-3.100&CDS=1-1779, augustus_masked-ari-_s34-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.105&CDS=1-1770	YBR293W, YCL069W, YGR224W, YKR105C, YMR088C, YPR198W
OG0000011	augustus_masked-ari-_s144-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ari-_s144-processed-gene-0.4&CDS=1-939, augustus_masked-ari-_s22-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s22-processed-gene-0.0&CDS=1-2034, augustus_masked-ari-_s265-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s265-processed-gene-0.8&CDS=1-960, augustus_masked-ari-_s50-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.82&CDS=1-2454, augustus_masked-ari-_s73-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s73-processed-gene-0.30&CDS=1-1902, augustus_masked-ari-_s78-processed-gene-2.132-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.132&CDS=1-1623, genemark-ari-_s62-processed-gene-0.7-mRNA-1_1&gene=genemark-ari-_s62-processed-gene-0.7&CDS=1-990, maker-ari-_s6-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s6-augustus-gene-0.0&CDS=1-2946	
OG0000012	maker-ari-_s1-snap-gene-0.63-mRNA-1_1&gene=maker-ari-_s1-snap-gene-0.63&CDS=1-177, maker-ari-_s105-snap-gene-0.2-mRNA-1_1&gene=maker-ari-_s105-snap-gene-0.2&CDS=1-762, snap_masked-ari-_s37-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ari-_s37-processed-gene-0.15&CDS=1-192	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000013	augustus_masked-ari-_s228-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s228-processed-gene-0.14&CDS=1-2376, augustus_masked-ari-_s3-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-2.72&CDS=1-1539, augustus_masked-ari-_s387-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s387-processed-gene-0.33&CDS=1-2268, augustus_masked-ari-_s44-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ari-_s44-processed-gene-0.33&CDS=1-2253, genemark-ari-_s115-processed-gene-0.67-mRNA-1_1&gene=genemark-ari-_s115-processed-gene-0.67&CDS=1-717	YJR061W, YKL201C
OG0000014	augustus_masked-ari-_s50-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.71&CDS=1-930, augustus_masked-ari-_s65-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-ari-_s65-processed-gene-0.60&CDS=1-663, augustus_masked-ari-_s78-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.113&CDS=1-594, snap_masked-ari-_s13-processed-gene-5.10-mRNA-1_1&gene=snap_masked-ari-_s13-processed-gene-5.10&CDS=1-663	YIL118W, YKR055W, YPR165W
OG0000015	augustus_masked-ari-_s181-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s181-processed-gene-0.14&CDS=1-3435, augustus_masked-ari-_s204-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-ari-_s204-processed-gene-0.36&CDS=1-1755, augustus_masked-ari-_s34-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-ari-_s34-processed-gene-2.98&CDS=1-1155, augustus_masked-ari-_s95-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.14&CDS=1-2496	YAR019C, YDR523C, YHR102W
OG0000016	augustus_masked-ari-_s50-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.90&CDS=1-1818, augustus_masked-ari-_s64-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s64-processed-gene-0.49&CDS=1-1857, maker-ari-_s370-augustus-gene-0.0-mRNA-1_1&gene=maker-ari-_s370-augustus-gene-0.0&CDS=1-3984, snap_masked-ari-_s263-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ari-_s263-processed-gene-0.32&CDS=1-1278	YLR098C, YNL101W, YOR337W
OG0000017	augustus_masked-ari-_s4-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-ari-_s4-processed-gene-0.71&CDS=1-966, augustus_masked-ari-_s445-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s445-processed-gene-0.12&CDS=1-1170, augustus_masked-ari-_s78-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-0.64&CDS=1-957	YBL068W, YER099C, YHL011C, YOL061W
OG0000018	augustus_masked-ari-_s1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-ari-_s1-processed-gene-0.50&CDS=1-2193, augustus_masked-ari-_s13-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-0.112&CDS=1-2142, augustus_masked-ari-_s9-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-2.84&CDS=1-1545, maker-ari-_s96-snap-gene-0.53-mRNA-1_1&gene=maker-ari-_s96-snap-gene-0.53&CDS=1-1590, snap_masked-ari-_s91-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ari-_s91-processed-gene-0.9&CDS=1-198	YKR034W
OG0000019	augustus_masked-ari-_s106-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.49&CDS=1-2664, augustus_masked-ari-_s188-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s188-processed-gene-0.3&CDS=1-2550, augustus_masked-ari-_s340-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s340-processed-gene-0.5&CDS=1-2742	YLL005C, YMR266W, YOL084W
OG0000020	augustus_masked-ari-_s11-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s11-processed-gene-0.6&CDS=1-1386, augustus_masked-ari-_s134-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-0.12&CDS=1-2364, augustus_masked-ari-_s3-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-1.65&CDS=1-2121	YGR249W, YHR206W, YOR140W
OG0000021	augustus_masked-ari-_s114-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ari-_s114-processed-gene-0.15&CDS=1-867, augustus_masked-ari-_s272-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ari-_s272-processed-gene-0.18&CDS=1-954, augustus_masked-ari-_s78-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-2.136&CDS=1-909	YDR368W, YJR096W, YOR120W
OG0000022	augustus_masked-ari-_s125-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s125-processed-gene-0.63&CDS=1-1092, augustus_masked-ari-_s134-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-0.19&CDS=1-618, augustus_masked-ari-_s32-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-0.59&CDS=1-486	YDR155C, YDR304C, YLR216C
OG0000023	augustus_masked-ari-_s134-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-1.68&CDS=1-711, augustus_masked-ari-_s29-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-ari-_s29-processed-gene-0.13&CDS=1-1092, augustus_masked-ari-_s299-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s299-processed-gene-0.5&CDS=1-600, augustus_masked-ari-_s345-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-ari-_s345-processed-gene-0.28&CDS=1-1815, snap_masked-ari-_s13-processed-gene-2.21-mRNA-1_1&gene=snap_masked-ari-_s13-processed-gene-2.21&CDS=1-546	YDR207C
OG0000024	augustus_masked-ari-_s13-processed-gene-7.209-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-7.209&CDS=1-3069, augustus_masked-ari-_s152-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s152-processed-gene-0.11&CDS=1-2721, augustus_masked-ari-_s184-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-ari-_s184-processed-gene-0.40&CDS=1-3087	YBR245C, YFR038W, YOR304W
OG0000025	augustus_masked-ari-_s58-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-0.10&CDS=1-1695, maker-ari-_s168-augustus-gene-0.82-mRNA-1_1&gene=maker-ari-_s168-augustus-gene-0.82&CDS=1-1659, maker-ari-_s297-augustus-gene-0.163-mRNA-1_1&gene=maker-ari-_s297-augustus-gene-0.163&CDS=1-3492	YBR237W, YDR243C, YNL112W
OG0000026	augustus_masked-ari-_s171-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-ari-_s171-processed-gene-0.32&CDS=1-1905, augustus_masked-ari-_s46-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s46-processed-gene-0.1&CDS=1-2124	YER054C, YIL045W, YLR273C, YOR178C
OG0000027	augustus_masked-ari-_s181-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ari-_s181-processed-gene-0.17&CDS=1-1650, augustus_masked-ari-_s96-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s96-processed-gene-0.9&CDS=1-1653	YDR342C, YDR343C, YDR345C, YHR092C
OG0000028	augustus_masked-ari-_s234-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-ari-_s234-processed-gene-0.11&CDS=1-948, augustus_masked-ari-_s268-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ari-_s268-processed-gene-0.30&CDS=1-1251, augustus_masked-ari-_s3-processed-gene-4.218-mRNA-1_1&gene=augustus_masked-ari-_s3-processed-gene-4.218&CDS=1-1851	YDL108W, YKL139W, YPR161C
