	Ogataea_polymorpha	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_2-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.69&CDS=1-3540, augustus_masked-scaffold_7-processed-gene-8.156-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.156&CDS=1-1551, augustus_masked-scaffold_7-processed-gene-8.158-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.158&CDS=1-1632, genemark-scaffold_2-processed-gene-11.147-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.147&CDS=1-1641, snap_masked-scaffold_3-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.31&CDS=1-1632, snap_masked-scaffold_6-processed-gene-8.308-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.308&CDS=1-1641, snap_masked-scaffold_6-processed-gene-8.311-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.311&CDS=1-1683	YEL063C, YNL268W, YNL270C, YOR348C
OG0000001	augustus_masked-scaffold_1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.91&CDS=1-2613, augustus_masked-scaffold_2-processed-gene-11.29-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.29&CDS=1-6231, genemark-scaffold_6-processed-gene-0.119-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.119&CDS=1-1398, genemark-scaffold_6-processed-gene-0.127-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.127&CDS=1-1524, genemark-scaffold_7-processed-gene-0.74-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.74&CDS=1-1491, maker-scaffold_2-snap-gene-10.128-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.128&CDS=1-2757, maker-scaffold_4-augustus-gene-10.70-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-10.70&CDS=1-2880	YHR176W, YMR208W
OG0000002	augustus_masked-scaffold_3-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.167&CDS=1-3792, augustus_masked-scaffold_6-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.127&CDS=1-1452, genemark-scaffold_1-processed-gene-14.121-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.121&CDS=1-1509, genemark-scaffold_1-processed-gene-14.123-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.123&CDS=1-1596, genemark-scaffold_6-processed-gene-8.240-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.240&CDS=1-1614, genemark-scaffold_7-processed-gene-8.324-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.324&CDS=1-1275, maker-scaffold_7-augustus-gene-3.70-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.70&CDS=1-3612, snap_masked-scaffold_5-processed-gene-8.26-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.26&CDS=1-1659	YLR361C
OG0000003	augustus_masked-scaffold_1-processed-gene-11.140-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.140&CDS=1-2748	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000004	augustus_masked-scaffold_4-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.85&CDS=1-1134, genemark-scaffold_1-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.51&CDS=1-2361, genemark-scaffold_4-processed-gene-1.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.42&CDS=1-2310, genemark-scaffold_5-processed-gene-11.99-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-11.99&CDS=1-1911, snap_masked-scaffold_1-processed-gene-9.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.92&CDS=1-2613, snap_masked-scaffold_3-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.7&CDS=1-2952	YMR168C
OG0000005	genemark-scaffold_1-processed-gene-14.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.60&CDS=1-1497, genemark-scaffold_1-processed-gene-8.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.49&CDS=1-1479, maker-scaffold_5-snap-gene-11.121-mRNA-1_1&gene=maker-scaffold_5-snap-gene-11.121&CDS=1-2778	YER073W, YMR169C, YMR170C, YOR374W
OG0000006	genemark-scaffold_1-processed-gene-14.89-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.89&CDS=1-1656, genemark-scaffold_4-processed-gene-5.136-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.136&CDS=1-1728, genemark-scaffold_7-processed-gene-8.309-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.309&CDS=1-1545, maker-scaffold_4-augustus-gene-0.60-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-0.60&CDS=1-3426, maker-scaffold_4-augustus-gene-12.4-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-12.4&CDS=1-2823, maker-scaffold_4-augustus-gene-2.66-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-2.66&CDS=1-3048	YDR242W
OG0000007	augustus_masked-scaffold_6-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.24&CDS=1-2874, genemark-scaffold_2-processed-gene-5.71-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.71&CDS=1-2112	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000008	augustus_masked-scaffold_7-processed-gene-8.160-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.160&CDS=1-3906, genemark-scaffold_4-processed-gene-12.83-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.83&CDS=1-3936, genemark-scaffold_6-processed-gene-8.194-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.194&CDS=1-3945, maker-scaffold_5-augustus-gene-1.54-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.54&CDS=1-5799, maker-scaffold_7-augustus-gene-0.167-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-0.167&CDS=1-5451, snap_masked-scaffold_2-processed-gene-11.55-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.55&CDS=1-3810	YKL215C
OG0000009	genemark-scaffold_2-processed-gene-14.203-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.203&CDS=1-1584, genemark-scaffold_4-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.36&CDS=1-1710, genemark-scaffold_6-processed-gene-0.125-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.125&CDS=1-1710, genemark-scaffold_6-processed-gene-8.191-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.191&CDS=1-1692	YLR237W, YOR071C, YOR192C
