	Saccharomyces_cerevisiae	yHMPu5000035037_Candida_montana
OG0000000		augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-2.191-mRNA-1_1&gene=augustus_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-2.191&CDS=1-4392, augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-0.64&CDS=1-1995, augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.78&CDS=1-2895, augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.101&CDS=1-1749, augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.77&CDS=1-3279, augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-1.78&CDS=1-2730, augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-1.87&CDS=1-2172, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-0.58&CDS=1-1605, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-0.61&CDS=1-4044, augustus_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-1.128&CDS=1-3609, augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.207&CDS=1-2868, augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.208&CDS=1-2643, augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.89&CDS=1-3015, augustus_masked-NODE_28_length_71165_cov_21.7957_ID_55-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_28_length_71165_cov_21.7957_ID_55-processed-gene-0.46&CDS=1-2997, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-2.56&CDS=1-3099, augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.155-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.155&CDS=1-2079, augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.156-mRNA-1_1&gene=augustus_masked-NODE_9_length_624420_cov_24.2558_ID_17-processed-gene-5.156&CDS=1-2004, maker-NODE_18_length_257630_cov_25.7881_ID_35-snap-gene-1.8-mRNA-1_1&gene=maker-NODE_18_length_257630_cov_25.7881_ID_35-snap-gene-1.8&CDS=1-2127, maker-NODE_9_length_624420_cov_24.2558_ID_17-augustus-gene-5.73-mRNA-1_1&gene=maker-NODE_9_length_624420_cov_24.2558_ID_17-augustus-gene-5.73&CDS=1-2112, maker-NODE_9_length_624420_cov_24.2558_ID_17-snap-gene-5.1-mRNA-1_1&gene=maker-NODE_9_length_624420_cov_24.2558_ID_17-snap-gene-5.1&CDS=1-5364, snap_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-2.15-mRNA-1_1&gene=snap_masked-NODE_11_length_385550_cov_34.4682_ID_21-processed-gene-2.15&CDS=1-2394, snap_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.40&CDS=1-6225, snap_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_16_length_279875_cov_21.5789_ID_31-processed-gene-0.87&CDS=1-2433, snap_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_19_length_256665_cov_23.3304_ID_37-processed-gene-1.58&CDS=1-2889, snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.33&CDS=1-2925
OG0000001	YNL051W, YNL070W	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-0.56&CDS=1-1545, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.14&CDS=1-2346, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.15&CDS=1-2274, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.17&CDS=1-2271, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.18&CDS=1-2370, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.49&CDS=1-2292, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.21&CDS=1-1758, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.41&CDS=1-1410, augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.42&CDS=1-2301, augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.107&CDS=1-3465, augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-5.134&CDS=1-3375, maker-NODE_14_length_316299_cov_39.3557_ID_27-augustus-gene-2.180-mRNA-1_1&gene=maker-NODE_14_length_316299_cov_39.3557_ID_27-augustus-gene-2.180&CDS=1-2325, snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-1.102&CDS=1-2337, snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.142-mRNA-1_1&gene=snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.142&CDS=1-2403, snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.143-mRNA-1_1&gene=snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.143&CDS=1-2331, snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.154-mRNA-1_1&gene=snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.154&CDS=1-2361, snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.161-mRNA-1_1&gene=snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.161&CDS=1-1050, snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.168-mRNA-1_1&gene=snap_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-2.168&CDS=1-2205, snap_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.19-mRNA-1_1&gene=snap_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-5.19&CDS=1-1071
OG0000002	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-2.31&CDS=1-1608
OG0000003	YKL071W	augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_14_length_316299_cov_39.3557_ID_27-processed-gene-0.62&CDS=1-765, augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-NODE_1_length_1500601_cov_22.1594_ID_1-processed-gene-1.159&CDS=1-753, augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.109&CDS=1-759, augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-NODE_22_length_186515_cov_21.886_ID_43-processed-gene-0.185&CDS=1-753, augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.84&CDS=1-747, augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-4.66&CDS=1-768, augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-0.78&CDS=1-753, augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-NODE_3_length_939491_cov_21.5647_ID_5-processed-gene-1.14&CDS=1-753, augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.24&CDS=1-753, augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-3.46&CDS=1-750, snap_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.147-mRNA-1_1&gene=snap_masked-NODE_21_length_220971_cov_41.4188_ID_41-processed-gene-1.147&CDS=1-759
OG0000004	YBR240C, YDR207C	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.141&CDS=1-645, augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-0.16&CDS=1-2160, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-0.14&CDS=1-1716, maker-NODE_14_length_316299_cov_39.3557_ID_27-augustus-gene-2.183-mRNA-1_1&gene=maker-NODE_14_length_316299_cov_39.3557_ID_27-augustus-gene-2.183&CDS=1-1824, maker-NODE_3_length_939491_cov_21.5647_ID_5-augustus-gene-1.89-mRNA-1_1&gene=maker-NODE_3_length_939491_cov_21.5647_ID_5-augustus-gene-1.89&CDS=1-1815, snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-2.23&CDS=1-1011, snap_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_20_length_235942_cov_20.2595_ID_39-processed-gene-0.88&CDS=1-513
OG0000005	YCL025C, YDR508C, YGR191W, YKR039W	augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_15_length_311180_cov_37.0353_ID_29-processed-gene-0.40&CDS=1-1755, augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-0.53&CDS=1-1767, augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-NODE_6_length_737178_cov_21.3816_ID_11-processed-gene-2.72&CDS=1-1746, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-3.106&CDS=1-1773, snap_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.135-mRNA-1_1&gene=snap_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.135&CDS=1-1767
OG0000006	YDL037C, YIR019C	augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_13_length_321718_cov_26.7698_ID_25-processed-gene-0.3&CDS=1-1725, augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.11&CDS=1-1575, augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-0.27&CDS=1-3531, augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.95&CDS=1-3894, augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_24_length_139511_cov_22.8943_ID_47-processed-gene-0.96&CDS=1-2073, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.47-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-5.47&CDS=1-7797, snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-8.131-mRNA-1_1&gene=snap_masked-NODE_2_length_1027597_cov_21.5416_ID_3-processed-gene-8.131&CDS=1-1668
OG0000007	YGL257C, YLR143W, YNR059W	augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-0.108&CDS=1-2331, augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.72&CDS=1-1710, augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-1.73&CDS=1-2238, genemark-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-1.142-mRNA-1_1&gene=genemark-NODE_17_length_267852_cov_39.6876_ID_33-processed-gene-1.142&CDS=1-3876, snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_10_length_454652_cov_34.2411_ID_19-processed-gene-3.62&CDS=1-2013
OG0000008	YPL088W	augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-NODE_12_length_325957_cov_37.5909_ID_23-processed-gene-2.108&CDS=1-1065, augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-NODE_18_length_257630_cov_25.7881_ID_35-processed-gene-1.165&CDS=1-1083, augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-6.15&CDS=1-1080, augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.182-mRNA-1_1&gene=augustus_masked-NODE_5_length_745227_cov_21.5169_ID_9-processed-gene-6.182&CDS=1-1062, augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NODE_7_length_704842_cov_29.3696_ID_13-processed-gene-2.61&CDS=1-1059, augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-NODE_8_length_699131_cov_28.927_ID_15-processed-gene-5.72&CDS=1-777, maker-NODE_7_length_704842_cov_29.3696_ID_13-snap-gene-2.48-mRNA-1_1&gene=maker-NODE_7_length_704842_cov_29.3696_ID_13-snap-gene-2.48&CDS=1-2055
OG0000009	YBR042C, YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_4_length_770689_cov_28.8974_ID_7-processed-gene-1.71&CDS=1-2229
