	Saccharomyces_cerevisiae	Vanderwaltozyma_polyspora
OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
OG0000001	YCL076W	augustus_masked-NW_001834420.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_001834420.1-processed-gene-0.0&CDS=1-726, augustus_masked-NW_001834434.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834434.1-processed-gene-0.2&CDS=1-498, augustus_masked-NW_001834446.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NW_001834446.1-processed-gene-0.1&CDS=1-1497, augustus_masked-NW_001834475.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NW_001834475.1-processed-gene-0.4&CDS=1-1467, augustus_masked-NW_001834498.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NW_001834498.1-processed-gene-0.5&CDS=1-534, augustus_masked-NW_001834565.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NW_001834565.1-processed-gene-0.14&CDS=1-2139, augustus_masked-NW_001834565.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NW_001834565.1-processed-gene-0.16&CDS=1-657, augustus_masked-NW_001834691.1-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-1.42&CDS=1-582, augustus_masked-NW_001834692.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NW_001834692.1-processed-gene-0.69&CDS=1-522, augustus_masked-NW_001834694.1-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-3.145&CDS=1-1377, snap_masked-NW_001834415.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NW_001834415.1-processed-gene-0.0&CDS=1-444, snap_masked-NW_001834436.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NW_001834436.1-processed-gene-0.5&CDS=1-432, snap_masked-NW_001834438.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NW_001834438.1-processed-gene-0.0&CDS=1-738, snap_masked-NW_001834489.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NW_001834489.1-processed-gene-0.1&CDS=1-2271, snap_masked-NW_001834500.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NW_001834500.1-processed-gene-0.6&CDS=1-1704, snap_masked-NW_001834552.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NW_001834552.1-processed-gene-0.0&CDS=1-1908, snap_masked-NW_001834565.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NW_001834565.1-processed-gene-0.3&CDS=1-2142, snap_masked-NW_001834603.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NW_001834603.1-processed-gene-0.7&CDS=1-210
OG0000002	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YOL156W	augustus_masked-NW_001834579.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NW_001834579.1-processed-gene-0.23&CDS=1-1899, augustus_masked-NW_001834626.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NW_001834626.1-processed-gene-0.7&CDS=1-1701, augustus_masked-NW_001834629.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NW_001834629.1-processed-gene-0.66&CDS=1-1710, augustus_masked-NW_001834645.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NW_001834645.1-processed-gene-0.57&CDS=1-1689
OG0000003		augustus_masked-NW_001834451.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NW_001834451.1-processed-gene-0.4&CDS=1-1866, augustus_masked-NW_001834492.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834492.1-processed-gene-0.2&CDS=1-1521, augustus_masked-NW_001834493.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NW_001834493.1-processed-gene-0.8&CDS=1-1947, augustus_masked-NW_001834507.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NW_001834507.1-processed-gene-0.2&CDS=1-4644, augustus_masked-NW_001834517.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NW_001834517.1-processed-gene-0.5&CDS=1-2079, augustus_masked-NW_001834565.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NW_001834565.1-processed-gene-0.17&CDS=1-2919, augustus_masked-NW_001834599.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NW_001834599.1-processed-gene-0.10&CDS=1-4050, genemark-NW_001834465.1-processed-gene-0.3-mRNA-1_1&gene=genemark-NW_001834465.1-processed-gene-0.3&CDS=1-2946, maker-NW_001834436.1-snap-gene-0.3-mRNA-1_1&gene=maker-NW_001834436.1-snap-gene-0.3&CDS=1-1350, snap_masked-NW_001834492.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NW_001834492.1-processed-gene-0.7&CDS=1-885, snap_masked-NW_001834552.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NW_001834552.1-processed-gene-0.5&CDS=1-2319, snap_masked-NW_001834605.1-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NW_001834605.1-processed-gene-0.23&CDS=1-2217, snap_masked-NW_001834605.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NW_001834605.1-processed-gene-0.24&CDS=1-1362, snap_masked-NW_001834690.1-processed-gene-1.172-mRNA-1_1&gene=snap_masked-NW_001834690.1-processed-gene-1.172&CDS=1-3930
OG0000004	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	snap_masked-NW_001834686.1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NW_001834686.1-processed-gene-1.37&CDS=1-270
OG0000005	YAL005C, YBL075C, YER103W, YLL024C	augustus_masked-NW_001834659.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NW_001834659.1-processed-gene-0.54&CDS=1-1920, augustus_masked-NW_001834677.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NW_001834677.1-processed-gene-0.71&CDS=1-1920, augustus_masked-NW_001834678.1-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NW_001834678.1-processed-gene-0.132&CDS=1-1938, augustus_masked-NW_001834694.1-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NW_001834694.1-processed-gene-2.61&CDS=1-1923
OG0000006	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NW_001834691.1-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NW_001834691.1-processed-gene-1.41&CDS=1-4614
OG0000007	YHL009W-A, YHL009W-B, YJL113W, YJL114W, YPL060C-A	augustus_masked-NW_001834686.1-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NW_001834686.1-processed-gene-0.46&CDS=1-1395, snap_masked-NW_001834694.1-processed-gene-3.231-mRNA-1_1&gene=snap_masked-NW_001834694.1-processed-gene-3.231&CDS=1-1197
OG0000008	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NW_001834531.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NW_001834531.1-processed-gene-0.7&CDS=1-4803, augustus_masked-NW_001834620.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NW_001834620.1-processed-gene-0.24&CDS=1-2901
OG0000009	YCR102C, YLR460C, YNL134C	augustus_masked-NW_001834552.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834552.1-processed-gene-0.13&CDS=1-1128, augustus_masked-NW_001834643.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_001834643.1-processed-gene-0.13&CDS=1-1251, genemark-NW_001834604.1-processed-gene-0.8-mRNA-1_1&gene=genemark-NW_001834604.1-processed-gene-0.8&CDS=1-1023
