	Saccharomyces_cerevisiae	yHMPu5000035665_Middelhovenomyces_tepae
OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-3.89-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-3.89&CDS=1-1578
OG0000001	YKL220C, YLL051C, YNR060W, YOL152W, YOR381W, YOR384W	augustus_masked-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_18_length_247728_cov_23.5958_ID_2634-processed-gene-1.6&CDS=1-2262, genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.181-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.181&CDS=1-1812, genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.103-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.103&CDS=1-2154, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.46-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-8.46&CDS=1-2436, snap_masked-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_15_length_310466_cov_23.5083_ID_2788-processed-gene-0.64&CDS=1-1779, snap_masked-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.17&CDS=1-2103, snap_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-3.116&CDS=1-2076
OG0000002	YLR004C	augustus_masked-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.54&CDS=1-1539, genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.111-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.111&CDS=1-1467, genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-6.192-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-6.192&CDS=1-1539, genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.97-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.97&CDS=1-1494, genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-14.106-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-14.106&CDS=1-1515, genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.71-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-10.71&CDS=1-1512, genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.115-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.115&CDS=1-1527, genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.119-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.119&CDS=1-1515, genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.85-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.85&CDS=1-1551, genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-11.80-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-11.80&CDS=1-1539, genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.28&CDS=1-1512, genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.6&CDS=1-1506
OG0000003	YDR402C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.116-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.116&CDS=1-1545, genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.81-mRNA-1_1&gene=genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.81&CDS=1-1518, genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.87-mRNA-1_1&gene=genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-1.87&CDS=1-1539, genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_21_length_104181_cov_26.4888_ID_2982-processed-gene-0.20&CDS=1-1518, genemark-NODE_23_length_38771_cov_28.3394_ID_3200-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_23_length_38771_cov_28.3394_ID_3200-processed-gene-0.38&CDS=1-1503, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.94&CDS=1-1467, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.70-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.70&CDS=1-1518, maker-NODE_14_length_356149_cov_25.4901_ID_2492-snap-gene-2.67-mRNA-1_1&gene=maker-NODE_14_length_356149_cov_25.4901_ID_2492-snap-gene-2.67&CDS=1-3027, maker-NODE_6_length_1060276_cov_25.4502_ID_2229-snap-gene-3.160-mRNA-1_1&gene=maker-NODE_6_length_1060276_cov_25.4502_ID_2229-snap-gene-3.160&CDS=1-3144, maker-NODE_6_length_1060276_cov_25.4502_ID_2229-snap-gene-7.43-mRNA-1_1&gene=maker-NODE_6_length_1060276_cov_25.4502_ID_2229-snap-gene-7.43&CDS=1-2946
OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.89-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.89&CDS=1-1749, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.60-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.60&CDS=1-1755
OG0000005	YLR237W, YOR071C, YOR192C	genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.217-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.217&CDS=1-1659, genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.83&CDS=1-1698, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-6.23-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-6.23&CDS=1-1671, genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-11.96-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-11.96&CDS=1-1695, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.53-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-5.53&CDS=1-1689, genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.7&CDS=1-1698
OG0000006	YBR033W, YKL038W	genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.107-mRNA-1_1&gene=genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.107&CDS=1-2178, genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.128-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.128&CDS=1-2190, genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.122-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.122&CDS=1-2526, genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.89&CDS=1-1812, genemark-NODE_23_length_38771_cov_28.3394_ID_3200-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_23_length_38771_cov_28.3394_ID_3200-processed-gene-0.33&CDS=1-2193, snap_masked-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.178-mRNA-1_1&gene=snap_masked-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.178&CDS=1-2187
OG0000007	YLR098C, YOR337W	genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.45-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.45&CDS=1-2373, snap_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.18-mRNA-1_1&gene=snap_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-5.18&CDS=1-1881, snap_masked-NODE_23_length_38771_cov_28.3394_ID_3200-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_23_length_38771_cov_28.3394_ID_3200-processed-gene-0.22&CDS=1-1764, snap_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.51-mRNA-1_1&gene=snap_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-1.51&CDS=1-1755, snap_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.48&CDS=1-936, snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-6.108-mRNA-1_1&gene=snap_masked-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-6.108&CDS=1-1698
OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.15&CDS=1-1362, genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.4-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-3.4&CDS=1-1368
OG0000009	YBR147W, YDR352W, YOL092W	genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-6.29-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-6.29&CDS=1-1116, genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-4.101-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-4.101&CDS=1-1119, maker-NODE_8_length_986125_cov_23.6789_ID_1757-snap-gene-5.58-mRNA-1_1&gene=maker-NODE_8_length_986125_cov_23.6789_ID_1757-snap-gene-5.58&CDS=1-858
OG0000010	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.45&CDS=1-1503, snap_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.171-mRNA-1_1&gene=snap_masked-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.171&CDS=1-1563
OG0000011	YHR179W, YPL171C	genemark-NODE_20_length_110389_cov_22.8472_ID_2902-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_20_length_110389_cov_22.8472_ID_2902-processed-gene-0.93&CDS=1-1107, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.58-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-7.58&CDS=1-1116, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-0.85&CDS=1-1104, genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-0.12&CDS=1-1125
OG0000012	YJL172W, YOL153C	genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.96-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.96&CDS=1-1731, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.104-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.104&CDS=1-1743, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-1.122-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-1.122&CDS=1-1566, genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.39-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-2.39&CDS=1-1836
OG0000013	YKL071W	augustus_masked-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.51-mRNA-1_1&gene=augustus_masked-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-5.51&CDS=1-747, genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.77&CDS=1-747, genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.84&CDS=1-747, genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-10.50-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-10.50&CDS=1-744, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.98-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-0.98&CDS=1-747
OG0000014	YPL088W	genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.93&CDS=1-1008, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.104-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.104&CDS=1-1011, genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-5.139-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-5.139&CDS=1-1008, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-0.73&CDS=1-1011, maker-NODE_2_length_1239734_cov_23.249_ID_1403-snap-gene-11.64-mRNA-1_1&gene=maker-NODE_2_length_1239734_cov_23.249_ID_1403-snap-gene-11.64&CDS=1-2034
