	Neurospora_crassa	Saccharomyces_cerevisiae
OG0000000	XP_956001.1	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
OG0000001	XP_961795.1, XP_963121.2	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000002	XP_011394223.1, XP_011394224.1, XP_958137.1, XP_960687.1, XP_962565.1	YBL069W, YER101C, YMR152W
OG0000003	XP_011395298.1, XP_011395299.1, XP_957468.3, XP_958171.3	YCL069W, YGR224W, YKR105C, YPR198W
OG0000004	XP_011393631.1, XP_011393632.1, XP_011393633.1	YDL244W, YFL058W, YJR156C, YNL332W
OG0000005	XP_011394577.1, XP_011394578.1, XP_011394579.1, XP_011394580.1, XP_011394581.1	YDR272W, YOR040W
OG0000006	XP_011395113.1, XP_011395114.1, XP_958975.2, XP_960096.2, XP_961671.1, XP_964183.3	YLR057W
OG0000007	XP_011395150.1, XP_011395151.1, XP_011395152.1, XP_011395153.1, XP_957606.3	YCR018C, YPL021W
OG0000008	XP_957010.1, XP_964874.2	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000009	XP_957221.3, XP_961794.1	YCL067C, YCR039C, YCR096C, YGL096W, YPL177C
OG0000010	XP_011393230.1, XP_011393231.1, XP_011395222.1, XP_011395223.1	YLR287C-A, YOR182C
OG0000011	XP_011395163.1, XP_011395164.1, XP_011395165.1, XP_011395166.1	YCL011C, YNL004W
OG0000012	XP_011395255.1, XP_011395256.1, XP_011395257.1, XP_011395258.1	YDR146C, YLR131C
OG0000013	XP_955949.1, XP_961085.2	YKL222C, YLR266C, YOR162C, YOR172W
OG0000014	XP_957648.1	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000015	XP_958609.1	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W
OG0000016	XP_959149.3, XP_962507.3, XP_963587.1	YLR098C, YNR063W, YOR337W
OG0000017	XP_964408.2	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000018	XP_001728217.2, XP_958437.3, XP_959693.2	YLR307W, YLR308W
OG0000019	XP_011392786.1, XP_011392787.1, XP_011392788.1	YDL222C, YNL194C
OG0000020	XP_011392802.1, XP_011392803.1, XP_011392804.1, XP_011392805.1	YPL096W
OG0000021	XP_011392897.1, XP_011392898.1, XP_959158.2	YBR150C, YOL089C
OG0000022	XP_011392998.1	YIL123W, YJL116C, YKR042W, YNL066W
OG0000023	XP_011393084.1, XP_011393085.1, XP_011393086.1, XP_011393087.1	YPL242C
