	Saccharomyces_cerevisiae	yHMPu5000034627_Pichia_heedii
OG0000000	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	genemark-NODE_235_length_1444_cov_12.9501_ID_469-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_235_length_1444_cov_12.9501_ID_469-processed-gene-0.0&CDS=1-561, snap_masked-NODE_144_length_5692_cov_14.0485_ID_287-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_144_length_5692_cov_14.0485_ID_287-processed-gene-0.2&CDS=1-4491
OG0000001	YBR015C, YGR024C	augustus_masked-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_61_length_53777_cov_13.058_ID_121-processed-gene-0.87&CDS=1-1347, genemark-NODE_117_length_15274_cov_37.4607_ID_233-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_117_length_15274_cov_37.4607_ID_233-processed-gene-0.12&CDS=1-1923, genemark-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.83&CDS=1-1905, genemark-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_50_length_77460_cov_13.7336_ID_99-processed-gene-0.64&CDS=1-2166, maker-NODE_15_length_166936_cov_13.3978_ID_29-augustus-gene-0.76-mRNA-1_1&gene=maker-NODE_15_length_166936_cov_13.3978_ID_29-augustus-gene-0.76&CDS=1-2580, maker-NODE_7_length_212466_cov_13.4142_ID_13-snap-gene-1.117-mRNA-1_1&gene=maker-NODE_7_length_212466_cov_13.4142_ID_13-snap-gene-1.117&CDS=1-2646, snap_masked-NODE_108_length_23704_cov_12.086_ID_215-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_108_length_23704_cov_12.086_ID_215-processed-gene-0.0&CDS=1-1764, snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_37_length_94444_cov_12.3765_ID_73-processed-gene-0.112&CDS=1-1668, snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.50-mRNA-1_1&gene=snap_masked-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.50&CDS=1-2064
OG0000002	YJL034W, YJR045C, YKL073W, YLL024C, YLR369W	augustus_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_49_length_79464_cov_13.3988_ID_97-processed-gene-0.6&CDS=1-1740, genemark-NODE_94_length_32069_cov_18.0477_ID_187-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_94_length_32069_cov_18.0477_ID_187-processed-gene-0.24&CDS=1-2925, snap_masked-NODE_102_length_26420_cov_17.2761_ID_203-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_102_length_26420_cov_17.2761_ID_203-processed-gene-0.3&CDS=1-1914, snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.84&CDS=1-1953, snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.18&CDS=1-2028, snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.146&CDS=1-1929
OG0000003	YDR011W, YOR153W, YPL058C	genemark-NODE_68_length_46308_cov_13.724_ID_135-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_68_length_46308_cov_13.724_ID_135-processed-gene-0.30&CDS=1-4590, genemark-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.60&CDS=1-4485, genemark-NODE_99_length_28926_cov_14.2601_ID_197-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_99_length_28926_cov_14.2601_ID_197-processed-gene-0.11&CDS=1-4503, maker-NODE_165_length_3243_cov_21.315_ID_329-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_165_length_3243_cov_21.315_ID_329-snap-gene-0.5&CDS=1-2499, maker-NODE_28_length_112988_cov_13.2826_ID_55-snap-gene-0.57-mRNA-1_1&gene=maker-NODE_28_length_112988_cov_13.2826_ID_55-snap-gene-0.57&CDS=1-4488, snap_masked-NODE_120_length_13043_cov_13.6155_ID_239-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_120_length_13043_cov_13.6155_ID_239-processed-gene-0.8&CDS=1-4500
OG0000004	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	genemark-NODE_105_length_24070_cov_26.0973_ID_209-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_105_length_24070_cov_26.0973_ID_209-processed-gene-0.18&CDS=1-2106, snap_masked-NODE_110_length_20124_cov_25.7919_ID_219-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_110_length_20124_cov_25.7919_ID_219-processed-gene-0.15&CDS=1-2103, snap_masked-NODE_128_length_9899_cov_14.3066_ID_255-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_128_length_9899_cov_14.3066_ID_255-processed-gene-0.2&CDS=1-2097, snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-1.39-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-1.39&CDS=1-2103
OG0000005	YKR064W, YLR256W	augustus_masked-NODE_103_length_25624_cov_12.0559_ID_205-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_103_length_25624_cov_12.0559_ID_205-processed-gene-0.33&CDS=1-2382, augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.12&CDS=1-2373, augustus_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.49&CDS=1-4029, genemark-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_16_length_165125_cov_20.5115_ID_31-processed-gene-0.62&CDS=1-2274, maker-NODE_12_length_182624_cov_13.0032_ID_23-augustus-gene-0.177-mRNA-1_1&gene=maker-NODE_12_length_182624_cov_13.0032_ID_23-augustus-gene-0.177&CDS=1-8256, snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.39&CDS=1-2670, snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-1.26&CDS=1-3168
OG0000006	YCL024W, YDR477W, YDR507C, YPL150W	augustus_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-NODE_25_length_121520_cov_12.8026_ID_49-processed-gene-0.127&CDS=1-1788, snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.183-mRNA-1_1&gene=snap_masked-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.183&CDS=1-3024, snap_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_43_length_85832_cov_13.1704_ID_85-processed-gene-0.97&CDS=1-3561, snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-0.33&CDS=1-3681
OG0000007	YGL257C, YIL014W, YNR059W	augustus_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.107&CDS=1-2523, genemark-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.60&CDS=1-2364, snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.89&CDS=1-1209, snap_masked-NODE_117_length_15274_cov_37.4607_ID_233-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_117_length_15274_cov_37.4607_ID_233-processed-gene-0.3&CDS=1-2271, snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.43&CDS=1-234
OG0000008	YMR169C, YMR170C, YOR374W	snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.23&CDS=1-1491, snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.31&CDS=1-1581, snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_15_length_166936_cov_13.3978_ID_29-processed-gene-0.43&CDS=1-1503, snap_masked-NODE_34_length_97442_cov_12.6926_ID_67-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_34_length_97442_cov_12.6926_ID_67-processed-gene-0.115&CDS=1-1755, snap_masked-NODE_85_length_38678_cov_11.7766_ID_169-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_85_length_38678_cov_11.7766_ID_169-processed-gene-0.50&CDS=1-1506
OG0000009	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.7&CDS=1-1644, snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_7_length_212466_cov_13.4142_ID_13-processed-gene-0.33&CDS=1-1806
