	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	
OG0000001		augustus_masked-LQHL01000331.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000331.1-processed-gene-0.1&CDS=1-438, augustus_masked-LQHL01000761.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000761.1-processed-gene-0.2&CDS=1-942, augustus_masked-LQHL01001005.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001005.1-processed-gene-0.1&CDS=1-1815, augustus_masked-LQHL01001162.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001162.1-processed-gene-0.1&CDS=1-987, augustus_masked-LQHL01001203.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001203.1-processed-gene-0.2&CDS=1-1380, augustus_masked-LQHL01001293.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001293.1-processed-gene-0.2&CDS=1-2919, augustus_masked-LQHL01001307.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001307.1-processed-gene-0.2&CDS=1-3690, augustus_masked-LQHL01001374.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001374.1-processed-gene-0.3&CDS=1-1803, augustus_masked-LQHL01001412.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001412.1-processed-gene-0.1&CDS=1-354, augustus_masked-LQHL01001442.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01001442.1-processed-gene-0.0&CDS=1-4314, augustus_masked-LQHL01001503.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQHL01001503.1-processed-gene-0.7&CDS=1-4521, augustus_masked-LQHL01001584.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LQHL01001584.1-processed-gene-0.15&CDS=1-900, augustus_masked-LQHL01001640.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQHL01001640.1-processed-gene-0.12&CDS=1-1683, augustus_masked-LQHL01001649.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQHL01001649.1-processed-gene-0.3&CDS=1-3828, augustus_masked-LQHL01001736.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQHL01001736.1-processed-gene-0.12&CDS=1-8043, augustus_masked-LQHL01001756.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LQHL01001756.1-processed-gene-0.33&CDS=1-1470, augustus_masked-LQHL01001856.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LQHL01001856.1-processed-gene-0.35&CDS=1-3582, snap_masked-LQHL01000779.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01000779.1-processed-gene-0.1&CDS=1-759, snap_masked-LQHL01000864.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000864.1-processed-gene-0.0&CDS=1-579, snap_masked-LQHL01001208.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001208.1-processed-gene-0.0&CDS=1-1299, snap_masked-LQHL01001373.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01001373.1-processed-gene-0.2&CDS=1-3693, snap_masked-LQHL01001437.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01001437.1-processed-gene-0.2&CDS=1-1140, snap_masked-LQHL01001640.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001640.1-processed-gene-0.1&CDS=1-1602, snap_masked-LQHL01001736.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01001736.1-processed-gene-0.2&CDS=1-3576
OG0000002	YGL257C, YNR059W	augustus_masked-LQHL01001020.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01001020.1-processed-gene-0.0&CDS=1-1767, augustus_masked-LQHL01001089.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001089.1-processed-gene-0.2&CDS=1-1182, augustus_masked-LQHL01001130.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001130.1-processed-gene-0.2&CDS=1-792, augustus_masked-LQHL01001564.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQHL01001564.1-processed-gene-0.12&CDS=1-2277, augustus_masked-LQHL01001865.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LQHL01001865.1-processed-gene-0.62&CDS=1-792, genemark-LQHL01001773.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001773.1-processed-gene-0.21&CDS=1-2190, genemark-LQHL01001780.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001780.1-processed-gene-0.21&CDS=1-1683, genemark-LQHL01001789.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001789.1-processed-gene-0.7&CDS=1-2211, genemark-LQHL01001826.1-processed-gene-0.52-mRNA-1_1&gene=genemark-LQHL01001826.1-processed-gene-0.52&CDS=1-2211, genemark-LQHL01001848.1-processed-gene-0.68-mRNA-1_1&gene=genemark-LQHL01001848.1-processed-gene-0.68&CDS=1-2286, genemark-LQHL01001865.1-processed-gene-0.112-mRNA-1_1&gene=genemark-LQHL01001865.1-processed-gene-0.112&CDS=1-2109, maker-LQHL01000804.1-snap-gene-0.2-mRNA-1_1&gene=maker-LQHL01000804.1-snap-gene-0.2&CDS=1-969, maker-LQHL01001643.1-snap-gene-0.8-mRNA-1_1&gene=maker-LQHL01001643.1-snap-gene-0.8&CDS=1-4245, snap_masked-LQHL01000557.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000557.1-processed-gene-0.0&CDS=1-618
OG0000003	YJR061W, YKL201C	augustus_masked-LQHL01000669.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000669.1-processed-gene-0.1&CDS=1-915, genemark-LQHL01001068.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001068.1-processed-gene-0.2&CDS=1-1593, genemark-LQHL01001369.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001369.1-processed-gene-0.0&CDS=1-2220, genemark-LQHL01001399.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQHL01001399.1-processed-gene-0.4&CDS=1-2316, genemark-LQHL01001807.1-processed-gene-0.51-mRNA-1_1&gene=genemark-LQHL01001807.1-processed-gene-0.51&CDS=1-2403, genemark-LQHL01001821.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001821.1-processed-gene-0.21&CDS=1-3066, genemark-LQHL01001824.1-processed-gene-0.36-mRNA-1_1&gene=genemark-LQHL01001824.1-processed-gene-0.36&CDS=1-1776, maker-LQHL01001807.1-augustus-gene-0.8-mRNA-1_1&gene=maker-LQHL01001807.1-augustus-gene-0.8&CDS=1-1836, snap_masked-LQHL01000574.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000574.1-processed-gene-0.2&CDS=1-546, snap_masked-LQHL01001864.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LQHL01001864.1-processed-gene-0.16&CDS=1-2091
OG0000004		augustus_masked-LQHL01000636.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000636.1-processed-gene-0.1&CDS=1-585, augustus_masked-LQHL01001259.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01001259.1-processed-gene-0.1&CDS=1-2508, augustus_masked-LQHL01001439.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01001439.1-processed-gene-0.0&CDS=1-414, augustus_masked-LQHL01001459.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001459.1-processed-gene-0.2&CDS=1-4908, augustus_masked-LQHL01001762.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQHL01001762.1-processed-gene-0.23&CDS=1-1410, snap_masked-LQHL01000578.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000578.1-processed-gene-0.0&CDS=1-450, snap_masked-LQHL01001333.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001333.1-processed-gene-0.0&CDS=1-3879, snap_masked-LQHL01001337.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001337.1-processed-gene-0.0&CDS=1-3879, snap_masked-LQHL01001353.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001353.1-processed-gene-0.0&CDS=1-3879, snap_masked-LQHL01001366.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQHL01001366.1-processed-gene-0.1&CDS=1-3879, snap_masked-LQHL01001379.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LQHL01001379.1-processed-gene-0.5&CDS=1-3879, snap_masked-LQHL01001397.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LQHL01001397.1-processed-gene-0.5&CDS=1-3879
OG0000005	YBL017C, YCR099C, YCR100C, YCR101C, YIL173W, YJL222W, YNR065C, YNR066C	augustus_masked-LQHL01001237.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001237.1-processed-gene-0.2&CDS=1-2940, augustus_masked-LQHL01001662.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LQHL01001662.1-processed-gene-0.9&CDS=1-1353, genemark-LQHL01000208.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01000208.1-processed-gene-0.1&CDS=1-384
OG0000006	YJR004C	genemark-LQHL01001595.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001595.1-processed-gene-0.13&CDS=1-3267, genemark-LQHL01001862.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001862.1-processed-gene-0.21&CDS=1-2970, maker-LQHL01001087.1-snap-gene-0.4-mRNA-1_1&gene=maker-LQHL01001087.1-snap-gene-0.4&CDS=1-1773, maker-LQHL01001467.1-snap-gene-0.3-mRNA-1_1&gene=maker-LQHL01001467.1-snap-gene-0.3&CDS=1-4524, maker-LQHL01001665.1-snap-gene-0.8-mRNA-1_1&gene=maker-LQHL01001665.1-snap-gene-0.8&CDS=1-7275, maker-LQHL01001717.1-snap-gene-0.29-mRNA-1_1&gene=maker-LQHL01001717.1-snap-gene-0.29&CDS=1-4635, snap_masked-LQHL01001541.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LQHL01001541.1-processed-gene-0.4&CDS=1-10227, snap_masked-LQHL01001691.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LQHL01001691.1-processed-gene-0.8&CDS=1-3426, snap_masked-LQHL01001765.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-LQHL01001765.1-processed-gene-0.27&CDS=1-2454
OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-LQHL01001868.1-processed-gene-0.111-mRNA-1_1&gene=genemark-LQHL01001868.1-processed-gene-0.111&CDS=1-1725, snap_masked-LQHL01001814.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LQHL01001814.1-processed-gene-0.22&CDS=1-1722
OG0000008	YDR541C, YOL151W	genemark-LQHL01001362.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001362.1-processed-gene-0.0&CDS=1-1005, genemark-LQHL01001588.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001588.1-processed-gene-0.9&CDS=1-1005, genemark-LQHL01001634.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001634.1-processed-gene-0.7&CDS=1-1005, genemark-LQHL01001690.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001690.1-processed-gene-0.1&CDS=1-1017, genemark-LQHL01001744.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LQHL01001744.1-processed-gene-0.31&CDS=1-1011, genemark-LQHL01001839.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001839.1-processed-gene-0.3&CDS=1-1005, genemark-LQHL01001869.1-processed-gene-0.69-mRNA-1_1&gene=genemark-LQHL01001869.1-processed-gene-0.69&CDS=1-1005
OG0000009	YKR064W, YLR256W	augustus_masked-LQHL01000069.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000069.1-processed-gene-0.1&CDS=1-315, genemark-LQHL01001639.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001639.1-processed-gene-0.10&CDS=1-3216, genemark-LQHL01001639.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001639.1-processed-gene-0.9&CDS=1-3024, genemark-LQHL01001667.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LQHL01001667.1-processed-gene-0.12&CDS=1-7380, maker-LQHL01001736.1-snap-gene-0.10-mRNA-1_1&gene=maker-LQHL01001736.1-snap-gene-0.10&CDS=1-3216, maker-LQHL01001779.1-snap-gene-0.22-mRNA-1_1&gene=maker-LQHL01001779.1-snap-gene-0.22&CDS=1-6438, maker-LQHL01001828.1-snap-gene-0.41-mRNA-1_1&gene=maker-LQHL01001828.1-snap-gene-0.41&CDS=1-2229
