	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
OG0000000	augustus_masked-APLS01000033.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-APLS01000033.1-processed-gene-0.67&CDS=1-333, augustus_masked-APLS01000106.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-APLS01000106.1-processed-gene-0.1&CDS=1-1464, augustus_masked-APLS01000117.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-APLS01000117.1-processed-gene-0.2&CDS=1-1902, augustus_masked-APLS01000192.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-APLS01000192.1-processed-gene-0.2&CDS=1-1014, augustus_masked-APLS01000241.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-APLS01000241.1-processed-gene-0.0&CDS=1-789, genemark-APLS01000002.1-processed-gene-4.91-mRNA-1_1&gene=genemark-APLS01000002.1-processed-gene-4.91&CDS=1-2979, genemark-APLS01000101.1-processed-gene-0.0-mRNA-1_1&gene=genemark-APLS01000101.1-processed-gene-0.0&CDS=1-1815, genemark-APLS01000129.1-processed-gene-0.2-mRNA-1_1&gene=genemark-APLS01000129.1-processed-gene-0.2&CDS=1-1137, genemark-APLS01000140.1-processed-gene-0.4-mRNA-1_1&gene=genemark-APLS01000140.1-processed-gene-0.4&CDS=1-672, maker-APLS01000003.1-snap-gene-0.0-mRNA-1_1&gene=maker-APLS01000003.1-snap-gene-0.0&CDS=1-5334, maker-APLS01000043.1-snap-gene-0.1-mRNA-1_1&gene=maker-APLS01000043.1-snap-gene-0.1&CDS=1-960, maker-APLS01000051.1-snap-gene-0.9-mRNA-1_1&gene=maker-APLS01000051.1-snap-gene-0.9&CDS=1-12285, maker-APLS01000085.1-augustus-gene-0.5-mRNA-1_1&gene=maker-APLS01000085.1-augustus-gene-0.5&CDS=1-1272, maker-APLS01000127.1-augustus-gene-0.1-mRNA-1_1&gene=maker-APLS01000127.1-augustus-gene-0.1&CDS=1-1272, maker-APLS01000247.1-snap-gene-0.1-mRNA-1_1&gene=maker-APLS01000247.1-snap-gene-0.1&CDS=1-1263, maker-APLS01000267.1-augustus-gene-0.2-mRNA-1_1&gene=maker-APLS01000267.1-augustus-gene-0.2&CDS=1-1332, snap_masked-APLS01000067.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-APLS01000067.1-processed-gene-0.7&CDS=1-822, snap_masked-APLS01000100.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-APLS01000100.1-processed-gene-0.2&CDS=1-1713, snap_masked-APLS01000102.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-APLS01000102.1-processed-gene-0.0&CDS=1-1455, snap_masked-APLS01000109.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-APLS01000109.1-processed-gene-0.2&CDS=1-1374, snap_masked-APLS01000114.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-APLS01000114.1-processed-gene-0.3&CDS=1-774, snap_masked-APLS01000154.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-APLS01000154.1-processed-gene-0.0&CDS=1-822, snap_masked-APLS01000156.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-APLS01000156.1-processed-gene-0.2&CDS=1-822, snap_masked-APLS01000270.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-APLS01000270.1-processed-gene-0.1&CDS=1-774, snap_masked-APLS01000318.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-APLS01000318.1-processed-gene-0.1&CDS=1-765	
OG0000001	augustus_masked-APLS01000023.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-APLS01000023.1-processed-gene-0.100&CDS=1-1680, maker-APLS01000023.1-snap-gene-0.6-mRNA-1_1&gene=maker-APLS01000023.1-snap-gene-0.6&CDS=1-3321, snap_masked-APLS01000004.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-0.95&CDS=1-1674, snap_masked-APLS01000012.1-processed-gene-1.180-mRNA-1_1&gene=snap_masked-APLS01000012.1-processed-gene-1.180&CDS=1-1746, snap_masked-APLS01000023.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-APLS01000023.1-processed-gene-0.51&CDS=1-1707	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YOL156W
OG0000002	augustus_masked-APLS01000008.1-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-APLS01000008.1-processed-gene-2.33&CDS=1-1185, augustus_masked-APLS01000011.1-processed-gene-1.187-mRNA-1_1&gene=augustus_masked-APLS01000011.1-processed-gene-1.187&CDS=1-2073, augustus_masked-APLS01000057.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-APLS01000057.1-processed-gene-0.8&CDS=1-2010, augustus_masked-APLS01000058.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-APLS01000058.1-processed-gene-0.6&CDS=1-1290, augustus_masked-APLS01000061.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-APLS01000061.1-processed-gene-0.0&CDS=1-2151, augustus_masked-APLS01000089.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-APLS01000089.1-processed-gene-0.0&CDS=1-2595, augustus_masked-APLS01000105.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-APLS01000105.1-processed-gene-0.0&CDS=1-1980, augustus_masked-APLS01000113.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-APLS01000113.1-processed-gene-0.2&CDS=1-2112, augustus_masked-APLS01000146.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-APLS01000146.1-processed-gene-0.2&CDS=1-1215, augustus_masked-APLS01000225.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-APLS01000225.1-processed-gene-0.3&CDS=1-1170, snap_masked-APLS01000205.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-APLS01000205.1-processed-gene-0.2&CDS=1-882	
OG0000003	augustus_masked-APLS01000019.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-APLS01000019.1-processed-gene-0.40&CDS=1-1275, snap_masked-APLS01000008.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-0.15&CDS=1-1269, snap_masked-APLS01000031.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-APLS01000031.1-processed-gene-0.107&CDS=1-1269, snap_masked-APLS01000034.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-APLS01000034.1-processed-gene-0.19&CDS=1-1269, snap_masked-APLS01000082.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-APLS01000082.1-processed-gene-0.1&CDS=1-1269, snap_masked-APLS01000098.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-APLS01000098.1-processed-gene-0.1&CDS=1-1269	YHR179W, YPL171C
OG0000004	maker-APLS01000010.1-augustus-gene-0.142-mRNA-1_1&gene=maker-APLS01000010.1-augustus-gene-0.142&CDS=1-1983, maker-APLS01000010.1-snap-gene-0.49-mRNA-1_1&gene=maker-APLS01000010.1-snap-gene-0.49&CDS=1-3513, maker-APLS01000010.1-snap-gene-0.50-mRNA-1_1&gene=maker-APLS01000010.1-snap-gene-0.50&CDS=1-1764, snap_masked-APLS01000010.1-processed-gene-0.86-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-0.86&CDS=1-1812	YBR068C, YCL025C, YDR046C, YDR508C
OG0000005	augustus_masked-APLS01000042.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-APLS01000042.1-processed-gene-0.20&CDS=1-2052, maker-APLS01000047.1-snap-gene-0.13-mRNA-1_1&gene=maker-APLS01000047.1-snap-gene-0.13&CDS=1-4227	YKL220C, YLL051C, YLR214W, YNR060W, YOR381W, YOR384W
OG0000006	augustus_masked-APLS01000015.1-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-APLS01000015.1-processed-gene-0.172&CDS=1-1803, augustus_masked-APLS01000034.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-APLS01000034.1-processed-gene-0.81&CDS=1-1797, augustus_masked-APLS01000034.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-APLS01000034.1-processed-gene-0.82&CDS=1-1788, snap_masked-APLS01000001.1-processed-gene-1.23-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-1.23&CDS=1-1770, snap_masked-APLS01000017.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.10&CDS=1-1809, snap_masked-APLS01000017.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-APLS01000017.1-processed-gene-0.9&CDS=1-1788	YKR039W
OG0000007	genemark-APLS01000036.1-processed-gene-0.4-mRNA-1_1&gene=genemark-APLS01000036.1-processed-gene-0.4&CDS=1-1563, maker-APLS01000036.1-snap-gene-0.57-mRNA-1_1&gene=maker-APLS01000036.1-snap-gene-0.57&CDS=1-1224, snap_masked-APLS01000001.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-1.19&CDS=1-1986	YDR144C, YLR120C, YLR121C
OG0000008	augustus_masked-APLS01000002.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-APLS01000002.1-processed-gene-0.56&CDS=1-1395, augustus_masked-APLS01000167.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-APLS01000167.1-processed-gene-0.0&CDS=1-510, snap_masked-APLS01000167.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-APLS01000167.1-processed-gene-0.4&CDS=1-1011	YDR450W, YML025C, YML026C
OG0000009	snap_masked-APLS01000005.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.76&CDS=1-1815, snap_masked-APLS01000005.1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-2.77&CDS=1-1863	YCL069W, YGR224W, YKR105C, YPR198W
