	Hyphopichia_burtonii	Saccharomyces_cerevisiae
OG0000000	genemark-scaffold_1-processed-gene-24.114-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-24.114&CDS=1-1719, genemark-scaffold_2-processed-gene-11.20-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.20&CDS=1-1743, genemark-scaffold_2-processed-gene-9.38-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.38&CDS=1-2787, genemark-scaffold_3-processed-gene-2.68-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.68&CDS=1-2100, genemark-scaffold_3-processed-gene-7.72-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.72&CDS=1-1569, genemark-scaffold_4-processed-gene-9.78-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.78&CDS=1-1713, genemark-scaffold_7-processed-gene-7.69-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.69&CDS=1-912, snap_masked-scaffold_4-processed-gene-7.125-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.125&CDS=1-2445	YBR240C, YDR207C
OG0000001	augustus_masked-scaffold_2-processed-gene-18.214-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-18.214&CDS=1-1755, genemark-scaffold_10-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.84&CDS=1-1722, genemark-scaffold_3-processed-gene-13.84-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-13.84&CDS=1-1713, genemark-scaffold_3-processed-gene-17.89-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-17.89&CDS=1-1776, genemark-scaffold_4-processed-gene-10.75-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.75&CDS=1-1956, genemark-scaffold_7-processed-gene-7.93-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.93&CDS=1-1779, genemark-scaffold_8-processed-gene-4.70-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.70&CDS=1-1797	YKR039W, YLL061W, YPL274W
OG0000002	augustus_masked-scaffold_4-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.120&CDS=1-5040, augustus_masked-scaffold_4-processed-gene-8.77-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.77&CDS=1-4296, genemark-scaffold_2-processed-gene-9.64-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.64&CDS=1-1956, genemark-scaffold_6-processed-gene-5.40-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.40&CDS=1-2256, genemark-scaffold_7-processed-gene-8.58-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.58&CDS=1-1809, maker-scaffold_2-augustus-gene-12.133-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-12.133&CDS=1-4080	YMR006C, YMR008C, YNL012W, YOL011W
OG0000003	genemark-scaffold_1-processed-gene-1.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.80&CDS=1-4884, genemark-scaffold_10-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.60&CDS=1-1803, genemark-scaffold_10-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.115&CDS=1-2448, genemark-scaffold_3-processed-gene-8.15-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.15&CDS=1-2505, maker-scaffold_1-augustus-gene-15.146-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-15.146&CDS=1-2958, maker-scaffold_7-snap-gene-1.3-mRNA-1_1&gene=maker-scaffold_7-snap-gene-1.3&CDS=1-4953, snap_masked-scaffold_3-processed-gene-10.22-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.22&CDS=1-2052	YJR061W, YKL201C
OG0000004	genemark-scaffold_1-processed-gene-11.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.80&CDS=1-1392, genemark-scaffold_2-processed-gene-17.74-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.74&CDS=1-1401, genemark-scaffold_7-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.90&CDS=1-1383, maker-scaffold_3-snap-gene-7.135-mRNA-1_1&gene=maker-scaffold_3-snap-gene-7.135&CDS=1-2802	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000005	augustus_masked-scaffold_3-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.56&CDS=1-1014, genemark-scaffold_1-processed-gene-3.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.62&CDS=1-1017, genemark-scaffold_2-processed-gene-12.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.78&CDS=1-999, genemark-scaffold_3-processed-gene-17.90-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-17.90&CDS=1-999, genemark-scaffold_4-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.75&CDS=1-999, genemark-scaffold_6-processed-gene-6.116-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.116&CDS=1-999	YDR541C, YOL151W
OG0000006	augustus_masked-scaffold_2-processed-gene-16.66-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.66&CDS=1-3489, augustus_masked-scaffold_8-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.126&CDS=1-2724, genemark-scaffold_10-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.97&CDS=1-2883, genemark-scaffold_11-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.33&CDS=1-2640, genemark-scaffold_2-processed-gene-16.5-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.5&CDS=1-6927, genemark-scaffold_7-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.96&CDS=1-2871, genemark-scaffold_7-processed-gene-1.97-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.97&CDS=1-2661, maker-scaffold_6-snap-gene-3.4-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.4&CDS=1-6351	
OG0000007	genemark-scaffold_4-processed-gene-11.13-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-11.13&CDS=1-2730, genemark-scaffold_4-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.36&CDS=1-2211, genemark-scaffold_8-processed-gene-5.218-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.218&CDS=1-3519, maker-scaffold_3-augustus-gene-3.146-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-3.146&CDS=1-4020	YER013W, YGL120C, YKR086W, YNR011C
OG0000008	genemark-scaffold_5-processed-gene-2.86-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.86&CDS=1-1704	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000009	augustus_masked-scaffold_1-processed-gene-16.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.0&CDS=1-11166, augustus_masked-scaffold_1-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.16&CDS=1-4638, genemark-scaffold_5-processed-gene-3.7-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.7&CDS=1-4623, genemark-scaffold_6-processed-gene-4.71-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.71&CDS=1-4602, maker-scaffold_1-augustus-gene-1.120-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.120&CDS=1-4926	YDR135C, YNL290W
