	Saccharomyces_cerevisiae	yHMPu5000034637_Ogataea_populiabae
OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	
OG0000001		augustus_masked-NODE_111_length_983_cov_123.541_ID_221-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_111_length_983_cov_123.541_ID_221-processed-gene-0.0&CDS=1-906, augustus_masked-NODE_127_length_729_cov_89.0734_ID_253-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_127_length_729_cov_89.0734_ID_253-processed-gene-0.1&CDS=1-729, augustus_masked-NODE_152_length_495_cov_60.3976_ID_303-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_152_length_495_cov_60.3976_ID_303-processed-gene-0.0&CDS=1-495, augustus_masked-NODE_163_length_426_cov_123.399_ID_325-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_163_length_426_cov_123.399_ID_325-processed-gene-0.2&CDS=1-357, augustus_masked-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.55&CDS=1-783, augustus_masked-NODE_51_length_3386_cov_92.3887_ID_101-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_51_length_3386_cov_92.3887_ID_101-processed-gene-0.1&CDS=1-2931, augustus_masked-NODE_54_length_3334_cov_153.716_ID_107-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_54_length_3334_cov_153.716_ID_107-processed-gene-0.4&CDS=1-2055, augustus_masked-NODE_58_length_2792_cov_137.998_ID_115-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_58_length_2792_cov_137.998_ID_115-processed-gene-0.1&CDS=1-1740, augustus_masked-NODE_59_length_2508_cov_79.0029_ID_117-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_59_length_2508_cov_79.0029_ID_117-processed-gene-0.0&CDS=1-2241, augustus_masked-NODE_65_length_2099_cov_117.546_ID_129-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_65_length_2099_cov_117.546_ID_129-processed-gene-0.3&CDS=1-1998, augustus_masked-NODE_66_length_2075_cov_182.781_ID_131-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_66_length_2075_cov_182.781_ID_131-processed-gene-0.1&CDS=1-1962, augustus_masked-NODE_67_length_2073_cov_103.979_ID_133-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_67_length_2073_cov_103.979_ID_133-processed-gene-0.0&CDS=1-726, augustus_masked-NODE_68_length_2065_cov_90.3673_ID_135-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_68_length_2065_cov_90.3673_ID_135-processed-gene-0.2&CDS=1-1653, augustus_masked-NODE_75_length_1920_cov_102.436_ID_149-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_75_length_1920_cov_102.436_ID_149-processed-gene-0.1&CDS=1-1266, snap_masked-NODE_101_length_1237_cov_62.7341_ID_201-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_101_length_1237_cov_62.7341_ID_201-processed-gene-0.0&CDS=1-1167, snap_masked-NODE_104_length_1152_cov_111.424_ID_207-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_104_length_1152_cov_111.424_ID_207-processed-gene-0.0&CDS=1-1068, snap_masked-NODE_135_length_626_cov_108.312_ID_269-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_135_length_626_cov_108.312_ID_269-processed-gene-0.0&CDS=1-591, snap_masked-NODE_153_length_470_cov_156.851_ID_305-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_153_length_470_cov_156.851_ID_305-processed-gene-0.0&CDS=1-423, snap_masked-NODE_155_length_450_cov_29.6453_ID_309-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_155_length_450_cov_29.6453_ID_309-processed-gene-0.0&CDS=1-390, snap_masked-NODE_191_length_342_cov_21.2509_ID_381-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_191_length_342_cov_21.2509_ID_381-processed-gene-0.1&CDS=1-243, snap_masked-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.99&CDS=1-3909, snap_masked-NODE_52_length_3354_cov_84.3739_ID_103-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_52_length_3354_cov_84.3739_ID_103-processed-gene-0.2&CDS=1-3183, snap_masked-NODE_62_length_2170_cov_110.371_ID_123-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_62_length_2170_cov_110.371_ID_123-processed-gene-0.0&CDS=1-702, snap_masked-NODE_80_length_1685_cov_73.8019_ID_159-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_80_length_1685_cov_73.8019_ID_159-processed-gene-0.2&CDS=1-1200
OG0000002	YDR242W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.56&CDS=1-1671, augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_22_length_160228_cov_24.8447_ID_43-processed-gene-0.111&CDS=1-1671, augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-3.12&CDS=1-1611, augustus_masked-NODE_35_length_32994_cov_29.7511_ID_69-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_35_length_32994_cov_29.7511_ID_69-processed-gene-0.3&CDS=1-1620, augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-3.98&CDS=1-1713, augustus_masked-NODE_44_length_11395_cov_59.0299_ID_87-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_44_length_11395_cov_59.0299_ID_87-processed-gene-0.2&CDS=1-1626, augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.253-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.253&CDS=1-1653, maker-NODE_11_length_357998_cov_19.4779_ID_21-snap-gene-0.111-mRNA-1_1&gene=maker-NODE_11_length_357998_cov_19.4779_ID_21-snap-gene-0.111&CDS=1-3243, maker-NODE_25_length_117397_cov_24.7587_ID_49-augustus-gene-0.108-mRNA-1_1&gene=maker-NODE_25_length_117397_cov_24.7587_ID_49-augustus-gene-0.108&CDS=1-2931, snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.161-mRNA-1_1&gene=snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.161&CDS=1-1629, snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-5.87-mRNA-1_1&gene=snap_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-5.87&CDS=1-1659
OG0000003	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YOL156W	augustus_masked-NODE_55_length_3137_cov_54.9709_ID_109-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_55_length_3137_cov_54.9709_ID_109-processed-gene-0.2&CDS=1-1533
OG0000004	YBR297W, YFL052W, YGR288W, YOR380W, YPR196W	augustus_masked-NODE_32_length_37674_cov_13.1443_ID_63-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_32_length_37674_cov_13.1443_ID_63-processed-gene-0.14&CDS=1-1524, augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-4.71&CDS=1-1437, maker-NODE_2_length_1008495_cov_14.5864_ID_3-augustus-gene-9.186-mRNA-1_1&gene=maker-NODE_2_length_1008495_cov_14.5864_ID_3-augustus-gene-9.186&CDS=1-2001
OG0000005	YEL063C, YNL268W, YNL270C, YOR348C	augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.56&CDS=1-1620, augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.57&CDS=1-1623, augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-3.62&CDS=1-1659, maker-NODE_3_length_894456_cov_15.2133_ID_5-augustus-gene-1.53-mRNA-1_1&gene=maker-NODE_3_length_894456_cov_15.2133_ID_5-augustus-gene-1.53&CDS=1-1656
OG0000006	YKL215C	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.49&CDS=1-3948, augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-0.78&CDS=1-3885, augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_15_length_222653_cov_15.3866_ID_29-processed-gene-1.6&CDS=1-3990, augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.221-mRNA-1_1&gene=augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.221&CDS=1-3990, augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_26_length_116567_cov_18.2761_ID_51-processed-gene-0.118&CDS=1-3975, augustus_masked-NODE_34_length_34186_cov_16.0864_ID_67-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_34_length_34186_cov_16.0864_ID_67-processed-gene-0.2&CDS=1-3984, snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.162-mRNA-1_1&gene=snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.162&CDS=1-3960
OG0000007	YLR256W	augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.143&CDS=1-600, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-0.20&CDS=1-1839, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-1.65&CDS=1-4032, augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.206-mRNA-1_1&gene=augustus_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.206&CDS=1-2670, maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-1.55-mRNA-1_1&gene=maker-NODE_5_length_761125_cov_17.9616_ID_9-augustus-gene-1.55&CDS=1-3540, snap_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.274-mRNA-1_1&gene=snap_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.274&CDS=1-2748, snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-8.8-mRNA-1_1&gene=snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-8.8&CDS=1-2649
OG0000008	YBR015C	augustus_masked-NODE_25_length_117397_cov_24.7587_ID_49-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_25_length_117397_cov_24.7587_ID_49-processed-gene-0.85&CDS=1-1590, augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-8.84&CDS=1-1995, augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.190-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.190&CDS=1-1746, augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.88&CDS=1-2028, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-5.140&CDS=1-3381, augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_9_length_486071_cov_15.0348_ID_17-processed-gene-1.71&CDS=1-2019
OG0000009	YDR207C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.134&CDS=1-1494, augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.115&CDS=1-1596, augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.172-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-7.172&CDS=1-1605, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.73&CDS=1-2184, augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-2.15&CDS=1-720, augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-0.29&CDS=1-747
