	Saccharomyces_cerevisiae	yHMPu5000035044_Barnettozyma_californica
OG0000000	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	snap_masked-flattened_line_66-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.37&CDS=1-570
OG0000001	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_12-processed-gene-1.159-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.159&CDS=1-1056, genemark-flattened_line_133-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_133-processed-gene-0.2&CDS=1-1065, genemark-flattened_line_2-processed-gene-8.93-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.93&CDS=1-1044, genemark-flattened_line_22-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.79&CDS=1-1044, genemark-flattened_line_26-processed-gene-2.113-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.113&CDS=1-1083, genemark-flattened_line_48-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.144&CDS=1-1026, genemark-flattened_line_6-processed-gene-3.138-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.138&CDS=1-1044, maker-flattened_line_52-augustus-gene-0.177-mRNA-1_1&gene=maker-flattened_line_52-augustus-gene-0.177&CDS=1-1413, snap_masked-flattened_line_44-processed-gene-0.177-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.177&CDS=1-1035
OG0000002	YBR240C, YDR207C	augustus_masked-flattened_line_2-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.72&CDS=1-1302, augustus_masked-flattened_line_22-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.56&CDS=1-1728, augustus_masked-flattened_line_26-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-2.64&CDS=1-1779, genemark-flattened_line_10-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.63&CDS=1-1686, genemark-flattened_line_30-processed-gene-1.311-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.311&CDS=1-567, snap_masked-flattened_line_0-processed-gene-7.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.49&CDS=1-1596, snap_masked-flattened_line_2-processed-gene-8.169-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-8.169&CDS=1-957, snap_masked-flattened_line_4-processed-gene-5.23-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.23&CDS=1-837, snap_masked-flattened_line_50-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.49&CDS=1-1899
OG0000003	YCL025C, YDR508C, YGR191W, YKR039W	genemark-flattened_line_2-processed-gene-7.138-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.138&CDS=1-1797, genemark-flattened_line_44-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.110&CDS=1-1716, genemark-flattened_line_44-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.123&CDS=1-1755, genemark-flattened_line_52-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.157&CDS=1-1746, genemark-flattened_line_8-processed-gene-3.78-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.78&CDS=1-1764, genemark-flattened_line_8-processed-gene-3.90-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.90&CDS=1-1770, maker-flattened_line_10-augustus-gene-0.93-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-0.93&CDS=1-2124
OG0000004	YER185W, YGR213C, YLR046C	augustus_masked-flattened_line_0-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.83&CDS=1-1020, augustus_masked-flattened_line_34-processed-gene-1.220-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.220&CDS=1-996, augustus_masked-flattened_line_42-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.94&CDS=1-1059, augustus_masked-flattened_line_48-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.97&CDS=1-1683, snap_masked-flattened_line_42-processed-gene-0.154-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.154&CDS=1-993, snap_masked-flattened_line_48-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.10&CDS=1-990, snap_masked-flattened_line_48-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.46&CDS=1-1074
OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_34-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.57&CDS=1-1710, genemark-flattened_line_54-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.124&CDS=1-1707
OG0000006	YDR134C, YLR110C	augustus_masked-flattened_line_118-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.2&CDS=1-2772, genemark-flattened_line_14-processed-gene-3.173-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.173&CDS=1-1956, genemark-flattened_line_16-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.78&CDS=1-432, genemark-flattened_line_20-processed-gene-2.142-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.142&CDS=1-387, genemark-flattened_line_56-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.121&CDS=1-393, maker-flattened_line_118-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_118-snap-gene-0.10&CDS=1-2163, maker-flattened_line_14-snap-gene-3.283-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-3.283&CDS=1-2073
OG0000007	YGL257C, YNR059W	augustus_masked-flattened_line_30-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.72&CDS=1-1587, genemark-flattened_line_0-processed-gene-6.61-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.61&CDS=1-2082, genemark-flattened_line_0-processed-gene-6.85-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.85&CDS=1-1902, genemark-flattened_line_28-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.119&CDS=1-2169, genemark-flattened_line_4-processed-gene-6.10-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.10&CDS=1-2289, genemark-flattened_line_4-processed-gene-7.156-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.156&CDS=1-2292, maker-flattened_line_0-snap-gene-6.48-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.48&CDS=1-3735
OG0000008	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_159-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_159-processed-gene-0.1&CDS=1-702, genemark-flattened_line_54-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.96&CDS=1-1644, genemark-flattened_line_64-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.131&CDS=1-1083, snap_masked-flattened_line_227-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_227-processed-gene-0.2&CDS=1-1083
OG0000009	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	genemark-flattened_line_10-processed-gene-1.70-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.70&CDS=1-1194, genemark-flattened_line_36-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.4&CDS=1-1086, genemark-flattened_line_60-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.37&CDS=1-1095
OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_0-processed-gene-6.90-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.90&CDS=1-1371, genemark-flattened_line_38-processed-gene-0.205-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.205&CDS=1-1389
OG0000011	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_44-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.70&CDS=1-885, genemark-flattened_line_28-processed-gene-1.50-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.50&CDS=1-1110, genemark-flattened_line_48-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.118&CDS=1-1113, genemark-flattened_line_8-processed-gene-4.48-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.48&CDS=1-1113
OG0000012	YKL055C	genemark-flattened_line_14-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.93&CDS=1-741, genemark-flattened_line_32-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.80&CDS=1-786, genemark-flattened_line_32-processed-gene-1.81-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.81&CDS=1-792, genemark-flattened_line_4-processed-gene-3.138-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.138&CDS=1-777, genemark-flattened_line_72-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.98&CDS=1-831, snap_masked-flattened_line_90-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.15&CDS=1-756
