	Saccharomyces_cerevisiae	yHMPu5000035243_Zygoascus_meyerae
OG0000000	YBR199W, YIL085C, YJL139C, YKR061W, YNL029C, YOR099W	augustus_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-0.42&CDS=1-1014, snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.129-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-2.129&CDS=1-1551, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.120&CDS=1-1278, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-2.14&CDS=1-1113, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.42-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-4.42&CDS=1-1584, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.37-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.37&CDS=1-1215, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-1.153&CDS=1-1209
OG0000001	YJR152W, YLR004C	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-0.19&CDS=1-1494, snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-0.23&CDS=1-1542, snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-2.66-mRNA-1_1&gene=snap_masked-NODE_18_length_328044_cov_21.3707_ID_2954-processed-gene-2.66&CDS=1-1521, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.126-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.126&CDS=1-1578, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-0.85&CDS=1-1482, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-0.87&CDS=1-1482, snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.26&CDS=1-1548, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-1.173-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-1.173&CDS=1-1602, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.67&CDS=1-1497, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.48&CDS=1-1542
OG0000002	YBR240C	augustus_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.246-mRNA-1_1&gene=augustus_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.246&CDS=1-2007, maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-0.97-mRNA-1_1&gene=maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-0.97&CDS=1-1857, maker-NODE_15_length_376289_cov_21.1717_ID_1409-snap-gene-2.104-mRNA-1_1&gene=maker-NODE_15_length_376289_cov_21.1717_ID_1409-snap-gene-2.104&CDS=1-2049, maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-0.119-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-snap-gene-0.119&CDS=1-1653, snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-1.131-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-1.131&CDS=1-1140, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.70-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.70&CDS=1-1644, snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_20_length_182353_cov_19.2443_ID_1960-processed-gene-0.72&CDS=1-2166, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-2.106-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-2.106&CDS=1-1434, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.56-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-4.56&CDS=1-1944
OG0000003	YKL071W	maker-NODE_17_length_335658_cov_21.0353_ID_2164-snap-gene-2.90-mRNA-1_1&gene=maker-NODE_17_length_335658_cov_21.0353_ID_2164-snap-gene-2.90&CDS=1-2235, maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-0.6&CDS=1-2109, snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.18&CDS=1-759, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.79&CDS=1-765, snap_masked-NODE_22_length_135448_cov_23.8262_ID_2282-processed-gene-0.177-mRNA-1_1&gene=snap_masked-NODE_22_length_135448_cov_23.8262_ID_2282-processed-gene-0.177&CDS=1-759, snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-0.15&CDS=1-759, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.70-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.70&CDS=1-759, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.71-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.71&CDS=1-762, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-6.72&CDS=1-759
OG0000004	YBR008C, YLL028W	augustus_masked-NODE_30_length_16123_cov_21.2954_ID_5370-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_30_length_16123_cov_21.2954_ID_5370-processed-gene-0.4&CDS=1-1674, augustus_masked-NODE_30_length_16123_cov_21.2954_ID_5370-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_30_length_16123_cov_21.2954_ID_5370-processed-gene-0.5&CDS=1-1704, maker-NODE_14_length_402958_cov_18.9881_ID_2029-snap-gene-1.118-mRNA-1_1&gene=maker-NODE_14_length_402958_cov_18.9881_ID_2029-snap-gene-1.118&CDS=1-3414, maker-NODE_21_length_170389_cov_19.3193_ID_2324-snap-gene-0.13-mRNA-1_1&gene=maker-NODE_21_length_170389_cov_19.3193_ID_2324-snap-gene-0.13&CDS=1-3279, maker-NODE_8_length_668598_cov_18.9487_ID_973-snap-gene-5.15-mRNA-1_1&gene=maker-NODE_8_length_668598_cov_18.9487_ID_973-snap-gene-5.15&CDS=1-4944, snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.208-mRNA-1_1&gene=snap_masked-NODE_21_length_170389_cov_19.3193_ID_2324-processed-gene-0.208&CDS=1-1185, snap_masked-NODE_30_length_16123_cov_21.2954_ID_5370-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_30_length_16123_cov_21.2954_ID_5370-processed-gene-0.0&CDS=1-1674
OG0000005	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.130&CDS=1-1764, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.54-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.54&CDS=1-2001, snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.58&CDS=1-1383, snap_masked-NODE_27_length_60890_cov_18.3424_ID_2495-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_27_length_60890_cov_18.3424_ID_2495-processed-gene-0.67&CDS=1-2442, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.122-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.122&CDS=1-1791
OG0000006	YKL221W, YNL125C, YOL119C	maker-NODE_17_length_335658_cov_21.0353_ID_2164-snap-gene-2.87-mRNA-1_1&gene=maker-NODE_17_length_335658_cov_21.0353_ID_2164-snap-gene-2.87&CDS=1-2880, maker-NODE_19_length_184689_cov_19.2526_ID_1898-snap-gene-0.17-mRNA-1_1&gene=maker-NODE_19_length_184689_cov_19.2526_ID_1898-snap-gene-0.17&CDS=1-2607, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.124-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.124&CDS=1-1269, snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.142-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.142&CDS=1-1431, snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.144-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-5.144&CDS=1-1431, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.45-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.45&CDS=1-1446
OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-1.44&CDS=1-1329, snap_masked-NODE_22_length_135448_cov_23.8262_ID_2282-processed-gene-0.152-mRNA-1_1&gene=snap_masked-NODE_22_length_135448_cov_23.8262_ID_2282-processed-gene-0.152&CDS=1-1434, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-4.140-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-4.140&CDS=1-1449
OG0000008	YDR242W	augustus_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_10_length_453567_cov_20.6492_ID_1595-processed-gene-0.61&CDS=1-1665, snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-3.185-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-3.185&CDS=1-1638, snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.57&CDS=1-1626, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.126-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.126&CDS=1-1632, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-0.120&CDS=1-1596, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.59-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.59&CDS=1-1593, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.61-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-2.61&CDS=1-1575
OG0000009	YER013W, YGL120C, YKR086W, YNR011C	snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-0.95&CDS=1-2283, snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-1.134-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-1.134&CDS=1-3015, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-2.114-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-2.114&CDS=1-3372, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-3.92-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-3.92&CDS=1-3507
