	Metschnikowia_cerradonensis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-cer-_s106-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-cer-_s106-processed-gene-0.12&CDS=1-1422, augustus_masked-cer-_s15-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-cer-_s15-processed-gene-0.9&CDS=1-1452, augustus_masked-cer-_s166-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-cer-_s166-processed-gene-0.9&CDS=1-1317, augustus_masked-cer-_s220-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-cer-_s220-processed-gene-0.17&CDS=1-1578, augustus_masked-cer-_s298-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-cer-_s298-processed-gene-0.10&CDS=1-921, augustus_masked-cer-_s39-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-cer-_s39-processed-gene-0.4&CDS=1-1398, genemark-cer-_s147-processed-gene-0.32-mRNA-1_1&gene=genemark-cer-_s147-processed-gene-0.32&CDS=1-1725, genemark-cer-_s16-processed-gene-3.236-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-3.236&CDS=1-1686, genemark-cer-_s172-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s172-processed-gene-0.16&CDS=1-1527, genemark-cer-_s740-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s740-processed-gene-0.2&CDS=1-1761, genemark-cer-_s753-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s753-processed-gene-0.1&CDS=1-1239, genemark-cer-_s762-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s762-processed-gene-0.1&CDS=1-1209, maker-cer-_s246-augustus-gene-0.38-mRNA-1_1&gene=maker-cer-_s246-augustus-gene-0.38&CDS=1-495, maker-cer-_s428-snap-gene-0.6-mRNA-1_1&gene=maker-cer-_s428-snap-gene-0.6&CDS=1-1608, snap_masked-cer-_s35-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s35-processed-gene-0.2&CDS=1-1479, snap_masked-cer-_s428-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_s428-processed-gene-0.0&CDS=1-1743, snap_masked-cer-_s511-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s511-processed-gene-0.2&CDS=1-780, snap_masked-cer-_s524-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s524-processed-gene-0.4&CDS=1-1740, snap_masked-cer-_s572-processed-gene-0.6-mRNA-1_1&gene=snap_masked-cer-_s572-processed-gene-0.6&CDS=1-1635, snap_masked-cer-_s687-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s687-processed-gene-0.1&CDS=1-1407, snap_masked-cer-_s717-processed-gene-0.5-mRNA-1_1&gene=snap_masked-cer-_s717-processed-gene-0.5&CDS=1-1461, snap_masked-cer-_s771-processed-gene-0.11-mRNA-1_1&gene=snap_masked-cer-_s771-processed-gene-0.11&CDS=1-1440, snap_masked-cer-_s771-processed-gene-0.13-mRNA-1_1&gene=snap_masked-cer-_s771-processed-gene-0.13&CDS=1-747, snap_masked-cer-_s771-processed-gene-0.16-mRNA-1_1&gene=snap_masked-cer-_s771-processed-gene-0.16&CDS=1-1443	YDR144C, YGL258W-A, YLR120C, YLR121C
OG0000001	augustus_masked-cer-_s247-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-cer-_s247-processed-gene-0.3&CDS=1-291, augustus_masked-cer-_s322-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-cer-_s322-processed-gene-0.11&CDS=1-822, augustus_masked-cer-_s36-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-cer-_s36-processed-gene-0.24&CDS=1-426, augustus_masked-cer-_s524-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-cer-_s524-processed-gene-0.3&CDS=1-648, augustus_masked-cer-_s608-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-cer-_s608-processed-gene-0.17&CDS=1-507, genemark-cer-_C43232-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_C43232-processed-gene-0.1&CDS=1-816, genemark-cer-_s121-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s121-processed-gene-0.0&CDS=1-513, genemark-cer-_s338-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s338-processed-gene-0.10&CDS=1-708, genemark-cer-_s491-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s491-processed-gene-0.21&CDS=1-681, genemark-cer-_s66-processed-gene-0.2-mRNA-1_1&gene=genemark-cer-_s66-processed-gene-0.2&CDS=1-528, genemark-cer-_s95-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s95-processed-gene-0.1&CDS=1-651, maker-cer-_s598-snap-gene-0.2-mRNA-1_1&gene=maker-cer-_s598-snap-gene-0.2&CDS=1-681, snap_masked-cer-_C42466-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_C42466-processed-gene-0.0&CDS=1-681, snap_masked-cer-_C43334-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_C43334-processed-gene-0.0&CDS=1-567, snap_masked-cer-_s146-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s146-processed-gene-0.4&CDS=1-261, snap_masked-cer-_s172-processed-gene-0.57-mRNA-1_1&gene=snap_masked-cer-_s172-processed-gene-0.57&CDS=1-924, snap_masked-cer-_s200-processed-gene-0.31-mRNA-1_1&gene=snap_masked-cer-_s200-processed-gene-0.31&CDS=1-207, snap_masked-cer-_s387-processed-gene-0.11-mRNA-1_1&gene=snap_masked-cer-_s387-processed-gene-0.11&CDS=1-228, snap_masked-cer-_s45-processed-gene-0.5-mRNA-1_1&gene=snap_masked-cer-_s45-processed-gene-0.5&CDS=1-822, snap_masked-cer-_s473-processed-gene-0.21-mRNA-1_1&gene=snap_masked-cer-_s473-processed-gene-0.21&CDS=1-201, snap_masked-cer-_s598-processed-gene-0.15-mRNA-1_1&gene=snap_masked-cer-_s598-processed-gene-0.15&CDS=1-336, snap_masked-cer-_s609-processed-gene-0.23-mRNA-1_1&gene=snap_masked-cer-_s609-processed-gene-0.23&CDS=1-642, snap_masked-cer-_s648-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_s648-processed-gene-0.0&CDS=1-474	
OG0000002	augustus_masked-cer-_C41870-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-cer-_C41870-processed-gene-0.2&CDS=1-399, augustus_masked-cer-_s102-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-cer-_s102-processed-gene-0.7&CDS=1-972, augustus_masked-cer-_s205-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-cer-_s205-processed-gene-0.3&CDS=1-759, augustus_masked-cer-_s223-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-cer-_s223-processed-gene-0.46&CDS=1-1509, augustus_masked-cer-_s317-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-cer-_s317-processed-gene-0.0&CDS=1-990, augustus_masked-cer-_s369-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_s369-processed-gene-0.1&CDS=1-897, augustus_masked-cer-_s50-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-cer-_s50-processed-gene-0.8&CDS=1-4707, augustus_masked-cer-_s569-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-cer-_s569-processed-gene-0.0&CDS=1-1776, genemark-cer-_s102-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s102-processed-gene-0.4&CDS=1-3141, genemark-cer-_s102-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s102-processed-gene-0.5&CDS=1-2310, genemark-cer-_s173-processed-gene-5.26-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-5.26&CDS=1-7839, genemark-cer-_s173-processed-gene-5.49-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-5.49&CDS=1-867, genemark-cer-_s61-processed-gene-0.41-mRNA-1_1&gene=genemark-cer-_s61-processed-gene-0.41&CDS=1-1938, genemark-cer-_s614-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s614-processed-gene-0.7&CDS=1-813, maker-cer-_s173-snap-gene-5.1-mRNA-1_1&gene=maker-cer-_s173-snap-gene-5.1&CDS=1-1185, maker-cer-_s705-snap-gene-0.1-mRNA-1_1&gene=maker-cer-_s705-snap-gene-0.1&CDS=1-4563, maker-cer-_s705-snap-gene-0.2-mRNA-1_1&gene=maker-cer-_s705-snap-gene-0.2&CDS=1-1431, snap_masked-cer-_s148-processed-gene-0.32-mRNA-1_1&gene=snap_masked-cer-_s148-processed-gene-0.32&CDS=1-660, snap_masked-cer-_s302-processed-gene-0.7-mRNA-1_1&gene=snap_masked-cer-_s302-processed-gene-0.7&CDS=1-1728, snap_masked-cer-_s580-processed-gene-0.71-mRNA-1_1&gene=snap_masked-cer-_s580-processed-gene-0.71&CDS=1-1815, snap_masked-cer-_s581-processed-gene-0.49-mRNA-1_1&gene=snap_masked-cer-_s581-processed-gene-0.49&CDS=1-2730, snap_masked-cer-_s762-processed-gene-0.7-mRNA-1_1&gene=snap_masked-cer-_s762-processed-gene-0.7&CDS=1-711	
OG0000003	augustus_masked-cer-_s460-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-cer-_s460-processed-gene-0.5&CDS=1-408, augustus_masked-cer-_s772-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-cer-_s772-processed-gene-0.5&CDS=1-414, genemark-cer-_s184-processed-gene-0.6-mRNA-1_1&gene=genemark-cer-_s184-processed-gene-0.6&CDS=1-918, genemark-cer-_s238-processed-gene-0.30-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.30&CDS=1-864, genemark-cer-_s28-processed-gene-0.60-mRNA-1_1&gene=genemark-cer-_s28-processed-gene-0.60&CDS=1-900, genemark-cer-_s41-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s41-processed-gene-0.28&CDS=1-867, genemark-cer-_s572-processed-gene-0.22-mRNA-1_1&gene=genemark-cer-_s572-processed-gene-0.22&CDS=1-867, genemark-cer-_s84-processed-gene-0.9-mRNA-1_1&gene=genemark-cer-_s84-processed-gene-0.9&CDS=1-867, genemark-cer-_s88-processed-gene-0.18-mRNA-1_1&gene=genemark-cer-_s88-processed-gene-0.18&CDS=1-858, snap_masked-cer-_s272-processed-gene-0.10-mRNA-1_1&gene=snap_masked-cer-_s272-processed-gene-0.10&CDS=1-414, snap_masked-cer-_s306-processed-gene-0.4-mRNA-1_1&gene=snap_masked-cer-_s306-processed-gene-0.4&CDS=1-375, snap_masked-cer-_s330-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_s330-processed-gene-0.0&CDS=1-411, snap_masked-cer-_s330-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s330-processed-gene-0.1&CDS=1-441, snap_masked-cer-_s456-processed-gene-0.64-mRNA-1_1&gene=snap_masked-cer-_s456-processed-gene-0.64&CDS=1-537, snap_masked-cer-_s595-processed-gene-0.7-mRNA-1_1&gene=snap_masked-cer-_s595-processed-gene-0.7&CDS=1-189	YKL096W
OG0000004	genemark-cer-_s137-processed-gene-1.116-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-1.116&CDS=1-2649, genemark-cer-_s49-processed-gene-1.146-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-1.146&CDS=1-2496, genemark-cer-_s776-processed-gene-1.175-mRNA-1_1&gene=genemark-cer-_s776-processed-gene-1.175&CDS=1-2757, maker-cer-_s223-augustus-gene-0.126-mRNA-1_1&gene=maker-cer-_s223-augustus-gene-0.126&CDS=1-3393, maker-cer-_s438-augustus-gene-0.1-mRNA-1_1&gene=maker-cer-_s438-augustus-gene-0.1&CDS=1-6984, snap_masked-cer-_s245-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s245-processed-gene-0.2&CDS=1-312, snap_masked-cer-_s245-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s245-processed-gene-0.3&CDS=1-201, snap_masked-cer-_s378-processed-gene-0.1-mRNA-1_1&gene=snap_masked-cer-_s378-processed-gene-0.1&CDS=1-318, snap_masked-cer-_s438-processed-gene-0.30-mRNA-1_1&gene=snap_masked-cer-_s438-processed-gene-0.30&CDS=1-3159, snap_masked-cer-_s696-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_s696-processed-gene-0.2&CDS=1-399, snap_masked-cer-_s708-processed-gene-0.30-mRNA-1_1&gene=snap_masked-cer-_s708-processed-gene-0.30&CDS=1-3048	YKR064W, YLR256W
OG0000005	genemark-cer-_s159-processed-gene-1.94-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-1.94&CDS=1-705, genemark-cer-_s302-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s302-processed-gene-0.16&CDS=1-693, genemark-cer-_s43-processed-gene-0.25-mRNA-1_1&gene=genemark-cer-_s43-processed-gene-0.25&CDS=1-693, genemark-cer-_s48-processed-gene-1.135-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.135&CDS=1-564, genemark-cer-_s67-processed-gene-3.122-mRNA-1_1&gene=genemark-cer-_s67-processed-gene-3.122&CDS=1-618, maker-cer-_s38-snap-gene-0.11-mRNA-1_1&gene=maker-cer-_s38-snap-gene-0.11&CDS=1-714, snap_masked-cer-_s390-processed-gene-0.35-mRNA-1_1&gene=snap_masked-cer-_s390-processed-gene-0.35&CDS=1-408	YDR533C, YMR322C, YOR391C, YPL280W
OG0000006	genemark-cer-_s301-processed-gene-0.87-mRNA-1_1&gene=genemark-cer-_s301-processed-gene-0.87&CDS=1-1725, genemark-cer-_s370-processed-gene-0.51-mRNA-1_1&gene=genemark-cer-_s370-processed-gene-0.51&CDS=1-1752, genemark-cer-_s581-processed-gene-0.29-mRNA-1_1&gene=genemark-cer-_s581-processed-gene-0.29&CDS=1-1812, genemark-cer-_s699-processed-gene-0.34-mRNA-1_1&gene=genemark-cer-_s699-processed-gene-0.34&CDS=1-1689, genemark-cer-_s712-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s712-processed-gene-0.0&CDS=1-1653, genemark-cer-_s760-processed-gene-0.37-mRNA-1_1&gene=genemark-cer-_s760-processed-gene-0.37&CDS=1-1719, snap_masked-cer-_s87-processed-gene-0.22-mRNA-1_1&gene=snap_masked-cer-_s87-processed-gene-0.22&CDS=1-1668	YKR039W, YLL061W, YPL274W
OG0000007	genemark-cer-_s137-processed-gene-1.124-mRNA-1_1&gene=genemark-cer-_s137-processed-gene-1.124&CDS=1-1905, genemark-cer-_s16-processed-gene-2.92-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.92&CDS=1-1737, genemark-cer-_s359-processed-gene-0.123-mRNA-1_1&gene=genemark-cer-_s359-processed-gene-0.123&CDS=1-1800, genemark-cer-_s62-processed-gene-0.22-mRNA-1_1&gene=genemark-cer-_s62-processed-gene-0.22&CDS=1-1722	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
OG0000008	augustus_masked-cer-_s595-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-cer-_s595-processed-gene-0.24&CDS=1-2691, genemark-cer-_s173-processed-gene-3.84-mRNA-1_1&gene=genemark-cer-_s173-processed-gene-3.84&CDS=1-1773, genemark-cer-_s238-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s238-processed-gene-0.21&CDS=1-2262, genemark-cer-_s359-processed-gene-0.113-mRNA-1_1&gene=genemark-cer-_s359-processed-gene-0.113&CDS=1-2223, genemark-cer-_s549-processed-gene-0.0-mRNA-1_1&gene=genemark-cer-_s549-processed-gene-0.0&CDS=1-2253, snap_masked-cer-_s148-processed-gene-0.12-mRNA-1_1&gene=snap_masked-cer-_s148-processed-gene-0.12&CDS=1-1248, snap_masked-cer-_s316-processed-gene-0.9-mRNA-1_1&gene=snap_masked-cer-_s316-processed-gene-0.9&CDS=1-189	YJR061W, YKL201C
OG0000009	genemark-cer-_s148-processed-gene-0.88-mRNA-1_1&gene=genemark-cer-_s148-processed-gene-0.88&CDS=1-2175, genemark-cer-_s425-processed-gene-0.28-mRNA-1_1&gene=genemark-cer-_s425-processed-gene-0.28&CDS=1-2109, genemark-cer-_s48-processed-gene-1.170-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.170&CDS=1-2130, maker-cer-_s612-snap-gene-0.72-mRNA-1_1&gene=maker-cer-_s612-snap-gene-0.72&CDS=1-2253	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
