	Kluyveromyces_lactis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-CR382123-processed-gene-15.83-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-15.83&CDS=1-1446, augustus_masked-CR382123-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-5.52&CDS=1-1419, augustus_masked-CR382124-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.136&CDS=1-1389, genemark-CR382121-processed-gene-0.73-mRNA-1_1&gene=genemark-CR382121-processed-gene-0.73&CDS=1-1497, genemark-CR382122-processed-gene-0.39-mRNA-1_1&gene=genemark-CR382122-processed-gene-0.39&CDS=1-1497, genemark-CR382123-processed-gene-0.38-mRNA-1_1&gene=genemark-CR382123-processed-gene-0.38&CDS=1-1497, genemark-CR382124-processed-gene-0.1-mRNA-1_1&gene=genemark-CR382124-processed-gene-0.1&CDS=1-1497, genemark-CR382124-processed-gene-16.164-mRNA-1_1&gene=genemark-CR382124-processed-gene-16.164&CDS=1-1497, genemark-CR382125-processed-gene-0.30-mRNA-1_1&gene=genemark-CR382125-processed-gene-0.30&CDS=1-1497, genemark-CR382126-processed-gene-0.70-mRNA-1_1&gene=genemark-CR382126-processed-gene-0.70&CDS=1-1497, maker-CR382122-augustus-gene-4.49-mRNA-1_1&gene=maker-CR382122-augustus-gene-4.49&CDS=1-984	YKL221W
OG0000001	augustus_masked-CR382124-processed-gene-16.84-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-16.84&CDS=1-1839, augustus_masked-CR382124-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-3.68&CDS=1-1920, augustus_masked-CR382125-processed-gene-18.15-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-18.15&CDS=1-1950, genemark-CR382124-processed-gene-8.76-mRNA-1_1&gene=genemark-CR382124-processed-gene-8.76&CDS=1-2010	YAL005C, YDL229W, YER103W, YJL034W, YLL024C, YNL209W
OG0000002	augustus_masked-CR382121-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-7.48&CDS=1-3192, augustus_masked-CR382122-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.6&CDS=1-2301, augustus_masked-CR382122-processed-gene-10.120-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-10.120&CDS=1-3333, augustus_masked-CR382126-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-6.111&CDS=1-2631	YER013W, YGL120C, YKR086W, YNR011C
OG0000003	augustus_masked-CR382122-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.17&CDS=1-1770, augustus_masked-CR382124-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-0.49&CDS=1-1770	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
OG0000004	augustus_masked-CR382126-processed-gene-20.69-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.69&CDS=1-4575, maker-CR382122-augustus-gene-8.93-mRNA-1_1&gene=maker-CR382122-augustus-gene-8.93&CDS=1-6216, maker-CR382124-snap-gene-3.0-mRNA-1_1&gene=maker-CR382124-snap-gene-3.0&CDS=1-9093	YDR011W, YDR406W, YNR070W, YOR153W, YPL058C
OG0000005	augustus_masked-CR382121-processed-gene-6.138-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.138&CDS=1-3513, augustus_masked-CR382121-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.120&CDS=1-1722, augustus_masked-CR382123-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-1.29&CDS=1-1860	YCL025C, YDR508C, YGR191W, YKR039W
OG0000006	augustus_masked-CR382121-processed-gene-9.134-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.134&CDS=1-1902, augustus_masked-CR382123-processed-gene-16.60-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.60&CDS=1-1869, augustus_masked-CR382125-processed-gene-13.3-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-13.3&CDS=1-1917, snap_masked-CR382123-processed-gene-0.81-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-0.81&CDS=1-1872, snap_masked-CR382125-processed-gene-12.44-mRNA-1_1&gene=snap_masked-CR382125-processed-gene-12.44&CDS=1-1842	YHL040C, YHL047C
OG0000007	augustus_masked-CR382122-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.19&CDS=1-1347, augustus_masked-CR382123-processed-gene-16.31-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.31&CDS=1-2322, augustus_masked-CR382124-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-0.51&CDS=1-3012, augustus_masked-CR382125-processed-gene-13.1-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-13.1&CDS=1-3672, genemark-CR382123-processed-gene-16.82-mRNA-1_1&gene=genemark-CR382123-processed-gene-16.82&CDS=1-4701, maker-CR382122-snap-gene-12.170-mRNA-1_1&gene=maker-CR382122-snap-gene-12.170&CDS=1-2886, snap_masked-CR382121-processed-gene-9.35-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-9.35&CDS=1-3351	
OG0000008	augustus_masked-CR382122-processed-gene-8.52-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-8.52&CDS=1-1122, augustus_masked-CR382126-processed-gene-12.68-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-12.68&CDS=1-1125, augustus_masked-CR382126-processed-gene-16.75-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-16.75&CDS=1-1044, augustus_masked-CR382126-processed-gene-19.97-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.97&CDS=1-1050	YMR083W, YMR303C, YOL086C
OG0000009	augustus_masked-CR382121-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-2.118&CDS=1-1110, augustus_masked-CR382121-processed-gene-3.53-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-3.53&CDS=1-2640, snap_masked-CR382121-processed-gene-3.10-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-3.10&CDS=1-2925, snap_masked-CR382121-processed-gene-3.8-mRNA-1_1&gene=snap_masked-CR382121-processed-gene-3.8&CDS=1-2535	YAL051W, YOR363C
OG0000010	augustus_masked-CR382121-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-4.5&CDS=1-609, augustus_masked-CR382121-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-4.6&CDS=1-903, augustus_masked-CR382123-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.118&CDS=1-522, augustus_masked-CR382123-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.119&CDS=1-1824	YDR534C, YOR383C
OG0000011	augustus_masked-CR382122-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-1.1&CDS=1-1977, augustus_masked-CR382122-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-9.36&CDS=1-1488, augustus_masked-CR382126-processed-gene-11.16-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-11.16&CDS=1-933	YER133W, YML016C, YPL179W
OG0000012	snap_masked-CR382122-processed-gene-4.123-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-4.123&CDS=1-333, snap_masked-CR382124-processed-gene-8.17-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-8.17&CDS=1-1965, snap_masked-CR382126-processed-gene-8.50-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-8.50&CDS=1-1974	YKL222C, YOR162C, YOR172W
