	Lachancea_quebecensis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-LAQU0S50-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LAQU0S50-processed-gene-0.1&CDS=1-954	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
OG0000001		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
OG0000002	genemark-LAQU0S06-processed-gene-4.101-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.101&CDS=1-1746, genemark-LAQU0S17-processed-gene-1.118-mRNA-1_1&gene=genemark-LAQU0S17-processed-gene-1.118&CDS=1-1698, genemark-LAQU0S21-processed-gene-0.133-mRNA-1_1&gene=genemark-LAQU0S21-processed-gene-0.133&CDS=1-1710, genemark-LAQU0S45-processed-gene-0.6-mRNA-1_1&gene=genemark-LAQU0S45-processed-gene-0.6&CDS=1-1638, maker-LAQU0S02-snap-gene-2.2-mRNA-1_1&gene=maker-LAQU0S02-snap-gene-2.2&CDS=1-3090, maker-LAQU0S10-snap-gene-1.122-mRNA-1_1&gene=maker-LAQU0S10-snap-gene-1.122&CDS=1-3333	YFL011W, YFR010W, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W
OG0000003	genemark-LAQU0S01-processed-gene-3.84-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-3.84&CDS=1-1935, genemark-LAQU0S03-processed-gene-4.78-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-4.78&CDS=1-1959, genemark-LAQU0S05-processed-gene-4.76-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-4.76&CDS=1-1839, genemark-LAQU0S11-processed-gene-1.53-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.53&CDS=1-2037, maker-LAQU0S02-snap-gene-6.160-mRNA-1_1&gene=maker-LAQU0S02-snap-gene-6.160&CDS=1-2718, maker-LAQU0S04-snap-gene-7.141-mRNA-1_1&gene=maker-LAQU0S04-snap-gene-7.141&CDS=1-4998	YDL229W, YEL030W, YER103W, YJL034W, YJR045C, YLR369W, YNL209W
OG0000004	augustus_masked-LAQU0S01-processed-gene-12.112-mRNA-1_1&gene=augustus_masked-LAQU0S01-processed-gene-12.112&CDS=1-1566, augustus_masked-LAQU0S04-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-LAQU0S04-processed-gene-5.46&CDS=1-3204, genemark-LAQU0S04-processed-gene-5.75-mRNA-1_1&gene=genemark-LAQU0S04-processed-gene-5.75&CDS=1-1509, genemark-LAQU0S16-processed-gene-1.108-mRNA-1_1&gene=genemark-LAQU0S16-processed-gene-1.108&CDS=1-1578, maker-LAQU0S09-snap-gene-1.0-mRNA-1_1&gene=maker-LAQU0S09-snap-gene-1.0&CDS=1-1923	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
OG0000005	genemark-LAQU0S02-processed-gene-0.98-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-0.98&CDS=1-1752, genemark-LAQU0S02-processed-gene-8.150-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-8.150&CDS=1-1758, genemark-LAQU0S06-processed-gene-4.135-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.135&CDS=1-1755, genemark-LAQU0S17-processed-gene-1.94-mRNA-1_1&gene=genemark-LAQU0S17-processed-gene-1.94&CDS=1-1770	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
OG0000006	augustus_masked-LAQU0S22-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LAQU0S22-processed-gene-0.33&CDS=1-1839, augustus_masked-LAQU0S39-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LAQU0S39-processed-gene-0.8&CDS=1-2727, genemark-LAQU0S01-processed-gene-12.228-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-12.228&CDS=1-1848, genemark-LAQU0S07-processed-gene-0.85-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-0.85&CDS=1-1785, genemark-LAQU0S13-processed-gene-0.29-mRNA-1_1&gene=genemark-LAQU0S13-processed-gene-0.29&CDS=1-1872, genemark-LAQU0S33-processed-gene-0.9-mRNA-1_1&gene=genemark-LAQU0S33-processed-gene-0.9&CDS=1-1857	YEL065W, YHL040C, YHL047C
OG0000007		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000008		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
OG0000009	genemark-LAQU0S01-processed-gene-0.61-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-0.61&CDS=1-1677, genemark-LAQU0S03-processed-gene-7.75-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-7.75&CDS=1-1863, genemark-LAQU0S03-processed-gene-7.76-mRNA-1_1&gene=genemark-LAQU0S03-processed-gene-7.76&CDS=1-1719, genemark-LAQU0S17-processed-gene-1.115-mRNA-1_1&gene=genemark-LAQU0S17-processed-gene-1.115&CDS=1-1827, genemark-LAQU0S39-processed-gene-0.2-mRNA-1_1&gene=genemark-LAQU0S39-processed-gene-0.2&CDS=1-1704	YCL069W, YKR105C, YPR198W
OG0000010	augustus_masked-LAQU0S04-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-LAQU0S04-processed-gene-2.44&CDS=1-5121, genemark-LAQU0S02-processed-gene-8.131-mRNA-1_1&gene=genemark-LAQU0S02-processed-gene-8.131&CDS=1-2313, genemark-LAQU0S20-processed-gene-0.13-mRNA-1_1&gene=genemark-LAQU0S20-processed-gene-0.13&CDS=1-3327, maker-LAQU0S09-augustus-gene-2.80-mRNA-1_1&gene=maker-LAQU0S09-augustus-gene-2.80&CDS=1-3600	YER013W, YGL120C, YKR086W, YNR011C
OG0000011	augustus_masked-LAQU0S11-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LAQU0S11-processed-gene-0.14&CDS=1-1707, genemark-LAQU0S37-processed-gene-0.18-mRNA-1_1&gene=genemark-LAQU0S37-processed-gene-0.18&CDS=1-1764, genemark-LAQU0S50-processed-gene-0.5-mRNA-1_1&gene=genemark-LAQU0S50-processed-gene-0.5&CDS=1-1620, snap_masked-LAQU0S04-processed-gene-3.63-mRNA-1_1&gene=snap_masked-LAQU0S04-processed-gene-3.63&CDS=1-1860	YGL257C, YIL014W, YNR059W
OG0000012	genemark-LAQU0S05-processed-gene-2.23-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-2.23&CDS=1-1083, genemark-LAQU0S05-processed-gene-3.52-mRNA-1_1&gene=genemark-LAQU0S05-processed-gene-3.52&CDS=1-1083, genemark-LAQU0S07-processed-gene-1.52-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.52&CDS=1-1080	YDR541C, YGL039W, YGL157W, YOL151W
OG0000013	genemark-LAQU0S01-processed-gene-1.33-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-1.33&CDS=1-1659, genemark-LAQU0S12-processed-gene-0.6-mRNA-1_1&gene=genemark-LAQU0S12-processed-gene-0.6&CDS=1-1611, genemark-LAQU0S37-processed-gene-0.15-mRNA-1_1&gene=genemark-LAQU0S37-processed-gene-0.15&CDS=1-1521, maker-LAQU0S33-snap-gene-0.0-mRNA-1_1&gene=maker-LAQU0S33-snap-gene-0.0&CDS=1-3129	YGR260W, YJR152W
OG0000014	genemark-LAQU0S01-processed-gene-12.188-mRNA-1_1&gene=genemark-LAQU0S01-processed-gene-12.188&CDS=1-1539, genemark-LAQU0S06-processed-gene-4.99-mRNA-1_1&gene=genemark-LAQU0S06-processed-gene-4.99&CDS=1-1539, genemark-LAQU0S08-processed-gene-0.3-mRNA-1_1&gene=genemark-LAQU0S08-processed-gene-0.3&CDS=1-1530, maker-LAQU0S08-augustus-gene-1.52-mRNA-1_1&gene=maker-LAQU0S08-augustus-gene-1.52&CDS=1-3105	YDL138W, YDL194W
OG0000015	augustus_masked-LAQU0S03-processed-gene-6.153-mRNA-1_1&gene=augustus_masked-LAQU0S03-processed-gene-6.153&CDS=1-2193, genemark-LAQU0S09-processed-gene-2.203-mRNA-1_1&gene=genemark-LAQU0S09-processed-gene-2.203&CDS=1-2199, snap_masked-LAQU0S09-processed-gene-0.73-mRNA-1_1&gene=snap_masked-LAQU0S09-processed-gene-0.73&CDS=1-2043	YKL222C, YOR162C, YOR172W
OG0000016	genemark-LAQU0S07-processed-gene-1.59-mRNA-1_1&gene=genemark-LAQU0S07-processed-gene-1.59&CDS=1-1413, genemark-LAQU0S11-processed-gene-1.96-mRNA-1_1&gene=genemark-LAQU0S11-processed-gene-1.96&CDS=1-1566, genemark-LAQU0S20-processed-gene-0.33-mRNA-1_1&gene=genemark-LAQU0S20-processed-gene-0.33&CDS=1-1557	YHR050W, YLR034C, YOL122C
