	Candida_tanzawaensis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_1-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.75&CDS=1-1752, augustus_masked-scaffold_3-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.40&CDS=1-3246, augustus_masked-scaffold_4-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.35&CDS=1-1704, augustus_masked-scaffold_5-processed-gene-8.147-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.147&CDS=1-1764, augustus_masked-scaffold_6-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.88&CDS=1-1746, augustus_masked-scaffold_6-processed-gene-6.104-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.104&CDS=1-1656, augustus_masked-scaffold_7-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.16&CDS=1-1812, genemark-scaffold_1-processed-gene-7.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.94&CDS=1-1725, genemark-scaffold_4-processed-gene-6.72-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.72&CDS=1-1695, genemark-scaffold_8-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.76&CDS=1-1779	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W
OG0000001	augustus_masked-scaffold_13-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-0.0&CDS=1-1101, augustus_masked-scaffold_2-processed-gene-14.11-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.11&CDS=1-3027, genemark-scaffold_5-processed-gene-5.60-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.60&CDS=1-2469, genemark-scaffold_8-processed-gene-4.119-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.119&CDS=1-3003, maker-scaffold_10-snap-gene-1.71-mRNA-1_1&gene=maker-scaffold_10-snap-gene-1.71&CDS=1-3837, maker-scaffold_2-snap-gene-0.126-mRNA-1_1&gene=maker-scaffold_2-snap-gene-0.126&CDS=1-2511, maker-scaffold_3-snap-gene-0.80-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.80&CDS=1-2079, maker-scaffold_3-snap-gene-0.82-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.82&CDS=1-4440, maker-scaffold_3-snap-gene-17.223-mRNA-1_1&gene=maker-scaffold_3-snap-gene-17.223&CDS=1-1737, maker-scaffold_5-snap-gene-13.40-mRNA-1_1&gene=maker-scaffold_5-snap-gene-13.40&CDS=1-2232, maker-scaffold_8-snap-gene-2.116-mRNA-1_1&gene=maker-scaffold_8-snap-gene-2.116&CDS=1-1896	YJR004C
OG0000002	augustus_masked-scaffold_1-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.106&CDS=1-1719, augustus_masked-scaffold_2-processed-gene-14.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.14&CDS=1-1752, augustus_masked-scaffold_5-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.38&CDS=1-1788, augustus_masked-scaffold_6-processed-gene-10.116-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.116&CDS=1-1758, maker-scaffold_2-snap-gene-0.127-mRNA-1_1&gene=maker-scaffold_2-snap-gene-0.127&CDS=1-3411, snap_masked-scaffold_2-processed-gene-14.67-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.67&CDS=1-1794	YCL069W, YGR224W, YKR105C, YMR088C, YPR198W
OG0000003	augustus_masked-scaffold_10-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.23&CDS=1-2226, augustus_masked-scaffold_6-processed-gene-11.167-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.167&CDS=1-2640, augustus_masked-scaffold_7-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.24&CDS=1-2217, augustus_masked-scaffold_7-processed-gene-2.6-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.6&CDS=1-2439, augustus_masked-scaffold_7-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.85&CDS=1-2340, genemark-scaffold_7-processed-gene-8.102-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.102&CDS=1-1755, maker-scaffold_1-snap-gene-22.44-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.44&CDS=1-1878, snap_masked-scaffold_7-processed-gene-5.52-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.52&CDS=1-2427	YJR061W, YKL201C
OG0000004	augustus_masked-scaffold_3-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.16&CDS=1-1713, augustus_masked-scaffold_4-processed-gene-13.9-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.9&CDS=1-1731	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000005	augustus_masked-scaffold_1-processed-gene-18.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.35&CDS=1-3327, augustus_masked-scaffold_1-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.7&CDS=1-2223, augustus_masked-scaffold_3-processed-gene-16.85-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.85&CDS=1-3360, augustus_masked-scaffold_4-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.43&CDS=1-2655	YER013W, YGL120C, YKR086W, YNR011C
OG0000006	augustus_masked-scaffold_1-processed-gene-11.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.75&CDS=1-2034, augustus_masked-scaffold_6-processed-gene-11.162-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.162&CDS=1-4647, augustus_masked-scaffold_8-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.15&CDS=1-4038, snap_masked-scaffold_3-processed-gene-6.96-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.96&CDS=1-4533	YBL017C, YIL173W, YJL222W, YNR065C
OG0000007	augustus_masked-scaffold_2-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.98&CDS=1-978, augustus_masked-scaffold_2-processed-gene-15.123-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.123&CDS=1-1146, augustus_masked-scaffold_2-processed-gene-17.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.14&CDS=1-1194, genemark-scaffold_4-processed-gene-11.82-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-11.82&CDS=1-954, maker-scaffold_1-augustus-gene-19.82-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.82&CDS=1-1752, snap_masked-scaffold_3-processed-gene-1.130-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.130&CDS=1-996	YKL128C, YOR004W
OG0000008	augustus_masked-scaffold_1-processed-gene-20.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.24&CDS=1-1383, genemark-scaffold_10-processed-gene-1.119-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.119&CDS=1-1335, genemark-scaffold_4-processed-gene-0.47-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.47&CDS=1-1167	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000009	augustus_masked-scaffold_2-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-3.14&CDS=1-2934, augustus_masked-scaffold_4-processed-gene-8.108-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-8.108&CDS=1-3060, augustus_masked-scaffold_5-processed-gene-12.21-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-12.21&CDS=1-3375, genemark-scaffold_4-processed-gene-5.86-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.86&CDS=1-2211, maker-scaffold_5-snap-gene-12.1-mRNA-1_1&gene=maker-scaffold_5-snap-gene-12.1&CDS=1-3699, snap_masked-scaffold_5-processed-gene-12.50-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.50&CDS=1-3435	YKR064W, YLR256W
