	Saccharomyces_cerevisiae	yHMPu5000034885_Ogataea_zsoltii
OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	augustus_masked-NODE_68_length_10759_cov_63.5371_ID_135-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_68_length_10759_cov_63.5371_ID_135-processed-gene-0.5&CDS=1-1671, augustus_masked-NODE_71_length_8046_cov_54.8811_ID_141-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_71_length_8046_cov_54.8811_ID_141-processed-gene-0.5&CDS=1-1251
OG0000001	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	snap_masked-NODE_64_length_17426_cov_27.1455_ID_127-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_64_length_17426_cov_27.1455_ID_127-processed-gene-0.19&CDS=1-2082
OG0000002	YBR240C	genemark-NODE_33_length_126778_cov_31.2123_ID_65-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_33_length_126778_cov_31.2123_ID_65-processed-gene-0.97&CDS=1-1791, genemark-NODE_40_length_98301_cov_29.074_ID_79-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_40_length_98301_cov_29.074_ID_79-processed-gene-0.49&CDS=1-1746, snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.54&CDS=1-1845, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.43-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-3.43&CDS=1-1722, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-6.19-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-6.19&CDS=1-840, snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.21&CDS=1-1587, snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-0.22&CDS=1-588, snap_masked-NODE_34_length_122159_cov_30.0024_ID_67-processed-gene-0.188-mRNA-1_1&gene=snap_masked-NODE_34_length_122159_cov_30.0024_ID_67-processed-gene-0.188&CDS=1-2115, snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_43_length_77150_cov_39.5305_ID_85-processed-gene-0.18&CDS=1-1683, snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-3.137-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-3.137&CDS=1-2037, snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.191-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.191&CDS=1-2349, snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.216-mRNA-1_1&gene=snap_masked-NODE_8_length_348112_cov_34.8261_ID_15-processed-gene-2.216&CDS=1-1485
OG0000003	YDR541C, YGL039W, YGL157W, YOL151W	maker-NODE_48_length_51618_cov_56.1852_ID_95-augustus-gene-0.74-mRNA-1_1&gene=maker-NODE_48_length_51618_cov_56.1852_ID_95-augustus-gene-0.74&CDS=1-2385, snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.104-mRNA-1_1&gene=snap_masked-NODE_15_length_268365_cov_36.054_ID_29-processed-gene-1.104&CDS=1-936, snap_masked-NODE_164_length_1110_cov_177.797_ID_327-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_164_length_1110_cov_177.797_ID_327-processed-gene-0.0&CDS=1-840, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.2&CDS=1-1014, snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_1_length_742912_cov_33.9653_ID_1-processed-gene-0.4&CDS=1-993, snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.36&CDS=1-1008, snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-0.9&CDS=1-1014, snap_masked-NODE_99_length_3126_cov_135.791_ID_197-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_99_length_3126_cov_135.791_ID_197-processed-gene-0.1&CDS=1-1020
OG0000004	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_32_length_134182_cov_33.8379_ID_63-processed-gene-0.126&CDS=1-3747, maker-NODE_21_length_199464_cov_29.6595_ID_41-augustus-gene-0.128-mRNA-1_1&gene=maker-NODE_21_length_199464_cov_29.6595_ID_41-augustus-gene-0.128&CDS=1-4527, snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_31_length_138543_cov_31.3823_ID_61-processed-gene-0.22&CDS=1-2265, snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-2.125-mRNA-1_1&gene=snap_masked-NODE_3_length_509586_cov_31.0256_ID_5-processed-gene-2.125&CDS=1-2928
OG0000005	YKL215C	genemark-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_27_length_175590_cov_28.0157_ID_53-processed-gene-0.107&CDS=1-3918, snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.181-mRNA-1_1&gene=snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.181&CDS=1-3861, snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_12_length_297239_cov_36.2077_ID_23-processed-gene-1.82&CDS=1-3942, snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.68&CDS=1-3825, snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.104&CDS=1-3927, snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.77-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.77&CDS=1-3951, snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.5&CDS=1-3963
OG0000006	YKL220C, YNR060W, YOR381W	genemark-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.13&CDS=1-2094, snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.44-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-4.44&CDS=1-2046, snap_masked-NODE_52_length_44404_cov_49.7936_ID_103-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_52_length_44404_cov_49.7936_ID_103-processed-gene-0.59&CDS=1-2013, snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.80&CDS=1-1800, snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_9_length_332902_cov_30.3286_ID_17-processed-gene-0.45&CDS=1-2064
OG0000007		snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.183-mRNA-1_1&gene=snap_masked-NODE_10_length_305151_cov_36.765_ID_19-processed-gene-2.183&CDS=1-1650, snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-1.210-mRNA-1_1&gene=snap_masked-NODE_18_length_238426_cov_40.4936_ID_35-processed-gene-1.210&CDS=1-1647, snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_20_length_223538_cov_38.8343_ID_39-processed-gene-1.40&CDS=1-1629, snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_26_length_181048_cov_42.3995_ID_51-processed-gene-0.59&CDS=1-1653, snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.162-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.162&CDS=1-1656, snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.166-mRNA-1_1&gene=snap_masked-NODE_2_length_612583_cov_33.3099_ID_3-processed-gene-5.166&CDS=1-1650, snap_masked-NODE_48_length_51618_cov_56.1852_ID_95-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_48_length_51618_cov_56.1852_ID_95-processed-gene-0.19&CDS=1-1647, snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_4_length_504154_cov_32.1482_ID_7-processed-gene-0.121&CDS=1-1638
OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.234-mRNA-1_1&gene=snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.234&CDS=1-1377, snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_30_length_166363_cov_31.3914_ID_59-processed-gene-0.57&CDS=1-1431
OG0000009	YCR106W, YLL054C, YOR363C	augustus_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-0.111&CDS=1-2280, augustus_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.285-mRNA-1_1&gene=augustus_masked-NODE_13_length_289362_cov_30.0886_ID_25-processed-gene-1.285&CDS=1-1683, snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.245-mRNA-1_1&gene=snap_masked-NODE_25_length_181391_cov_30.8946_ID_49-processed-gene-0.245&CDS=1-2103, snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.2-mRNA-1_1&gene=snap_masked-NODE_5_length_464012_cov_40.2151_ID_9-processed-gene-3.2&CDS=1-1905
