	Saccharomyces_cerevisiae	yHMPu5000035271_Wickerhamomyces_bovis
OG0000000	YBR240C, YDR207C	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-0.94&CDS=1-1689, augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-5.67&CDS=1-1686, augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.234-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.234&CDS=1-1476, augustus_masked-NODE_47_length_54472_cov_29.173_ID_4552-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_47_length_54472_cov_29.173_ID_4552-processed-gene-0.55&CDS=1-1773, augustus_masked-NODE_53_length_42358_cov_22.3602_ID_4751-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_53_length_42358_cov_22.3602_ID_4751-processed-gene-0.61&CDS=1-642, augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-1.93&CDS=1-2328, augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.209-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.209&CDS=1-1602, augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.256-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.256&CDS=1-558, augustus_masked-NODE_80_length_15223_cov_26.4135_ID_5844-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_80_length_15223_cov_26.4135_ID_5844-processed-gene-0.20&CDS=1-1641, snap_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.165&CDS=1-2319, snap_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_28_length_120461_cov_24.0822_ID_2951-processed-gene-0.165&CDS=1-1641, snap_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.99&CDS=1-846
OG0000001		augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-0.0&CDS=1-1731, augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.363-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.363&CDS=1-2685, augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-0.103&CDS=1-2664, augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.67&CDS=1-2949, augustus_masked-NODE_38_length_79087_cov_23.4313_ID_3572-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_38_length_79087_cov_23.4313_ID_3572-processed-gene-0.73&CDS=1-2469, augustus_masked-NODE_61_length_34174_cov_21.9468_ID_5095-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_61_length_34174_cov_21.9468_ID_5095-processed-gene-0.19&CDS=1-2022, augustus_masked-NODE_95_length_5278_cov_27.5925_ID_6453-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_95_length_5278_cov_27.5925_ID_6453-processed-gene-0.1&CDS=1-2844, genemark-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.10-mRNA-1_1&gene=genemark-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-6.10&CDS=1-3333, maker-NODE_1_length_1020045_cov_22.3535_ID_1707-snap-gene-6.54-mRNA-1_1&gene=maker-NODE_1_length_1020045_cov_22.3535_ID_1707-snap-gene-6.54&CDS=1-2631, maker-NODE_3_length_686625_cov_22.7875_ID_2680-augustus-gene-5.110-mRNA-1_1&gene=maker-NODE_3_length_686625_cov_22.7875_ID_2680-augustus-gene-5.110&CDS=1-1971, snap_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.170-mRNA-1_1&gene=snap_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.170&CDS=1-2346, snap_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.194-mRNA-1_1&gene=snap_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.194&CDS=1-2181, snap_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.191-mRNA-1_1&gene=snap_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.191&CDS=1-1974, snap_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.146-mRNA-1_1&gene=snap_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.146&CDS=1-1971
OG0000002	YCL025C, YDR508C, YGR191W, YKR039W	augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.5&CDS=1-1761, augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-1.5&CDS=1-1743, augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.78&CDS=1-1773, augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-0.61&CDS=1-1752, augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.91&CDS=1-1800
OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NODE_5_length_377811_cov_27.128_ID_2487-processed-gene-2.61&CDS=1-1686
OG0000004	YGL073W, YGR249W, YHR206W, YOR140W	augustus_masked-NODE_30_length_117107_cov_22.465_ID_3048-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_30_length_117107_cov_22.465_ID_3048-processed-gene-0.0&CDS=1-2124, augustus_masked-NODE_56_length_40338_cov_30.1761_ID_4871-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_56_length_40338_cov_30.1761_ID_4871-processed-gene-0.13&CDS=1-1401, augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-2.68&CDS=1-1773, genemark-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-8.9-mRNA-1_1&gene=genemark-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-8.9&CDS=1-2007
OG0000005	YGL257C, YNR059W	augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.114&CDS=1-2250, augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_25_length_132993_cov_22.9202_ID_2981-processed-gene-0.130&CDS=1-2331, augustus_masked-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.71&CDS=1-2178, augustus_masked-NODE_35_length_81782_cov_21.913_ID_3530-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_35_length_81782_cov_21.913_ID_3530-processed-gene-0.47&CDS=1-1869, genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.10-mRNA-1_1&gene=genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.10&CDS=1-2142, genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.48-mRNA-1_1&gene=genemark-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-7.48&CDS=1-1482
OG0000006	YKL220C, YLR214W, YNR060W, YOR381W	augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.116&CDS=1-2079, augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-3.70&CDS=1-2097, augustus_masked-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.120&CDS=1-2019, augustus_masked-NODE_46_length_55520_cov_27.8102_ID_4391-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_46_length_55520_cov_27.8102_ID_4391-processed-gene-0.26&CDS=1-2040
OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_63_length_31179_cov_22.7796_ID_5245-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_63_length_31179_cov_22.7796_ID_5245-processed-gene-0.20&CDS=1-1416, maker-NODE_72_length_20340_cov_23.2509_ID_5610-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_72_length_20340_cov_23.2509_ID_5610-augustus-gene-0.0&CDS=1-1683
OG0000008	YBL063W, YEL061C, YKL079W	augustus_masked-NODE_43_length_57518_cov_22.5337_ID_12012-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_43_length_57518_cov_22.5337_ID_12012-processed-gene-0.58&CDS=1-3189, augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.112&CDS=1-2178, augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_8_length_336906_cov_25.1058_ID_2807-processed-gene-0.73&CDS=1-2736, augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-0.73&CDS=1-1557
OG0000009	YBR015C, YJL186W	augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.117&CDS=1-1899, augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_16_length_241460_cov_22.8791_ID_4286-processed-gene-1.6&CDS=1-1944, augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.89&CDS=1-1620, augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.299-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.299&CDS=1-1785, augustus_masked-NODE_52_length_42378_cov_23.2363_ID_4652-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_52_length_42378_cov_23.2363_ID_4652-processed-gene-0.28&CDS=1-1719
