	Candida_boidinii_JCM9604	Saccharomyces_cerevisiae
OG0000000	-processed-gene-0.11-mRNA-1_1&gene=snap_masked-gi|1002316599|dbj|BCGP01000021.1|-processed-gene-0.11&CDS=1-528, -processed-gene-0.15-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-0.15&CDS=1-2505, -processed-gene-0.16-mRNA-1_1&gene=augustus_masked-gi|1002316602|dbj|BCGP01000018.1|-processed-gene-0.16&CDS=1-951, -processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002316599|dbj|BCGP01000021.1|-processed-gene-0.16&CDS=1-1563, -processed-gene-0.29-mRNA-1_1&gene=snap_masked-gi|1002316600|dbj|BCGP01000020.1|-processed-gene-0.29&CDS=1-369, -processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-0.3&CDS=1-3969, -processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-0.31&CDS=1-1590, -processed-gene-0.34-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-0.34&CDS=1-1713, -processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|1002316607|dbj|BCGP01000013.1|-processed-gene-0.39&CDS=1-1551, -processed-gene-0.40-mRNA-1_1&gene=augustus_masked-gi|1002316610|dbj|BCGP01000010.1|-processed-gene-0.40&CDS=1-1596, -processed-gene-0.43-mRNA-1_1&gene=snap_masked-gi|1002316608|dbj|BCGP01000012.1|-processed-gene-0.43&CDS=1-957, -processed-gene-0.47-mRNA-1_1&gene=augustus_masked-gi|1002316600|dbj|BCGP01000020.1|-processed-gene-0.47&CDS=1-1344, -processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|1002316600|dbj|BCGP01000020.1|-processed-gene-0.55&CDS=1-1464, -processed-gene-0.77-mRNA-1_1&gene=augustus_masked-gi|1002316611|dbj|BCGP01000009.1|-processed-gene-0.77&CDS=1-960, -processed-gene-1.102-mRNA-1_1&gene=snap_masked-gi|1002316605|dbj|BCGP01000015.1|-processed-gene-1.102&CDS=1-2319, -processed-gene-1.31-mRNA-1_1&gene=augustus_masked-gi|1002316605|dbj|BCGP01000015.1|-processed-gene-1.31&CDS=1-1257, -processed-gene-4.43-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-4.43&CDS=1-1233, -processed-gene-5.48-mRNA-1_1&gene=genemark-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-5.48&CDS=1-876	
OG0000001	-augustus-gene-0.52-mRNA-1_1&gene=maker-gi|1002316606|dbj|BCGP01000014.1|-augustus-gene-0.52&CDS=1-5730, -augustus-gene-28.56-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-augustus-gene-28.56&CDS=1-1851, -augustus-gene-28.57-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-augustus-gene-28.57&CDS=1-2241, -processed-gene-1.18-mRNA-1_1&gene=genemark-gi|1002316612|dbj|BCGP01000008.1|-processed-gene-1.18&CDS=1-2928, -processed-gene-17.28-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.28&CDS=1-5463, -processed-gene-24.21-mRNA-1_1&gene=snap_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-24.21&CDS=1-3018, -processed-gene-6.15-mRNA-1_1&gene=snap_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-6.15&CDS=1-3669, -processed-gene-7.102-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-7.102&CDS=1-3768, -processed-gene-7.103-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-7.103&CDS=1-4050, -processed-gene-8.7-mRNA-1_1&gene=genemark-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-8.7&CDS=1-4353, -snap-gene-0.78-mRNA-1_1&gene=maker-gi|1002316606|dbj|BCGP01000014.1|-snap-gene-0.78&CDS=1-5040, -snap-gene-1.34-mRNA-1_1&gene=maker-gi|1002316611|dbj|BCGP01000009.1|-snap-gene-1.34&CDS=1-3498	YLR256W, YNR063W
OG0000002	-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-0.49&CDS=1-4506, -processed-gene-1.13-mRNA-1_1&gene=augustus_masked-gi|1002316605|dbj|BCGP01000015.1|-processed-gene-1.13&CDS=1-4482, -processed-gene-1.35-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-1.35&CDS=1-4629, -processed-gene-13.12-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-13.12&CDS=1-4680, -processed-gene-14.62-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-14.62&CDS=1-4473, -processed-gene-17.27-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-17.27&CDS=1-4572, -processed-gene-4.84-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-4.84&CDS=1-4599, -processed-gene-8.68-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-8.68&CDS=1-4587, -snap-gene-31.38-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-31.38&CDS=1-6054	YDR011W, YOR153W, YPL058C
OG0000003	-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-gi|1002316601|dbj|BCGP01000019.1|-processed-gene-0.100&CDS=1-1662, -processed-gene-12.15-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-12.15&CDS=1-1722, -processed-gene-14.27-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-14.27&CDS=1-1767, -processed-gene-3.41-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-3.41&CDS=1-1641, -processed-gene-33.96-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-33.96&CDS=1-1725, -processed-gene-34.4-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-34.4&CDS=1-1638, -processed-gene-35.17-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-35.17&CDS=1-1638, -processed-gene-5.74-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-5.74&CDS=1-1635, -processed-gene-6.110-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-6.110&CDS=1-1647	YDR242W
OG0000004	-processed-gene-31.79-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-31.79&CDS=1-2334, -processed-gene-5.20-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-5.20&CDS=1-2121, -processed-gene-7.42-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.42&CDS=1-2313, -snap-gene-2.124-mRNA-1_1&gene=maker-gi|1002316608|dbj|BCGP01000012.1|-snap-gene-2.124&CDS=1-3651	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000005	-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-0.32&CDS=1-2016, -processed-gene-0.33-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-0.33&CDS=1-1887, -processed-gene-17.14-mRNA-1_1&gene=genemark-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-17.14&CDS=1-2121, -processed-gene-2.201-mRNA-1_1&gene=augustus_masked-gi|1002316610|dbj|BCGP01000010.1|-processed-gene-2.201&CDS=1-1563, -processed-gene-8.81-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-8.81&CDS=1-1773, -processed-gene-9.67-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-9.67&CDS=1-1533	YDR338C, YHR032W
OG0000006	-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-2.80&CDS=1-1563, -processed-gene-26.30-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-26.30&CDS=1-1485, -processed-gene-34.30-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-34.30&CDS=1-1506, -processed-gene-6.30-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-6.30&CDS=1-1488, -processed-gene-8.33-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-8.33&CDS=1-1494	YMR169C, YMR170C, YOR374W
OG0000007	-augustus-gene-35.34-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-augustus-gene-35.34&CDS=1-3255, -processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-1.66&CDS=1-3399, -processed-gene-9.23-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-9.23&CDS=1-3465, -processed-gene-9.31-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-9.31&CDS=1-2280	YBR297W, YFL052W, YGR288W, YPR196W
OG0000008	-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-10.82&CDS=1-4524, -processed-gene-25.30-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-25.30&CDS=1-1983, -processed-gene-35.167-mRNA-1_1&gene=genemark-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-35.167&CDS=1-4704, -processed-gene-39.13-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-39.13&CDS=1-5253	YCL024W, YDR477W, YDR507C, YPL150W
OG0000009	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316606|dbj|BCGP01000014.1|-processed-gene-0.2&CDS=1-2301, -processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-1.71&CDS=1-4443, -processed-gene-2.61-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-2.61&CDS=1-3000, -processed-gene-6.7-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-6.7&CDS=1-3456	YER013W, YGL120C, YKR086W
