	Lachancea_thermotolerans	Saccharomyces_cerevisiae
OG0000000		YBL111C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
OG0000001	augustus_masked-CU928166-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.116&CDS=1-612, snap_masked-CU928166-processed-gene-7.202-mRNA-1_1&gene=snap_masked-CU928166-processed-gene-7.202&CDS=1-666, snap_masked-CU928166-processed-gene-7.203-mRNA-1_1&gene=snap_masked-CU928166-processed-gene-7.203&CDS=1-480, snap_masked-CU928166-processed-gene-7.204-mRNA-1_1&gene=snap_masked-CU928166-processed-gene-7.204&CDS=1-276, snap_masked-CU928167-processed-gene-0.65-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-0.65&CDS=1-411, snap_masked-CU928168-processed-gene-0.19-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-0.19&CDS=1-678	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
OG0000002		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
OG0000003	augustus_masked-CU928168-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.58&CDS=1-1566, augustus_masked-CU928169-processed-gene-10.155-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-10.155&CDS=1-1578, augustus_masked-CU928170-processed-gene-8.83-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-8.83&CDS=1-1509, maker-CU928165-snap-gene-4.47-mRNA-1_1&gene=maker-CU928165-snap-gene-4.47&CDS=1-1923, snap_masked-CU928170-processed-gene-8.16-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-8.16&CDS=1-3234	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
OG0000004	augustus_masked-CU928166-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.92&CDS=1-1770, augustus_masked-CU928171-processed-gene-16.50-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.50&CDS=1-1755, augustus_masked-CU928180-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-4.66&CDS=1-1758, genemark-CU928169-processed-gene-14.78-mRNA-1_1&gene=genemark-CU928169-processed-gene-14.78&CDS=1-1752	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
OG0000005	augustus_masked-CU928166-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.82&CDS=1-1854, augustus_masked-CU928166-processed-gene-7.150-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.150&CDS=1-1704, augustus_masked-CU928167-processed-gene-8.223-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.223&CDS=1-1953, augustus_masked-CU928167-processed-gene-8.224-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.224&CDS=1-1719, augustus_masked-CU928168-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.73&CDS=1-1713, genemark-CU928166-processed-gene-0.40-mRNA-1_1&gene=genemark-CU928166-processed-gene-0.40&CDS=1-1704	YCL069W, YKR105C, YPR198W
OG0000006	augustus_masked-CU928165-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.45&CDS=1-4497, augustus_masked-CU928171-processed-gene-16.24-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.24&CDS=1-4458, augustus_masked-CU928180-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.14&CDS=1-1980, genemark-CU928167-processed-gene-8.172-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.172&CDS=1-2202, snap_masked-CU928169-processed-gene-14.143-mRNA-1_1&gene=snap_masked-CU928169-processed-gene-14.143&CDS=1-1212	YDR011W, YDR406W, YOR153W
OG0000007	augustus_masked-CU928165-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.107&CDS=1-2688, augustus_masked-CU928170-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-11.111&CDS=1-3342, augustus_masked-CU928170-processed-gene-14.19-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-14.19&CDS=1-3324, augustus_masked-CU928180-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-5.15&CDS=1-2313	YER013W, YGL120C, YKR086W, YNR011C
OG0000008	augustus_masked-CU928166-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.79&CDS=1-1698, augustus_masked-CU928167-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.20&CDS=1-1710, maker-CU928169-snap-gene-2.51-mRNA-1_1&gene=maker-CU928169-snap-gene-2.51&CDS=1-3333	YFL011W, YIL170W, YJL219W, YMR011W, YOL156W
OG0000009	augustus_masked-CU928165-processed-gene-5.183-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.183&CDS=1-1857, augustus_masked-CU928166-processed-gene-7.154-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.154&CDS=1-1860, augustus_masked-CU928168-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.33&CDS=1-1860, augustus_masked-CU928168-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.34&CDS=1-1848, augustus_masked-CU928168-processed-gene-14.115-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.115&CDS=1-1821	YHL040C, YHL047C
OG0000010	augustus_masked-CU928166-processed-gene-7.145-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.145&CDS=1-5286, maker-CU928166-augustus-gene-7.158-mRNA-1_1&gene=maker-CU928166-augustus-gene-7.158&CDS=1-3279, maker-CU928171-augustus-gene-15.55-mRNA-1_1&gene=maker-CU928171-augustus-gene-15.55&CDS=1-7293	YGR032W, YLR342W, YMR306W, YMR307W
OG0000011	augustus_masked-CU928167-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.18&CDS=1-1794, maker-CU928170-augustus-gene-1.99-mRNA-1_1&gene=maker-CU928170-augustus-gene-1.99&CDS=1-2409, maker-CU928170-snap-gene-1.48-mRNA-1_1&gene=maker-CU928170-snap-gene-1.48&CDS=1-1887	YBR068C, YCL025C, YDR046C, YDR508C
OG0000012	augustus_masked-CU928165-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.88&CDS=1-2217, snap_masked-CU928165-processed-gene-5.37-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-5.37&CDS=1-2199, snap_masked-CU928167-processed-gene-8.77-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-8.77&CDS=1-2193	YKL222C, YOR162C, YOR172W
OG0000013	augustus_masked-CU928165-processed-gene-5.181-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.181&CDS=1-1323, augustus_masked-CU928166-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.77&CDS=1-1323, augustus_masked-CU928167-processed-gene-8.253-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.253&CDS=1-1320, augustus_masked-CU928169-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-14.45&CDS=1-1323, augustus_masked-CU928180-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.15&CDS=1-1320	YJL213W
OG0000014	augustus_masked-CU928166-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-1.28&CDS=1-1692, augustus_masked-CU928168-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-7.59&CDS=1-1689, augustus_masked-CU928169-processed-gene-8.22-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-8.22&CDS=1-1821	YDL080C, YLR044C, YLR134W
OG0000015	augustus_masked-CU928167-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-0.18&CDS=1-1407, augustus_masked-CU928168-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.49&CDS=1-1407	YAR071W, YBR092C, YBR093C, YHR215W
OG0000016	augustus_masked-CU928168-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.56&CDS=1-1539, augustus_masked-CU928171-processed-gene-16.23-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.23&CDS=1-1539, augustus_masked-CU928180-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.4&CDS=1-1530, maker-CU928180-augustus-gene-2.48-mRNA-1_1&gene=maker-CU928180-augustus-gene-2.48&CDS=1-3129	YDL138W, YDL194W
OG0000017	augustus_masked-CU928171-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-3.120&CDS=1-1989, augustus_masked-CU928180-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-4.63&CDS=1-1545, maker-CU928169-augustus-gene-5.66-mRNA-1_1&gene=maker-CU928169-augustus-gene-5.66&CDS=1-933	YER133W, YML016C, YPL179W
OG0000018		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000019	augustus_masked-CU928165-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.64&CDS=1-924, augustus_masked-CU928169-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-13.43&CDS=1-927, augustus_masked-CU928170-processed-gene-13.86-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-13.86&CDS=1-927	YDR368W, YOR120W
OG0000020	augustus_masked-CU928165-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.77&CDS=1-1548, augustus_masked-CU928168-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-0.51&CDS=1-1545	YER056C, YER060W, YER060W-A
OG0000021	augustus_masked-CU928165-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-5.108&CDS=1-2532, augustus_masked-CU928170-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.42&CDS=1-2709	YCR037C, YJL198W, YNR013C
OG0000022	augustus_masked-CU928166-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-0.94&CDS=1-6189, augustus_masked-CU928180-processed-gene-13.81-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-13.81&CDS=1-4947	YLL048C, YOR389W, YPL277C
OG0000023	augustus_masked-CU928166-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-1.21&CDS=1-996, augustus_masked-CU928171-processed-gene-13.79-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-13.79&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000024	augustus_masked-CU928166-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-2.134&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000025	maker-CU928167-augustus-gene-1.153-mRNA-1_1&gene=maker-CU928167-augustus-gene-1.153&CDS=1-1245, maker-CU928169-snap-gene-10.4-mRNA-1_1&gene=maker-CU928169-snap-gene-10.4&CDS=1-4881	YDR256C, YKL081W, YPL048W
OG0000026	augustus_masked-CU928167-processed-gene-2.147-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.147&CDS=1-1155, maker-CU928169-augustus-gene-11.5-mRNA-1_1&gene=maker-CU928169-augustus-gene-11.5&CDS=1-2220	YBR183W, YEL046C, YPL087W
OG0000027	augustus_masked-CU928167-processed-gene-5.88-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-5.88&CDS=1-1971, augustus_masked-CU928171-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-6.133&CDS=1-2034, maker-CU928180-augustus-gene-7.12-mRNA-1_1&gene=maker-CU928180-augustus-gene-7.12&CDS=1-2718	YER103W, YJL034W
OG0000028	augustus_masked-CU928167-processed-gene-8.251-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.251&CDS=1-1374, augustus_masked-CU928168-processed-gene-14.92-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.92&CDS=1-3666, augustus_masked-CU928169-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-0.88&CDS=1-3309, maker-CU928168-snap-gene-14.3-mRNA-1_1&gene=maker-CU928168-snap-gene-14.3&CDS=1-10497, maker-CU928180-augustus-gene-0.56-mRNA-1_1&gene=maker-CU928180-augustus-gene-0.56&CDS=1-3765	
OG0000029	augustus_masked-CU928168-processed-gene-11.120-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-11.120&CDS=1-1941, genemark-CU928171-processed-gene-2.39-mRNA-1_1&gene=genemark-CU928171-processed-gene-2.39&CDS=1-1812	YBL042C, YBR021W, YIR028W
OG0000030	augustus_masked-CU928169-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-9.79&CDS=1-999, augustus_masked-CU928171-processed-gene-15.100-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-15.100&CDS=1-930, augustus_masked-CU928171-processed-gene-16.1-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.1&CDS=1-1881, snap_masked-CU928169-processed-gene-6.39-mRNA-1_1&gene=snap_masked-CU928169-processed-gene-6.39&CDS=1-1023	YIL119C
OG0000031	augustus_masked-CU928170-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.84&CDS=1-4296, genemark-CU928180-processed-gene-10.71-mRNA-1_1&gene=genemark-CU928180-processed-gene-10.71&CDS=1-1629	YCR008W, YJL165C, YKL168C
OG0000032	augustus_masked-CU928170-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.83&CDS=1-1083, augustus_masked-CU928171-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-7.113&CDS=1-1332	YIL123W, YKR042W, YNL066W
OG0000033	augustus_masked-CU928171-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-6.137&CDS=1-1707, genemark-CU928170-processed-gene-11.84-mRNA-1_1&gene=genemark-CU928170-processed-gene-11.84&CDS=1-5775, snap_masked-CU928180-processed-gene-7.27-mRNA-1_1&gene=snap_masked-CU928180-processed-gene-7.27&CDS=1-2109	YER001W, YIL014W
OG0000034	maker-CU928180-augustus-gene-7.11-mRNA-1_1&gene=maker-CU928180-augustus-gene-7.11&CDS=1-4983	YBL017C, YIL173W, YJL222W, YNR065C
OG0000035	maker-CU928180-snap-gene-11.1-mRNA-1_1&gene=maker-CU928180-snap-gene-11.1&CDS=1-183	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000036	augustus_masked-CU928167-processed-gene-8.250-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-8.250&CDS=1-1029, genemark-CU928165-processed-gene-0.50-mRNA-1_1&gene=genemark-CU928165-processed-gene-0.50&CDS=1-1002, genemark-CU928169-processed-gene-0.54-mRNA-1_1&gene=genemark-CU928169-processed-gene-0.54&CDS=1-1002	YDL144C
OG0000037	augustus_masked-CU928165-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-1.12&CDS=1-2442, augustus_masked-CU928168-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-5.87&CDS=1-2862	YHL007C, YNL298W
OG0000038	genemark-CU928166-processed-gene-6.6-mRNA-1_1&gene=genemark-CU928166-processed-gene-6.6&CDS=1-3546, snap_masked-CU928165-processed-gene-1.134-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-1.134&CDS=1-2790	YBR038W, YNL192W
OG0000039	augustus_masked-CU928165-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-CU928165-processed-gene-3.92&CDS=1-3753, augustus_masked-CU928169-processed-gene-11.130-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-11.130&CDS=1-2145	YIL039W, YPL074W
