	Saccharomyces_cerevisiae	yHMPu5000035040_Ambrosiozyma_maleeae
OG0000000	YBR015C, YDR287W, YHR046C, YJL186W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-5.114&CDS=1-2148, augustus_masked-NODE_28_length_97988_cov_49.1149_ID_55-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_28_length_97988_cov_49.1149_ID_55-processed-gene-0.36&CDS=1-1974, augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-11.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-11.46&CDS=1-1794, augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.0&CDS=1-1590, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.71&CDS=1-2130, augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.64&CDS=1-1695, augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-0.128&CDS=1-2916, genemark-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_25_length_133158_cov_51.1595_ID_49-processed-gene-0.9&CDS=1-1617, maker-NODE_9_length_553621_cov_69.3391_ID_17-snap-gene-3.53-mRNA-1_1&gene=maker-NODE_9_length_553621_cov_69.3391_ID_17-snap-gene-3.53&CDS=1-3333, snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.36-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.36&CDS=1-2208
OG0000001	YBR199W, YBR205W, YDR483W, YOR099W	augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-2.58&CDS=1-1281, augustus_masked-NODE_26_length_126748_cov_37.8281_ID_51-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_26_length_126748_cov_37.8281_ID_51-processed-gene-0.26&CDS=1-1449, augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.193-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-12.193&CDS=1-1335, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.92&CDS=1-1197, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.88&CDS=1-1560, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-3.114&CDS=1-1215
OG0000002	YDR146C, YER028C, YGL209W, YLR131C, YMR182C	augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-2.146&CDS=1-1950, augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-4.126&CDS=1-1494, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.47&CDS=1-1605, maker-NODE_3_length_819385_cov_40.0357_ID_5-snap-gene-0.120-mRNA-1_1&gene=maker-NODE_3_length_819385_cov_40.0357_ID_5-snap-gene-0.120&CDS=1-1659, maker-NODE_8_length_556485_cov_39.8289_ID_15-snap-gene-0.54-mRNA-1_1&gene=maker-NODE_8_length_556485_cov_39.8289_ID_15-snap-gene-0.54&CDS=1-423
OG0000003	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.43&CDS=1-3234, augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.124&CDS=1-2826, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.9-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.9&CDS=1-4296, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.80&CDS=1-2310, snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.33&CDS=1-2271
OG0000004	YCL024W, YDR477W, YDR507C, YKL101W, YPL150W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-12.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-12.39&CDS=1-3642, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-1.4&CDS=1-5124, maker-NODE_23_length_184207_cov_38.6036_ID_45-snap-gene-0.149-mRNA-1_1&gene=maker-NODE_23_length_184207_cov_38.6036_ID_45-snap-gene-0.149&CDS=1-1887, snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.58-mRNA-1_1&gene=snap_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.58&CDS=1-2700
OG0000005	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-0.84&CDS=1-1029, augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.200-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.200&CDS=1-1035, augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.201-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.201&CDS=1-1035, maker-NODE_1_length_1450014_cov_38.9627_ID_1-augustus-gene-0.81-mRNA-1_1&gene=maker-NODE_1_length_1450014_cov_38.9627_ID_1-augustus-gene-0.81&CDS=1-2112, maker-NODE_7_length_668977_cov_43.4603_ID_13-augustus-gene-5.87-mRNA-1_1&gene=maker-NODE_7_length_668977_cov_43.4603_ID_13-augustus-gene-5.87&CDS=1-2355
OG0000006	YKL220C, YNR060W, YOR381W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.6-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.6&CDS=1-2103, augustus_masked-NODE_52_length_1001_cov_83.3341_ID_103-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_52_length_1001_cov_83.3341_ID_103-processed-gene-0.2&CDS=1-909, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.71&CDS=1-2118, augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-1.27&CDS=1-2289, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.84&CDS=1-2136, snap_masked-NODE_65_length_588_cov_37.7844_ID_129-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_65_length_588_cov_37.7844_ID_129-processed-gene-0.1&CDS=1-567
OG0000007	YLR256W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-12.53-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-12.53&CDS=1-741, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.120&CDS=1-2982, augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-4.63&CDS=1-4596, augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.191-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.191&CDS=1-3372, augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.140&CDS=1-2937, maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-4.81-mRNA-1_1&gene=maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-4.81&CDS=1-4581, snap_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.219-mRNA-1_1&gene=snap_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.219&CDS=1-3021, snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.74&CDS=1-3009
OG0000008	YDR011W, YNR070W, YOR153W, YPL058C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-5.99&CDS=1-4473, augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-1.13&CDS=1-4521, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-1.10&CDS=1-4482, maker-NODE_3_length_819385_cov_40.0357_ID_5-augustus-gene-7.4-mRNA-1_1&gene=maker-NODE_3_length_819385_cov_40.0357_ID_5-augustus-gene-7.4&CDS=1-4596
OG0000009	YDR380W, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-0.58&CDS=1-1704, augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-4.100&CDS=1-1779, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.11&CDS=1-1722, augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.150-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.150&CDS=1-1761
