	Saccharomyces_cerevisiae	yHMPu5000034903_Ogataea_naganishii
OG0000000	YBR240C	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.90&CDS=1-2529, augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-2.53&CDS=1-1587, augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.181-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.181&CDS=1-2061, augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-NODE_16_length_269614_cov_67.8004_ID_31-processed-gene-1.152&CDS=1-3915, augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.155&CDS=1-591, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-6.65&CDS=1-2133, augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.85&CDS=1-1746, augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-2.27&CDS=1-2922, augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_3_length_860372_cov_71.9849_ID_5-processed-gene-0.120&CDS=1-3570, augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-0.120&CDS=1-1719, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.71&CDS=1-2601, augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.110&CDS=1-744, augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-1.77&CDS=1-2298, augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.206-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.206&CDS=1-1644, genemark-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.76-mRNA-1_1&gene=genemark-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.76&CDS=1-1959, genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-0.35&CDS=1-2060, maker-NODE_1_length_1633205_cov_71.5147_ID_1-augustus-gene-5.4-mRNA-1_1&gene=maker-NODE_1_length_1633205_cov_71.5147_ID_1-augustus-gene-5.4&CDS=1-2031, maker-NODE_7_length_679996_cov_70.6581_ID_13-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_7_length_679996_cov_70.6581_ID_13-snap-gene-0.3&CDS=1-2529, maker-NODE_9_length_518950_cov_71.5829_ID_17-augustus-gene-0.117-mRNA-1_1&gene=maker-NODE_9_length_518950_cov_71.5829_ID_17-augustus-gene-0.117&CDS=1-2445, snap_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-0.23&CDS=1-2034, snap_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.105-mRNA-1_1&gene=snap_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.105&CDS=1-1989
OG0000001	YAL021C, YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.93&CDS=1-1020, augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.208-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.208&CDS=1-1020, augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.240-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.240&CDS=1-858, augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-0.37&CDS=1-639, augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-3.114&CDS=1-1035, maker-NODE_21_length_176952_cov_79.863_ID_41-snap-gene-0.202-mRNA-1_1&gene=maker-NODE_21_length_176952_cov_79.863_ID_41-snap-gene-0.202&CDS=1-2043, maker-NODE_25_length_51826_cov_72.1866_ID_49-snap-gene-0.43-mRNA-1_1&gene=maker-NODE_25_length_51826_cov_72.1866_ID_49-snap-gene-0.43&CDS=1-4530, maker-NODE_9_length_518950_cov_71.5829_ID_17-augustus-gene-4.120-mRNA-1_1&gene=maker-NODE_9_length_518950_cov_71.5829_ID_17-augustus-gene-4.120&CDS=1-2016, snap_masked-NODE_30_length_12695_cov_96.3105_ID_59-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_30_length_12695_cov_96.3105_ID_59-processed-gene-0.13&CDS=1-1002, snap_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.1&CDS=1-978, snap_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.2&CDS=1-1029
OG0000002		augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_12_length_396418_cov_70.9058_ID_23-processed-gene-0.9&CDS=1-1815, augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-NODE_18_length_201343_cov_74.0127_ID_35-processed-gene-1.122&CDS=1-2337, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-12.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-12.38&CDS=1-1761, augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.97&CDS=1-2496, augustus_masked-NODE_35_length_3391_cov_112.818_ID_69-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_35_length_3391_cov_112.818_ID_69-processed-gene-0.2&CDS=1-2298, augustus_masked-NODE_44_length_1918_cov_126.629_ID_87-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_44_length_1918_cov_126.629_ID_87-processed-gene-0.2&CDS=1-1122, augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.214-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.214&CDS=1-1548, augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-2.98&CDS=1-2283, genemark-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.47-mRNA-1_1&gene=genemark-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.47&CDS=1-945, genemark-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_17_length_258948_cov_75.1999_ID_33-processed-gene-0.23&CDS=1-1155, genemark-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.49&CDS=1-945, genemark-NODE_34_length_4292_cov_118.254_ID_67-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_34_length_4292_cov_118.254_ID_67-processed-gene-0.0&CDS=1-738, snap_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-1.62&CDS=1-2154, snap_masked-NODE_23_length_95945_cov_69.2483_ID_45-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_23_length_95945_cov_69.2483_ID_45-processed-gene-0.121&CDS=1-1014, snap_masked-NODE_25_length_51826_cov_72.1866_ID_49-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_25_length_51826_cov_72.1866_ID_49-processed-gene-0.0&CDS=1-1329, snap_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_9_length_518950_cov_71.5829_ID_17-processed-gene-0.22&CDS=1-681
OG0000003		augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.199-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.199&CDS=1-1752, augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.201-mRNA-1_1&gene=augustus_masked-NODE_14_length_373348_cov_79.2154_ID_27-processed-gene-2.201&CDS=1-1770, augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-4.104&CDS=1-1680, augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-3.99&CDS=1-411, augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.213-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.213&CDS=1-1845, augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.215-mRNA-1_1&gene=augustus_masked-NODE_8_length_584629_cov_73.3826_ID_15-processed-gene-4.215&CDS=1-1806, maker-NODE_2_length_972366_cov_74.5479_ID_3-snap-gene-3.45-mRNA-1_1&gene=maker-NODE_2_length_972366_cov_74.5479_ID_3-snap-gene-3.45&CDS=1-3321, maker-NODE_8_length_584629_cov_73.3826_ID_15-augustus-gene-4.93-mRNA-1_1&gene=maker-NODE_8_length_584629_cov_73.3826_ID_15-augustus-gene-4.93&CDS=1-1158, maker-NODE_8_length_584629_cov_73.3826_ID_15-snap-gene-3.82-mRNA-1_1&gene=maker-NODE_8_length_584629_cov_73.3826_ID_15-snap-gene-3.82&CDS=1-1785, snap_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NODE_15_length_358692_cov_73.9701_ID_29-processed-gene-2.9&CDS=1-1857
OG0000004	YBR015C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-2.114&CDS=1-1941, augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.187-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.187&CDS=1-1869, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.130-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-7.130&CDS=1-1575, augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-7.101-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-7.101&CDS=1-1764, augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-6.31&CDS=1-2010, genemark-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_22_length_128910_cov_70.9562_ID_43-processed-gene-0.128&CDS=1-1758, genemark-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.43&CDS=1-2403, maker-NODE_5_length_775831_cov_75.5812_ID_9-snap-gene-6.263-mRNA-1_1&gene=maker-NODE_5_length_775831_cov_75.5812_ID_9-snap-gene-6.263&CDS=1-3351
OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-1.50&CDS=1-2814, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-14.42-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-14.42&CDS=1-3006, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-2.17&CDS=1-2901, augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.162-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-8.162&CDS=1-2298
OG0000006	YAL067C, YCR028C, YGR065C	augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-NODE_10_length_515802_cov_76.8733_ID_19-processed-gene-4.67&CDS=1-1518, augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.207-mRNA-1_1&gene=augustus_masked-NODE_13_length_392829_cov_74.6598_ID_25-processed-gene-2.207&CDS=1-1530, augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.118-mRNA-1_1&gene=augustus_masked-NODE_7_length_679996_cov_70.6581_ID_13-processed-gene-4.118&CDS=1-1551, maker-NODE_1_length_1633205_cov_71.5147_ID_1-augustus-gene-6.140-mRNA-1_1&gene=maker-NODE_1_length_1633205_cov_71.5147_ID_1-augustus-gene-6.140&CDS=1-2958
OG0000007	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_11_length_432301_cov_74.1502_ID_21-processed-gene-0.56&CDS=1-2766, augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-0.2&CDS=1-2469, augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-2.0&CDS=1-2097
OG0000008	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-13.122-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-13.122&CDS=1-1626, augustus_masked-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_27_length_38318_cov_102.224_ID_53-processed-gene-0.9&CDS=1-1734, augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.212-mRNA-1_1&gene=augustus_masked-NODE_5_length_775831_cov_75.5812_ID_9-processed-gene-6.212&CDS=1-1626
OG0000009	YDR242W	augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-13.125-mRNA-1_1&gene=augustus_masked-NODE_1_length_1633205_cov_71.5147_ID_1-processed-gene-13.125&CDS=1-1626, augustus_masked-NODE_20_length_184659_cov_71.8452_ID_39-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-NODE_20_length_184659_cov_71.8452_ID_39-processed-gene-0.164&CDS=1-1650, augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_21_length_176952_cov_79.863_ID_41-processed-gene-0.118&CDS=1-1605, augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-NODE_2_length_972366_cov_74.5479_ID_3-processed-gene-4.120&CDS=1-1671, augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-7.134-mRNA-1_1&gene=augustus_masked-NODE_4_length_841044_cov_71.5186_ID_7-processed-gene-7.134&CDS=1-2502, augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-NODE_6_length_768710_cov_73.8521_ID_11-processed-gene-5.54&CDS=1-1737
