	Saccharomyces_cerevisiae	yHMPu5000035687_Cyberlindnera_suaveolens
OG0000000	YBR240C, YDR207C	augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.124&CDS=1-1539, augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.110&CDS=1-1986, augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.75&CDS=1-1776, augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_21_length_188852_cov_16.1861_ID_6861-processed-gene-0.41&CDS=1-1341, augustus_masked-NODE_26_length_135373_cov_15.8704_ID_24655-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-NODE_26_length_135373_cov_15.8704_ID_24655-processed-gene-0.202&CDS=1-1011, augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-3.102&CDS=1-657, augustus_masked-NODE_67_length_57166_cov_15.6626_ID_8980-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_67_length_57166_cov_15.6626_ID_8980-processed-gene-0.21&CDS=1-1428, augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.5&CDS=1-711, augustus_masked-NODE_78_length_46635_cov_17.1999_ID_9201-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_78_length_46635_cov_17.1999_ID_9201-processed-gene-0.43&CDS=1-1767, augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.3&CDS=1-1776, genemark-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-0.64&CDS=1-1308, genemark-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_60_length_69805_cov_15.6166_ID_7763-processed-gene-0.86&CDS=1-621, genemark-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.49&CDS=1-1818, genemark-NODE_73_length_52820_cov_15.245_ID_8889-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_73_length_52820_cov_15.245_ID_8889-processed-gene-0.67&CDS=1-498, maker-NODE_101_length_19163_cov_19.4412_ID_10895-augustus-gene-0.24-mRNA-1_1&gene=maker-NODE_101_length_19163_cov_19.4412_ID_10895-augustus-gene-0.24&CDS=1-2931, snap_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-0.17&CDS=1-558, snap_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.174-mRNA-1_1&gene=snap_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.174&CDS=1-645
OG0000001	YCL025C, YDR508C, YGR191W, YKR039W	augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.179&CDS=1-1812, augustus_masked-NODE_18_length_202049_cov_15.7082_ID_6519-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-NODE_18_length_202049_cov_15.7082_ID_6519-processed-gene-1.132&CDS=1-1734, augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.133&CDS=1-1743, augustus_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.113&CDS=1-1746, augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-1.32&CDS=1-1746, augustus_masked-NODE_78_length_46635_cov_17.1999_ID_9201-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_78_length_46635_cov_17.1999_ID_9201-processed-gene-0.50&CDS=1-1737
OG0000002	YKR064W	augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-0.107&CDS=1-2532, augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.66&CDS=1-1677, augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.210&CDS=1-1164, augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.193-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.193&CDS=1-2568, genemark-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.48&CDS=1-2628, maker-NODE_34_length_110513_cov_16.7138_ID_15698-augustus-gene-0.118-mRNA-1_1&gene=maker-NODE_34_length_110513_cov_16.7138_ID_15698-augustus-gene-0.118&CDS=1-2604, maker-NODE_34_length_110513_cov_16.7138_ID_15698-augustus-gene-0.125-mRNA-1_1&gene=maker-NODE_34_length_110513_cov_16.7138_ID_15698-augustus-gene-0.125&CDS=1-2490, maker-NODE_9_length_273348_cov_15.8038_ID_12161-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_9_length_273348_cov_15.8038_ID_12161-augustus-gene-1.3&CDS=1-2520, snap_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_61_length_66738_cov_19.9984_ID_7891-processed-gene-0.116&CDS=1-945
OG0000003	YDR242W, YPR118W	augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.77&CDS=1-1716, augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_32_length_114752_cov_15.8803_ID_7121-processed-gene-0.5&CDS=1-1644, augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.68&CDS=1-1527, augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-0.24&CDS=1-1725, maker-NODE_1_length_509996_cov_15.7131_ID_4924-augustus-gene-2.123-mRNA-1_1&gene=maker-NODE_1_length_509996_cov_15.7131_ID_4924-augustus-gene-2.123&CDS=1-3159, maker-NODE_40_length_95927_cov_15.5978_ID_5171-augustus-gene-0.107-mRNA-1_1&gene=maker-NODE_40_length_95927_cov_15.5978_ID_5171-augustus-gene-0.107&CDS=1-2439, snap_masked-NODE_28_length_119648_cov_16.0167_ID_7057-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_28_length_119648_cov_16.0167_ID_7057-processed-gene-0.1&CDS=1-1548
OG0000004	YGL257C, YNR059W	augustus_masked-NODE_197_length_1732_cov_36.0223_ID_25028-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_197_length_1732_cov_36.0223_ID_25028-processed-gene-0.2&CDS=1-1689, augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.179&CDS=1-2355, augustus_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_42_length_92544_cov_16.747_ID_9372-processed-gene-0.141&CDS=1-1971, augustus_masked-NODE_70_length_54856_cov_16.2992_ID_8288-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_70_length_54856_cov_16.2992_ID_8288-processed-gene-0.76&CDS=1-2055, augustus_masked-NODE_92_length_24829_cov_16.525_ID_11237-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_92_length_24829_cov_16.525_ID_11237-processed-gene-0.21&CDS=1-2124, genemark-NODE_36_length_104753_cov_15.7737_ID_6090-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_36_length_104753_cov_15.7737_ID_6090-processed-gene-0.11&CDS=1-2202, snap_masked-NODE_94_length_23242_cov_17.6445_ID_11047-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_94_length_23242_cov_17.6445_ID_11047-processed-gene-0.6&CDS=1-1995
OG0000005	YIL130W, YOR380W	augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.105&CDS=1-2166, augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.88&CDS=1-2340, augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-1.100&CDS=1-2421, augustus_masked-NODE_64_length_60285_cov_20.3992_ID_9051-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_64_length_60285_cov_20.3992_ID_9051-processed-gene-0.24&CDS=1-960, augustus_masked-NODE_74_length_50024_cov_16.702_ID_8815-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_74_length_50024_cov_16.702_ID_8815-processed-gene-0.9&CDS=1-1725, maker-NODE_15_length_212952_cov_15.8836_ID_5602-snap-gene-0.99-mRNA-1_1&gene=maker-NODE_15_length_212952_cov_15.8836_ID_5602-snap-gene-0.99&CDS=1-1974, snap_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.84&CDS=1-648
OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W, YOR025W	augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-2.14&CDS=1-1317, maker-NODE_56_length_74108_cov_17.7586_ID_9702-augustus-gene-0.129-mRNA-1_1&gene=maker-NODE_56_length_74108_cov_17.7586_ID_9702-augustus-gene-0.129&CDS=1-2322
OG0000007	YBR015C	augustus_masked-NODE_35_length_109592_cov_15.7245_ID_5358-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_35_length_109592_cov_15.7245_ID_5358-processed-gene-0.139&CDS=1-1677, augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_38_length_101485_cov_15.519_ID_8235-processed-gene-0.92&CDS=1-1767, augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_50_length_78480_cov_15.7458_ID_8071-processed-gene-0.68&CDS=1-1650, genemark-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.266-mRNA-1_1&gene=genemark-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.266&CDS=1-1932, maker-NODE_2_length_423965_cov_15.6981_ID_4771-snap-gene-2.48-mRNA-1_1&gene=maker-NODE_2_length_423965_cov_15.6981_ID_4771-snap-gene-2.48&CDS=1-1170, maker-NODE_2_length_423965_cov_15.6981_ID_4771-snap-gene-2.49-mRNA-1_1&gene=maker-NODE_2_length_423965_cov_15.6981_ID_4771-snap-gene-2.49&CDS=1-1806, snap_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_23_length_175574_cov_15.6038_ID_6752-processed-gene-0.66&CDS=1-1587
OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_19_length_195766_cov_16.9769_ID_5328-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-NODE_19_length_195766_cov_16.9769_ID_5328-processed-gene-0.167&CDS=1-1047, augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-1.5&CDS=1-531, augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-2.105&CDS=1-1053, snap_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.49-mRNA-1_1&gene=snap_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.49&CDS=1-324
OG0000009	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_46_length_86168_cov_15.2326_ID_7242-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_46_length_86168_cov_15.2326_ID_7242-processed-gene-0.141&CDS=1-1872, augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_63_length_61504_cov_17.297_ID_8177-processed-gene-0.39&CDS=1-1755, snap_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.53-mRNA-1_1&gene=snap_masked-NODE_55_length_74264_cov_15.6684_ID_7608-processed-gene-0.53&CDS=1-1782
