	Fusarium_graminearum	Saccharomyces_cerevisiae
OG0000000	XP_011315755.1, XP_011315836.1, XP_011315864.1, XP_011315961.1, XP_011316947.1, XP_011317462.1, XP_011317596.1, XP_011317699.1, XP_011318098.1, XP_011319333.1, XP_011320434.1, XP_011320786.1, XP_011321089.1, XP_011321820.1, XP_011322013.1, XP_011322416.1, XP_011322529.1, XP_011322747.1, XP_011322951.1, XP_011323065.1, XP_011323068.1, XP_011323090.1, XP_011323139.1, XP_011323161.1, XP_011323314.1, XP_011323338.1, XP_011323850.1, XP_011324381.1, XP_011324793.1, XP_011324979.1, XP_011325157.1, XP_011325485.1, XP_011326005.1, XP_011328261.1, XP_011328603.1, XP_011328838.1	YBR240C, YDL170W, YDR034C
OG0000001	XP_011316498.1, XP_011317654.1, XP_011317849.1, XP_011320777.1, XP_011321171.1, XP_011321408.1, XP_011321779.1, XP_011321801.1, XP_011322054.1, XP_011322605.1, XP_011322635.1, XP_011322655.1, XP_011322798.1, XP_011323368.1, XP_011323492.1, XP_011323749.1, XP_011325120.1, XP_011325270.1, XP_011325273.1, XP_011325289.1, XP_011325589.1, XP_011325900.1, XP_011325957.1, XP_011326068.1, XP_011327586.1	YGR260W
OG0000002	XP_011315694.1, XP_011316416.1, XP_011317400.1, XP_011318231.1, XP_011319412.1, XP_011319978.1, XP_011321440.1, XP_011321676.1, XP_011321815.1, XP_011321967.1, XP_011322136.1, XP_011322371.1, XP_011323625.1, XP_011324179.1, XP_011324331.1, XP_011325265.1, XP_011325843.1, XP_011326716.1, XP_011326724.1, XP_011327523.1, XP_011327622.1, XP_011328115.1, XP_011328265.1	
OG0000003	XP_011315679.1, XP_011315710.1, XP_011315843.1, XP_011316001.1, XP_011317544.1, XP_011317632.1, XP_011317955.1, XP_011319270.1, XP_011320721.1, XP_011320735.1, XP_011321707.1, XP_011321822.1, XP_011322854.1, XP_011323074.1, XP_011323163.1, XP_011325278.1, XP_011325437.1, XP_011325460.1, XP_011327365.1	YJR152W, YLR004C, YLR116W
OG0000004	XP_011315594.1, XP_011317293.1, XP_011317569.1, XP_011318591.1, XP_011319302.1, XP_011320136.1, XP_011320936.1, XP_011321585.1, XP_011322198.1, XP_011323132.1, XP_011323227.1, XP_011324623.1, XP_011325330.1, XP_011325458.1, XP_011325901.1, XP_011327321.1, XP_011328407.1, XP_011328743.1	YDL138W, YFL040W
OG0000005	XP_011315841.1, XP_011316513.1, XP_011317324.1, XP_011317958.1, XP_011318232.1, XP_011318338.1, XP_011318647.1, XP_011319497.1, XP_011321003.1, XP_011321901.1, XP_011322157.1, XP_011322455.1, XP_011323870.1, XP_011325264.1, XP_011325976.1, XP_011328116.1, XP_011328788.1	YMR168C
OG0000006	XP_011315851.1, XP_011319034.1, XP_011321298.1, XP_011321968.1, XP_011322550.1, XP_011322829.1, XP_011322937.1, XP_011322941.1, XP_011323102.1, XP_011323833.1, XP_011325012.1, XP_011325861.1, XP_011328008.1	YBR008C, YGR138C, YHR048W, YPR156C
OG0000007	XP_011317854.1, XP_011318101.1, XP_011318168.1, XP_011318178.1, XP_011318185.1, XP_011318360.1, XP_011320437.1, XP_011322225.1, XP_011323345.1, XP_011324460.1, XP_011325244.1, XP_011325922.1, XP_011326074.1, XP_011326162.1, XP_011327500.1	YGL077C, YKL174C
OG0000008	XP_011315619.1, XP_011315666.1, XP_011318200.1, XP_011318268.1, XP_011318518.1, XP_011319669.1, XP_011319921.1, XP_011321043.1, XP_011322459.1, XP_011322975.1, XP_011325199.1, XP_011325202.1, XP_011325660.1, XP_011328378.1, XP_011328712.1	YGR289C
OG0000009	XP_011322815.1, XP_011323525.1, XP_011327363.1	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W
OG0000010	XP_011315837.1, XP_011320512.1, XP_011320989.1, XP_011321154.1, XP_011321866.1, XP_011321867.1, XP_011322441.1, XP_011323199.1, XP_011324361.1, XP_011325105.1, XP_011327532.1, XP_011327680.1	YKL107W, YOR246C
OG0000011	XP_011315702.1, XP_011316485.1, XP_011320821.1, XP_011322537.1, XP_011322670.1, XP_011323188.1, XP_011324255.1, XP_011324304.1, XP_011325884.1, XP_011326766.1, XP_011327394.1	YDR207C
OG0000012	XP_011315835.1, XP_011317959.1, XP_011321929.1, XP_011323137.1, XP_011323138.1, XP_011323315.1, XP_011323851.1, XP_011326004.1, XP_011326006.1, XP_011326039.1	YER185W, YGR213C
OG0000013	XP_011317010.1, XP_011319670.1, XP_011321778.1, XP_011321991.1, XP_011328711.1	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000014	XP_011315677.1, XP_011316066.1, XP_011316258.1, XP_011320929.1, XP_011321749.1, XP_011322453.1, XP_011322477.1, XP_011323554.1, XP_011325167.1, XP_011327373.1, XP_011327403.1	
OG0000015	XP_011316805.1, XP_011317065.1, XP_011317834.1, XP_011317994.1, XP_011319440.1, XP_011320400.1, XP_011321702.1, XP_011321817.1, XP_011325941.1, XP_011328035.1	YDR402C
OG0000016	XP_011317995.1, XP_011320180.1, XP_011320463.1, XP_011321071.1, XP_011322739.1, XP_011323191.1, XP_011323796.1, XP_011324581.1, XP_011325456.1, XP_011326284.1	YOR049C
OG0000017	XP_011320479.1, XP_011320580.1, XP_011320627.1, XP_011321004.1, XP_011321788.1, XP_011321957.1, XP_011322960.1, XP_011325975.1, XP_011328426.1	YDR403W, YOR153W
OG0000018	XP_011319439.1, XP_011321646.1, XP_011322309.1, XP_011325764.1, XP_011326243.1, XP_011326987.1, XP_011327572.1	YCR102C, YLR460C, YNL134C
OG0000019	XP_011315690.1, XP_011319278.1, XP_011320744.1, XP_011321699.1, XP_011322320.1, XP_011322386.1, XP_011327397.1, XP_011328414.1	YDR242W
OG0000020	XP_011315742.1, XP_011316725.1, XP_011318042.1, XP_011318179.1, XP_011321434.1	YMR169C, YMR170C, YOR374W
OG0000021	XP_011316352.1, XP_011317741.1, XP_011318838.1, XP_011321746.1, XP_011323401.1, XP_011324379.1, XP_011324958.1	YLR057W
OG0000022	XP_011316709.1, XP_011318366.1, XP_011318582.1, XP_011321935.1, XP_011322826.1, XP_011323660.1, XP_011327466.1	YKR064W
OG0000023	XP_011316788.1, XP_011319411.1, XP_011324350.1, XP_011325260.1, XP_011325931.1, XP_011326973.1, XP_011327602.1	YOR008C
OG0000024	XP_011317557.1, XP_011320883.1, XP_011321351.1, XP_011323014.1, XP_011323281.1, XP_011326112.1, XP_011328678.1	YNR063W
OG0000025	XP_011317837.1, XP_011318111.1, XP_011320619.1, XP_011321902.1, XP_011325945.1, XP_011328504.1, XP_011328677.1	YGR263C
