	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
OG0000000	XP_011117240.1, XP_011117547.1, XP_011117639.1, XP_011118398.1, XP_011119454.1, XP_011119857.1, XP_011121949.1, XP_011122910.1, XP_011122929.1, XP_011123181.1, XP_011123754.1, XP_011125581.1, XP_011126152.1, XP_011126403.1, XP_011126425.1, XP_011126633.1, XP_011126681.1, XP_011127037.1, XP_011127811.1, XP_011128338.1	YKL055C
OG0000001	XP_011117164.1, XP_011118496.1, XP_011118500.1, XP_011119163.1, XP_011120267.1, XP_011121687.1, XP_011121947.1, XP_011122092.1, XP_011122444.1, XP_011123157.1, XP_011123400.1, XP_011123406.1, XP_011126004.1, XP_011126038.1, XP_011126088.1, XP_011127361.1	YBR293W
OG0000002		YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
OG0000003	XP_011117978.1, XP_011119176.1, XP_011119189.1, XP_011121829.1, XP_011122642.1, XP_011122759.1, XP_011123089.1, XP_011123115.1, XP_011123946.1, XP_011125738.1, XP_011125958.1, XP_011127397.1, XP_011127428.1	YNL283C, YOL105C, YOR008C
OG0000004	XP_011118482.1, XP_011118490.1, XP_011119169.1, XP_011119528.1, XP_011121340.1, XP_011122070.1, XP_011122142.1, XP_011122402.1, XP_011122990.1, XP_011124409.1, XP_011124412.1, XP_011124519.1, XP_011124915.1, XP_011125214.1, XP_011127402.1	YDR402C
OG0000005	XP_011117049.1, XP_011117977.1, XP_011118213.1, XP_011118958.1, XP_011119757.1, XP_011120094.1, XP_011120385.1, XP_011120573.1, XP_011120868.1, XP_011123657.1, XP_011124639.1, XP_011124741.1, XP_011125745.1, XP_011126402.1	YGR260W
OG0000006	XP_011117905.1, XP_011118467.1, XP_011118968.1, XP_011119511.1, XP_011120656.1, XP_011120976.1, XP_011121296.1, XP_011121379.1, XP_011124491.1, XP_011124555.1, XP_011124703.1, XP_011124711.1, XP_011125968.1, XP_011126685.1	YMR211W
OG0000007	XP_011119151.1, XP_011120344.1, XP_011120675.1, XP_011120686.1, XP_011121425.1, XP_011122156.1, XP_011123411.1, XP_011126667.1, XP_011127469.1	YGR138C, YHR048W, YLL028W, YOR273C, YPR156C
OG0000008	XP_011118090.1, XP_011121404.1, XP_011122533.1, XP_011124285.1, XP_011125040.1, XP_011125086.1, XP_011126069.1, XP_011126777.1, XP_011127778.1, XP_011128292.1	YOR246C
OG0000009	XP_011117141.1, XP_011119220.1, XP_011119642.1, XP_011120900.1, XP_011123756.1, XP_011125177.1, XP_011126682.1	YBR240C, YDL170W
