	Metschnikowia_ipomoeae	Saccharomyces_cerevisiae
OG0000000	augustus_masked-ipo_s101-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-ipo_s101-processed-gene-0.57&CDS=1-1176, augustus_masked-ipo_s109-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-ipo_s109-processed-gene-1.123&CDS=1-891, augustus_masked-ipo_s126-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ipo_s126-processed-gene-0.29&CDS=1-2295, augustus_masked-ipo_s126-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-ipo_s126-processed-gene-0.37&CDS=1-2109, augustus_masked-ipo_s128-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ipo_s128-processed-gene-0.4&CDS=1-1131, augustus_masked-ipo_s145-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ipo_s145-processed-gene-0.12&CDS=1-1638, augustus_masked-ipo_s239-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ipo_s239-processed-gene-0.15&CDS=1-774, augustus_masked-ipo_s274-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ipo_s274-processed-gene-0.3&CDS=1-2055, augustus_masked-ipo_s285-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ipo_s285-processed-gene-0.4&CDS=1-1014, augustus_masked-ipo_s293-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-ipo_s293-processed-gene-0.30&CDS=1-1683, augustus_masked-ipo_s41-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ipo_s41-processed-gene-0.1&CDS=1-417, augustus_masked-ipo_s86-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ipo_s86-processed-gene-0.29&CDS=1-870, genemark-ipo_s332-processed-gene-0.0-mRNA-1_1&gene=genemark-ipo_s332-processed-gene-0.0&CDS=1-678, genemark-ipo_s86-processed-gene-0.74-mRNA-1_1&gene=genemark-ipo_s86-processed-gene-0.74&CDS=1-7011, maker-ipo_s38-snap-gene-0.2-mRNA-1_1&gene=maker-ipo_s38-snap-gene-0.2&CDS=1-576, maker-ipo_s86-augustus-gene-0.81-mRNA-1_1&gene=maker-ipo_s86-augustus-gene-0.81&CDS=1-984, snap_masked-ipo_s109-processed-gene-1.83-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-1.83&CDS=1-4659, snap_masked-ipo_s129-processed-gene-3.2-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-3.2&CDS=1-555, snap_masked-ipo_s184-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ipo_s184-processed-gene-0.1&CDS=1-1875, snap_masked-ipo_s285-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ipo_s285-processed-gene-0.3&CDS=1-177, snap_masked-ipo_s316-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ipo_s316-processed-gene-0.13&CDS=1-1884, snap_masked-ipo_s35-processed-gene-0.154-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.154&CDS=1-2145, snap_masked-ipo_s56-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s56-processed-gene-0.6&CDS=1-2811	
OG0000001	augustus_masked-ipo_s103-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ipo_s103-processed-gene-0.0&CDS=1-531, augustus_masked-ipo_s66-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ipo_s66-processed-gene-0.6&CDS=1-645, snap_masked-ipo_s125-processed-gene-1.130-mRNA-1_1&gene=snap_masked-ipo_s125-processed-gene-1.130&CDS=1-693, snap_masked-ipo_s129-processed-gene-4.252-mRNA-1_1&gene=snap_masked-ipo_s129-processed-gene-4.252&CDS=1-693, snap_masked-ipo_s130-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ipo_s130-processed-gene-0.4&CDS=1-693, snap_masked-ipo_s168-processed-gene-0.40-mRNA-1_1&gene=snap_masked-ipo_s168-processed-gene-0.40&CDS=1-693, snap_masked-ipo_s240-processed-gene-0.49-mRNA-1_1&gene=snap_masked-ipo_s240-processed-gene-0.49&CDS=1-693, snap_masked-ipo_s28-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ipo_s28-processed-gene-0.68&CDS=1-690	YDR533C, YMR322C, YOR391C, YPL280W
OG0000002	genemark-ipo_s120-processed-gene-0.9-mRNA-1_1&gene=genemark-ipo_s120-processed-gene-0.9&CDS=1-1278, genemark-ipo_s451-processed-gene-0.30-mRNA-1_1&gene=genemark-ipo_s451-processed-gene-0.30&CDS=1-1365, snap_masked-ipo_C26231-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ipo_C26231-processed-gene-0.0&CDS=1-1467, snap_masked-ipo_s180-processed-gene-0.50-mRNA-1_1&gene=snap_masked-ipo_s180-processed-gene-0.50&CDS=1-1677, snap_masked-ipo_s239-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ipo_s239-processed-gene-0.21&CDS=1-1338, snap_masked-ipo_s386-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ipo_s386-processed-gene-0.82&CDS=1-1686, snap_masked-ipo_s68-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ipo_s68-processed-gene-0.22&CDS=1-1509	YDR144C, YLR120C, YLR121C
OG0000003	augustus_masked-ipo_s333-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ipo_s333-processed-gene-0.6&CDS=1-432, augustus_masked-ipo_s89-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ipo_s89-processed-gene-0.6&CDS=1-474, snap_masked-ipo_C25625-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ipo_C25625-processed-gene-0.2&CDS=1-900, snap_masked-ipo_s219-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ipo_s219-processed-gene-0.5&CDS=1-534, snap_masked-ipo_s239-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ipo_s239-processed-gene-0.28&CDS=1-852, snap_masked-ipo_s386-processed-gene-0.73-mRNA-1_1&gene=snap_masked-ipo_s386-processed-gene-0.73&CDS=1-852, snap_masked-ipo_s78-processed-gene-0.79-mRNA-1_1&gene=snap_masked-ipo_s78-processed-gene-0.79&CDS=1-243, snap_masked-ipo_s99-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ipo_s99-processed-gene-0.21&CDS=1-414	YKL096W
OG0000004	augustus_masked-ipo_s184-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-ipo_s184-processed-gene-1.72&CDS=1-2229, augustus_masked-ipo_s244-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ipo_s244-processed-gene-0.5&CDS=1-405, augustus_masked-ipo_s78-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-ipo_s78-processed-gene-0.35&CDS=1-2715, snap_masked-ipo_s106-processed-gene-1.197-mRNA-1_1&gene=snap_masked-ipo_s106-processed-gene-1.197&CDS=1-2259, snap_masked-ipo_s122-processed-gene-0.99-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-0.99&CDS=1-1416, snap_masked-ipo_s450-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ipo_s450-processed-gene-0.6&CDS=1-2262, snap_masked-ipo_s86-processed-gene-2.128-mRNA-1_1&gene=snap_masked-ipo_s86-processed-gene-2.128&CDS=1-1773	YJR061W, YKL201C
OG0000005	augustus_masked-ipo_s91-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-ipo_s91-processed-gene-0.23&CDS=1-3039, snap_masked-ipo_s109-processed-gene-0.136-mRNA-1_1&gene=snap_masked-ipo_s109-processed-gene-0.136&CDS=1-2763, snap_masked-ipo_s231-processed-gene-0.230-mRNA-1_1&gene=snap_masked-ipo_s231-processed-gene-0.230&CDS=1-2649, snap_masked-ipo_s35-processed-gene-0.123-mRNA-1_1&gene=snap_masked-ipo_s35-processed-gene-0.123&CDS=1-3450, snap_masked-ipo_s77-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.29&CDS=1-3420, snap_masked-ipo_s77-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.30&CDS=1-3522, snap_masked-ipo_s77-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ipo_s77-processed-gene-0.33&CDS=1-3240	YKR064W, YLR256W
OG0000006	maker-ipo_s256-snap-gene-0.21-mRNA-1_1&gene=maker-ipo_s256-snap-gene-0.21&CDS=1-2010, snap_masked-ipo_s122-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-0.101&CDS=1-2046, snap_masked-ipo_s28-processed-gene-0.53-mRNA-1_1&gene=snap_masked-ipo_s28-processed-gene-0.53&CDS=1-2139, snap_masked-ipo_s441-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ipo_s441-processed-gene-0.16&CDS=1-2109	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000007		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000008	augustus_masked-ipo_C25771-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ipo_C25771-processed-gene-0.2&CDS=1-2928, augustus_masked-ipo_s105-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ipo_s105-processed-gene-0.2&CDS=1-1737, augustus_masked-ipo_s13-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ipo_s13-processed-gene-0.9&CDS=1-1779, genemark-ipo_s88-processed-gene-0.6-mRNA-1_1&gene=genemark-ipo_s88-processed-gene-0.6&CDS=1-1494, maker-ipo_s129-augustus-gene-2.5-mRNA-1_1&gene=maker-ipo_s129-augustus-gene-2.5&CDS=1-1434	YDR353W, YHR105W, YHR106W
OG0000009	snap_masked-ipo_s122-processed-gene-2.158-mRNA-1_1&gene=snap_masked-ipo_s122-processed-gene-2.158&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
