	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
OG0000000	augustus_masked-NABA0S03-processed-gene-6.226-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.226&CDS=1-1710, augustus_masked-NABA0S09-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-2.29&CDS=1-1551, augustus_masked-NABA0S12-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NABA0S12-processed-gene-0.2&CDS=1-1665, augustus_masked-NABA0S15-processed-gene-10.190-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-10.190&CDS=1-1668, augustus_masked-NABA0S25-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-0.73&CDS=1-1710, maker-NABA0S09-augustus-gene-2.57-mRNA-1_1&gene=maker-NABA0S09-augustus-gene-2.57&CDS=1-1233, maker-NABA0S37-snap-gene-6.2-mRNA-1_1&gene=maker-NABA0S37-snap-gene-6.2&CDS=1-4644	YDR342C, YDR343C, YHR092C, YNL318C
OG0000001	augustus_masked-NABA0S02-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.81&CDS=1-1059, augustus_masked-NABA0S10-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-1.88&CDS=1-1314, augustus_masked-NABA0S25-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.93&CDS=1-1410, augustus_masked-NABA0S26-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-2.30&CDS=1-1092	YIL123W, YJL116C, YKR042W, YNL066W
OG0000002	augustus_masked-NABA0S06-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.167&CDS=1-3108, augustus_masked-NABA0S08-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-6.27&CDS=1-1590, augustus_masked-NABA0S09-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-2.37&CDS=1-2211, augustus_masked-NABA0S15-processed-gene-10.191-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-10.191&CDS=1-2271, augustus_masked-NABA0S21-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NABA0S21-processed-gene-0.1&CDS=1-1509, augustus_masked-NABA0S29-processed-gene-10.141-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-10.141&CDS=1-2175, snap_masked-NABA0S25-processed-gene-11.33-mRNA-1_1&gene=snap_masked-NABA0S25-processed-gene-11.33&CDS=1-609, snap_masked-NABA0S37-processed-gene-10.190-mRNA-1_1&gene=snap_masked-NABA0S37-processed-gene-10.190&CDS=1-2067	
OG0000003	augustus_masked-NABA0S15-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-0.16&CDS=1-1200, augustus_masked-NABA0S18-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NABA0S18-processed-gene-0.0&CDS=1-1206, augustus_masked-NABA0S23-processed-gene-3.218-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.218&CDS=1-1200, augustus_masked-NABA0S25-processed-gene-11.135-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.135&CDS=1-1200, augustus_masked-NABA0S27-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NABA0S27-processed-gene-0.2&CDS=1-1200, augustus_masked-NABA0S29-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.21&CDS=1-1200	YHR179W, YPL171C
OG0000004	augustus_masked-NABA0S01-processed-gene-1.193-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.193&CDS=1-936, augustus_masked-NABA0S34-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-3.5&CDS=1-1359, augustus_masked-NABA0S37-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-5.97&CDS=1-2136, genemark-NABA0S25-processed-gene-2.3-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-2.3&CDS=1-1956	YER133W, YML016C, YPL179W
OG0000005	augustus_masked-NABA0S02-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-6.38&CDS=1-3234, augustus_masked-NABA0S03-processed-gene-6.191-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.191&CDS=1-1551, augustus_masked-NABA0S29-processed-gene-7.147-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-7.147&CDS=1-1497, genemark-NABA0S03-processed-gene-4.77-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-4.77&CDS=1-1929	YER073W, YOR374W, YPL061W
OG0000006	augustus_masked-NABA0S03-processed-gene-6.225-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.225&CDS=1-2103, augustus_masked-NABA0S06-processed-gene-1.186-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.186&CDS=1-2082, snap_masked-NABA0S03-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-0.0&CDS=1-1824, snap_masked-NABA0S06-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NABA0S06-processed-gene-1.69&CDS=1-1881, snap_masked-NABA0S32-processed-gene-3.202-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-3.202&CDS=1-3051, snap_masked-NABA0S37-processed-gene-10.189-mRNA-1_1&gene=snap_masked-NABA0S37-processed-gene-10.189&CDS=1-2280	YOR373W
OG0000007	augustus_masked-NABA0S03-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.21&CDS=1-1638, augustus_masked-NABA0S03-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-4.40&CDS=1-1602, augustus_masked-NABA0S06-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.178&CDS=1-1647, augustus_masked-NABA0S06-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-1.181&CDS=1-1608	YER056C, YER060W, YER060W-A
OG0000008	augustus_masked-NABA0S15-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-9.31&CDS=1-1830, augustus_masked-NABA0S37-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-9.75&CDS=1-2007, maker-NABA0S29-snap-gene-3.40-mRNA-1_1&gene=maker-NABA0S29-snap-gene-3.40&CDS=1-3615	YBR068C, YCL025C, YDR046C, YKR039W
OG0000009	augustus_masked-NABA0S23-processed-gene-3.248-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.248&CDS=1-1923, augustus_masked-NABA0S34-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-5.98&CDS=1-1935, augustus_masked-NABA0S37-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-7.20&CDS=1-2055	YAL005C, YER103W, YJL034W, YLL024C
