	Candida_sojae	Saccharomyces_cerevisiae
OG0000000	augustus_masked-LMTL01000002.1-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-LMTL01000002.1-processed-gene-1.141&CDS=1-2085, augustus_masked-LMTL01000004.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-LMTL01000004.1-processed-gene-0.123&CDS=1-2202, augustus_masked-LMTL01000004.1-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-LMTL01000004.1-processed-gene-0.163&CDS=1-2169, augustus_masked-LMTL01000011.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000011.1-processed-gene-0.17&CDS=1-2118, augustus_masked-LMTL01000027.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-LMTL01000027.1-processed-gene-0.89&CDS=1-2082, augustus_masked-LMTL01000038.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000038.1-processed-gene-0.20&CDS=1-2121, augustus_masked-LMTL01000048.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000048.1-processed-gene-0.0&CDS=1-2091, augustus_masked-LMTL01000091.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000091.1-processed-gene-0.11&CDS=1-2091, genemark-LMTL01000185.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LMTL01000185.1-processed-gene-0.2&CDS=1-1098, maker-LMTL01000029.1-snap-gene-0.65-mRNA-1_1&gene=maker-LMTL01000029.1-snap-gene-0.65&CDS=1-4131, maker-LMTL01000223.1-snap-gene-0.21-mRNA-1_1&gene=maker-LMTL01000223.1-snap-gene-0.21&CDS=1-4470	
OG0000001	augustus_masked-LMTL01000067.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LMTL01000067.1-processed-gene-0.6&CDS=1-1551, augustus_masked-LMTL01000133.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LMTL01000133.1-processed-gene-0.57&CDS=1-1725, augustus_masked-LMTL01000267.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-LMTL01000267.1-processed-gene-0.93&CDS=1-1692, augustus_masked-LMTL01000444.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000444.1-processed-gene-0.1&CDS=1-1344	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000002	augustus_masked-LMTL01000027.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-LMTL01000027.1-processed-gene-0.70&CDS=1-1791, augustus_masked-LMTL01000125.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LMTL01000125.1-processed-gene-0.67&CDS=1-2232, augustus_masked-LMTL01000157.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000157.1-processed-gene-0.11&CDS=1-2073, augustus_masked-LMTL01000235.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000235.1-processed-gene-0.5&CDS=1-2340, maker-LMTL01000027.1-augustus-gene-0.56-mRNA-1_1&gene=maker-LMTL01000027.1-augustus-gene-0.56&CDS=1-4605, snap_masked-LMTL01000027.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-LMTL01000027.1-processed-gene-0.121&CDS=1-1845	YGL257C, YNR059W
OG0000003	augustus_masked-LMTL01000080.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000080.1-processed-gene-0.21&CDS=1-1878, augustus_masked-LMTL01000148.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.37&CDS=1-1902, augustus_masked-LMTL01000148.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LMTL01000148.1-processed-gene-0.41&CDS=1-1902, maker-LMTL01000263.1-snap-gene-0.0-mRNA-1_1&gene=maker-LMTL01000263.1-snap-gene-0.0&CDS=1-1884	YCL069W, YGR224W, YKR105C, YPR198W
OG0000004	augustus_masked-LMTL01000013.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LMTL01000013.1-processed-gene-0.30&CDS=1-3195, augustus_masked-LMTL01000040.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LMTL01000040.1-processed-gene-0.54&CDS=1-3165, augustus_masked-LMTL01000069.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LMTL01000069.1-processed-gene-0.84&CDS=1-3819, augustus_masked-LMTL01000191.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000191.1-processed-gene-0.18&CDS=1-2475, genemark-LMTL01000035.1-processed-gene-0.14-mRNA-1_1&gene=genemark-LMTL01000035.1-processed-gene-0.14&CDS=1-3606, genemark-LMTL01000049.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LMTL01000049.1-processed-gene-0.5&CDS=1-2478, genemark-LMTL01000069.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LMTL01000069.1-processed-gene-0.24&CDS=1-3561	
OG0000005	augustus_masked-LMTL01000085.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000085.1-processed-gene-0.18&CDS=1-7341, augustus_masked-LMTL01000392.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000392.1-processed-gene-0.0&CDS=1-1818, augustus_masked-LMTL01000430.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000430.1-processed-gene-0.1&CDS=1-1422, genemark-LMTL01000115.1-processed-gene-0.48-mRNA-1_1&gene=genemark-LMTL01000115.1-processed-gene-0.48&CDS=1-1386, genemark-LMTL01000132.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LMTL01000132.1-processed-gene-0.0&CDS=1-1344, maker-LMTL01000058.1-augustus-gene-0.5-mRNA-1_1&gene=maker-LMTL01000058.1-augustus-gene-0.5&CDS=1-1617	YJR004C
OG0000006	genemark-LMTL01000126.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LMTL01000126.1-processed-gene-0.0&CDS=1-846, maker-LMTL01000004.1-augustus-gene-0.93-mRNA-1_1&gene=maker-LMTL01000004.1-augustus-gene-0.93&CDS=1-957	YDR541C, YGL039W, YGL157W, YOL151W
OG0000007	augustus_masked-LMTL01000045.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000045.1-processed-gene-0.8&CDS=1-3024, augustus_masked-LMTL01000120.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000120.1-processed-gene-0.25&CDS=1-2283, augustus_masked-LMTL01000120.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000120.1-processed-gene-0.34&CDS=1-4230, genemark-LMTL01000190.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LMTL01000190.1-processed-gene-0.29&CDS=1-2103	YJR061W, YKL201C
OG0000008	augustus_masked-LMTL01000047.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000047.1-processed-gene-0.17&CDS=1-2235, augustus_masked-LMTL01000268.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-LMTL01000268.1-processed-gene-0.36&CDS=1-3018	YDR253C, YGR067C, YMR182C, YPL230W
OG0000009	augustus_masked-LMTL01000067.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000067.1-processed-gene-0.4&CDS=1-1752, augustus_masked-LMTL01000133.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-LMTL01000133.1-processed-gene-0.50&CDS=1-1770	YBR298C, YDL247W, YGR289C, YJR160C
OG0000010	augustus_masked-LMTL01000108.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LMTL01000108.1-processed-gene-0.35&CDS=1-3195, augustus_masked-LMTL01000130.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LMTL01000130.1-processed-gene-0.23&CDS=1-1644	YDR144C, YER090W, YLR120C, YLR121C
OG0000011	genemark-LMTL01000114.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LMTL01000114.1-processed-gene-0.7&CDS=1-705	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W
OG0000012	augustus_masked-LMTL01000255.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-LMTL01000255.1-processed-gene-0.73&CDS=1-1398	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000013	augustus_masked-LMTL01000002.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-LMTL01000002.1-processed-gene-1.118&CDS=1-4683	YBL017C, YIL173W, YJL222W, YNR065C
OG0000014	augustus_masked-LMTL01000143.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000143.1-processed-gene-0.11&CDS=1-528, snap_masked-LMTL01000003.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-LMTL01000003.1-processed-gene-0.25&CDS=1-528, snap_masked-LMTL01000130.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LMTL01000130.1-processed-gene-0.37&CDS=1-528, snap_masked-LMTL01000367.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LMTL01000367.1-processed-gene-0.1&CDS=1-528	YER134C
OG0000015	augustus_masked-LMTL01000003.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000003.1-processed-gene-0.24&CDS=1-1764, augustus_masked-LMTL01000140.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000140.1-processed-gene-0.13&CDS=1-1083	YBL042C, YBR021W, YIR028W
