	Metschnikowia_lockheadii	Saccharomyces_cerevisiae
OG0000000	augustus_masked-loc-_C37409-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_C37409-processed-gene-0.1&CDS=1-873, augustus_masked-loc-_s114-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-loc-_s114-processed-gene-0.77&CDS=1-1905, augustus_masked-loc-_s186-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-loc-_s186-processed-gene-0.18&CDS=1-849, augustus_masked-loc-_s223-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-loc-_s223-processed-gene-0.11&CDS=1-879, augustus_masked-loc-_s312-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-loc-_s312-processed-gene-0.3&CDS=1-858, augustus_masked-loc-_s324-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-loc-_s324-processed-gene-0.133&CDS=1-1125, augustus_masked-loc-_s331-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-loc-_s331-processed-gene-0.54&CDS=1-1560, augustus_masked-loc-_s380-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-loc-_s380-processed-gene-0.2&CDS=1-1596, augustus_masked-loc-_s466-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-loc-_s466-processed-gene-0.3&CDS=1-774, augustus_masked-loc-_s467-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-loc-_s467-processed-gene-0.2&CDS=1-699, augustus_masked-loc-_s552-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_s552-processed-gene-0.1&CDS=1-855, augustus_masked-loc-_s574-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-loc-_s574-processed-gene-0.12&CDS=1-2445, augustus_masked-loc-_s574-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-loc-_s574-processed-gene-0.18&CDS=1-780, augustus_masked-loc-_s585-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-loc-_s585-processed-gene-0.67&CDS=1-903, augustus_masked-loc-_s673-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-loc-_s673-processed-gene-0.4&CDS=1-1590, augustus_masked-loc-_s695-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-loc-_s695-processed-gene-0.11&CDS=1-750, maker-loc-_s383-snap-gene-0.2-mRNA-1_1&gene=maker-loc-_s383-snap-gene-0.2&CDS=1-4713, maker-loc-_s51-snap-gene-0.4-mRNA-1_1&gene=maker-loc-_s51-snap-gene-0.4&CDS=1-2562, snap_masked-loc-_C37557-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_C37557-processed-gene-0.2&CDS=1-873, snap_masked-loc-_C41393-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_C41393-processed-gene-0.1&CDS=1-687, snap_masked-loc-_s195-processed-gene-1.46-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-1.46&CDS=1-1479, snap_masked-loc-_s383-processed-gene-0.58-mRNA-1_1&gene=snap_masked-loc-_s383-processed-gene-0.58&CDS=1-795, snap_masked-loc-_s493-processed-gene-0.79-mRNA-1_1&gene=snap_masked-loc-_s493-processed-gene-0.79&CDS=1-1620, snap_masked-loc-_s574-processed-gene-0.4-mRNA-1_1&gene=snap_masked-loc-_s574-processed-gene-0.4&CDS=1-2316, snap_masked-loc-_s64-processed-gene-0.0-mRNA-1_1&gene=snap_masked-loc-_s64-processed-gene-0.0&CDS=1-1428, snap_masked-loc-_s7-processed-gene-0.43-mRNA-1_1&gene=snap_masked-loc-_s7-processed-gene-0.43&CDS=1-237	
OG0000001	augustus_masked-loc-_s108-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-loc-_s108-processed-gene-1.28&CDS=1-1644, augustus_masked-loc-_s2-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-loc-_s2-processed-gene-0.16&CDS=1-1278, augustus_masked-loc-_s268-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-loc-_s268-processed-gene-0.14&CDS=1-1494, augustus_masked-loc-_s48-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-loc-_s48-processed-gene-0.13&CDS=1-1461, genemark-loc-_s703-processed-gene-0.56-mRNA-1_1&gene=genemark-loc-_s703-processed-gene-0.56&CDS=1-1479, maker-loc-_s241-augustus-gene-0.59-mRNA-1_1&gene=maker-loc-_s241-augustus-gene-0.59&CDS=1-957, maker-loc-_s695-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s695-snap-gene-0.0&CDS=1-1317, snap_masked-loc-_s366-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_s366-processed-gene-0.1&CDS=1-1752, snap_masked-loc-_s388-processed-gene-0.81-mRNA-1_1&gene=snap_masked-loc-_s388-processed-gene-0.81&CDS=1-1722, snap_masked-loc-_s478-processed-gene-0.50-mRNA-1_1&gene=snap_masked-loc-_s478-processed-gene-0.50&CDS=1-1686, snap_masked-loc-_s545-processed-gene-0.5-mRNA-1_1&gene=snap_masked-loc-_s545-processed-gene-0.5&CDS=1-1458, snap_masked-loc-_s677-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s677-processed-gene-0.17&CDS=1-1257, snap_masked-loc-_s70-processed-gene-0.4-mRNA-1_1&gene=snap_masked-loc-_s70-processed-gene-0.4&CDS=1-1338	YDR144C, YDR349C, YLR120C, YLR121C
OG0000002	augustus_masked-loc-_s44-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-loc-_s44-processed-gene-0.32&CDS=1-3987, maker-loc-_s388-snap-gene-0.106-mRNA-1_1&gene=maker-loc-_s388-snap-gene-0.106&CDS=1-6312, snap_masked-loc-_s145-processed-gene-0.8-mRNA-1_1&gene=snap_masked-loc-_s145-processed-gene-0.8&CDS=1-306, snap_masked-loc-_s250-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s250-processed-gene-0.9&CDS=1-207, snap_masked-loc-_s281-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_s281-processed-gene-0.1&CDS=1-324, snap_masked-loc-_s421-processed-gene-0.62-mRNA-1_1&gene=snap_masked-loc-_s421-processed-gene-0.62&CDS=1-300, snap_masked-loc-_s5-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s5-processed-gene-0.6&CDS=1-333, snap_masked-loc-_s55-processed-gene-0.4-mRNA-1_1&gene=snap_masked-loc-_s55-processed-gene-0.4&CDS=1-339, snap_masked-loc-_s593-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s593-processed-gene-0.6&CDS=1-330, snap_masked-loc-_s60-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s60-processed-gene-0.10&CDS=1-309	YGL093W, YMR176W
OG0000003	augustus_masked-loc-_s520-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-loc-_s520-processed-gene-0.27&CDS=1-534, augustus_masked-loc-_s630-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_s630-processed-gene-0.0&CDS=1-414, snap_masked-loc-_s241-processed-gene-0.13-mRNA-1_1&gene=snap_masked-loc-_s241-processed-gene-0.13&CDS=1-954, snap_masked-loc-_s342-processed-gene-0.113-mRNA-1_1&gene=snap_masked-loc-_s342-processed-gene-0.113&CDS=1-4281, snap_masked-loc-_s373-processed-gene-0.30-mRNA-1_1&gene=snap_masked-loc-_s373-processed-gene-0.30&CDS=1-906, snap_masked-loc-_s43-processed-gene-0.6-mRNA-1_1&gene=snap_masked-loc-_s43-processed-gene-0.6&CDS=1-867, snap_masked-loc-_s466-processed-gene-0.0-mRNA-1_1&gene=snap_masked-loc-_s466-processed-gene-0.0&CDS=1-990, snap_masked-loc-_s684-processed-gene-0.3-mRNA-1_1&gene=snap_masked-loc-_s684-processed-gene-0.3&CDS=1-438, snap_masked-loc-_s692-processed-gene-0.23-mRNA-1_1&gene=snap_masked-loc-_s692-processed-gene-0.23&CDS=1-900, snap_masked-loc-_s71-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_s71-processed-gene-0.1&CDS=1-594	YKL096W, YOR336W
OG0000004	augustus_masked-loc-_C37151-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_C37151-processed-gene-0.0&CDS=1-642, augustus_masked-loc-_C38379-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_C38379-processed-gene-0.1&CDS=1-855, augustus_masked-loc-_s238-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-loc-_s238-processed-gene-0.31&CDS=1-600, augustus_masked-loc-_s516-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-loc-_s516-processed-gene-0.18&CDS=1-1413, augustus_masked-loc-_s8-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-loc-_s8-processed-gene-0.2&CDS=1-930, snap_masked-loc-_C35403-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_C35403-processed-gene-0.1&CDS=1-378, snap_masked-loc-_s198-processed-gene-0.4-mRNA-1_1&gene=snap_masked-loc-_s198-processed-gene-0.4&CDS=1-495, snap_masked-loc-_s28-processed-gene-0.30-mRNA-1_1&gene=snap_masked-loc-_s28-processed-gene-0.30&CDS=1-660, snap_masked-loc-_s379-processed-gene-0.16-mRNA-1_1&gene=snap_masked-loc-_s379-processed-gene-0.16&CDS=1-207, snap_masked-loc-_s589-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_s589-processed-gene-0.1&CDS=1-204	YCL074W
OG0000005	augustus_masked-loc-_C31955-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_C31955-processed-gene-0.1&CDS=1-195, augustus_masked-loc-_C35523-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-loc-_C35523-processed-gene-0.2&CDS=1-576, augustus_masked-loc-_s203-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-loc-_s203-processed-gene-0.14&CDS=1-471, augustus_masked-loc-_s443-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-loc-_s443-processed-gene-0.8&CDS=1-876, augustus_masked-loc-_s76-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_s76-processed-gene-0.1&CDS=1-861, genemark-loc-_s163-processed-gene-0.3-mRNA-1_1&gene=genemark-loc-_s163-processed-gene-0.3&CDS=1-2700, genemark-loc-_s87-processed-gene-0.3-mRNA-1_1&gene=genemark-loc-_s87-processed-gene-0.3&CDS=1-807, snap_masked-loc-_s33-processed-gene-0.50-mRNA-1_1&gene=snap_masked-loc-_s33-processed-gene-0.50&CDS=1-267, snap_masked-loc-_s365-processed-gene-0.33-mRNA-1_1&gene=snap_masked-loc-_s365-processed-gene-0.33&CDS=1-255, snap_masked-loc-_s65-processed-gene-0.20-mRNA-1_1&gene=snap_masked-loc-_s65-processed-gene-0.20&CDS=1-318	
OG0000006	augustus_masked-loc-_s696-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-loc-_s696-processed-gene-0.113&CDS=1-1728, maker-loc-_s18-augustus-gene-4.133-mRNA-1_1&gene=maker-loc-_s18-augustus-gene-4.133&CDS=1-6258, snap_masked-loc-_s103-processed-gene-0.47-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-0.47&CDS=1-1812, snap_masked-loc-_s309-processed-gene-0.32-mRNA-1_1&gene=snap_masked-loc-_s309-processed-gene-0.32&CDS=1-1752, snap_masked-loc-_s381-processed-gene-0.10-mRNA-1_1&gene=snap_masked-loc-_s381-processed-gene-0.10&CDS=1-1791, snap_masked-loc-_s662-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s662-processed-gene-0.9&CDS=1-1668, snap_masked-loc-_s78-processed-gene-0.3-mRNA-1_1&gene=snap_masked-loc-_s78-processed-gene-0.3&CDS=1-1653	YKR039W, YLL061W, YPL274W
OG0000007	augustus_masked-loc-_s294-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-loc-_s294-processed-gene-0.116&CDS=1-2496, genemark-loc-_s546-processed-gene-0.55-mRNA-1_1&gene=genemark-loc-_s546-processed-gene-0.55&CDS=1-3390, genemark-loc-_s696-processed-gene-0.26-mRNA-1_1&gene=genemark-loc-_s696-processed-gene-0.26&CDS=1-2646, snap_masked-loc-_s493-processed-gene-0.17-mRNA-1_1&gene=snap_masked-loc-_s493-processed-gene-0.17&CDS=1-3300, snap_masked-loc-_s524-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s524-processed-gene-0.11&CDS=1-2277	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
OG0000008	augustus_masked-loc-_s342-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_s342-processed-gene-0.0&CDS=1-2493, maker-loc-_s682-augustus-gene-1.140-mRNA-1_1&gene=maker-loc-_s682-augustus-gene-1.140&CDS=1-7035, snap_masked-loc-_s103-processed-gene-1.17-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-1.17&CDS=1-2760, snap_masked-loc-_s331-processed-gene-0.115-mRNA-1_1&gene=snap_masked-loc-_s331-processed-gene-0.115&CDS=1-3450, snap_masked-loc-_s65-processed-gene-0.14-mRNA-1_1&gene=snap_masked-loc-_s65-processed-gene-0.14&CDS=1-3075, snap_masked-loc-_s658-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s658-processed-gene-0.7&CDS=1-267, snap_masked-loc-_s682-processed-gene-1.9-mRNA-1_1&gene=snap_masked-loc-_s682-processed-gene-1.9&CDS=1-3165, snap_masked-loc-_s706-processed-gene-0.26-mRNA-1_1&gene=snap_masked-loc-_s706-processed-gene-0.26&CDS=1-2649	YLR256W
OG0000009	genemark-loc-_s130-processed-gene-0.14-mRNA-1_1&gene=genemark-loc-_s130-processed-gene-0.14&CDS=1-2844, maker-loc-_s18-snap-gene-5.121-mRNA-1_1&gene=maker-loc-_s18-snap-gene-5.121&CDS=1-1518, snap_masked-loc-_s561-processed-gene-0.90-mRNA-1_1&gene=snap_masked-loc-_s561-processed-gene-0.90&CDS=1-1662, snap_masked-loc-_s671-processed-gene-0.57-mRNA-1_1&gene=snap_masked-loc-_s671-processed-gene-0.57&CDS=1-1359, snap_masked-loc-_s85-processed-gene-0.29-mRNA-1_1&gene=snap_masked-loc-_s85-processed-gene-0.29&CDS=1-1623	YLR343W, YMR307W, YOL030W, YOL132W
