	Lachancea_cidri	Saccharomyces_cerevisiae
OG0000000		YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
OG0000001	maker-LACI0C-augustus-gene-2.53-mRNA-1_1&gene=maker-LACI0C-augustus-gene-2.53&CDS=1-3264, maker-LACI0F-snap-gene-3.4-mRNA-1_1&gene=maker-LACI0F-snap-gene-3.4&CDS=1-4722, snap_masked-LACI0C-processed-gene-7.137-mRNA-1_1&gene=snap_masked-LACI0C-processed-gene-7.137&CDS=1-1707, snap_masked-LACI0D-processed-gene-9.98-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.98&CDS=1-1698, snap_masked-LACI0E-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-0.2&CDS=1-1707, snap_masked-LACI0F-processed-gene-3.46-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-3.46&CDS=1-1722	YDR342C, YDR343C, YDR345C, YFR010W, YHR092C, YHR094C, YJL214W
OG0000002	maker-LACI0D-snap-gene-5.4-mRNA-1_1&gene=maker-LACI0D-snap-gene-5.4&CDS=1-5100, snap_masked-LACI0F-processed-gene-10.4-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-10.4&CDS=1-2037, snap_masked-LACI0H-processed-gene-1.117-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-1.117&CDS=1-1953, snap_masked-LACI0H-processed-gene-13.97-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-13.97&CDS=1-1929, snap_masked-LACI0H-processed-gene-5.127-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-5.127&CDS=1-1839	YAL005C, YDL229W, YEL030W, YER103W, YJL034W, YJR045C, YLL024C, YNL209W
OG0000003	genemark-LACI0F-processed-gene-3.121-mRNA-1_1&gene=genemark-LACI0F-processed-gene-3.121&CDS=1-9207, snap_masked-LACI0D-processed-gene-9.75-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.75&CDS=1-4431, snap_masked-LACI0G-processed-gene-10.1-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-10.1&CDS=1-4518, snap_masked-LACI0G-processed-gene-8.153-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-8.153&CDS=1-3978	YDR011W, YDR406W, YIL013C, YOR011W, YOR153W, YOR328W, YPL058C
OG0000004	maker-LACI0A-snap-gene-2.88-mRNA-1_1&gene=maker-LACI0A-snap-gene-2.88&CDS=1-6252, maker-LACI0G-snap-gene-0.42-mRNA-1_1&gene=maker-LACI0G-snap-gene-0.42&CDS=1-3315, maker-LACI0H-augustus-gene-0.42-mRNA-1_1&gene=maker-LACI0H-augustus-gene-0.42&CDS=1-4311, snap_masked-LACI0F-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-0.22&CDS=1-2937	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000005	augustus_masked-LACI0F-processed-gene-12.90-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-12.90&CDS=1-3081, maker-LACI0H-snap-gene-3.123-mRNA-1_1&gene=maker-LACI0H-snap-gene-3.123&CDS=1-1914, snap_masked-LACI0F-processed-gene-12.21-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-12.21&CDS=1-1512, snap_masked-LACI0G-processed-gene-10.27-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-10.27&CDS=1-1503, snap_masked-LACI0G-processed-gene-16.42-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.42&CDS=1-1557	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
OG0000006	snap_masked-LACI0A-processed-gene-2.48-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.48&CDS=1-1821, snap_masked-LACI0B-processed-gene-1.76-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.76&CDS=1-1785, snap_masked-LACI0E-processed-gene-10.84-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-10.84&CDS=1-1773, snap_masked-LACI0E-processed-gene-10.85-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-10.85&CDS=1-1836, snap_masked-LACI0E-processed-gene-5.82-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-5.82&CDS=1-1776, snap_masked-LACI0H-processed-gene-21.112-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-21.112&CDS=1-1788	YCL025C, YGR191W, YKR039W
OG0000007	augustus_masked-LACI0B-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-3.122&CDS=1-657, augustus_masked-LACI0C-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-LACI0C-processed-gene-2.118&CDS=1-1215, augustus_masked-LACI0E-processed-gene-2.148-mRNA-1_1&gene=augustus_masked-LACI0E-processed-gene-2.148&CDS=1-657, augustus_masked-LACI0E-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-LACI0E-processed-gene-2.149&CDS=1-666, augustus_masked-LACI0E-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-LACI0E-processed-gene-2.150&CDS=1-648, augustus_masked-LACI0E-processed-gene-2.151-mRNA-1_1&gene=augustus_masked-LACI0E-processed-gene-2.151&CDS=1-630, augustus_masked-LACI0F-processed-gene-13.143-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-13.143&CDS=1-660, augustus_masked-LACI0H-processed-gene-16.143-mRNA-1_1&gene=augustus_masked-LACI0H-processed-gene-16.143&CDS=1-1497, snap_masked-LACI0B-processed-gene-3.15-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.15&CDS=1-630	
OG0000008	snap_masked-LACI0C-processed-gene-7.100-mRNA-1_1&gene=snap_masked-LACI0C-processed-gene-7.100&CDS=1-1773, snap_masked-LACI0E-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-0.20&CDS=1-1773, snap_masked-LACI0F-processed-gene-16.181-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.181&CDS=1-1719	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
OG0000009		YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
