	Saccharomyces_cerevisiae	yHAB164_Kazachstania_aerobia
OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	genemark-scf7180000019968-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000019968-processed-gene-0.21&CDS=1-732
OG0000001	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
OG0000002	YKR101W	augustus_masked-scf7180000020069-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000020069-processed-gene-0.4&CDS=1-1689, augustus_masked-scf7180000020228-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.36&CDS=1-795, augustus_masked-scf7180000020228-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-3.37&CDS=1-2877, augustus_masked-scf7180000020230-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000020230-processed-gene-0.31&CDS=1-810, snap_masked-scf7180000019711-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000019711-processed-gene-0.3&CDS=1-318, snap_masked-scf7180000019740-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000019740-processed-gene-0.4&CDS=1-2925, snap_masked-scf7180000019760-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000019760-processed-gene-0.3&CDS=1-2925, snap_masked-scf7180000019777-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000019777-processed-gene-0.1&CDS=1-375, snap_masked-scf7180000019942-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000019942-processed-gene-0.1&CDS=1-258, snap_masked-scf7180000020017-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000020017-processed-gene-0.5&CDS=1-297, snap_masked-scf7180000020042-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000020042-processed-gene-0.5&CDS=1-261, snap_masked-scf7180000020068-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000020068-processed-gene-0.6&CDS=1-582, snap_masked-scf7180000020106-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scf7180000020106-processed-gene-0.37&CDS=1-2235, snap_masked-scf7180000020129-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scf7180000020129-processed-gene-0.24&CDS=1-315, snap_masked-scf7180000020213-processed-gene-1.238-mRNA-1_1&gene=snap_masked-scf7180000020213-processed-gene-1.238&CDS=1-1254, snap_masked-scf7180000020226-processed-gene-0.57-mRNA-1_1&gene=snap_masked-scf7180000020226-processed-gene-0.57&CDS=1-768, snap_masked-scf7180000020230-processed-gene-0.94-mRNA-1_1&gene=snap_masked-scf7180000020230-processed-gene-0.94&CDS=1-330
OG0000003	YCL075W	augustus_masked-scf7180000020016-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000020016-processed-gene-0.3&CDS=1-2178, augustus_masked-scf7180000020190-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000020190-processed-gene-0.2&CDS=1-660, snap_masked-scf7180000019713-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000019713-processed-gene-0.1&CDS=1-543, snap_masked-scf7180000019713-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000019713-processed-gene-0.2&CDS=1-1218, snap_masked-scf7180000019725-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000019725-processed-gene-0.2&CDS=1-2250, snap_masked-scf7180000020019-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000020019-processed-gene-0.0&CDS=1-2265, snap_masked-scf7180000020078-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000020078-processed-gene-0.0&CDS=1-2313, snap_masked-scf7180000020124-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000020124-processed-gene-0.11&CDS=1-2250, snap_masked-scf7180000020204-processed-gene-0.80-mRNA-1_1&gene=snap_masked-scf7180000020204-processed-gene-0.80&CDS=1-2250, snap_masked-scf7180000020219-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000020219-processed-gene-0.89&CDS=1-2232
OG0000004	YHR179W, YPL171C	augustus_masked-scf7180000020088-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000020088-processed-gene-0.36&CDS=1-1095, genemark-scf7180000019711-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000019711-processed-gene-0.1&CDS=1-1200, genemark-scf7180000020106-processed-gene-0.120-mRNA-1_1&gene=genemark-scf7180000020106-processed-gene-0.120&CDS=1-1200, genemark-scf7180000020205-processed-gene-0.83-mRNA-1_1&gene=genemark-scf7180000020205-processed-gene-0.83&CDS=1-1200, genemark-scf7180000020213-processed-gene-1.134-mRNA-1_1&gene=genemark-scf7180000020213-processed-gene-1.134&CDS=1-1200, genemark-scf7180000020226-processed-gene-0.23-mRNA-1_1&gene=genemark-scf7180000020226-processed-gene-0.23&CDS=1-1200, genemark-scf7180000020230-processed-gene-0.135-mRNA-1_1&gene=genemark-scf7180000020230-processed-gene-0.135&CDS=1-1200, maker-scf7180000020077-augustus-gene-0.2-mRNA-1_1&gene=maker-scf7180000020077-augustus-gene-0.2&CDS=1-987
OG0000005		augustus_masked-scf7180000019885-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000019885-processed-gene-0.4&CDS=1-1383, augustus_masked-scf7180000020015-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000020015-processed-gene-0.0&CDS=1-1251, augustus_masked-scf7180000020054-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000020054-processed-gene-0.0&CDS=1-2886, augustus_masked-scf7180000020077-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000020077-processed-gene-0.1&CDS=1-669, augustus_masked-scf7180000020133-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000020133-processed-gene-0.13&CDS=1-1365, augustus_masked-scf7180000020153-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000020153-processed-gene-0.4&CDS=1-2892, augustus_masked-scf7180000020230-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000020230-processed-gene-0.25&CDS=1-1989, snap_masked-scf7180000019754-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000019754-processed-gene-0.2&CDS=1-1545, snap_masked-scf7180000020202-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000020202-processed-gene-0.20&CDS=1-1530, snap_masked-scf7180000020216-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scf7180000020216-processed-gene-0.45&CDS=1-2169
OG0000006	YAR023C, YAR027W, YAR028W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W	snap_masked-scf7180000020165-processed-gene-0.114-mRNA-1_1&gene=snap_masked-scf7180000020165-processed-gene-0.114&CDS=1-417
OG0000007	YDR342C, YDR343C, YDR345C, YHR092C	genemark-scf7180000019719-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000019719-processed-gene-0.1&CDS=1-1677, genemark-scf7180000020071-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000020071-processed-gene-0.6&CDS=1-1695, genemark-scf7180000020099-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000020099-processed-gene-0.10&CDS=1-1713, genemark-scf7180000020169-processed-gene-0.101-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.101&CDS=1-1683, maker-scf7180000020217-snap-gene-0.64-mRNA-1_1&gene=maker-scf7180000020217-snap-gene-0.64&CDS=1-3354
OG0000008	YOL151W	augustus_masked-scf7180000020028-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000020028-processed-gene-0.5&CDS=1-837, augustus_masked-scf7180000020159-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-scf7180000020159-processed-gene-0.169&CDS=1-993, augustus_masked-scf7180000020230-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000020230-processed-gene-0.28&CDS=1-1119, genemark-scf7180000019714-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000019714-processed-gene-0.24&CDS=1-1035, genemark-scf7180000020159-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000020159-processed-gene-0.72&CDS=1-1035, genemark-scf7180000020204-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000020204-processed-gene-0.55&CDS=1-1035
OG0000009	YAL005C, YER103W, YLL024C	genemark-scf7180000020008-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000020008-processed-gene-0.4&CDS=1-1947, genemark-scf7180000020167-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000020167-processed-gene-0.33&CDS=1-1920, genemark-scf7180000020221-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000020221-processed-gene-0.1&CDS=1-1977
