	Metschnikowia_bicuspidata	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.10&CDS=1-1107, augustus_masked-scaffold_2-processed-gene-10.58-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.58&CDS=1-204, maker-scaffold_3-snap-gene-14.33-mRNA-1_1&gene=maker-scaffold_3-snap-gene-14.33&CDS=1-456, maker-scaffold_3-snap-gene-8.62-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.62&CDS=1-756, maker-scaffold_4-snap-gene-11.34-mRNA-1_1&gene=maker-scaffold_4-snap-gene-11.34&CDS=1-1278, maker-scaffold_4-snap-gene-3.28-mRNA-1_1&gene=maker-scaffold_4-snap-gene-3.28&CDS=1-393, maker-scaffold_4-snap-gene-5.84-mRNA-1_1&gene=maker-scaffold_4-snap-gene-5.84&CDS=1-363, maker-scaffold_6-snap-gene-0.63-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.63&CDS=1-591, maker-scaffold_6-snap-gene-2.87-mRNA-1_1&gene=maker-scaffold_6-snap-gene-2.87&CDS=1-297, maker-scaffold_9-snap-gene-2.64-mRNA-1_1&gene=maker-scaffold_9-snap-gene-2.64&CDS=1-2949, snap_masked-scaffold_1-processed-gene-22.54-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.54&CDS=1-192, snap_masked-scaffold_1-processed-gene-23.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.41&CDS=1-762, snap_masked-scaffold_1-processed-gene-29.14-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-29.14&CDS=1-192, snap_masked-scaffold_1-processed-gene-32.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-32.73&CDS=1-192, snap_masked-scaffold_1-processed-gene-37.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-37.52&CDS=1-192, snap_masked-scaffold_1-processed-gene-41.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-41.47&CDS=1-192, snap_masked-scaffold_1-processed-gene-47.66-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-47.66&CDS=1-192, snap_masked-scaffold_3-processed-gene-22.38-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.38&CDS=1-192, snap_masked-scaffold_4-processed-gene-17.35-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-17.35&CDS=1-192, snap_masked-scaffold_4-processed-gene-3.53-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.53&CDS=1-186, snap_masked-scaffold_5-processed-gene-6.87-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.87&CDS=1-342, snap_masked-scaffold_6-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.31&CDS=1-420, snap_masked-scaffold_6-processed-gene-5.45-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.45&CDS=1-192, snap_masked-scaffold_7-processed-gene-5.83-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.83&CDS=1-192	YDR524C
OG0000001	augustus_masked-scaffold_1-processed-gene-13.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.68&CDS=1-1014, augustus_masked-scaffold_1-processed-gene-24.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.13&CDS=1-1038, augustus_masked-scaffold_2-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.35&CDS=1-924, genemark-scaffold_1-processed-gene-43.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-43.14&CDS=1-1017, maker-scaffold_1-snap-gene-10.47-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.47&CDS=1-1281, maker-scaffold_1-snap-gene-23.74-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.74&CDS=1-987, maker-scaffold_1-snap-gene-24.32-mRNA-1_1&gene=maker-scaffold_1-snap-gene-24.32&CDS=1-1005, maker-scaffold_1-snap-gene-31.33-mRNA-1_1&gene=maker-scaffold_1-snap-gene-31.33&CDS=1-744, maker-scaffold_11-snap-gene-0.1-mRNA-1_1&gene=maker-scaffold_11-snap-gene-0.1&CDS=1-3963, maker-scaffold_16-augustus-gene-0.4-mRNA-1_1&gene=maker-scaffold_16-augustus-gene-0.4&CDS=1-1752, maker-scaffold_6-snap-gene-6.51-mRNA-1_1&gene=maker-scaffold_6-snap-gene-6.51&CDS=1-5376, maker-scaffold_7-snap-gene-5.162-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.162&CDS=1-1551, maker-scaffold_9-snap-gene-0.59-mRNA-1_1&gene=maker-scaffold_9-snap-gene-0.59&CDS=1-2727, snap_masked-scaffold_1-processed-gene-10.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.53&CDS=1-633, snap_masked-scaffold_1-processed-gene-41.39-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-41.39&CDS=1-660, snap_masked-scaffold_2-processed-gene-2.59-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.59&CDS=1-924, snap_masked-scaffold_2-processed-gene-24.89-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.89&CDS=1-585, snap_masked-scaffold_28-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scaffold_28-processed-gene-0.0&CDS=1-513, snap_masked-scaffold_9-processed-gene-1.56-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.56&CDS=1-1002	YKR016W
OG0000002		YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C
OG0000003	augustus_masked-scaffold_31-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_31-processed-gene-0.2&CDS=1-552, augustus_masked-scaffold_4-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.52&CDS=1-702, genemark-scaffold_1-processed-gene-13.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.44&CDS=1-2034, maker-scaffold_3-snap-gene-24.186-mRNA-1_1&gene=maker-scaffold_3-snap-gene-24.186&CDS=1-3321, maker-scaffold_32-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_32-snap-gene-0.2&CDS=1-2298, snap_masked-scaffold_1-processed-gene-30.54-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.54&CDS=1-249, snap_masked-scaffold_1-processed-gene-39.13-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-39.13&CDS=1-531, snap_masked-scaffold_1-processed-gene-4.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.36&CDS=1-288, snap_masked-scaffold_2-processed-gene-19.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-19.43&CDS=1-684, snap_masked-scaffold_4-processed-gene-12.30-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.30&CDS=1-912	
OG0000004	genemark-scaffold_1-processed-gene-33.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-33.23&CDS=1-1746, genemark-scaffold_4-processed-gene-1.76-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.76&CDS=1-1758, genemark-scaffold_4-processed-gene-1.77-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.77&CDS=1-1758, genemark-scaffold_4-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.86&CDS=1-1725, genemark-scaffold_6-processed-gene-3.5-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.5&CDS=1-1716, snap_masked-scaffold_2-processed-gene-24.110-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-24.110&CDS=1-1785	YKR039W, YLL061W, YPL274W
OG0000005	augustus_masked-scaffold_5-processed-gene-9.74-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.74&CDS=1-1809, genemark-scaffold_1-processed-gene-15.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.55&CDS=1-2478, genemark-scaffold_1-processed-gene-44.68-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-44.68&CDS=1-2247, genemark-scaffold_2-processed-gene-7.9-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.9&CDS=1-2256, genemark-scaffold_3-processed-gene-2.4-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.4&CDS=1-1830, snap_masked-scaffold_8-processed-gene-1.54-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.54&CDS=1-2289	YJR061W, YKL201C
OG0000006	genemark-scaffold_1-processed-gene-22.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-22.13&CDS=1-1008, genemark-scaffold_1-processed-gene-39.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-39.73&CDS=1-1014, genemark-scaffold_2-processed-gene-22.67-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-22.67&CDS=1-1023, genemark-scaffold_3-processed-gene-14.12-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-14.12&CDS=1-1011, genemark-scaffold_7-processed-gene-5.51-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.51&CDS=1-1041, snap_masked-scaffold_2-processed-gene-20.29-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-20.29&CDS=1-1032	YDR541C, YOL151W
OG0000007	genemark-scaffold_3-processed-gene-4.21-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.21&CDS=1-1689	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000008	genemark-scaffold_3-processed-gene-8.17-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.17&CDS=1-3816, genemark-scaffold_5-processed-gene-4.91-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.91&CDS=1-2271, snap_masked-scaffold_4-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.19&CDS=1-2670, snap_masked-scaffold_8-processed-gene-1.41-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.41&CDS=1-5811	YER013W, YGL120C, YKR086W, YNR011C
OG0000009	augustus_masked-scaffold_6-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.62&CDS=1-1008, genemark-scaffold_1-processed-gene-23.1-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.1&CDS=1-1053, genemark-scaffold_1-processed-gene-39.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-39.62&CDS=1-1053, genemark-scaffold_3-processed-gene-9.87-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.87&CDS=1-1053, genemark-scaffold_4-processed-gene-16.104-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-16.104&CDS=1-1053, genemark-scaffold_9-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.14&CDS=1-1053	YML131W
