	Dekkera_bruxellensis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_5-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.67&CDS=1-1584, genemark-scaffold_10-processed-gene-2.105-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.105&CDS=1-1575, genemark-scaffold_10-processed-gene-2.75-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.75&CDS=1-375, genemark-scaffold_10-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.76&CDS=1-375, maker-scaffold_10-snap-gene-2.121-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.121&CDS=1-489	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YIL171W, YJL214W, YJL219W, YLR081W, YOL156W
OG0000001	augustus_masked-scaffold_11-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.94&CDS=1-4533, augustus_masked-scaffold_17-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-0.88&CDS=1-2619, augustus_masked-scaffold_6-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.80&CDS=1-5466, genemark-scaffold_13-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.100&CDS=1-2184, genemark-scaffold_3-processed-gene-0.51-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.51&CDS=1-2496, genemark-scaffold_3-processed-gene-8.14-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.14&CDS=1-3081, genemark-scaffold_8-processed-gene-2.90-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.90&CDS=1-2589, genemark-scaffold_9-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-3.23&CDS=1-2991, maker-scaffold_16-snap-gene-0.186-mRNA-1_1&gene=maker-scaffold_16-snap-gene-0.186&CDS=1-3630, snap_masked-scaffold_1-processed-gene-4.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.26&CDS=1-2709	YKR064W, YLR256W
OG0000002		YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
OG0000003	genemark-scaffold_1-processed-gene-4.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.57&CDS=1-1794, genemark-scaffold_17-processed-gene-0.128-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.128&CDS=1-1641, genemark-scaffold_22-processed-gene-0.21-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.21&CDS=1-1686, genemark-scaffold_22-processed-gene-0.22-mRNA-1_1&gene=genemark-scaffold_22-processed-gene-0.22&CDS=1-1677	YCL069W, YGR224W, YKR105C, YPR198W
OG0000004	genemark-scaffold_1-processed-gene-17.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.58&CDS=1-1773, genemark-scaffold_17-processed-gene-0.107-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.107&CDS=1-1752, genemark-scaffold_23-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_23-processed-gene-0.18&CDS=1-1758, genemark-scaffold_24-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.14&CDS=1-1761	YGR287C, YIL172C, YJL221C, YOL157C
OG0000005	genemark-scaffold_12-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.73&CDS=1-2871, genemark-scaffold_2-processed-gene-15.28-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.28&CDS=1-2223, genemark-scaffold_3-processed-gene-1.74-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.74&CDS=1-2955, genemark-scaffold_9-processed-gene-2.58-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.58&CDS=1-2934	YER013W, YGL120C, YKR086W, YNR011C
OG0000006	augustus_masked-scaffold_1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.100&CDS=1-1647, genemark-scaffold_1-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.43&CDS=1-1614, genemark-scaffold_17-processed-gene-0.115-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-0.115&CDS=1-1665, genemark-scaffold_18-processed-gene-0.20-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.20&CDS=1-1638, genemark-scaffold_2-processed-gene-10.101-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.101&CDS=1-1662, genemark-scaffold_2-processed-gene-8.45-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.45&CDS=1-1716	YDR242W
OG0000007	augustus_masked-scaffold_1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.6&CDS=1-2181, augustus_masked-scaffold_10-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.10&CDS=1-1914, augustus_masked-scaffold_10-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.11&CDS=1-2520, genemark-scaffold_18-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-0.2&CDS=1-1953, genemark-scaffold_20-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.27&CDS=1-2274, genemark-scaffold_21-processed-gene-0.28-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.28&CDS=1-1836, genemark-scaffold_7-processed-gene-4.116-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.116&CDS=1-330	
OG0000008	augustus_masked-scaffold_1-processed-gene-16.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.61&CDS=1-4128, genemark-scaffold_5-processed-gene-3.78-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.78&CDS=1-1851, snap_masked-scaffold_3-processed-gene-5.15-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.15&CDS=1-3693	YCL024W, YDR477W, YDR507C, YKL101W
OG0000009	genemark-scaffold_3-processed-gene-7.59-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.59&CDS=1-1431, genemark-scaffold_6-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.85&CDS=1-1353	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
