	Lachancea_meyersii	Saccharomyces_cerevisiae
OG0000000	snap_masked-LAME0G-processed-gene-0.50-mRNA-1_1&gene=snap_masked-LAME0G-processed-gene-0.50&CDS=1-615	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W
OG0000001	augustus_masked-LAME0C-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-1.109&CDS=1-1092, augustus_masked-LAME0C-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-1.124&CDS=1-528, augustus_masked-LAME0C-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-2.127&CDS=1-702, snap_masked-LAME0C-processed-gene-1.18-mRNA-1_1&gene=snap_masked-LAME0C-processed-gene-1.18&CDS=1-732, snap_masked-LAME0C-processed-gene-1.19-mRNA-1_1&gene=snap_masked-LAME0C-processed-gene-1.19&CDS=1-609, snap_masked-LAME0C-processed-gene-1.20-mRNA-1_1&gene=snap_masked-LAME0C-processed-gene-1.20&CDS=1-348, snap_masked-LAME0C-processed-gene-1.5-mRNA-1_1&gene=snap_masked-LAME0C-processed-gene-1.5&CDS=1-234, snap_masked-LAME0C-processed-gene-8.130-mRNA-1_1&gene=snap_masked-LAME0C-processed-gene-8.130&CDS=1-759	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W
OG0000002	augustus_masked-LAME0A-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.48&CDS=1-1773, augustus_masked-LAME0C-processed-gene-8.47-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-8.47&CDS=1-1770, augustus_masked-LAME0D-processed-gene-10.202-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-10.202&CDS=1-1752	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C
OG0000003	augustus_masked-LAME0C-processed-gene-5.15-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-5.15&CDS=1-1923, augustus_masked-LAME0D-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-7.10&CDS=1-2034, augustus_masked-LAME0F-processed-gene-11.7-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-11.7&CDS=1-1977, augustus_masked-LAME0F-processed-gene-15.69-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.69&CDS=1-1839	YAL005C, YDL229W, YJL034W, YLL024C, YNL209W
OG0000004	augustus_masked-LAME0F-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-5.16&CDS=1-1746, augustus_masked-LAME0G-processed-gene-19.163-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-19.163&CDS=1-1755, maker-LAME0G-augustus-gene-1.137-mRNA-1_1&gene=maker-LAME0G-augustus-gene-1.137&CDS=1-3567	YBR068C, YCL025C, YDR508C, YKR039W, YLL061W, YPL274W
OG0000005	augustus_masked-LAME0A-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.62&CDS=1-4974, augustus_masked-LAME0G-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-7.20&CDS=1-4479, augustus_masked-LAME0H-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-0.8&CDS=1-4500, genemark-LAME0A-processed-gene-5.1-mRNA-1_1&gene=genemark-LAME0A-processed-gene-5.1&CDS=1-4602	YDR135C, YGR281W, YLL015W, YLL048C
OG0000006	augustus_masked-LAME0E-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-0.82&CDS=1-1680, genemark-LAME0C-processed-gene-0.51-mRNA-1_1&gene=genemark-LAME0C-processed-gene-0.51&CDS=1-5247, maker-LAME0D-augustus-gene-0.0-mRNA-1_1&gene=maker-LAME0D-augustus-gene-0.0&CDS=1-1392, maker-LAME0D-snap-gene-10.165-mRNA-1_1&gene=maker-LAME0D-snap-gene-10.165&CDS=1-4101, maker-LAME0E-augustus-gene-0.68-mRNA-1_1&gene=maker-LAME0E-augustus-gene-0.68&CDS=1-4476, maker-LAME0E-snap-gene-12.151-mRNA-1_1&gene=maker-LAME0E-snap-gene-12.151&CDS=1-9303, maker-LAME0F-augustus-gene-17.98-mRNA-1_1&gene=maker-LAME0F-augustus-gene-17.98&CDS=1-2142, snap_masked-LAME0C-processed-gene-8.134-mRNA-1_1&gene=snap_masked-LAME0C-processed-gene-8.134&CDS=1-1410	
OG0000007	augustus_masked-LAME0C-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-7.37&CDS=1-2313, augustus_masked-LAME0D-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-1.27&CDS=1-3309, augustus_masked-LAME0F-processed-gene-9.2-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-9.2&CDS=1-3321, augustus_masked-LAME0H-processed-gene-13.40-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-13.40&CDS=1-2715	YER013W, YGL120C, YKR086W, YNR011C
OG0000008	augustus_masked-LAME0E-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-9.91&CDS=1-945	YCR107W, YDL243C, YFL056C, YJR155W, YNL331C, YOL165C, YPL088W
OG0000009	augustus_masked-LAME0A-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-1.42&CDS=1-1737, augustus_masked-LAME0B-processed-gene-7.150-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-7.150&CDS=1-1569, augustus_masked-LAME0C-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-0.15&CDS=1-1725, augustus_masked-LAME0C-processed-gene-8.42-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-8.42&CDS=1-1719, augustus_masked-LAME0G-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-4.6&CDS=1-1719, augustus_masked-LAME0H-processed-gene-19.197-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-19.197&CDS=1-1674	YJL172W
OG0000010	augustus_masked-LAME0B-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.45&CDS=1-1545, augustus_masked-LAME0D-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-0.1&CDS=1-1545, augustus_masked-LAME0F-processed-gene-13.137-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-13.137&CDS=1-1548, genemark-LAME0C-processed-gene-8.252-mRNA-1_1&gene=genemark-LAME0C-processed-gene-8.252&CDS=1-1338	YER056C, YER060W, YER060W-A
OG0000011	augustus_masked-LAME0C-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-5.23&CDS=1-2181, augustus_masked-LAME0D-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-7.6&CDS=1-1794, snap_masked-LAME0F-processed-gene-8.49-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-8.49&CDS=1-1836	YER001W, YGL257C, YIL014W, YNR059W
OG0000012	augustus_masked-LAME0F-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-3.84&CDS=1-2142, snap_masked-LAME0F-processed-gene-19.135-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-19.135&CDS=1-2019	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000013	augustus_masked-LAME0A-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.35&CDS=1-912, augustus_masked-LAME0A-processed-gene-6.223-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.223&CDS=1-948, augustus_masked-LAME0A-processed-gene-6.273-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.273&CDS=1-855, augustus_masked-LAME0B-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.43&CDS=1-912, augustus_masked-LAME0F-processed-gene-17.128-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-17.128&CDS=1-897	YKL107W
