	Brettanomyces_anomalus	Saccharomyces_cerevisiae
OG0000000	augustus_masked-LCTY01000002.1-processed-gene-10.82-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-10.82&CDS=1-687, augustus_masked-LCTY01000002.1-processed-gene-11.138-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-11.138&CDS=1-1416, augustus_masked-LCTY01000003.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.104&CDS=1-2103, augustus_masked-LCTY01000007.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-1.60&CDS=1-1347, augustus_masked-LCTY01000009.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-LCTY01000009.1-processed-gene-3.62&CDS=1-1983, augustus_masked-LCTY01000010.1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-LCTY01000010.1-processed-gene-4.41&CDS=1-2985, augustus_masked-LCTY01000012.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.78&CDS=1-1302, snap_masked-LCTY01000004.1-processed-gene-10.37-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-10.37&CDS=1-1962	YBR240C, YDL170W, YDR207C
OG0000001	augustus_masked-LCTY01000005.1-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-11.67&CDS=1-1692, maker-LCTY01000005.1-snap-gene-11.108-mRNA-1_1&gene=maker-LCTY01000005.1-snap-gene-11.108&CDS=1-1740, snap_masked-LCTY01000009.1-processed-gene-2.72-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-2.72&CDS=1-1587	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C
OG0000002	augustus_masked-LCTY01000005.1-processed-gene-12.56-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-12.56&CDS=1-1788, snap_masked-LCTY01000005.1-processed-gene-14.190-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-14.190&CDS=1-2604	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000003	augustus_masked-LCTY01000002.1-processed-gene-6.81-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-6.81&CDS=1-3111, augustus_masked-LCTY01000004.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.59&CDS=1-2511, augustus_masked-LCTY01000011.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-LCTY01000011.1-processed-gene-3.7&CDS=1-3666, augustus_masked-LCTY01000012.1-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.101&CDS=1-5751	YAL051W, YCR106W, YOR363C
OG0000004	augustus_masked-LCTY01000016.1-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.182&CDS=1-1671, augustus_masked-LCTY01000016.1-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.183&CDS=1-1695, snap_masked-LCTY01000017.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LCTY01000017.1-processed-gene-0.52&CDS=1-1644	YCL069W, YGR224W, YKR105C, YPR198W
OG0000005	augustus_masked-LCTY01000001.1-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.53&CDS=1-1779, augustus_masked-LCTY01000006.1-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-7.116&CDS=1-1758	YGR287C, YIL172C, YJL221C, YOL157C
OG0000006	augustus_masked-LCTY01000006.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-3.84&CDS=1-1113, augustus_masked-LCTY01000012.1-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.85&CDS=1-1053, genemark-LCTY01000001.1-processed-gene-14.1-mRNA-1_1&gene=genemark-LCTY01000001.1-processed-gene-14.1&CDS=1-1098	YMR083W, YMR303C, YOL086C
OG0000007	snap_masked-LCTY01000005.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-7.48&CDS=1-2103	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000008	augustus_masked-LCTY01000007.1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-1.65&CDS=1-2013, augustus_masked-LCTY01000010.1-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-LCTY01000010.1-processed-gene-4.40&CDS=1-1623, maker-LCTY01000008.1-snap-gene-0.117-mRNA-1_1&gene=maker-LCTY01000008.1-snap-gene-0.117&CDS=1-624	YER028C, YGL209W, YMR182C
OG0000009	augustus_masked-LCTY01000012.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-1.79&CDS=1-1794, snap_masked-LCTY01000014.1-processed-gene-2.182-mRNA-1_1&gene=snap_masked-LCTY01000014.1-processed-gene-2.182&CDS=1-393	YDL048C, YDR463W, YHR006W, YLR375W
OG0000010	augustus_masked-LCTY01000012.1-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.103&CDS=1-1206	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000011	genemark-LCTY01000014.1-processed-gene-2.51-mRNA-1_1&gene=genemark-LCTY01000014.1-processed-gene-2.51&CDS=1-693, snap_masked-LCTY01000017.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-LCTY01000017.1-processed-gene-0.62&CDS=1-294	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
