	Saccharomyces_cerevisiae	yHMPu5000035673_Candida_orba
OG0000000	YBR240C, YDR207C	augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.76&CDS=1-1431, augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_16_length_201853_cov_92.9379_ID_3181-processed-gene-0.83&CDS=1-615, augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_21_length_144094_cov_97.4792_ID_4719-processed-gene-0.128&CDS=1-843, augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-NODE_22_length_129868_cov_101.505_ID_8768-processed-gene-0.137&CDS=1-498, augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_31_length_89179_cov_143.237_ID_5261-processed-gene-0.7&CDS=1-2109, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.43&CDS=1-1689, augustus_masked-NODE_46_length_56858_cov_116.839_ID_13019-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_46_length_56858_cov_116.839_ID_13019-processed-gene-0.28&CDS=1-1914, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-0.3&CDS=1-2052, maker-NODE_27_length_98002_cov_109.544_ID_4797-augustus-gene-0.70-mRNA-1_1&gene=maker-NODE_27_length_98002_cov_109.544_ID_4797-augustus-gene-0.70&CDS=1-1890, snap_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.245-mRNA-1_1&gene=snap_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.245&CDS=1-1575
OG0000001	YBR069C, YGR191W, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-NODE_11_length_294616_cov_95.1537_ID_5041-processed-gene-1.176&CDS=1-1761, augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.49&CDS=1-1773, augustus_masked-NODE_34_length_77108_cov_101.239_ID_6280-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_34_length_77108_cov_101.239_ID_6280-processed-gene-0.114&CDS=1-1758, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.79-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.79&CDS=1-1779, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-2.94&CDS=1-1752, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.227-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-6.227&CDS=1-1668
OG0000002	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
OG0000003	YLR256W	augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_23_length_123380_cov_99.8442_ID_4423-processed-gene-0.12&CDS=1-2748, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.12&CDS=1-2922, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.37&CDS=1-2718, augustus_masked-NODE_30_length_89228_cov_111.197_ID_4989-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_30_length_89228_cov_111.197_ID_4989-processed-gene-0.70&CDS=1-2523, augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-1.85&CDS=1-2646, snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-7.21-mRNA-1_1&gene=snap_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-7.21&CDS=1-1821, snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.130&CDS=1-3075, snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.131-mRNA-1_1&gene=snap_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-0.131&CDS=1-3789, snap_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.204-mRNA-1_1&gene=snap_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-6.204&CDS=1-2313
OG0000004	YDL229W, YER103W, YJL034W, YLL024C, YNL209W	augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_18_length_183053_cov_97.7767_ID_4463-processed-gene-0.6&CDS=1-1935, augustus_masked-NODE_26_length_113171_cov_97.9406_ID_4626-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_26_length_113171_cov_97.9406_ID_4626-processed-gene-0.30&CDS=1-2034, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-4.91&CDS=1-1926, augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_9_length_313077_cov_99.8199_ID_3981-processed-gene-0.110&CDS=1-1839
OG0000005	YDR134C, YLR110C	augustus_masked-NODE_25_length_116563_cov_99.0617_ID_5091-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_25_length_116563_cov_99.0617_ID_5091-processed-gene-0.59&CDS=1-1809, augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NODE_2_length_988990_cov_98.9605_ID_6788-processed-gene-4.24&CDS=1-423, augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-1.91&CDS=1-6582, augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-1.72&CDS=1-2211, augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-0.102&CDS=1-3762, augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_8_length_374696_cov_108.641_ID_4549-processed-gene-2.10&CDS=1-3258, snap_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_44_length_60991_cov_88.2388_ID_5719-processed-gene-0.69&CDS=1-5229
OG0000006	YKL220C, YLR214W, YNR060W, YOR381W	augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-NODE_10_length_310917_cov_107.48_ID_4357-processed-gene-2.71&CDS=1-2151, augustus_masked-NODE_41_length_70290_cov_99.0572_ID_6750-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_41_length_70290_cov_99.0572_ID_6750-processed-gene-0.40&CDS=1-2070, augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-NODE_5_length_542709_cov_97.2032_ID_3829-processed-gene-3.92&CDS=1-2025, maker-NODE_2_length_988990_cov_98.9605_ID_6788-snap-gene-6.112-mRNA-1_1&gene=maker-NODE_2_length_988990_cov_98.9605_ID_6788-snap-gene-6.112&CDS=1-4125, maker-NODE_31_length_89179_cov_143.237_ID_5261-snap-gene-0.128-mRNA-1_1&gene=maker-NODE_31_length_89179_cov_143.237_ID_5261-snap-gene-0.128&CDS=1-2055
OG0000007	YDR011W, YNR070W, YOR153W	augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_19_length_157058_cov_101.046_ID_5644-processed-gene-0.115&CDS=1-2583, augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.26-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.26&CDS=1-4476, augustus_masked-NODE_39_length_72524_cov_94.9443_ID_5361-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_39_length_72524_cov_94.9443_ID_5361-processed-gene-0.94&CDS=1-4488, augustus_masked-NODE_75_length_5509_cov_102.86_ID_8508-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_75_length_5509_cov_102.86_ID_8508-processed-gene-0.0&CDS=1-2511, maker-NODE_1_length_1126442_cov_101.118_ID_7379-snap-gene-7.0-mRNA-1_1&gene=maker-NODE_1_length_1126442_cov_101.118_ID_7379-snap-gene-7.0&CDS=1-9528
OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.12&CDS=1-1041, augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-NODE_4_length_747051_cov_106.202_ID_3507-processed-gene-5.107&CDS=1-1038, augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-NODE_6_length_487625_cov_118.973_ID_12440-processed-gene-2.12&CDS=1-1047, genemark-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.131-mRNA-1_1&gene=genemark-NODE_7_length_434895_cov_99.951_ID_2823-processed-gene-3.131&CDS=1-981
OG0000009	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.66-mRNA-1_1&gene=augustus_masked-NODE_1_length_1126442_cov_101.118_ID_7379-processed-gene-10.66&CDS=1-2655, augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-NODE_3_length_795162_cov_96.8679_ID_4511-processed-gene-3.41&CDS=1-2175, maker-NODE_1_length_1126442_cov_101.118_ID_7379-augustus-gene-3.1-mRNA-1_1&gene=maker-NODE_1_length_1126442_cov_101.118_ID_7379-augustus-gene-3.1&CDS=1-3882, snap_masked-NODE_40_length_70818_cov_124.625_ID_5579-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_40_length_70818_cov_124.625_ID_5579-processed-gene-0.49&CDS=1-2502
