	Saccharomyces_cerevisiae	Schizosaccharomyces_pombe
OG0000000	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	SPAC13D1.01c_pep, SPAC167.08_pep, SPAC19D5.09c_pep, SPAC26A3.13c_pep, SPAC27E2.08_pep, SPAC2E1P3.03c_pep, SPAC9.04_pep, SPAPB15E9.03c_pep, SPBC1289.17_pep, SPBC1E8.04_pep, SPBC9B6.02c_pep, SPCC1020.14_pep, SPCC1494.11c_pep
OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	
OG0000002	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	SPBC21H7.03c_pep, SPBC428.03c_pep, SPBP4G3.02_pep
OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	SPBC1683.07_pep
OG0000004	YDR144C, YIL015W, YIR039C, YLR120C, YLR121C, YPL154C	SPAC26A3.01_pep, SPCC1795.09_pep
OG0000005	YKR039W	SPAC1039.09_pep, SPAC869.11_pep, SPAP7G5.06_pep, SPBC359.01_pep, SPBC359.03c_pep, SPBC460.01c_pep, SPBPB2B2.01_pep
OG0000006	YLR155C, YLR157C, YLR158C, YLR160C	SPAC186.03_pep, SPAC977.12_pep, SPBPB21E7.09_pep, SPBPB8B6.05c_pep
OG0000007		SPAC1F8.01_pep, SPBC1348.14c_pep, SPBC1683.08_pep, SPBC4B4.08_pep, SPCC1235.13_pep, SPCC1235.14_pep, SPCC548.06c_pep, SPCC548.07c_pep
OG0000008	YIL130W, YJL206C	SPAC1486.10_pep, SPAC3C7.04_pep, SPBC16G5.16_pep, SPBC530.08_pep, SPCC417.09c_pep
OG0000009	YJL183W	SPAC22E12.06c_pep, SPAC5H10.11_pep, SPAC5H10.13c_pep, SPBC1289.13c_pep, SPBC8D2.17_pep, SPCC736.04c_pep
OG0000010	YMR006C, YMR008C, YOL011W	SPAC1A6.03c_pep, SPAC977.09c_pep, SPBC1348.10c_pep, SPCC1450.09c_pep
OG0000011	YCL067C, YCR039C, YCR096C, YGL096W, YPL177C	SPMTR.02_pep
OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W	SPBC4F6.09_pep
OG0000013	YDR533C, YMR322C, YOR391C, YPL280W	SPAC5H10.02c_pep, SPCC757.03c_pep
OG0000014	YKL220C, YLL051C, YLR214W, YNR060W, YOR381W, YOR384W	
OG0000015	YBL005W, YER184C, YGL013C	SPAC2H10.01_pep, SPBC1773.12_pep
OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	SPBC16C6.06_pep
OG0000017	YBR009C, YNL030W	SPAC1834.03c_pep, SPBC1105.12_pep, SPBC8D2.03c_pep
OG0000018	YBR010W, YNL031C	SPAC1834.04_pep, SPBC1105.11c_pep, SPBC8D2.04_pep
OG0000019	YBR118W, YPR080W	SPAC23A1.10_pep, SPBC839.15c_pep, SPCC794.09c_pep
OG0000020	YBR145W, YMR083W, YMR303C, YOL086C	SPCC13B11.01_pep
OG0000021	YBR240C, YDR034C, YML099C	SPAC821.07c_pep, SPBC15D4.02_pep
OG0000022	YDL244W, YFL058W, YJR156C, YNL332W	SPCC1223.02_pep
OG0000023	YDR541C, YGL039W, YGL157W, YOL151W	SPAC513.07_pep
OG0000024	YFR031C-A, YIL018W	SPAC1F7.13c_pep, SPBC2F12.07c_pep, SPBC839.04_pep
OG0000025	YGL258W, YOR387C	SPAC977.05c_pep, SPBC1348.06c_pep, SPBPB2B2.15_pep
OG0000026	YGR087C, YLR044C, YLR134W	SPAC13A11.06_pep, SPAC3G9.11c_pep
OG0000027	YHR203C, YJR145C	SPAC959.07_pep, SPBC19F8.08_pep, SPBC21B10.10_pep
OG0000028	YIL133C, YNL069C	SPAC23A1.11_pep, SPBC2G2.05_pep, SPBC839.13c_pep
OG0000029	YKL071W	SPCC24B10.20_pep, SPCC663.06c_pep, SPCC663.08c_pep, SPCC663.09c_pep
OG0000030	YLL028W	SPBC36.01c_pep, SPBC36.02c_pep, SPBC36.03c_pep, SPBC530.15c_pep
OG0000031	YLR098C, YOR337W	SPAC11D3.11c_pep, SPCC757.04_pep, SPCC777.02_pep
OG0000032	YML123C	SPAC23D3.12_pep, SPBC1683.01_pep, SPBC8E4.01c_pep, SPCC2H8.02_pep
OG0000033	YPL092W	SPBPB10D8.04c_pep, SPBPB10D8.05c_pep, SPBPB10D8.06c_pep, SPBPB10D8.07c_pep
OG0000034	YAL019W	SPAC20G8.08c_pep, SPAC25A8.01c_pep, SPCC1235.05c_pep
