	Debaryomyces_hansenii	Saccharomyces_cerevisiae
OG0000000	augustus_masked-Deha2C-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-0.11&CDS=1-2187, augustus_masked-Deha2C-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-0.24&CDS=1-2307, augustus_masked-Deha2C-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-0.29&CDS=1-2694, augustus_masked-Deha2C-processed-gene-13.72-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-13.72&CDS=1-2502, augustus_masked-Deha2E-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-0.74&CDS=1-2133, augustus_masked-Deha2E-processed-gene-10.141-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-10.141&CDS=1-6543, augustus_masked-Deha2E-processed-gene-19.76-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-19.76&CDS=1-2766, augustus_masked-Deha2F-processed-gene-22.76-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.76&CDS=1-2778, genemark-Deha2C-processed-gene-13.41-mRNA-1_1&gene=genemark-Deha2C-processed-gene-13.41&CDS=1-2193, maker-Deha2B-snap-gene-9.56-mRNA-1_1&gene=maker-Deha2B-snap-gene-9.56&CDS=1-8763, maker-Deha2C-augustus-gene-1.52-mRNA-1_1&gene=maker-Deha2C-augustus-gene-1.52&CDS=1-2439, snap_masked-Deha2D-processed-gene-10.91-mRNA-1_1&gene=snap_masked-Deha2D-processed-gene-10.91&CDS=1-2274, snap_masked-Deha2D-processed-gene-15.27-mRNA-1_1&gene=snap_masked-Deha2D-processed-gene-15.27&CDS=1-1788, snap_masked-Deha2D-processed-gene-9.109-mRNA-1_1&gene=snap_masked-Deha2D-processed-gene-9.109&CDS=1-2706, snap_masked-Deha2F-processed-gene-22.39-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-22.39&CDS=1-2790	YLR256W
OG0000001	augustus_masked-Deha2B-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-3.57&CDS=1-2715, augustus_masked-Deha2B-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-4.70&CDS=1-3387, augustus_masked-Deha2B-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-4.75&CDS=1-2550, augustus_masked-Deha2F-processed-gene-12.73-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-12.73&CDS=1-2181, augustus_masked-Deha2F-processed-gene-22.71-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.71&CDS=1-1812, augustus_masked-Deha2G-processed-gene-13.72-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-13.72&CDS=1-2406, genemark-Deha2E-processed-gene-1.39-mRNA-1_1&gene=genemark-Deha2E-processed-gene-1.39&CDS=1-2430, maker-Deha2F-augustus-gene-1.47-mRNA-1_1&gene=maker-Deha2F-augustus-gene-1.47&CDS=1-4923	YJR061W, YJR062C, YKL201C
OG0000002	augustus_masked-Deha2B-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-2.124&CDS=1-2130, augustus_masked-Deha2C-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-5.95&CDS=1-2256, snap_masked-Deha2C-processed-gene-5.152-mRNA-1_1&gene=snap_masked-Deha2C-processed-gene-5.152&CDS=1-2436, snap_masked-Deha2C-processed-gene-5.153-mRNA-1_1&gene=snap_masked-Deha2C-processed-gene-5.153&CDS=1-2235	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000003	augustus_masked-Deha2D-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-4.76&CDS=1-1470, augustus_masked-Deha2F-processed-gene-19.101-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-19.101&CDS=1-285, snap_masked-Deha2B-processed-gene-7.150-mRNA-1_1&gene=snap_masked-Deha2B-processed-gene-7.150&CDS=1-564, snap_masked-Deha2C-processed-gene-5.124-mRNA-1_1&gene=snap_masked-Deha2C-processed-gene-5.124&CDS=1-882, snap_masked-Deha2C-processed-gene-6.92-mRNA-1_1&gene=snap_masked-Deha2C-processed-gene-6.92&CDS=1-660	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000004	augustus_masked-Deha2B-processed-gene-12.27-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-12.27&CDS=1-1728, augustus_masked-Deha2C-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-4.23&CDS=1-1662, augustus_masked-Deha2D-processed-gene-15.94-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-15.94&CDS=1-1734	YDR342C, YDR343C, YDR345C, YHR092C, YHR096C, YLR081W
OG0000005	augustus_masked-Deha2A-processed-gene-11.95-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.95&CDS=1-1704	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000006	augustus_masked-Deha2B-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.115&CDS=1-1113, augustus_masked-Deha2B-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.116&CDS=1-1116, augustus_masked-Deha2B-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.117&CDS=1-1110, augustus_masked-Deha2B-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.139&CDS=1-348, genemark-Deha2F-processed-gene-12.164-mRNA-1_1&gene=genemark-Deha2F-processed-gene-12.164&CDS=1-1095	YCR102C, YLR460C, YNL134C
OG0000007	augustus_masked-Deha2E-processed-gene-12.7-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.7&CDS=1-2082, augustus_masked-Deha2G-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.8&CDS=1-1575, genemark-Deha2A-processed-gene-11.224-mRNA-1_1&gene=genemark-Deha2A-processed-gene-11.224&CDS=1-1512, maker-Deha2A-snap-gene-11.157-mRNA-1_1&gene=maker-Deha2A-snap-gene-11.157&CDS=1-636, maker-Deha2G-snap-gene-19.252-mRNA-1_1&gene=maker-Deha2G-snap-gene-19.252&CDS=1-840, snap_masked-Deha2B-processed-gene-11.25-mRNA-1_1&gene=snap_masked-Deha2B-processed-gene-11.25&CDS=1-1311	YDL035C
OG0000008	augustus_masked-Deha2B-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.21&CDS=1-3183	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000009	augustus_masked-Deha2C-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-2.136&CDS=1-1572, augustus_masked-Deha2E-processed-gene-15.50-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-15.50&CDS=1-1575, augustus_masked-Deha2E-processed-gene-15.51-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-15.51&CDS=1-7344, genemark-Deha2C-processed-gene-1.31-mRNA-1_1&gene=genemark-Deha2C-processed-gene-1.31&CDS=1-1416, genemark-Deha2E-processed-gene-15.14-mRNA-1_1&gene=genemark-Deha2E-processed-gene-15.14&CDS=1-1587	YDR402C, YJL039C
