	Nakaseomyces_nivariensis	Saccharomyces_cerevisiae
OG0000000	maker-CANI0S02-snap-gene-4.0-mRNA-1_1&gene=maker-CANI0S02-snap-gene-4.0&CDS=1-1533	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
OG0000001	augustus_masked-CANI0S01-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-CANI0S01-processed-gene-0.0&CDS=1-1347, augustus_masked-CANI0S02-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-0.62&CDS=1-2313, augustus_masked-CANI0S08-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-CANI0S08-processed-gene-2.21&CDS=1-873, augustus_masked-CANI0S13-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-CANI0S13-processed-gene-0.0&CDS=1-1947, augustus_masked-CANI0S14-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-CANI0S14-processed-gene-0.1&CDS=1-1056, augustus_masked-CANI0S15-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-CANI0S15-processed-gene-1.46&CDS=1-1620, augustus_masked-CANI0S18-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-CANI0S18-processed-gene-0.43&CDS=1-1866, augustus_masked-CANI0S19-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-9.142&CDS=1-2199, snap_masked-CANI0S02-processed-gene-5.83-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.83&CDS=1-2160, snap_masked-CANI0S06-processed-gene-0.21-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-0.21&CDS=1-1440, snap_masked-CANI0S08-processed-gene-2.163-mRNA-1_1&gene=snap_masked-CANI0S08-processed-gene-2.163&CDS=1-1860, snap_masked-CANI0S15-processed-gene-1.90-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-1.90&CDS=1-1878, snap_masked-CANI0S16-processed-gene-4.38-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-4.38&CDS=1-1119	
OG0000002	maker-CANI0S07-snap-gene-0.77-mRNA-1_1&gene=maker-CANI0S07-snap-gene-0.77&CDS=1-3357, maker-CANI0S07-snap-gene-3.101-mRNA-1_1&gene=maker-CANI0S07-snap-gene-3.101&CDS=1-5055, snap_masked-CANI0S19-processed-gene-1.121-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-1.121&CDS=1-1695, snap_masked-CANI0S25-processed-gene-1.137-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-1.137&CDS=1-1668, snap_masked-CANI0S25-processed-gene-4.44-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-4.44&CDS=1-1665, snap_masked-CANI0S28-processed-gene-5.84-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-5.84&CDS=1-1692	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W
OG0000003		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000004	snap_masked-CANI0S04-processed-gene-3.107-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.107&CDS=1-1971, snap_masked-CANI0S15-processed-gene-2.37-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-2.37&CDS=1-1998, snap_masked-CANI0S16-processed-gene-4.15-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-4.15&CDS=1-1920	YAL005C, YBL075C, YER103W, YJL034W, YLL024C
OG0000005	snap_masked-CANI0S02-processed-gene-5.70-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.70&CDS=1-1869, snap_masked-CANI0S07-processed-gene-6.23-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-6.23&CDS=1-1980, snap_masked-CANI0S20-processed-gene-4.106-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-4.106&CDS=1-1902, snap_masked-CANI0S20-processed-gene-6.135-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-6.135&CDS=1-1782	YBR068C, YCL025C, YDR046C
OG0000006	augustus_masked-CANI0S04-processed-gene-11.84-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-11.84&CDS=1-1074, snap_masked-CANI0S18-processed-gene-3.4-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-3.4&CDS=1-1386, snap_masked-CANI0S20-processed-gene-2.113-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-2.113&CDS=1-1248, snap_masked-CANI0S29-processed-gene-0.7-mRNA-1_1&gene=snap_masked-CANI0S29-processed-gene-0.7&CDS=1-1113	YJL116C, YKR042W, YNL066W
OG0000007	augustus_masked-CANI0S06-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-CANI0S06-processed-gene-2.45&CDS=1-2025, snap_masked-CANI0S19-processed-gene-3.10-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-3.10&CDS=1-936, snap_masked-CANI0S19-processed-gene-9.3-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-9.3&CDS=1-1833, snap_masked-CANI0S25-processed-gene-3.19-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-3.19&CDS=1-1629	YER133W, YML016C, YPL179W
OG0000008	snap_masked-CANI0S09-processed-gene-7.106-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-7.106&CDS=1-1032, snap_masked-CANI0S15-processed-gene-3.74-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-3.74&CDS=1-1047, snap_masked-CANI0S16-processed-gene-2.2-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-2.2&CDS=1-1023	YDR541C, YGL039W, YGL157W, YOL151W
OG0000009	snap_masked-CANI0S04-processed-gene-5.91-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-5.91&CDS=1-741, snap_masked-CANI0S07-processed-gene-1.121-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-1.121&CDS=1-741, snap_masked-CANI0S09-processed-gene-2.42-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-2.42&CDS=1-747, snap_masked-CANI0S20-processed-gene-1.106-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.106&CDS=1-741	YER062C, YIL053W
OG0000010	snap_masked-CANI0S04-processed-gene-5.121-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-5.121&CDS=1-1887, snap_masked-CANI0S07-processed-gene-2.120-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-2.120&CDS=1-2073, snap_masked-CANI0S09-processed-gene-8.116-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.116&CDS=1-3117, snap_masked-CANI0S17-processed-gene-7.121-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-7.121&CDS=1-2808	YBR059C, YIL095W
OG0000011	augustus_masked-CANI0S09-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-CANI0S09-processed-gene-2.91&CDS=1-1605, snap_masked-CANI0S04-processed-gene-8.12-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-8.12&CDS=1-1593, snap_masked-CANI0S19-processed-gene-4.102-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-4.102&CDS=1-1575	YER056C, YER060W, YER060W-A
OG0000012	augustus_masked-CANI0S17-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-CANI0S17-processed-gene-2.5&CDS=1-1905, snap_masked-CANI0S07-processed-gene-5.117-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-5.117&CDS=1-1695, snap_masked-CANI0S22-processed-gene-2.10-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-2.10&CDS=1-1692	YDL080C, YLR044C, YLR134W
