	Hanseniaspora_vinae	Saccharomyces_cerevisiae
OG0000000	augustus_masked-JFAV02000089.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000089.1-processed-gene-0.0&CDS=1-1401, augustus_masked-JFAV02000133.1-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-JFAV02000133.1-processed-gene-0.148&CDS=1-2088, augustus_masked-JFAV02000227.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000227.1-processed-gene-0.24&CDS=1-2187, augustus_masked-JFAV02000227.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000227.1-processed-gene-0.25&CDS=1-2166, augustus_masked-JFAV02000227.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000227.1-processed-gene-0.26&CDS=1-2142, genemark-JFAV02000089.1-processed-gene-0.5-mRNA-1_1&gene=genemark-JFAV02000089.1-processed-gene-0.5&CDS=1-642, snap_masked-JFAV02000227.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-JFAV02000227.1-processed-gene-0.10&CDS=1-2187	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000001	augustus_masked-JFAV02000108.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.19&CDS=1-846, augustus_masked-JFAV02000108.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000108.1-processed-gene-0.20&CDS=1-1788, augustus_masked-JFAV02000133.1-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-JFAV02000133.1-processed-gene-0.122&CDS=1-1821, augustus_masked-JFAV02000133.1-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-JFAV02000133.1-processed-gene-0.123&CDS=1-8949, augustus_masked-JFAV02000279.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000279.1-processed-gene-0.28&CDS=1-1782, augustus_masked-JFAV02000291.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.12&CDS=1-1635, maker-JFAV02000108.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000108.1-snap-gene-0.0&CDS=1-3489	YCL025C, YDR508C, YGR191W, YKR039W
OG0000002	augustus_masked-JFAV02000294.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000294.1-processed-gene-0.30&CDS=1-4893, maker-JFAV02000144.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000144.1-snap-gene-0.0&CDS=1-6495, maker-JFAV02000203.1-snap-gene-0.154-mRNA-1_1&gene=maker-JFAV02000203.1-snap-gene-0.154&CDS=1-3870, maker-JFAV02000301.1-snap-gene-0.19-mRNA-1_1&gene=maker-JFAV02000301.1-snap-gene-0.19&CDS=1-2625, snap_masked-JFAV02000256.1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-JFAV02000256.1-processed-gene-1.86&CDS=1-4380	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000003	augustus_masked-JFAV02000080.1-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.144&CDS=1-1560, augustus_masked-JFAV02000080.1-processed-gene-0.184-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.184&CDS=1-1512, augustus_masked-JFAV02000082.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000082.1-processed-gene-0.2&CDS=1-1605, augustus_masked-JFAV02000192.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000192.1-processed-gene-0.26&CDS=1-1575	YER073W, YMR169C, YMR170C, YOR374W, YPL061W
OG0000004	augustus_masked-JFAV02000119.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000119.1-processed-gene-0.7&CDS=1-1695, augustus_masked-JFAV02000291.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.34&CDS=1-1548, maker-JFAV02000256.1-augustus-gene-1.65-mRNA-1_1&gene=maker-JFAV02000256.1-augustus-gene-1.65&CDS=1-3378, snap_masked-JFAV02000109.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-JFAV02000109.1-processed-gene-0.26&CDS=1-1584	YDR342C, YDR343C, YDR345C, YHR092C, YNL318C
OG0000005	augustus_masked-JFAV02000041.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000041.1-processed-gene-0.0&CDS=1-1614, augustus_masked-JFAV02000041.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000041.1-processed-gene-0.1&CDS=1-1260, augustus_masked-JFAV02000155.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000155.1-processed-gene-0.30&CDS=1-3447, snap_masked-JFAV02000107.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-JFAV02000107.1-processed-gene-0.11&CDS=1-3234, snap_masked-JFAV02000155.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-JFAV02000155.1-processed-gene-0.51&CDS=1-3243	YKL222C, YOR162C, YOR172W
OG0000006	augustus_masked-JFAV02000104.1-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.141&CDS=1-3864, augustus_masked-JFAV02000104.1-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.143&CDS=1-1041, augustus_masked-JFAV02000155.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000155.1-processed-gene-0.26&CDS=1-1035, maker-JFAV02000104.1-augustus-gene-1.106-mRNA-1_1&gene=maker-JFAV02000104.1-augustus-gene-1.106&CDS=1-2985	YDR541C, YGL039W, YGL157W, YOL151W
OG0000007	augustus_masked-JFAV02000201.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000201.1-processed-gene-0.15&CDS=1-2301, augustus_masked-JFAV02000219.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-JFAV02000219.1-processed-gene-0.29&CDS=1-5259, maker-JFAV02000296.1-augustus-gene-0.16-mRNA-1_1&gene=maker-JFAV02000296.1-augustus-gene-0.16&CDS=1-3426, snap_masked-JFAV02000104.1-processed-gene-1.31-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.31&CDS=1-3468	YER013W, YGL120C, YKR086W, YNR011C
OG0000008	augustus_masked-JFAV02000115.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000115.1-processed-gene-0.8&CDS=1-1182, augustus_masked-JFAV02000126.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-JFAV02000126.1-processed-gene-0.57&CDS=1-1188, augustus_masked-JFAV02000151.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000151.1-processed-gene-0.47&CDS=1-1185, augustus_masked-JFAV02000293.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-0.96&CDS=1-1188, augustus_masked-JFAV02000293.1-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-0.97&CDS=1-1188, genemark-JFAV02000212.1-processed-gene-0.4-mRNA-1_1&gene=genemark-JFAV02000212.1-processed-gene-0.4&CDS=1-1200	YHR179W, YPL171C
OG0000009	augustus_masked-JFAV02000267.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-JFAV02000267.1-processed-gene-0.68&CDS=1-2202, augustus_masked-JFAV02000267.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000267.1-processed-gene-0.93&CDS=1-2049, maker-JFAV02000091.1-snap-gene-0.18-mRNA-1_1&gene=maker-JFAV02000091.1-snap-gene-0.18&CDS=1-1911, maker-JFAV02000272.1-snap-gene-0.129-mRNA-1_1&gene=maker-JFAV02000272.1-snap-gene-0.129&CDS=1-2172	YDR144C, YLR120C, YLR121C
OG0000010	augustus_masked-JFAV02000128.1-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-JFAV02000128.1-processed-gene-0.149&CDS=1-1377, augustus_masked-JFAV02000263.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000263.1-processed-gene-0.0&CDS=1-2172, augustus_masked-JFAV02000282.1-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.169&CDS=1-1653	YHL028W, YNL283C, YOL105C, YOR008C
OG0000011	augustus_masked-JFAV02000210.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000210.1-processed-gene-0.63&CDS=1-2538, augustus_masked-JFAV02000249.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000249.1-processed-gene-0.2&CDS=1-3711, snap_masked-JFAV02000303.1-processed-gene-0.177-mRNA-1_1&gene=snap_masked-JFAV02000303.1-processed-gene-0.177&CDS=1-1386	YBR059C, YIL095W, YNL020C, YPL236C
OG0000012	augustus_masked-JFAV02000231.1-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-JFAV02000231.1-processed-gene-0.50&CDS=1-2211, augustus_masked-JFAV02000293.1-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-1.20&CDS=1-3063, snap_masked-JFAV02000242.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-JFAV02000242.1-processed-gene-0.3&CDS=1-3183	YER040W, YFL021W, YJL110C, YKR034W
OG0000013	augustus_masked-JFAV02000053.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000053.1-processed-gene-0.0&CDS=1-1437, augustus_masked-JFAV02000152.1-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-1.61&CDS=1-4659, augustus_masked-JFAV02000193.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000193.1-processed-gene-0.14&CDS=1-2406, augustus_masked-JFAV02000262.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000262.1-processed-gene-0.27&CDS=1-4740	YOR153W, YPL058C
OG0000014	maker-JFAV02000063.1-snap-gene-0.1-mRNA-1_1&gene=maker-JFAV02000063.1-snap-gene-0.1&CDS=1-240, maker-JFAV02000063.1-snap-gene-0.3-mRNA-1_1&gene=maker-JFAV02000063.1-snap-gene-0.3&CDS=1-888	Q0105, Q0110, Q0115, Q0120
OG0000015	augustus_masked-JFAV02000090.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000090.1-processed-gene-0.6&CDS=1-1842, augustus_masked-JFAV02000265.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-JFAV02000265.1-processed-gene-0.79&CDS=1-1932, augustus_masked-JFAV02000291.1-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-1.34&CDS=1-2082	YAL005C, YDL229W, YJL034W
OG0000016	augustus_masked-JFAV02000126.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-JFAV02000126.1-processed-gene-0.67&CDS=1-1056, augustus_masked-JFAV02000218.1-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-JFAV02000218.1-processed-gene-0.144&CDS=1-1056, augustus_masked-JFAV02000293.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-JFAV02000293.1-processed-gene-0.89&CDS=1-1266, genemark-JFAV02000176.1-processed-gene-0.100-mRNA-1_1&gene=genemark-JFAV02000176.1-processed-gene-0.100&CDS=1-1122	YMR303C, YOL086C
OG0000017	augustus_masked-JFAV02000303.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000303.1-processed-gene-0.63&CDS=1-1473, snap_masked-JFAV02000142.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-JFAV02000142.1-processed-gene-0.21&CDS=1-849	YIR013C, YLR013W, YMR136W, YPL021W
OG0000018	augustus_masked-JFAV02000147.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-JFAV02000147.1-processed-gene-0.82&CDS=1-1413, augustus_masked-JFAV02000176.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.6&CDS=1-1785, augustus_masked-JFAV02000291.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-0.28&CDS=1-1707	YHR050W, YLR034C, YOL122C
OG0000019	maker-JFAV02000206.1-snap-gene-0.1-mRNA-1_1&gene=maker-JFAV02000206.1-snap-gene-0.1&CDS=1-1461, maker-JFAV02000218.1-augustus-gene-0.123-mRNA-1_1&gene=maker-JFAV02000218.1-augustus-gene-0.123&CDS=1-1137	YIL123W, YJL116C, YKR042W, YNL066W
OG0000020	augustus_masked-JFAV02000042.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000042.1-processed-gene-0.1&CDS=1-966, augustus_masked-JFAV02000261.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000261.1-processed-gene-0.47&CDS=1-2064, snap_masked-JFAV02000152.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-JFAV02000152.1-processed-gene-1.119&CDS=1-1422	YDL037C, YIR019C
OG0000021	snap_masked-JFAV02000059.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-JFAV02000059.1-processed-gene-0.2&CDS=1-1002	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000022	augustus_masked-JFAV02000209.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000209.1-processed-gene-0.1&CDS=1-1005, maker-JFAV02000080.1-snap-gene-0.2-mRNA-1_1&gene=maker-JFAV02000080.1-snap-gene-0.2&CDS=1-1254, maker-JFAV02000080.1-snap-gene-0.3-mRNA-1_1&gene=maker-JFAV02000080.1-snap-gene-0.3&CDS=1-915	YER185W, YGR213C
OG0000023	snap_masked-JFAV02000103.1-processed-gene-0.127-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.127&CDS=1-3231	YBR297W, YFL052W, YGR288W, YPR196W
OG0000024	augustus_masked-JFAV02000104.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.63&CDS=1-1497, augustus_masked-JFAV02000104.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.64&CDS=1-1593, snap_masked-JFAV02000104.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-0.27&CDS=1-3006, snap_masked-JFAV02000275.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-JFAV02000275.1-processed-gene-0.8&CDS=1-1446	YGR212W
OG0000025	augustus_masked-JFAV02000256.1-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-JFAV02000256.1-processed-gene-1.173&CDS=1-3867, snap_masked-JFAV02000113.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-JFAV02000113.1-processed-gene-0.6&CDS=1-2796	YDR303C, YHR054C, YHR056C
OG0000026	augustus_masked-JFAV02000122.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000122.1-processed-gene-0.16&CDS=1-588, augustus_masked-JFAV02000181.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000181.1-processed-gene-0.14&CDS=1-546	YDR178W, YLR164W, YOR297C
OG0000027	augustus_masked-JFAV02000256.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-JFAV02000256.1-processed-gene-0.99&CDS=1-2001, snap_masked-JFAV02000133.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-JFAV02000133.1-processed-gene-0.58&CDS=1-5388	YCL024W, YDR477W, YDR507C
OG0000028	augustus_masked-JFAV02000136.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000136.1-processed-gene-0.2&CDS=1-1215, augustus_masked-JFAV02000143.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000143.1-processed-gene-0.28&CDS=1-1578	YJL139C, YKR061W, YOR099W
OG0000029	snap_masked-JFAV02000145.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-JFAV02000145.1-processed-gene-0.16&CDS=1-2145, snap_masked-JFAV02000145.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-JFAV02000145.1-processed-gene-0.20&CDS=1-2061, snap_masked-JFAV02000145.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-JFAV02000145.1-processed-gene-0.21&CDS=1-1824, snap_masked-JFAV02000267.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-JFAV02000267.1-processed-gene-0.14&CDS=1-1638	YJL163C
OG0000030	augustus_masked-JFAV02000152.1-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-1.26&CDS=1-2049, augustus_masked-JFAV02000268.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000268.1-processed-gene-0.15&CDS=1-3030, augustus_masked-JFAV02000284.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-JFAV02000284.1-processed-gene-0.81&CDS=1-1317	YPL074W, YPR173C
OG0000031	augustus_masked-JFAV02000165.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-JFAV02000165.1-processed-gene-0.40&CDS=1-1632, augustus_masked-JFAV02000291.1-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-2.166&CDS=1-1674	YER056C, YER060W, YER060W-A
OG0000032	augustus_masked-JFAV02000177.1-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-JFAV02000177.1-processed-gene-0.128&CDS=1-3072, augustus_masked-JFAV02000296.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000296.1-processed-gene-0.8&CDS=1-3072	YCR037C, YJL198W, YNR013C
OG0000033	augustus_masked-JFAV02000219.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000219.1-processed-gene-0.1&CDS=1-3567, augustus_masked-JFAV02000301.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000301.1-processed-gene-0.4&CDS=1-1344	YAR019C, YFR014C, YOL016C
OG0000034	augustus_masked-JFAV02000241.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000241.1-processed-gene-0.27&CDS=1-3231, maker-JFAV02000294.1-snap-gene-0.90-mRNA-1_1&gene=maker-JFAV02000294.1-snap-gene-0.90&CDS=1-3648	YFR040W, YJL098W, YKR028W
OG0000035	augustus_masked-JFAV02000260.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000260.1-processed-gene-0.15&CDS=1-945, augustus_masked-JFAV02000290.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000290.1-processed-gene-0.0&CDS=1-210, augustus_masked-JFAV02000290.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000290.1-processed-gene-0.1&CDS=1-1728, maker-JFAV02000260.1-augustus-gene-0.34-mRNA-1_1&gene=maker-JFAV02000260.1-augustus-gene-0.34&CDS=1-3441	YCR098C
OG0000036	augustus_masked-JFAV02000265.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-JFAV02000265.1-processed-gene-0.76&CDS=1-4917	YBL017C, YIL173W, YJL222W, YNR065C
OG0000037	augustus_masked-JFAV02000012.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000012.1-processed-gene-0.0&CDS=1-507, augustus_masked-JFAV02000145.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000145.1-processed-gene-0.12&CDS=1-507, snap_masked-JFAV02000147.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-JFAV02000147.1-processed-gene-0.18&CDS=1-4308	YMR129W
OG0000038	augustus_masked-JFAV02000013.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000013.1-processed-gene-0.0&CDS=1-384, maker-JFAV02000245.1-augustus-gene-0.6-mRNA-1_1&gene=maker-JFAV02000245.1-augustus-gene-0.6&CDS=1-2511	YMR253C, YPL264C
OG0000039	augustus_masked-JFAV02000032.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000032.1-processed-gene-0.0&CDS=1-243, augustus_masked-JFAV02000152.1-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-JFAV02000152.1-processed-gene-1.36&CDS=1-3246	YBR172C, YPL105C
OG0000040	augustus_masked-JFAV02000058.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000058.1-processed-gene-0.1&CDS=1-171, augustus_masked-JFAV02000170.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000170.1-processed-gene-0.93&CDS=1-423	YGR008C, YLR327C
OG0000041	augustus_masked-JFAV02000068.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-JFAV02000068.1-processed-gene-0.44&CDS=1-309, augustus_masked-JFAV02000211.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000211.1-processed-gene-0.1&CDS=1-309	YBR009C, YNL030W
OG0000042	augustus_masked-JFAV02000078.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-JFAV02000078.1-processed-gene-0.2&CDS=1-522, augustus_masked-JFAV02000078.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000078.1-processed-gene-0.3&CDS=1-1326, augustus_masked-JFAV02000299.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000299.1-processed-gene-0.8&CDS=1-2016	YBL042C
OG0000043	augustus_masked-JFAV02000080.1-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-JFAV02000080.1-processed-gene-0.194&CDS=1-2871, snap_masked-JFAV02000113.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-JFAV02000113.1-processed-gene-0.10&CDS=1-2073	YDL095W, YDR307W
OG0000044	augustus_masked-JFAV02000081.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000081.1-processed-gene-0.12&CDS=1-1980, augustus_masked-JFAV02000299.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000299.1-processed-gene-0.25&CDS=1-1959	YFL041W, YMR058W
OG0000045	augustus_masked-JFAV02000084.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000084.1-processed-gene-0.0&CDS=1-1854	YLR237W, YOR071C, YOR192C
