	Candida_parapsilosis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-Contig006110-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-Contig006110-processed-gene-0.1&CDS=1-4428, maker-Contig005504-snap-gene-2.67-mRNA-1_1&gene=maker-Contig005504-snap-gene-2.67&CDS=1-9663, maker-Contig006372-snap-gene-12.0-mRNA-1_1&gene=maker-Contig006372-snap-gene-12.0&CDS=1-8877, snap_masked-Contig005504-processed-gene-7.252-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.252&CDS=1-4497, snap_masked-Contig005806-processed-gene-0.0-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-0.0&CDS=1-4488, snap_masked-Contig005806-processed-gene-9.173-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-9.173&CDS=1-4494, snap_masked-Contig006372-processed-gene-8.48-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.48&CDS=1-4560	YDR011W, YNR070W, YOR153W
OG0000001	snap_masked-Contig005504-processed-gene-4.76-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.76&CDS=1-1857, snap_masked-Contig005504-processed-gene-4.77-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.77&CDS=1-1836, snap_masked-Contig005504-processed-gene-4.78-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.78&CDS=1-1824, snap_masked-Contig005807-processed-gene-10.65-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-10.65&CDS=1-2172, snap_masked-Contig005807-processed-gene-19.247-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-19.247&CDS=1-3543, snap_masked-Contig006139-processed-gene-4.66-mRNA-1_1&gene=snap_masked-Contig006139-processed-gene-4.66&CDS=1-2199	YMR006C, YMR008C, YNL012W, YOL011W
OG0000002	augustus_masked-Contig005809-processed-gene-21.21-mRNA-1_1&gene=augustus_masked-Contig005809-processed-gene-21.21&CDS=1-2139, maker-Contig005807-snap-gene-18.5-mRNA-1_1&gene=maker-Contig005807-snap-gene-18.5&CDS=1-4326, snap_masked-Contig005809-processed-gene-21.64-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-21.64&CDS=1-2238, snap_masked-Contig005809-processed-gene-21.66-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-21.66&CDS=1-2271, snap_masked-Contig006372-processed-gene-4.0-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-4.0&CDS=1-2133	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000003	snap_masked-Contig005809-processed-gene-21.67-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-21.67&CDS=1-1665, snap_masked-Contig005809-processed-gene-27.42-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-27.42&CDS=1-1716, snap_masked-Contig005809-processed-gene-27.43-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-27.43&CDS=1-1674	YDR342C, YDR343C, YDR345C, YFL011W, YHR094C, YHR096C, YMR011W
OG0000004	snap_masked-Contig005569-processed-gene-21.6-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.6&CDS=1-1752, snap_masked-Contig006372-processed-gene-1.102-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.102&CDS=1-1752	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000005	augustus_masked-Contig005806-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-1.14&CDS=1-1716, augustus_masked-Contig005806-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-1.34&CDS=1-1857, augustus_masked-Contig006139-processed-gene-8.272-mRNA-1_1&gene=augustus_masked-Contig006139-processed-gene-8.272&CDS=1-1542, maker-Contig005806-snap-gene-1.83-mRNA-1_1&gene=maker-Contig005806-snap-gene-1.83&CDS=1-3453, snap_masked-Contig005806-processed-gene-1.46-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-1.46&CDS=1-1860, snap_masked-Contig005806-processed-gene-1.50-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-1.50&CDS=1-1761, snap_masked-Contig005806-processed-gene-1.72-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-1.72&CDS=1-1791	YLL028W
OG0000006	augustus_masked-Contig005569-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-6.96&CDS=1-1833, maker-Contig005569-snap-gene-5.37-mRNA-1_1&gene=maker-Contig005569-snap-gene-5.37&CDS=1-4398, maker-Contig006110-snap-gene-5.138-mRNA-1_1&gene=maker-Contig006110-snap-gene-5.138&CDS=1-3111, snap_masked-Contig005569-processed-gene-6.53-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.53&CDS=1-3561	YDR144C, YLR120C, YLR121C
OG0000007	genemark-Contig005809-processed-gene-17.99-mRNA-1_1&gene=genemark-Contig005809-processed-gene-17.99&CDS=1-1914, maker-Contig005569-snap-gene-14.1-mRNA-1_1&gene=maker-Contig005569-snap-gene-14.1&CDS=1-5373, maker-Contig005809-snap-gene-16.128-mRNA-1_1&gene=maker-Contig005809-snap-gene-16.128&CDS=1-5196, snap_masked-Contig005809-processed-gene-26.66-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-26.66&CDS=1-2325, snap_masked-Contig006139-processed-gene-2.8-mRNA-1_1&gene=snap_masked-Contig006139-processed-gene-2.8&CDS=1-1974	YJR061W, YKL201C
OG0000008	augustus_masked-Contig006139-processed-gene-4.31-mRNA-1_1&gene=augustus_masked-Contig006139-processed-gene-4.31&CDS=1-1878, snap_masked-Contig005806-processed-gene-3.108-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-3.108&CDS=1-1899, snap_masked-Contig005806-processed-gene-4.6-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-4.6&CDS=1-1917	YCL069W, YGR224W, YKR105C, YPR198W
OG0000009	maker-Contig005807-augustus-gene-2.47-mRNA-1_1&gene=maker-Contig005807-augustus-gene-2.47&CDS=1-3828, snap_masked-Contig006372-processed-gene-1.97-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.97&CDS=1-1377	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
