	Saccharomyces_cerevisiae	yHMPu5000034886_Ogataea_trehalophila
OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	augustus_masked-NODE_150_length_1904_cov_216.792_ID_299-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_150_length_1904_cov_216.792_ID_299-processed-gene-0.2&CDS=1-969, augustus_masked-NODE_162_length_1589_cov_379.641_ID_323-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_162_length_1589_cov_379.641_ID_323-processed-gene-0.0&CDS=1-615, augustus_masked-NODE_164_length_1552_cov_379.78_ID_327-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_164_length_1552_cov_379.78_ID_327-processed-gene-0.2&CDS=1-537, augustus_masked-NODE_207_length_839_cov_649.48_ID_413-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_207_length_839_cov_649.48_ID_413-processed-gene-0.2&CDS=1-801
OG0000001	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-0.46&CDS=1-2913, genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.33-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-1.33&CDS=1-2298, genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.190-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-3.190&CDS=1-3294, genemark-NODE_51_length_87043_cov_13.5604_ID_101-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_51_length_87043_cov_13.5604_ID_101-processed-gene-0.73&CDS=1-2298, genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-1.73-mRNA-1_1&gene=genemark-NODE_6_length_344752_cov_12.4815_ID_11-processed-gene-1.73&CDS=1-2805
OG0000002	YBR015C	augustus_masked-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-2.35&CDS=1-1983, genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.137-mRNA-1_1&gene=genemark-NODE_13_length_297526_cov_12.7474_ID_25-processed-gene-1.137&CDS=1-1773, genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_14_length_283870_cov_12.4382_ID_27-processed-gene-0.72&CDS=1-1704, genemark-NODE_27_length_178000_cov_13.0861_ID_53-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_27_length_178000_cov_13.0861_ID_53-processed-gene-0.46&CDS=1-2049, genemark-NODE_44_length_104249_cov_23.1018_ID_87-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_44_length_104249_cov_23.1018_ID_87-processed-gene-0.39&CDS=1-2175, genemark-NODE_65_length_65706_cov_12.8829_ID_129-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_65_length_65706_cov_12.8829_ID_129-processed-gene-0.31&CDS=1-1962, maker-NODE_6_length_344752_cov_12.4815_ID_11-snap-gene-2.73-mRNA-1_1&gene=maker-NODE_6_length_344752_cov_12.4815_ID_11-snap-gene-2.73&CDS=1-3438, snap_masked-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-2.77&CDS=1-2031
OG0000003	YCL024W, YDR477W, YDR507C, YKL101W, YPL150W	genemark-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_53_length_86924_cov_11.76_ID_105-processed-gene-0.46&CDS=1-1818, genemark-NODE_97_length_22961_cov_18.77_ID_193-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_97_length_22961_cov_18.77_ID_193-processed-gene-0.10&CDS=1-2670, snap_masked-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NODE_2_length_488514_cov_13.1886_ID_3-processed-gene-3.80&CDS=1-3840, snap_masked-NODE_96_length_23889_cov_21.4491_ID_191-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_96_length_23889_cov_21.4491_ID_191-processed-gene-0.16&CDS=1-4239
OG0000004	YDL170W, YDR207C	genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_10_length_312712_cov_12.8606_ID_19-processed-gene-0.10&CDS=1-1374, genemark-NODE_73_length_57673_cov_12.9071_ID_145-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_73_length_57673_cov_12.9071_ID_145-processed-gene-0.51&CDS=1-1239, genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_7_length_341278_cov_13.0664_ID_13-processed-gene-0.82&CDS=1-2835, genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.76-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-2.76&CDS=1-1977, maker-NODE_22_length_195135_cov_21.5797_ID_43-snap-gene-0.136-mRNA-1_1&gene=maker-NODE_22_length_195135_cov_21.5797_ID_43-snap-gene-0.136&CDS=1-2148, maker-NODE_49_length_90231_cov_11.5931_ID_97-snap-gene-0.44-mRNA-1_1&gene=maker-NODE_49_length_90231_cov_11.5931_ID_97-snap-gene-0.44&CDS=1-2019, snap_masked-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_1_length_559938_cov_12.5074_ID_1-processed-gene-2.96&CDS=1-1800
OG0000005		augustus_masked-NODE_133_length_2829_cov_36.0622_ID_265-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_133_length_2829_cov_36.0622_ID_265-processed-gene-0.4&CDS=1-555, augustus_masked-NODE_141_length_2238_cov_21.1568_ID_281-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_141_length_2238_cov_21.1568_ID_281-processed-gene-0.4&CDS=1-510, augustus_masked-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_21_length_214908_cov_18.2348_ID_41-processed-gene-1.115&CDS=1-732, augustus_masked-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_23_length_189896_cov_14.9581_ID_45-processed-gene-0.112&CDS=1-708, augustus_masked-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.56&CDS=1-660, snap_masked-NODE_108_length_9530_cov_26.8779_ID_215-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_108_length_9530_cov_26.8779_ID_215-processed-gene-0.7&CDS=1-1071, snap_masked-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-1.134-mRNA-1_1&gene=snap_masked-NODE_17_length_257632_cov_12.7806_ID_33-processed-gene-1.134&CDS=1-246, snap_masked-NODE_75_length_55732_cov_15.4358_ID_149-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_75_length_55732_cov_15.4358_ID_149-processed-gene-0.47&CDS=1-267, snap_masked-NODE_75_length_55732_cov_15.4358_ID_149-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_75_length_55732_cov_15.4358_ID_149-processed-gene-0.48&CDS=1-195
OG0000006	YDR011W, YDR406W, YOR153W, YPL058C	genemark-NODE_19_length_246779_cov_15.2859_ID_37-processed-gene-1.15-mRNA-1_1&gene=genemark-NODE_19_length_246779_cov_15.2859_ID_37-processed-gene-1.15&CDS=1-4494, genemark-NODE_38_length_135383_cov_16.4375_ID_75-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_38_length_135383_cov_16.4375_ID_75-processed-gene-0.77&CDS=1-4665, genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_3_length_487415_cov_12.5697_ID_5-processed-gene-0.54&CDS=1-3939, maker-NODE_15_length_262862_cov_12.7655_ID_29-snap-gene-0.33-mRNA-1_1&gene=maker-NODE_15_length_262862_cov_12.7655_ID_29-snap-gene-0.33&CDS=1-4491
OG0000007	YDR135C, YGR281W, YLL015W	augustus_masked-NODE_75_length_55732_cov_15.4358_ID_149-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_75_length_55732_cov_15.4358_ID_149-processed-gene-0.32&CDS=1-4854, genemark-NODE_22_length_195135_cov_21.5797_ID_43-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_22_length_195135_cov_21.5797_ID_43-processed-gene-0.33&CDS=1-4296, genemark-NODE_22_length_195135_cov_21.5797_ID_43-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_22_length_195135_cov_21.5797_ID_43-processed-gene-0.62&CDS=1-4173, genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-3.71-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-3.71&CDS=1-4659, genemark-NODE_59_length_73137_cov_13.0456_ID_117-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_59_length_73137_cov_13.0456_ID_117-processed-gene-0.31&CDS=1-4077
OG0000008	YFL021W, YJL110C, YKR034W	genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_37_length_147543_cov_13.8681_ID_73-processed-gene-0.106&CDS=1-2568, genemark-NODE_45_length_103179_cov_12.1931_ID_89-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_45_length_103179_cov_12.1931_ID_89-processed-gene-0.33&CDS=1-1845, genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-3.69-mRNA-1_1&gene=genemark-NODE_4_length_439119_cov_16.2925_ID_7-processed-gene-3.69&CDS=1-2832, genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.3&CDS=1-1593, genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-1.14&CDS=1-2085
OG0000009	YOL119C, YOR306C	genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-1.141-mRNA-1_1&gene=genemark-NODE_12_length_299633_cov_12.6299_ID_23-processed-gene-1.141&CDS=1-1512, genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_24_length_185531_cov_13.2868_ID_47-processed-gene-0.12&CDS=1-1452, genemark-NODE_61_length_72254_cov_12.639_ID_121-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_61_length_72254_cov_12.639_ID_121-processed-gene-0.48&CDS=1-1449, genemark-NODE_61_length_72254_cov_12.639_ID_121-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_61_length_72254_cov_12.639_ID_121-processed-gene-0.49&CDS=1-1428, genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_9_length_318866_cov_12.6395_ID_17-processed-gene-0.18&CDS=1-1548, maker-NODE_1_length_559938_cov_12.5074_ID_1-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_1_length_559938_cov_12.5074_ID_1-snap-gene-0.2&CDS=1-7656
