	Nakaseomyces_bracarensis	Saccharomyces_cerevisiae
OG0000000	genemark-CABR0S40-processed-gene-2.33-mRNA-1_1&gene=genemark-CABR0S40-processed-gene-2.33&CDS=1-1704	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
OG0000001	maker-CABR0S04-snap-gene-2.55-mRNA-1_1&gene=maker-CABR0S04-snap-gene-2.55&CDS=1-3324, maker-CABR0S21-snap-gene-5.157-mRNA-1_1&gene=maker-CABR0S21-snap-gene-5.157&CDS=1-5037, snap_masked-CABR0S04-processed-gene-2.5-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-2.5&CDS=1-1659, snap_masked-CABR0S19-processed-gene-0.12-mRNA-1_1&gene=snap_masked-CABR0S19-processed-gene-0.12&CDS=1-1695, snap_masked-CABR0S32-processed-gene-0.180-mRNA-1_1&gene=snap_masked-CABR0S32-processed-gene-0.180&CDS=1-1665	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W
OG0000002	snap_masked-CABR0S13-processed-gene-7.64-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-7.64&CDS=1-2007, snap_masked-CABR0S16-processed-gene-5.123-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-5.123&CDS=1-1953, snap_masked-CABR0S31-processed-gene-1.5-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-1.5&CDS=1-1839, snap_masked-CABR0S40-processed-gene-1.5-mRNA-1_1&gene=snap_masked-CABR0S40-processed-gene-1.5&CDS=1-1920	YAL005C, YDL229W, YER103W, YJL034W, YLL024C, YNL209W
OG0000003	augustus_masked-CABR0S13-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-CABR0S13-processed-gene-8.43&CDS=1-1521, snap_masked-CABR0S07-processed-gene-0.1-mRNA-1_1&gene=snap_masked-CABR0S07-processed-gene-0.1&CDS=1-885, snap_masked-CABR0S08-processed-gene-0.0-mRNA-1_1&gene=snap_masked-CABR0S08-processed-gene-0.0&CDS=1-432, snap_masked-CABR0S08-processed-gene-0.13-mRNA-1_1&gene=snap_masked-CABR0S08-processed-gene-0.13&CDS=1-1101, snap_masked-CABR0S20-processed-gene-0.0-mRNA-1_1&gene=snap_masked-CABR0S20-processed-gene-0.0&CDS=1-912, snap_masked-CABR0S29-processed-gene-8.56-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-8.56&CDS=1-900, snap_masked-CABR0S38-processed-gene-2.228-mRNA-1_1&gene=snap_masked-CABR0S38-processed-gene-2.228&CDS=1-897, snap_masked-CABR0S40-processed-gene-4.51-mRNA-1_1&gene=snap_masked-CABR0S40-processed-gene-4.51&CDS=1-909	YFL031W
OG0000004	augustus_masked-CABR0S23-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-CABR0S23-processed-gene-0.0&CDS=1-1356, augustus_masked-CABR0S29-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-CABR0S29-processed-gene-0.94&CDS=1-972, genemark-CABR0S20-processed-gene-0.11-mRNA-1_1&gene=genemark-CABR0S20-processed-gene-0.11&CDS=1-711, maker-CABR0S13-snap-gene-0.102-mRNA-1_1&gene=maker-CABR0S13-snap-gene-0.102&CDS=1-1494, snap_masked-CABR0S08-processed-gene-0.2-mRNA-1_1&gene=snap_masked-CABR0S08-processed-gene-0.2&CDS=1-633, snap_masked-CABR0S27-processed-gene-0.87-mRNA-1_1&gene=snap_masked-CABR0S27-processed-gene-0.87&CDS=1-1188	YAL064C-A, YHR211W, YHR213W
OG0000005	genemark-CABR0S38-processed-gene-0.89-mRNA-1_1&gene=genemark-CABR0S38-processed-gene-0.89&CDS=1-1077, snap_masked-CABR0S04-processed-gene-3.54-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-3.54&CDS=1-1260, snap_masked-CABR0S26-processed-gene-4.112-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-4.112&CDS=1-1371, snap_masked-CABR0S29-processed-gene-0.46-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-0.46&CDS=1-1107	YJL116C, YKR042W, YNL066W
OG0000006	snap_masked-CABR0S04-processed-gene-5.12-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.12&CDS=1-1902, snap_masked-CABR0S13-processed-gene-8.96-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-8.96&CDS=1-1977, snap_masked-CABR0S16-processed-gene-3.13-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-3.13&CDS=1-1779, snap_masked-CABR0S26-processed-gene-1.92-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-1.92&CDS=1-1866	YBR068C, YCL025C, YDR046C
OG0000007	snap_masked-CABR0S05-processed-gene-3.119-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.119&CDS=1-4539, snap_masked-CABR0S31-processed-gene-7.212-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-7.212&CDS=1-4488, snap_masked-CABR0S37-processed-gene-21.93-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-21.93&CDS=1-4599, snap_masked-CABR0S37-processed-gene-5.18-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-5.18&CDS=1-4557	YDR011W, YOR153W, YPL058C
OG0000008	snap_masked-CABR0S16-processed-gene-0.92-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-0.92&CDS=1-1047, snap_masked-CABR0S17-processed-gene-2.71-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-2.71&CDS=1-1023, snap_masked-CABR0S29-processed-gene-2.84-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-2.84&CDS=1-1032	YDR541C, YGL039W, YGL157W, YOL151W
OG0000009	genemark-CABR0S37-processed-gene-21.26-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-21.26&CDS=1-2160, snap_masked-CABR0S17-processed-gene-3.17-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-3.17&CDS=1-1803, snap_masked-CABR0S29-processed-gene-5.95-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-5.95&CDS=1-1704, snap_masked-CABR0S37-processed-gene-2.93-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-2.93&CDS=1-936	YER133W, YML016C, YPL179W
