	Ogataea_parapolymorpha	Saccharomyces_cerevisiae
OG0000000	augustus_masked-NC_027861.1-processed-gene-10.55-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.55&CDS=1-11802, augustus_masked-NC_027863.1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-3.77&CDS=1-2181, augustus_masked-NC_027866.1-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.112&CDS=1-1656, maker-NC_027861.1-augustus-gene-8.1-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-8.1&CDS=1-3537	YCL024W, YDR477W, YDR507C, YOR246C, YPL150W
OG0000001	augustus_masked-NC_027860.1-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-4.63&CDS=1-2664	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000002	augustus_masked-NC_027861.1-processed-gene-5.134-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-5.134&CDS=1-2262, augustus_masked-NC_027861.1-processed-gene-7.66-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.66&CDS=1-2607, augustus_masked-NC_027865.1-processed-gene-2.188-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-2.188&CDS=1-2814, snap_masked-NC_027862.1-processed-gene-6.140-mRNA-1_1&gene=snap_masked-NC_027862.1-processed-gene-6.140&CDS=1-2784	YER013W, YGL120C, YKR086W, YNR011C
OG0000003	augustus_masked-NC_027861.1-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-10.64&CDS=1-2664, augustus_masked-NC_027861.1-processed-gene-11.2-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.2&CDS=1-1647, augustus_masked-NC_027863.1-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-2.88&CDS=1-2769, augustus_masked-NC_027865.1-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.121&CDS=1-1482, augustus_masked-NC_027865.1-processed-gene-8.123-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.123&CDS=1-1611, augustus_masked-NC_027865.1-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.70&CDS=1-1524	YAL067C, YMR208W
OG0000004	augustus_masked-NC_027861.1-processed-gene-13.121-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-13.121&CDS=1-2337, augustus_masked-NC_027862.1-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-7.53&CDS=1-2358, augustus_masked-NC_027863.1-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-0.131&CDS=1-1542, augustus_masked-NC_027863.1-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-1.101&CDS=1-2175, augustus_masked-NC_027863.1-processed-gene-7.177-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.177&CDS=1-2247, augustus_masked-NC_027865.1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-1.53&CDS=1-2052, augustus_masked-NC_027865.1-processed-gene-5.116-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.116&CDS=1-1779, augustus_masked-NC_027866.1-processed-gene-8.283-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.283&CDS=1-1671	
OG0000005	augustus_masked-NC_027863.1-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-0.107&CDS=1-1551, augustus_masked-NC_027864.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-0.52&CDS=1-1518, augustus_masked-NC_027865.1-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-0.115&CDS=1-1533, augustus_masked-NC_027866.1-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-7.80&CDS=1-1563, augustus_masked-NC_027866.1-processed-gene-8.254-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.254&CDS=1-1506, snap_masked-NC_027860.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-0.63&CDS=1-1509	YJR152W
OG0000006	augustus_masked-NC_027860.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.24&CDS=1-1161, augustus_masked-NC_027860.1-processed-gene-14.28-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-14.28&CDS=1-1221, augustus_masked-NC_027861.1-processed-gene-6.89-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-6.89&CDS=1-2082, augustus_masked-NC_027861.1-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.143&CDS=1-1086, snap_masked-NC_027860.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-0.71&CDS=1-1158, snap_masked-NC_027861.1-processed-gene-4.119-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-4.119&CDS=1-1275	YGR220C
OG0000007	augustus_masked-NC_027860.1-processed-gene-14.29-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-14.29&CDS=1-1347, augustus_masked-NC_027863.1-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.30&CDS=1-1434, maker-NC_027860.1-augustus-gene-3.3-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-3.3&CDS=1-2247, maker-NC_027864.1-snap-gene-7.54-mRNA-1_1&gene=maker-NC_027864.1-snap-gene-7.54&CDS=1-2553	YBR199W, YJR139C, YKL181W
OG0000008	augustus_masked-NC_027860.1-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-8.71&CDS=1-2001, augustus_masked-NC_027864.1-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-5.135&CDS=1-1353, maker-NC_027860.1-augustus-gene-5.3-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-5.3&CDS=1-3105, maker-NC_027864.1-snap-gene-3.158-mRNA-1_1&gene=maker-NC_027864.1-snap-gene-3.158&CDS=1-2115	YIL107C, YJL155C, YOL136C
OG0000009	augustus_masked-NC_027860.1-processed-gene-14.56-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-14.56&CDS=1-2016, augustus_masked-NC_027861.1-processed-gene-14.2-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-14.2&CDS=1-1923, augustus_masked-NC_027863.1-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-9.90&CDS=1-1941, augustus_masked-NC_027864.1-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-6.11&CDS=1-1737, augustus_masked-NC_027866.1-processed-gene-8.219-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.219&CDS=1-1734, maker-NC_027865.1-snap-gene-5.1-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-5.1&CDS=1-3390	YBR015C
