	Candida_albicans	Saccharomyces_cerevisiae
OG0000000	C1_11020W_A, C2_05070W_A, C4_04320W_A, C4_05770C_A, C4_05780C_A, C4_05840W_A, C5_01360W_A, C5_01380W_A, CR_06670W_A, CR_06870C_A, CR_07280W_A, CR_07290W_A, CR_07300W_A	
OG0000001	C2_08580W_B&Allele&of&C2_08580W_A, C2_08590W_A, C5_04130C_A	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000002	C2_01000W_A, C2_01010W_A, C2_01020W_A	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YOL156W
OG0000003	C3_06190C_A, C3_06320W_A, C6_03690W_A, C6_03700W_A, C6_03710W_A, C6_04130C_A, C6_04380W_A, CR_07070C_A	YJR004C
OG0000004	C3_05910W_A, C3_05920W_A, C3_05930W_A, C3_07860C_A, C5_02430W_A, C5_03320C_A, C5_03330C_A, C7_03220C_A	YLR256W
OG0000005	C1_02670C_A, C1_02680C_A, C2_03690C_A, C2_03710W_A, C4_06540W_B&Allele&of&C4_06540W_A, C4_06990W_A, C6_02830W_A	YJR061W, YKL201C
OG0000006	C5_04940W_A, CR_10790W_A	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000007	C1_02980W_A, C2_01630W_A, C2_08080C_A, C2_08850C_A, C4_05390W_A	YGL185C, YNL274C, YPL113C
OG0000008	C1_04900W_A, C1_10300W_A, C3_05610W_A, C5_02570W_B&Allele&of&C5_02570W_A, C5_02630C_A	YGL257C, YIL014W, YNR059W
OG0000009	C2_02880C_A, C6_01180C_A, C6_01410C_A, C6_01420C_A, C6_01510W_A, CR_01200W_A	YHR179W, YPL171C
OG0000010	C2_00060C_A, C2_08170W_A, C5_03650C_A, C5_03690W_A, C5_03970W_A, C5_04380C_A, C5_05180W_A	YGR263C
OG0000011	C4_02070W_A, CR_02180W_A, CR_02400W_A	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000012	C2_10180W_A, C4_06280C_A, C6_04410C_A, CR_03280W_A, CR_03300C_A	YCR102C, YLR460C, YNL134C
OG0000013	C1_10070C_A, C1_10720C_A, C2_01300C_A, C4_04770C_A, CR_05300C_A	YBR015C, YJL186W
OG0000014	C1_09210C_A, C5_01270W_A, C6_01400W_A	YCL069W, YGR224W, YKR105C, YPR198W
OG0000015	C2_05950C_A, C2_05960C_A, C2_05970C_A, C2_05980C_A, C2_05990C_A	YJR019C
OG0000016	C1_08230C_A, C6_01990W_A, CR_09690C_A	YMR006C, YMR008C, YOL011W
OG0000017	C2_08360C_A, C4_01320C_A, CR_02220C_A, CR_02240C_A, CR_02490W_A	YPR194C
OG0000018	C1_01140C_A, C7_00660W_A	YER054C, YIL045W, YLR273C, YOR178C
OG0000019	C3_03110W_A, C3_03980C_A, C7_03420C_A, C7_03440W_A	YGR197C, YJR015W
OG0000020	C1_08070W_A, C3_04070C_A, C3_04890W_A, C3_05220W_A	YDR406W, YOR153W
OG0000021	C2_08240W_A, C3_06940W_A	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000022	C3_03580C_A, C3_03600C_A, C3_03720W_A, C3_05630W_A	YIR038C
OG0000023	C2_06070W_A, C3_02810C_A, C3_05980C_A, C7_04180W_A	YER015W
OG0000024	C1_06860W_A, C2_06460W_A, C2_06470W_A, CR_09680C_A	YOR049C
