	Eremothecium_cymbalariae	Saccharomyces_cerevisiae
OG0000000	maker-NC_016451.1-augustus-gene-10.191-mRNA-1_1&gene=maker-NC_016451.1-augustus-gene-10.191&CDS=1-2202, snap_masked-NC_016450.1-processed-gene-14.73-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-14.73&CDS=1-1902, snap_masked-NC_016452.1-processed-gene-13.121-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.121&CDS=1-1944, snap_masked-NC_016454.1-processed-gene-4.2-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-4.2&CDS=1-1938, snap_masked-NC_016454.1-processed-gene-8.43-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-8.43&CDS=1-1839, snap_masked-NC_016456.1-processed-gene-5.128-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-5.128&CDS=1-2067	YAL005C, YDL229W, YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W
OG0000001	augustus_masked-NC_016452.1-processed-gene-14.25-mRNA-1_1&gene=augustus_masked-NC_016452.1-processed-gene-14.25&CDS=1-1761, maker-NC_016450.1-snap-gene-12.3-mRNA-1_1&gene=maker-NC_016450.1-snap-gene-12.3&CDS=1-5184, snap_masked-NC_016449.1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.45&CDS=1-1818, snap_masked-NC_016450.1-processed-gene-14.45-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-14.45&CDS=1-1776, snap_masked-NC_016452.1-processed-gene-14.146-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.146&CDS=1-1764, snap_masked-NC_016454.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NC_016454.1-processed-gene-0.12&CDS=1-1800, snap_masked-NC_016456.1-processed-gene-6.80-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-6.80&CDS=1-1707	YCL025C, YGR191W, YKR039W, YLL061W, YOL020W, YPL274W
OG0000002	augustus_masked-NC_016449.1-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-NC_016449.1-processed-gene-5.25&CDS=1-4980, snap_masked-NC_016450.1-processed-gene-2.41-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-2.41&CDS=1-2637, snap_masked-NC_016451.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-1.43&CDS=1-2295, snap_masked-NC_016451.1-processed-gene-8.54-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-8.54&CDS=1-2130, snap_masked-NC_016452.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-0.33&CDS=1-3270	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
OG0000003	genemark-NC_016456.1-processed-gene-0.80-mRNA-1_1&gene=genemark-NC_016456.1-processed-gene-0.80&CDS=1-4515, snap_masked-NC_016449.1-processed-gene-4.38-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-4.38&CDS=1-4062, snap_masked-NC_016451.1-processed-gene-10.57-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.57&CDS=1-4476, snap_masked-NC_016451.1-processed-gene-10.99-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-10.99&CDS=1-4422	YDR011W, YDR406W, YIL013C, YOR011W, YOR153W
OG0000004	augustus_masked-NC_016450.1-processed-gene-15.100-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-15.100&CDS=1-1563, maker-NC_016449.1-augustus-gene-6.84-mRNA-1_1&gene=maker-NC_016449.1-augustus-gene-6.84&CDS=1-3474, snap_masked-NC_016449.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-6.72&CDS=1-1638, snap_masked-NC_016453.1-processed-gene-6.124-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-6.124&CDS=1-1590	YDR341C, YDR342C, YDR343C, YHR092C, YNL318C
OG0000005	snap_masked-NC_016449.1-processed-gene-8.82-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-8.82&CDS=1-1143, snap_masked-NC_016452.1-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-2.19&CDS=1-936, snap_masked-NC_016456.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-0.56&CDS=1-828, snap_masked-NC_016456.1-processed-gene-7.21-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.21&CDS=1-753, snap_masked-NC_016456.1-processed-gene-7.60-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.60&CDS=1-930, snap_masked-NC_016456.1-processed-gene-7.61-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.61&CDS=1-915, snap_masked-NC_016456.1-processed-gene-7.67-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-7.67&CDS=1-669	YPR013C, YPR015C
OG0000006	augustus_masked-NC_016450.1-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-NC_016450.1-processed-gene-11.56&CDS=1-2256, augustus_masked-NC_016453.1-processed-gene-4.78-mRNA-1_1&gene=augustus_masked-NC_016453.1-processed-gene-4.78&CDS=1-2007, snap_masked-NC_016449.1-processed-gene-3.77-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-3.77&CDS=1-1215, snap_masked-NC_016453.1-processed-gene-7.77-mRNA-1_1&gene=snap_masked-NC_016453.1-processed-gene-7.77&CDS=1-1167	YBR205W, YJL139C, YKR061W, YOR099W
OG0000007	snap_masked-NC_016449.1-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.65&CDS=1-1692, snap_masked-NC_016449.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NC_016449.1-processed-gene-1.75&CDS=1-1710, snap_masked-NC_016450.1-processed-gene-9.43-mRNA-1_1&gene=snap_masked-NC_016450.1-processed-gene-9.43&CDS=1-1758, snap_masked-NC_016456.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NC_016456.1-processed-gene-0.52&CDS=1-1689	YNL268W, YOR348C, YPL265W
OG0000008	augustus_masked-NC_016451.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NC_016451.1-processed-gene-0.57&CDS=1-2832, snap_masked-NC_016451.1-processed-gene-7.32-mRNA-1_1&gene=snap_masked-NC_016451.1-processed-gene-7.32&CDS=1-1983, snap_masked-NC_016452.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-1.18&CDS=1-1434, snap_masked-NC_016452.1-processed-gene-13.105-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-13.105&CDS=1-3402	YBL063W, YEL061C, YKL079W
OG0000009	snap_masked-NC_016452.1-processed-gene-14.104-mRNA-1_1&gene=snap_masked-NC_016452.1-processed-gene-14.104&CDS=1-2088, snap_masked-NC_016455.1-processed-gene-3.42-mRNA-1_1&gene=snap_masked-NC_016455.1-processed-gene-3.42&CDS=1-2199	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
