	Metschnikowia_drakensbergensis	Saccharomyces_cerevisiae
OG0000000	augustus_masked-draA_s53-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-0.107&CDS=1-2487, augustus_masked-draA_s53-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-1.22&CDS=1-3261, augustus_masked-draA_s70-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-draA_s70-processed-gene-0.156&CDS=1-3270, augustus_masked-draA_s86-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-4.75&CDS=1-2646, snap_masked-draA_s100-processed-gene-2.105-mRNA-1_1&gene=snap_masked-draA_s100-processed-gene-2.105&CDS=1-2268	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
OG0000001	augustus_masked-draA_s103-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-draA_s103-processed-gene-2.135&CDS=1-1764, augustus_masked-draA_s71-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-draA_s71-processed-gene-0.36&CDS=1-3981, maker-draA_s79-augustus-gene-3.106-mRNA-1_1&gene=maker-draA_s79-augustus-gene-3.106&CDS=1-2346, snap_masked-draA_s53-processed-gene-0.54-mRNA-1_1&gene=snap_masked-draA_s53-processed-gene-0.54&CDS=1-2520	YCL024W, YDR477W, YDR507C, YOR233W, YPL141C, YPL150W
OG0000002	augustus_masked-draA_s111-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-draA_s111-processed-gene-0.32&CDS=1-1713, augustus_masked-draA_s17-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-draA_s17-processed-gene-2.28&CDS=1-7203, augustus_masked-draA_s49-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-draA_s49-processed-gene-0.81&CDS=1-1668, augustus_masked-draA_s86-processed-gene-5.178-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.178&CDS=1-1725, augustus_masked-draA_s86-processed-gene-5.210-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-5.210&CDS=1-1752, genemark-draA_s71-processed-gene-1.36-mRNA-1_1&gene=genemark-draA_s71-processed-gene-1.36&CDS=1-1653, snap_masked-draA_s57-processed-gene-4.83-mRNA-1_1&gene=snap_masked-draA_s57-processed-gene-4.83&CDS=1-1809	YKR039W, YLL061W, YPL274W
OG0000003	augustus_masked-draA_s31-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.64&CDS=1-2016, augustus_masked-draA_s31-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-draA_s31-processed-gene-0.65&CDS=1-627, augustus_masked-draA_s57-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-draA_s57-processed-gene-4.135&CDS=1-2760, augustus_masked-draA_s86-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-1.132&CDS=1-3408, augustus_masked-draA_s91-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-1.114&CDS=1-3507, snap_masked-draA_s37-processed-gene-0.71-mRNA-1_1&gene=snap_masked-draA_s37-processed-gene-0.71&CDS=1-2652, snap_masked-draA_s91-processed-gene-1.58-mRNA-1_1&gene=snap_masked-draA_s91-processed-gene-1.58&CDS=1-3315, snap_masked-draA_s91-processed-gene-1.62-mRNA-1_1&gene=snap_masked-draA_s91-processed-gene-1.62&CDS=1-3165	YKR064W, YNR063W
OG0000004	augustus_masked-draA_s37-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-draA_s37-processed-gene-0.125&CDS=1-1740, augustus_masked-draA_s53-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-1.9&CDS=1-1752, augustus_masked-draA_s91-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-draA_s91-processed-gene-2.101&CDS=1-1713, maker-draA_s103-augustus-gene-2.109-mRNA-1_1&gene=maker-draA_s103-augustus-gene-2.109&CDS=1-3705	YCL069W, YGR224W, YKR105C, YMR088C, YPR198W
OG0000005	augustus_masked-draA_s116-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-draA_s116-processed-gene-0.45&CDS=1-1845, augustus_masked-draA_s14-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-draA_s14-processed-gene-0.29&CDS=1-1638, augustus_masked-draA_s15-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-1.49&CDS=1-2487, augustus_masked-draA_s15-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-1.59&CDS=1-1746, augustus_masked-draA_s39-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-draA_s39-processed-gene-2.100&CDS=1-1683, augustus_masked-draA_s59-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-draA_s59-processed-gene-0.43&CDS=1-1767, augustus_masked-draA_s79-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-draA_s79-processed-gene-6.52&CDS=1-1629, snap_masked-draA_s79-processed-gene-2.79-mRNA-1_1&gene=snap_masked-draA_s79-processed-gene-2.79&CDS=1-1896	YMR123W
OG0000006	augustus_masked-draA_s110-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-1.161&CDS=1-1776, augustus_masked-draA_s15-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-draA_s15-processed-gene-5.27&CDS=1-2262, augustus_masked-draA_s44-processed-gene-4.137-mRNA-1_1&gene=augustus_masked-draA_s44-processed-gene-4.137&CDS=1-2253, augustus_masked-draA_s48-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-draA_s48-processed-gene-0.146&CDS=1-2604, augustus_masked-draA_s53-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-1.19&CDS=1-2178, snap_masked-draA_s98-processed-gene-0.13-mRNA-1_1&gene=snap_masked-draA_s98-processed-gene-0.13&CDS=1-1062	YJR061W, YKL201C
OG0000007	augustus_masked-draA_s98-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-draA_s98-processed-gene-1.116&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000008	augustus_masked-draA_s105-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-draA_s105-processed-gene-0.3&CDS=1-2988, augustus_masked-draA_s83-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-draA_s83-processed-gene-0.22&CDS=1-894, augustus_masked-draA_s86-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-draA_s86-processed-gene-0.71&CDS=1-783, genemark-draA_s15-processed-gene-0.52-mRNA-1_1&gene=genemark-draA_s15-processed-gene-0.52&CDS=1-885, maker-draA_s22-augustus-gene-0.3-mRNA-1_1&gene=maker-draA_s22-augustus-gene-0.3&CDS=1-2952, snap_masked-draA_s1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-draA_s1-processed-gene-0.9&CDS=1-936, snap_masked-draA_s116-processed-gene-0.22-mRNA-1_1&gene=snap_masked-draA_s116-processed-gene-0.22&CDS=1-972	
OG0000009	augustus_masked-draA_s110-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-draA_s110-processed-gene-0.49&CDS=1-612, augustus_masked-draA_s52-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-draA_s52-processed-gene-0.7&CDS=1-1659, augustus_masked-draA_s53-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-draA_s53-processed-gene-0.124&CDS=1-1140	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
